:START_ID,:END_ID,:TYPE
me1,tk1,usedFor
me2,tk1,usedFor
me3,tk1,usedFor
d1,tk1,usedFor
d2,tk1,usedFor
d3,tk1,usedFor
d1,tk1,usedFor
d2,tk1,usedFor
me1,tk1,usedFor
me1,tk1,usedFor
d1,tk1,usedFor
d2,tk1,usedFor
me4,tk1,usedFor
me5,tk1,usedFor
me6,tk1,usedFor
me7,tk1,usedFor
d4,tk1,usedFor
d5,tk2,usedFor
me9,tk2,usedFor
me10,tk2,usedFor
me11,tk3,usedFor
me12,tk3,usedFor
d6,tk3,usedFor
d7,tk3,usedFor
me11,tk3,usedFor
d2,tk3,usedFor
d14,tk3,usedFor
me11,tk5,usedFor
d16,tk5,usedFor
me11,tk6,usedFor
d17,tk6,usedFor
d17,tk7,usedFor
me11,tk8,usedFor
me17,tk11,usedFor
d19,tk12,usedFor
d20,tk12,usedFor
d22,tk13,usedFor
me18,tk16,usedFor
me19,tk16,usedFor
me20,tk17,usedFor
d21,tk18,usedFor
d26,tk24,usedFor
me28,tk25,usedFor
tk24,tk27,usedFor
me34,tk34,usedFor
me35,tk35,usedFor
d39,tk59,usedFor
tk59,tk62,usedFor
me39,tk67,usedFor
me40,tk70,usedFor
me39,tk71,usedFor
me39,tk72,usedFor
me40,tk73,usedFor
me41,tk76,usedFor
d42,tk75,usedFor
d43,tk75,usedFor
d44,tk75,usedFor
d52,tk81,usedFor
d53,tk81,usedFor
d54,tk81,usedFor
me43,tk83,usedFor
d55,tk83,usedFor
d56,tk83,usedFor
me43,tk84,usedFor
d10,tk84,usedFor
d57,tk84,usedFor
me43,tk85,usedFor
me43,tk86,usedFor
me43,tk87,usedFor
d56,tk87,usedFor
d58,tk88,usedFor
d59,tk88,usedFor
