:ID,journalTitle,mergeConfidence,mergedFrom,:LABEL
j5,ACM JOCCH,,,Journal
j8,JCDL,,,Journal
j1,JOCCH,,,Journal
j10,Journal of Documentation,,,Journal
j16,Journal on Computing and Cultural Heritage (JOCCH),,,Journal
j3,ACM Journal on Computing and Cultural Heritage (JOCCH),0.8953,['j4'],Journal
j2,JDoc,,,Journal
j25,JCDL 2023,,,Journal
j7,JCDL Tutorial Proposal,,,Journal
j18,Zhao & Müller (2021),,,Journal
j15,Not specified,,,Journal
j27,ACL 2023,,,Journal
j17,ACM Computing Surveys,,,Journal
j31,JDoc Technical Communication,,,Journal
j24,JDoc special issue,,,Journal
j21,JCDL proceedings,,,Journal
j13,ACM,,,Journal
j22,JCDL 2020-2022 proceedings,,,Journal
j23,World Wide Web Consortium’s updated standards,,,Journal
j14,Google Doc,,,Journal
j28,LREC,,,Journal
j30,EMNLP System Demo,,,Journal
j11,Language Resources and Evaluation,,,Journal
j12,Journal of Open Humanities Data,,,Journal
j26,ACM Production,,,Journal
j19,JCDL 2022,,,Journal
j9,JCDL 2020,,,Journal
j33,JDoc's Technical Communication section,,,Journal
j32,methods note,,,Journal
j29,Zenodo,,,Journal
j20,JCDL feature,,,Journal
j6,Journal of Computing and Cultural Heritage (JOCCH),,,Journal
