entity_type,similarity_score,entity_label_1,evidence_1,entity_label_2,evidence_2,label,llm_prediction,rank
Dataset,0.6562258005142212,colonial gazetteer sources,"Over the next week, I will draft a summary focusing on (a) cross-lingual ambiguity patterns in historical place names and (b) issues in standardizing metadata across colonial gazetteer sources.",colonial records,"illustrative use cases (South Asian newspapers, colonial records, and Oxford’s annotated corpus)",MATCH,NO_MATCH,2
Dataset,0.6724589467048645,Chilean dataset,"Ananya, I have isolated the specific feedback regarding “consent revalidation” and the need to clarify archival authority within the Chilean dataset workflow. | Ananya, I have isolated the specific feedback regarding “consent revalidation” and the need to clarify archival authority within the Chilean dataset workflow. | Ananya’s expanded workflow diagrams and compliance scenarios for Chilean and Japanese datasets | Ananya presented the draft diagrams illustrating data management workflows for the Chilean and Japanese datasets, including granular steps for consent, anonymization, and dataset transfer.",Chilean data management examples,"Expanded discussion is needed for non-European datasets, with explicit Chilean and Japanese data management examples.",NO_MATCH,MATCH,3
Method,0.7182502150535583,bar chart breakdown of willingness scores,"For the bar chart breakdown of willingness scores by OCR artifact severity, could Sunita or Michael please confirm whether we are using the original annotator codes (A/B) or anonymized participant IDs for the public submission? | For the bar chart breakdown of willingness scores by OCR artifact severity, could Sunita or Michael please confirm whether we are using the original annotator codes (A/B) or anonymized participant IDs for the public submission?",bar charts,Ananya suggested a supplementary figure: bar charts showing breakdowns of willingness scores by document artifact severity,NO_MATCH,MATCH,1
Method,0.7847430109977722,meta-level reflection on annotation protocol and transparency,"I am encouraged by our progress, especially regarding the focused integration of meta-level reflection on annotation protocol and transparency. | I am encouraged by our progress, especially regarding the focused integration of meta-level reflection on annotation protocol and transparency. | I am encouraged by our progress, especially regarding the focused integration of meta-level reflection on annotation protocol and transparency. | I am encouraged by our progress, especially regarding the focused integration of meta-level reflection on annotation protocol and transparency.",annotation protocol,"Regarding the comparative table, I’ve begun compiling key features from the corpora referenced in Zhao & Müller (2021) and mapping their practices against our own. | Ananya, your detailed responses during the Q&A—especially on the annotation protocol and bias mitigation—demonstrated the depth of our collaborative effort and boosted the clarity of our findings. | Ananya, your detailed responses during the Q&A—especially on the annotation protocol and bias mitigation—demonstrated the depth of our collaborative effort and boosted the clarity of our findings. | Ananya, your detailed responses during the Q&A—especially on the annotation protocol and bias mitigation—demonstrated the depth of our collaborative effort and boosted the clarity of our findings. | practical reproducibility of your annotation protocol | practical reproducibility of your annotation protocol | practical reproducibility of your annotation protocol",MATCH,NO_MATCH,3
Method,0.7390874624252319,participatory annotation methods,Expanded to include recent initiatives in multi-modal heritage NLP and a new subsection referencing participatory annotation methods.,annotation,The OCR and annotation challenges we encountered would interest the broader NLP and digital heritage research communities; | The OCR and annotation challenges we encountered would interest the broader NLP and digital heritage research communities;,MATCH,NO_MATCH,2
Method,0.7907619476318359,NLP Methods,"NLP Methods for Historical Data: Global Challenges, Local Contexts | NLP Methods for Historical Data: Global Challenges, Local Contexts | NLP Methods for Historical Data: Global Challenges, Local Contexts | NLP Methods for Historical Data: Global Challenges, Local Contexts | NLP Methods for Historical Data: Global Challenges, Local Contexts",NLP-based framework,"Our NLP-based framework bridges the academic and public history divide, enabling digitized archives in regional languages to be more broadly searchable and accessible. | Our NLP-based framework bridges the academic and public history divide, enabling digitized archives in regional languages to be more broadly searchable and accessible.",MATCH,NO_MATCH,3
Method,0.7228665351867676,drafting normalization guidelines,"Regarding the dataset/resource paper outline, I can take primary responsibility for drafting the normalization guidelines and the agreement statistics section.",normalization framework,"publication prospects, specifically a survey/methods piece for JOCCH based on our annotated historical corpora, normalization framework | publication prospects, specifically a survey/methods piece for JOCCH based on our annotated historical corpora, normalization framework | publication prospects, specifically a survey/methods piece for JOCCH based on our annotated historical corpora, normalization framework | publication prospects, specifically a survey/methods piece for JOCCH based on our annotated historical corpora, normalization framework",MATCH,NO_MATCH,3
Method,0.7732009291648865,archival NLP,Dr. Nguyen’s expertise in archival NLP,historical NLP,An introductory paragraph contextualizing the importance of historical NLP for broad audiences.,MATCH,NO_MATCH,3
Method,0.6861131191253662,cross-institutional protocol harmonization,Reviewers highlighted the valuable synthesis of compliance frameworks and cross-institutional protocol harmonization within multinational NLP collaborations. | Reviewers highlighted the valuable synthesis of compliance frameworks and cross-institutional protocol harmonization within multinational NLP collaborations. | Reviewers highlighted the valuable synthesis of compliance frameworks and cross-institutional protocol harmonization within multinational NLP collaborations. | Reviewers highlighted the valuable synthesis of compliance frameworks and cross-institutional protocol harmonization within multinational NLP collaborations.,annotation protocol,"Regarding the comparative table, I’ve begun compiling key features from the corpora referenced in Zhao & Müller (2021) and mapping their practices against our own. | Ananya, your detailed responses during the Q&A—especially on the annotation protocol and bias mitigation—demonstrated the depth of our collaborative effort and boosted the clarity of our findings. | Ananya, your detailed responses during the Q&A—especially on the annotation protocol and bias mitigation—demonstrated the depth of our collaborative effort and boosted the clarity of our findings. | Ananya, your detailed responses during the Q&A—especially on the annotation protocol and bias mitigation—demonstrated the depth of our collaborative effort and boosted the clarity of our findings. | practical reproducibility of your annotation protocol | practical reproducibility of your annotation protocol | practical reproducibility of your annotation protocol",MATCH,NO_MATCH,3
Method,0.7730829119682312,anonymization,including iconography for anonymization and audit mechanisms | including iconography for anonymization and audit mechanisms,exclusion of personally identifiable information,"Detailed our anonymization pipeline, including data hashing procedures, exclusion of personally identifiable information at the source, and our approach to managing regional digital archival consent.",NO_MATCH,MATCH,3
