:ID,mailDate,mailNum,subject,:LABEL
e1,2019-04-01,YT6A21,Proposal for Research on Temporal Sentiment Analysis in Historical Archives,Email
e2,2019-04-01,YT6A22,Re: Proposal for Research on Temporal Sentiment Analysis in Historical Archives,Email
e3,2019-04-02,YT6A23,Re: Proposal for Collaborative Research on Temporal Sentiment Analysis in Historical Archives,Email
e4,2019-04-02,YT6A24,Re: Proposal for Collaborative Research on Temporal Sentiment Analysis in Historical Archives,Email
e5,2019-04-02,YT6A25,Re: Proposal for Collaborative Research on Temporal Sentiment Analysis in Historical Archives,Email
e6,2019-04-07,YT6A26,"Meeting Minutes - April 6th, 2019",Email
e7,10th April 2019,ZR71X3HB,Follow-up on Action Items and Experiment Design,Email
e8,12th April 2019,AJ4KD52N,Re: Follow-up on Action Items and Experiment Design,Email
e9,13th April 2019,P3V8WD4J,Re: Follow-up on Action Items and Experiment Design,Email
e10,15th April 2019,Q9M7XZ8T,Data Processing Update and Preliminary Challenges,Email
e11,16th April 2019,DS4L8R2V,Re: Data Processing Update and Preliminary Challenges,Email
e12,17th April 2019,W8RSK3BQ,Re: Data Processing Update and OCR Challenges – Interpretability Considerations,Email
e13,18th April 2019,JU4L39XZ,Sharing OCR-Affected Samples & Metadata Mappings for Interpretability Review,Email
e14,18th April 2019,B9Z4EH5S,Confirmation of Receipt and Agenda for 23rd April Check-in,Email
e15,18th April 2019,ZD8KL7SW,Google Meet Link and Final Preparations for 23rd April Meeting,Email
e16,20th April 2019,AB7FQC9K,Minutes and Action Points from 23rd April Check-in,Email
e17,21st April 2019,L72FWD19,Clean Corpus Subset and Request for Feedback,Email
e18,22nd April 2019,F2R6YT89,Re: Clean Corpus Subset and Evaluation Metrics Discussion,Email
e19,23rd April 2019,MN42KXHS,Stretch Evaluation Goals and Next Meeting - Availability Request,Email
e20,24th April 2019,V9T5QK23,Interpretability Memo Update and Meeting Availability,Email
e21,24th April 2019,X7P4ZJ13,Meeting Coordination and Initial Feedback on Interpretability Protocols,Email
e22,25th April 2019,4GNV9SZP,Finalizing Meeting Slot and Comments on Human Annotation Pilot,Email
e23,26th April 2019,SJ9HD3WK,Meeting Link and Pre-Meeting Materials for 3rd May,Email
e24,27th April 2019,P8LK3QZR,Re: Meeting Link and Pre-Meeting Materials for 3rd May,Email
e25,28th April 2019,MAIL6VM4ZB12,"Meeting Minutes: Project Check-in, 28th April 2019",Email
e26,29th April 2019,2NR7PQKW,Baseline Model Specification and Preliminary Results Uploaded,Email
e27,30th April 2019,MAIL3FP2JK89,Draft Annotation Instructions and Feedback Request,Email
e28,30th April 2019,MAIL2H8QWS35,Re: Draft Annotation Instructions and Feedback Request,Email
e29,1st May 2019,MAIL8VC1XW04,Finalization of Annotation Instructions and Next Steps,Email
e30,2nd May 2019,MAIL0R3NPX52,Annotation Outreach Update and Early Feedback Logistics,Email
e31,4th May 2019,MAIL2B4FDX13,Initial Annotation Returns and Planning Synthesis Session,Email
e32,5th May 2019,MAIL4WEXSG76,Re: Initial Annotation Returns and Planning Synthesis Session,Email
e33,6th May 2019,MAIL1VF9CZ82,"Confirmation and Agenda for Synthesis Meeting, 13th May",Email
e34,6th May 2019,MAIL7KLWXP01,Google Meet Link and Notes Document for 13th May Synthesis Meeting,Email
e35,7th May 2019,MAILN84PXVR5,Synthesis Meeting Minutes and Action Items,Email
e36,8th May 2019,MAIL58PL9VCY,Re: Synthesis Meeting Minutes and Action Items – Visualization Timeline,Email
e37,9th May 2019,MAIL2VJ4NARY,Re: Visualization Clarifications and Data Anonymization for Evaluation Figures,Email
e38,10th May 2019,MAILK3D9PZI7,Visualization Inputs and Accessibility Notes,Email
e39,11th May 2019,MAIL7T3QPWB1,Visualization: Additional Exemplar Segments and Review of Metadata,Email
e40,12th May 2019,MAILGXK5T2QP,Draft Visualization Figures – Review and Feedback Requested,Email
e41,12th May 2019,MAILF39WV12K,Re: Draft Visualization Figures – Initial Feedback and Caption Suggestions,Email
