:START_ID,:END_ID,:TYPE
e1,pn2,receivedBy
e1,pn3,receivedBy
e1,pn4,receivedBy
e2,pn1,receivedBy
e2,pn3,receivedBy
e2,pn4,receivedBy
e3,pn1,receivedBy
e3,pn2,receivedBy
e3,pn4,receivedBy
e4,pn1,receivedBy
e4,pn2,receivedBy
e4,pn3,receivedBy
e5,pn1,receivedBy
e5,pn3,receivedBy
e5,pn4,receivedBy
e6,pn2,receivedBy
e6,pn3,receivedBy
e6,pn4,receivedBy
e7,pn1,receivedBy
e7,pn2,receivedBy
e7,pn4,receivedBy
e8,pn3,receivedBy
e8,pn2,receivedBy
e8,pn4,receivedBy
e9,pn1,receivedBy
e10,pn1,receivedBy
e11,pn1,receivedBy
e11,pn3,receivedBy
e11,pn4,receivedBy
e12,pn2,receivedBy
e12,pn3,receivedBy
e12,pn4,receivedBy
e13,pn3,receivedBy
e13,pn2,receivedBy
e13,pn4,receivedBy
e14,pn3,receivedBy
e14,pn2,receivedBy
e14,pn4,receivedBy
e15,pn1,receivedBy
e16,pn2,receivedBy
e16,pn3,receivedBy
e16,pn4,receivedBy
e17,pn1,receivedBy
e17,pn3,receivedBy
e17,pn4,receivedBy
e18,pn1,receivedBy
e18,pn2,receivedBy
e18,pn4,receivedBy
e19,pn1,receivedBy
e19,pn2,receivedBy
e19,pn3,receivedBy
e20,pn2,receivedBy
e20,pn3,receivedBy
e20,pn4,receivedBy
e21,pn1,receivedBy
e22,pn2,receivedBy
e22,pn3,receivedBy
e22,pn4,receivedBy
e23,pn1,receivedBy
e23,pn2,receivedBy
e23,pn3,receivedBy
e24,pn1,receivedBy
e24,pn2,receivedBy
e24,pn4,receivedBy
e25,pn2,receivedBy
e25,pn3,receivedBy
e25,pn4,receivedBy
e26,pn2,receivedBy
e26,pn3,receivedBy
e26,pn4,receivedBy
e27,pn1,receivedBy
e27,pn3,receivedBy
e27,pn4,receivedBy
e28,pn1,receivedBy
e28,pn2,receivedBy
e28,pn4,receivedBy
e29,pn1,receivedBy
e29,pn2,receivedBy
e29,pn3,receivedBy
e30,pn2,receivedBy
e30,pn3,receivedBy
e30,pn4,receivedBy
e31,pn1,receivedBy
e31,pn2,receivedBy
e31,pn4,receivedBy
e32,pn3,receivedBy
e32,pn2,receivedBy
e32,pn4,receivedBy
e33,pn1,receivedBy
e33,pn3,receivedBy
e33,pn4,receivedBy
e34,pn1,receivedBy
e34,pn2,receivedBy
e34,pn3,receivedBy
e35,pn3,receivedBy
e35,pn2,receivedBy
e35,pn4,receivedBy
e36,pn1,receivedBy
e36,pn2,receivedBy
e36,pn4,receivedBy
e37,pn1,receivedBy
e37,pn2,receivedBy
e37,pn3,receivedBy
e38,pn1,receivedBy
e38,pn3,receivedBy
e38,pn4,receivedBy
e39,pn2,receivedBy
e39,pn3,receivedBy
e39,pn4,receivedBy
e40,pn1,receivedBy
e40,pn2,receivedBy
e40,pn4,receivedBy
e41,pn1,receivedBy
e41,pn3,receivedBy
e41,pn4,receivedBy
e42,pn2,receivedBy
e42,pn1,receivedBy
e42,pn3,receivedBy
e42,pn4,receivedBy
e43,pn2,receivedBy
e43,pn3,receivedBy
e43,pn4,receivedBy
e44,pn1,receivedBy
e44,pn2,receivedBy
e44,pn3,receivedBy
e45,pn4,receivedBy
e45,pn1,receivedBy
e45,pn2,receivedBy
e46,pn3,receivedBy
e46,pn2,receivedBy
e46,pn4,receivedBy
e47,pn1,receivedBy
e47,pn3,receivedBy
e47,pn4,receivedBy
e48,pn1,receivedBy
e48,pn2,receivedBy
e48,pn3,receivedBy
e49,pn2,receivedBy
e49,pn3,receivedBy
e49,pn4,receivedBy
e50,pn1,receivedBy
e50,pn3,receivedBy
e50,pn4,receivedBy
e51,pn1,receivedBy
e51,pn2,receivedBy
e51,pn4,receivedBy
e52,pn1,receivedBy
e52,pn2,receivedBy
e52,pn3,receivedBy
e53,pn2,receivedBy
e53,pn3,receivedBy
e53,pn4,receivedBy
e54,pn1,receivedBy
e54,pn2,receivedBy
e54,pn3,receivedBy
e55,pn1,receivedBy
e55,pn3,receivedBy
e55,pn4,receivedBy
e56,pn3,receivedBy
e56,pn2,receivedBy
e56,pn4,receivedBy
e57,pn1,receivedBy
e58,pn2,receivedBy
e58,pn3,receivedBy
e58,pn4,receivedBy
e59,pn1,receivedBy
e59,pn3,receivedBy
e59,pn4,receivedBy
e60,pn2,receivedBy
e60,pn1,receivedBy
e60,pn3,receivedBy
e61,pn1,receivedBy
e62,pn2,receivedBy
e62,pn3,receivedBy
e62,pn4,receivedBy
e63,pn1,receivedBy
e63,pn2,receivedBy
e63,pn4,receivedBy
e64,pn3,receivedBy
e64,pn2,receivedBy
e64,pn4,receivedBy
e65,pn1,receivedBy
e66,pn2,receivedBy
e66,pn1,receivedBy
e66,pn3,receivedBy
e67,pn4,receivedBy
e67,pn2,receivedBy
e67,pn1,receivedBy
e68,pn4,receivedBy
e68,pn2,receivedBy
e68,pn3,receivedBy
e69,pn4,receivedBy
e69,pn3,receivedBy
e69,pn1,receivedBy
e70,pn2,receivedBy
e70,pn1,receivedBy
e70,pn3,receivedBy
e71,pn4,receivedBy
e71,pn1,receivedBy
e71,pn3,receivedBy
e72,pn2,receivedBy
e72,pn4,receivedBy
e72,pn3,receivedBy
e73,pn4,receivedBy
e73,pn1,receivedBy
e73,pn2,receivedBy
e74,pn3,receivedBy
e74,pn4,receivedBy
e74,pn2,receivedBy
e75,pn1,receivedBy
e75,pn3,receivedBy
e75,pn2,receivedBy
e76,pn4,receivedBy
e77,pn1,receivedBy
e77,pn3,receivedBy
e77,pn2,receivedBy
e78,pn4,receivedBy
e78,pn1,receivedBy
e78,pn2,receivedBy
e79,pn4,receivedBy
e79,pn3,receivedBy
e79,pn1,receivedBy
e80,pn2,receivedBy
e80,pn4,receivedBy
e80,pn3,receivedBy
e81,pn1,receivedBy
e81,pn3,receivedBy
e81,pn2,receivedBy
e82,pn3,receivedBy
e82,pn4,receivedBy
e82,pn2,receivedBy
e83,pn4,receivedBy
e83,pn3,receivedBy
e83,pn1,receivedBy
e84,pn2,receivedBy
e84,pn4,receivedBy
e84,pn1,receivedBy
e85,pn2,receivedBy
e85,pn3,receivedBy
e85,pn1,receivedBy
e86,pn4,receivedBy
e86,pn3,receivedBy
e86,pn1,receivedBy
e87,pn2,receivedBy
e87,pn3,receivedBy
e87,pn4,receivedBy
e88,pn2,receivedBy
e88,pn4,receivedBy
e88,pn1,receivedBy
e89,pn2,receivedBy
e89,pn3,receivedBy
e89,pn4,receivedBy
e90,pn1,receivedBy
e90,pn3,receivedBy
e90,pn2,receivedBy
e91,pn1,receivedBy
e91,pn4,receivedBy
e91,pn2,receivedBy
e92,pn4,receivedBy
e92,pn3,receivedBy
e92,pn1,receivedBy
e93,pn2,receivedBy
e93,pn3,receivedBy
e93,pn4,receivedBy
e94,pn1,receivedBy
e94,pn3,receivedBy
e94,pn2,receivedBy
e95,pn1,receivedBy
e95,pn4,receivedBy
e95,pn2,receivedBy
e96,pn4,receivedBy
e96,pn3,receivedBy
e96,pn1,receivedBy
e97,pn2,receivedBy
e97,pn3,receivedBy
e97,pn4,receivedBy
e98,pn1,receivedBy
e98,pn3,receivedBy
e98,pn2,receivedBy
e99,pn1,receivedBy
e100,pn1,receivedBy
e101,pn1,receivedBy
e101,pn3,receivedBy
e101,pn4,receivedBy
e102,pn2,receivedBy
e102,pn1,receivedBy
e102,pn4,receivedBy
e103,pn2,receivedBy
e103,pn3,receivedBy
e103,pn4,receivedBy
e104,pn1,receivedBy
e104,pn2,receivedBy
e104,pn3,receivedBy
e105,pn1,receivedBy
e105,pn3,receivedBy
e105,pn4,receivedBy
e106,pn1,receivedBy
e107,pn2,receivedBy
e107,pn3,receivedBy
e107,pn4,receivedBy
e108,pn1,receivedBy
e108,pn2,receivedBy
e108,pn4,receivedBy
e109,pn1,receivedBy
e109,pn2,receivedBy
e109,pn3,receivedBy
e110,pn1,receivedBy
e110,pn3,receivedBy
e110,pn4,receivedBy
e111,pn1,receivedBy
e112,pn2,receivedBy
e112,pn3,receivedBy
e112,pn4,receivedBy
e113,pn1,receivedBy
e113,pn2,receivedBy
e113,pn4,receivedBy
e114,pn1,receivedBy
e114,pn2,receivedBy
e114,pn3,receivedBy
e115,pn3,receivedBy
e115,pn4,receivedBy
e115,pn1,receivedBy
e116,pn2,receivedBy
e116,pn3,receivedBy
e116,pn4,receivedBy
e117,pn2,receivedBy
e117,pn1,receivedBy
e117,pn4,receivedBy
e118,pn2,receivedBy
e118,pn1,receivedBy
e118,pn3,receivedBy
e118,pn4,receivedBy
e119,pn2,receivedBy
e119,pn1,receivedBy
e119,pn3,receivedBy
e119,pn4,receivedBy
e120,pn2,receivedBy
e120,pn3,receivedBy
e120,pn4,receivedBy
e121,pn1,receivedBy
e121,pn2,receivedBy
e121,pn4,receivedBy
e122,pn2,receivedBy
e122,pn1,receivedBy
e122,pn3,receivedBy
e122,pn4,receivedBy
e123,pn1,receivedBy
e123,pn3,receivedBy
e123,pn4,receivedBy
e124,pn2,receivedBy
e124,pn3,receivedBy
e124,pn4,receivedBy
e125,pn1,receivedBy
e125,pn2,receivedBy
e125,pn3,receivedBy
e126,pn2,receivedBy
e126,pn3,receivedBy
e126,pn4,receivedBy
e127,pn1,receivedBy
e127,pn2,receivedBy
e127,pn4,receivedBy
e128,pn1,receivedBy
e128,pn2,receivedBy
e128,pn3,receivedBy
e129,pn2,receivedBy
e129,pn3,receivedBy
e129,pn4,receivedBy
e130,pn1,receivedBy
e130,pn2,receivedBy
e130,pn4,receivedBy
e131,pn2,receivedBy
e131,pn3,receivedBy
e131,pn4,receivedBy
e132,pn1,receivedBy
e133,pn1,receivedBy
e133,pn2,receivedBy
e133,pn4,receivedBy
e134,pn2,receivedBy
e134,pn3,receivedBy
e134,pn4,receivedBy
e135,pn1,receivedBy
e135,pn3,receivedBy
e135,pn4,receivedBy
e136,pn1,receivedBy
e136,pn2,receivedBy
e136,pn3,receivedBy
e137,pn1,receivedBy
e138,pn1,receivedBy
e139,pn2,receivedBy
e139,pn3,receivedBy
e139,pn4,receivedBy
e140,pn1,receivedBy
e140,pn2,receivedBy
e140,pn4,receivedBy
