email_id,subject_label,predicate,object_label,evidence_sentence,subject_type,object_type,source_type
e643,Dr. Michael Bradley,worksWith,Cohen’s kappa,"Thank you, Michael, for your meticulous final review and the constructive queries regarding the annotation inter-rater reliability ...",Person,Metric,GptOss
e643,Dr. Michael Bradley,worksWith,EMNLP 2022 benchmark,"Thank you, Michael, for your meticulous final review and the constructive queries regarding the citation of the new EMNLP 2022 benchmark.",Person,Dataset,GptOss
e643,EMNLP 2022 benchmark,usedFor,dataset construction,"updated the “Datasets” section to include the annotation inter-rater reliability figures from our pilot runs (average Cohen’s Kappa = 0.86 across language subsets), which should reinforce the rigor of our dataset construction.",Dataset,Task,GptOss
e643,benchmark protocol,usedFor,evaluation,our benchmark protocol directly builds on their low-resource metrics.,Method,Task,GptOss
e643,Cohen’s kappa,evaluates,dataset construction,annotation inter-rater reliability figures from our pilot runs (average Cohen’s Kappa = 0.86 across language subsets) ... reinforce the rigor of our dataset construction.,Metric,Task,GptOss
e455,Sunita Sen,worksWith,RTI,"""Sunita, your proactive contributions regarding RTI and regional translation are exemplary""",Person,Method,GptOss
e455,Dr. Michael Bradley,worksOn,public and media queries management,"""I look forward to deploying this robust framework as we continue advancing both our research and public engagement objectives.""",Person,Task,GptOss
e455,GDPR integration,usedFor,press query response protocol,"""Ananya’s integration of GDPR and EU research citation frameworks has created a genuinely multifaceted resource.""",Method,Task,GptOss
e455,U.S. Data Governance guidelines referencing,usedFor,press query response protocol,"""including the direct referencing of U.S. Data Governance guidelines""",Method,Task,GptOss
e455,RTI,usedFor,public and media queries management,"""Sunita, your proactive contributions regarding RTI and regional translation are exemplary""",Method,Task,GptOss
e207,JOCCH manuscript,hasAuthor,Sunita Sen,I have carefully reviewed the editorial decision email on SUB-JOCCH-2020-0047 and summarized the main revision requests outlined by the reviewers.,Paper,Person,GptOss
e207,JOCCH manuscript,hasAuthor,Prof. Ramesh Bhatia,I have carefully reviewed the editorial decision email on SUB-JOCCH-2020-0047 and summarized the main revision requests outlined by the reviewers.,Paper,Person,GptOss
e207,JOCCH manuscript,hasAuthor,Dr. Michael Bradley,I have carefully reviewed the editorial decision email on SUB-JOCCH-2020-0047 and summarized the main revision requests outlined by the reviewers.,Paper,Person,GptOss
e207,JOCCH manuscript,hasAuthor,Dr. Ananya Chatterjee,I have carefully reviewed the editorial decision email on SUB-JOCCH-2020-0047 and summarized the main revision requests outlined by the reviewers.,Paper,Person,GptOss
e207,SUB-JOCCH-2020-0047,identifies,JOCCH manuscript,I have carefully reviewed the editorial decision email on SUB-JOCCH-2020-0047 and summarized the main revision requests outlined by the reviewers.,SubmissionID,Paper,GptOss
e207,SUB-JOCCH-2020-0047,inVenue,JOCCH,I have carefully reviewed the editorial decision email on SUB-JOCCH-2020-0047 and summarized the main revision requests outlined by the reviewers.,SubmissionID,Journal,GptOss
