email_id,subject_label,predicate,object_label,evidence_sentence,full_email_context,subject_type,object_type
e141,Sunita Sen,worksOn,setting up the Doodle poll,"Thank you, Sunita, for your initiative in drafting the screencast outline and setting up the Doodle poll.","Thread ID: E0OL9G Mail ID: MAILE7104DPS Date: 11th April 2020 From: Dr. Ananya Chatterjee <ananya.chatterjee@cs.ox.ac.uk> To: Sunita Sen <scholar.sunita@iacs.res.in>, Dr. Michael Bradley <michael@cs.stanford.edu>, Prof. Ramesh Bhatia <ramesh.bhatia@iacs.res.in> Subject: Re: Coordination Call for JCDL 2020 Camera-Ready Revisions – Doodle Poll & Screencast Outline Feedback  Dear Sunita, Michael, and Ramesh,  Thank you, Sunita, for your initiative in drafting the screencast outline and setting up the Doodle poll. I have just filled out my availability, with a slight preference for Thursday at 16:00 BST, though I can be flexible if Friday suits everyone better.  I reviewed your preliminary outline and found the structure logical and well-matched to the reviewers’ requests. Including a modular stepwise walkthrough (with short highlight annotations) of the provenance workflow should mitigate concerns about reproducibility and onboarding for new users. I suggest briefly touching on two common annotation edge cases (perhaps with an example from the Bengali-English corpus section), to demonstrate the workflow’s adaptability. Please let me know if you would like materials or sample datasets for those segments—I am happy to share excerpts from my previous FAIR pipeline slides.  Regarding the ACM reproducibility visual, I will prepare a high-resolution graphic and updated slide by tomorrow and upload both assets to the “Revision_Materials” folder. Feel free to reference the new slide in your video, or keep it a separate mention if you prefer.  Ramesh, once your succinct corpus period/context note for the ambiguous mapping schematic is ready, kindly upload or forward it so we can integrate across all channels.  Thank you all again for the coordination and momentum. I look forward to locking in our meeting time to finalize the division of tasks. With our current synergy, I am optimistic we can assemble the camera-ready submission ahead of the 15 July deadline.  Best regards,  Ananya",Person,Task
e141,Dr. Ananya Chatterjee,worksOn,modular stepwise walkthrough of the provenance workflow,Including a modular stepwise walkthrough (with short highlight annotations) of the provenance workflow should mitigate concerns about reproducibility and onboarding for new users.,"Thread ID: E0OL9G Mail ID: MAILE7104DPS Date: 11th April 2020 From: Dr. Ananya Chatterjee <ananya.chatterjee@cs.ox.ac.uk> To: Sunita Sen <scholar.sunita@iacs.res.in>, Dr. Michael Bradley <michael@cs.stanford.edu>, Prof. Ramesh Bhatia <ramesh.bhatia@iacs.res.in> Subject: Re: Coordination Call for JCDL 2020 Camera-Ready Revisions – Doodle Poll & Screencast Outline Feedback  Dear Sunita, Michael, and Ramesh,  Thank you, Sunita, for your initiative in drafting the screencast outline and setting up the Doodle poll. I have just filled out my availability, with a slight preference for Thursday at 16:00 BST, though I can be flexible if Friday suits everyone better.  I reviewed your preliminary outline and found the structure logical and well-matched to the reviewers’ requests. Including a modular stepwise walkthrough (with short highlight annotations) of the provenance workflow should mitigate concerns about reproducibility and onboarding for new users. I suggest briefly touching on two common annotation edge cases (perhaps with an example from the Bengali-English corpus section), to demonstrate the workflow’s adaptability. Please let me know if you would like materials or sample datasets for those segments—I am happy to share excerpts from my previous FAIR pipeline slides.  Regarding the ACM reproducibility visual, I will prepare a high-resolution graphic and updated slide by tomorrow and upload both assets to the “Revision_Materials” folder. Feel free to reference the new slide in your video, or keep it a separate mention if you prefer.  Ramesh, once your succinct corpus period/context note for the ambiguous mapping schematic is ready, kindly upload or forward it so we can integrate across all channels.  Thank you all again for the coordination and momentum. I look forward to locking in our meeting time to finalize the division of tasks. With our current synergy, I am optimistic we can assemble the camera-ready submission ahead of the 15 July deadline.  Best regards,  Ananya",Person,Task
e141,Dr. Ananya Chatterjee,worksWith,Bengali-English corpus,"I suggest briefly touching on two common annotation edge cases (perhaps with an example from the Bengali-English corpus section), to demonstrate the workflow’s adaptability.","Thread ID: E0OL9G Mail ID: MAILE7104DPS Date: 11th April 2020 From: Dr. Ananya Chatterjee <ananya.chatterjee@cs.ox.ac.uk> To: Sunita Sen <scholar.sunita@iacs.res.in>, Dr. Michael Bradley <michael@cs.stanford.edu>, Prof. Ramesh Bhatia <ramesh.bhatia@iacs.res.in> Subject: Re: Coordination Call for JCDL 2020 Camera-Ready Revisions – Doodle Poll & Screencast Outline Feedback  Dear Sunita, Michael, and Ramesh,  Thank you, Sunita, for your initiative in drafting the screencast outline and setting up the Doodle poll. I have just filled out my availability, with a slight preference for Thursday at 16:00 BST, though I can be flexible if Friday suits everyone better.  I reviewed your preliminary outline and found the structure logical and well-matched to the reviewers’ requests. Including a modular stepwise walkthrough (with short highlight annotations) of the provenance workflow should mitigate concerns about reproducibility and onboarding for new users. I suggest briefly touching on two common annotation edge cases (perhaps with an example from the Bengali-English corpus section), to demonstrate the workflow’s adaptability. Please let me know if you would like materials or sample datasets for those segments—I am happy to share excerpts from my previous FAIR pipeline slides.  Regarding the ACM reproducibility visual, I will prepare a high-resolution graphic and updated slide by tomorrow and upload both assets to the “Revision_Materials” folder. Feel free to reference the new slide in your video, or keep it a separate mention if you prefer.  Ramesh, once your succinct corpus period/context note for the ambiguous mapping schematic is ready, kindly upload or forward it so we can integrate across all channels.  Thank you all again for the coordination and momentum. I look forward to locking in our meeting time to finalize the division of tasks. With our current synergy, I am optimistic we can assemble the camera-ready submission ahead of the 15 July deadline.  Best regards,  Ananya",Person,Dataset
e141,Bengali-English corpus,usedFor,demonstrate the workflow’s adaptability,"I suggest briefly touching on two common annotation edge cases (perhaps with an example from the Bengali-English corpus section), to demonstrate the workflow’s adaptability.","Thread ID: E0OL9G Mail ID: MAILE7104DPS Date: 11th April 2020 From: Dr. Ananya Chatterjee <ananya.chatterjee@cs.ox.ac.uk> To: Sunita Sen <scholar.sunita@iacs.res.in>, Dr. Michael Bradley <michael@cs.stanford.edu>, Prof. Ramesh Bhatia <ramesh.bhatia@iacs.res.in> Subject: Re: Coordination Call for JCDL 2020 Camera-Ready Revisions – Doodle Poll & Screencast Outline Feedback  Dear Sunita, Michael, and Ramesh,  Thank you, Sunita, for your initiative in drafting the screencast outline and setting up the Doodle poll. I have just filled out my availability, with a slight preference for Thursday at 16:00 BST, though I can be flexible if Friday suits everyone better.  I reviewed your preliminary outline and found the structure logical and well-matched to the reviewers’ requests. Including a modular stepwise walkthrough (with short highlight annotations) of the provenance workflow should mitigate concerns about reproducibility and onboarding for new users. I suggest briefly touching on two common annotation edge cases (perhaps with an example from the Bengali-English corpus section), to demonstrate the workflow’s adaptability. Please let me know if you would like materials or sample datasets for those segments—I am happy to share excerpts from my previous FAIR pipeline slides.  Regarding the ACM reproducibility visual, I will prepare a high-resolution graphic and updated slide by tomorrow and upload both assets to the “Revision_Materials” folder. Feel free to reference the new slide in your video, or keep it a separate mention if you prefer.  Ramesh, once your succinct corpus period/context note for the ambiguous mapping schematic is ready, kindly upload or forward it so we can integrate across all channels.  Thank you all again for the coordination and momentum. I look forward to locking in our meeting time to finalize the division of tasks. With our current synergy, I am optimistic we can assemble the camera-ready submission ahead of the 15 July deadline.  Best regards,  Ananya",Dataset,Task
e141,Dr. Ananya Chatterjee,worksOn,prepare ACM reproducibility visual high-resolution graphic and updated slide,"Regarding the ACM reproducibility visual, I will prepare a high-resolution graphic and updated slide by tomorrow and upload both assets to the “Revision_Materials” folder.","Thread ID: E0OL9G Mail ID: MAILE7104DPS Date: 11th April 2020 From: Dr. Ananya Chatterjee <ananya.chatterjee@cs.ox.ac.uk> To: Sunita Sen <scholar.sunita@iacs.res.in>, Dr. Michael Bradley <michael@cs.stanford.edu>, Prof. Ramesh Bhatia <ramesh.bhatia@iacs.res.in> Subject: Re: Coordination Call for JCDL 2020 Camera-Ready Revisions – Doodle Poll & Screencast Outline Feedback  Dear Sunita, Michael, and Ramesh,  Thank you, Sunita, for your initiative in drafting the screencast outline and setting up the Doodle poll. I have just filled out my availability, with a slight preference for Thursday at 16:00 BST, though I can be flexible if Friday suits everyone better.  I reviewed your preliminary outline and found the structure logical and well-matched to the reviewers’ requests. Including a modular stepwise walkthrough (with short highlight annotations) of the provenance workflow should mitigate concerns about reproducibility and onboarding for new users. I suggest briefly touching on two common annotation edge cases (perhaps with an example from the Bengali-English corpus section), to demonstrate the workflow’s adaptability. Please let me know if you would like materials or sample datasets for those segments—I am happy to share excerpts from my previous FAIR pipeline slides.  Regarding the ACM reproducibility visual, I will prepare a high-resolution graphic and updated slide by tomorrow and upload both assets to the “Revision_Materials” folder. Feel free to reference the new slide in your video, or keep it a separate mention if you prefer.  Ramesh, once your succinct corpus period/context note for the ambiguous mapping schematic is ready, kindly upload or forward it so we can integrate across all channels.  Thank you all again for the coordination and momentum. I look forward to locking in our meeting time to finalize the division of tasks. With our current synergy, I am optimistic we can assemble the camera-ready submission ahead of the 15 July deadline.  Best regards,  Ananya",Person,Task
e141,Dr. Ananya Chatterjee,worksOn,upload ACM reproducibility visual assets to the “Revision_Materials” folder,"Regarding the ACM reproducibility visual, I will prepare a high-resolution graphic and updated slide by tomorrow and upload both assets to the “Revision_Materials” folder.","Thread ID: E0OL9G Mail ID: MAILE7104DPS Date: 11th April 2020 From: Dr. Ananya Chatterjee <ananya.chatterjee@cs.ox.ac.uk> To: Sunita Sen <scholar.sunita@iacs.res.in>, Dr. Michael Bradley <michael@cs.stanford.edu>, Prof. Ramesh Bhatia <ramesh.bhatia@iacs.res.in> Subject: Re: Coordination Call for JCDL 2020 Camera-Ready Revisions – Doodle Poll & Screencast Outline Feedback  Dear Sunita, Michael, and Ramesh,  Thank you, Sunita, for your initiative in drafting the screencast outline and setting up the Doodle poll. I have just filled out my availability, with a slight preference for Thursday at 16:00 BST, though I can be flexible if Friday suits everyone better.  I reviewed your preliminary outline and found the structure logical and well-matched to the reviewers’ requests. Including a modular stepwise walkthrough (with short highlight annotations) of the provenance workflow should mitigate concerns about reproducibility and onboarding for new users. I suggest briefly touching on two common annotation edge cases (perhaps with an example from the Bengali-English corpus section), to demonstrate the workflow’s adaptability. Please let me know if you would like materials or sample datasets for those segments—I am happy to share excerpts from my previous FAIR pipeline slides.  Regarding the ACM reproducibility visual, I will prepare a high-resolution graphic and updated slide by tomorrow and upload both assets to the “Revision_Materials” folder. Feel free to reference the new slide in your video, or keep it a separate mention if you prefer.  Ramesh, once your succinct corpus period/context note for the ambiguous mapping schematic is ready, kindly upload or forward it so we can integrate across all channels.  Thank you all again for the coordination and momentum. I look forward to locking in our meeting time to finalize the division of tasks. With our current synergy, I am optimistic we can assemble the camera-ready submission ahead of the 15 July deadline.  Best regards,  Ananya",Person,Task
e141,Dr. Ananya Chatterjee,worksOn,integrate corpus period/context note across all channels,"Ramesh, once your succinct corpus period/context note for the ambiguous mapping schematic is ready, kindly upload or forward it so we can integrate across all channels.","Thread ID: E0OL9G Mail ID: MAILE7104DPS Date: 11th April 2020 From: Dr. Ananya Chatterjee <ananya.chatterjee@cs.ox.ac.uk> To: Sunita Sen <scholar.sunita@iacs.res.in>, Dr. Michael Bradley <michael@cs.stanford.edu>, Prof. Ramesh Bhatia <ramesh.bhatia@iacs.res.in> Subject: Re: Coordination Call for JCDL 2020 Camera-Ready Revisions – Doodle Poll & Screencast Outline Feedback  Dear Sunita, Michael, and Ramesh,  Thank you, Sunita, for your initiative in drafting the screencast outline and setting up the Doodle poll. I have just filled out my availability, with a slight preference for Thursday at 16:00 BST, though I can be flexible if Friday suits everyone better.  I reviewed your preliminary outline and found the structure logical and well-matched to the reviewers’ requests. Including a modular stepwise walkthrough (with short highlight annotations) of the provenance workflow should mitigate concerns about reproducibility and onboarding for new users. I suggest briefly touching on two common annotation edge cases (perhaps with an example from the Bengali-English corpus section), to demonstrate the workflow’s adaptability. Please let me know if you would like materials or sample datasets for those segments—I am happy to share excerpts from my previous FAIR pipeline slides.  Regarding the ACM reproducibility visual, I will prepare a high-resolution graphic and updated slide by tomorrow and upload both assets to the “Revision_Materials” folder. Feel free to reference the new slide in your video, or keep it a separate mention if you prefer.  Ramesh, once your succinct corpus period/context note for the ambiguous mapping schematic is ready, kindly upload or forward it so we can integrate across all channels.  Thank you all again for the coordination and momentum. I look forward to locking in our meeting time to finalize the division of tasks. With our current synergy, I am optimistic we can assemble the camera-ready submission ahead of the 15 July deadline.  Best regards,  Ananya",Person,Task
e174,Dr. Ananya Chatterjee,worksOn,repository hosting compliance statement,I will append a concise Oxford compliance statement to the shared supplement before final submission.,"Thread ID: CX1HWB Mail ID: MAIL0Z27NQY4 Date: 3rd June 2020 From: Dr. Ananya Chatterjee <ananya.chatterjee@cs.ox.ac.uk> To: Sunita Sen <scholar.sunita@iacs.res.in>, Dr. Michael Bradley <michael@cs.stanford.edu>, Prof. Ramesh Bhatia <ramesh.bhatia@iacs.res.in> Subject: Re: Minutes and Action Items: JOCCH Article Planning Meeting (16 August)  Dear Sunita, Michael, and Ramesh,  Thank you, Sunita, for the thorough documentation of our meeting discussions and for clearly outlining the upcoming deliverables and responsibilities. I confirm that the minutes accurately reflect both the substance and spirit of our planning, and I appreciate the clarity around section assignments and compliance steps.  To follow up on my action item regarding the draft lay abstract: I will circulate an initial version to the group by 18 August. I plan to synthesize feedback from our prior outreach workshops and emphasize the societal relevance and interpretability of our NLP tools for historical corpora, as discussed. Once drafted, I invite everyone’s input to ensure our summary is accessible and compelling for both a general and an academic audience, per ACM JOCCH’s requirements.  Regarding Oxford’s compliance aspects for repository hosting, I have reviewed the latest guidance. There are no additional restrictions for joint open data releases as long as attribution is thorough and embargoed data are clearly marked—in alignment with the IACS and Stanford protocols presented by Ramesh and Michael. I will append a concise Oxford compliance statement to the shared supplement before final submission.  If any co-author foresees delays in their assigned sections or supplementary material contributions, please flag these at the earliest so we can coordinate support or adjust deadlines as needed. I look forward to working with all of you to bring this comprehensive paper to completion.  Best regards,  Ananya",Person,Task
e446,SUB-JOCCH-2022-0362,movesTo,under editorial review,status remains under editorial review.,"Thread ID: 0IDUSW Mail ID: MAILE0B2F6KD Date: 12th April 2022 From: Prof. Ramesh Bhatia <ramesh.bhatia@iacs.res.in> To: Sunita Sen <scholar.sunita@iacs.res.in>, Dr. Ananya Chatterjee <ananya.chatterjee@cs.ox.ac.uk>, Dr. Michael Bradley <michael@cs.stanford.edu> Subject: Minutes and Action Points from 16 October Progress Review  Dear Sunita, Ananya, and Michael,  Thank you all for your participation and focused engagement in yesterday’s progress review. I am writing to circulate the official minutes and summarized action points from our 16 October call, as agreed:  **Participants**: Prof. Ramesh Bhatia (chair), Dr. Ananya Chatterjee, Dr. Michael Bradley, Ms. Sunita Sen   **Date/Time**: 11th April 2020, 15:30–16:25 IST   **Platform**: Google Meet  **Agenda Review and Outcomes:** 1. **JOCCH Submission Status (SUB-JOCCH-2022-0362):**    - No new communications from JOCCH as of the meeting date; status remains under editorial review. Team agreed to maintain daily monitoring of shared inboxes and immediate information relay protocol. 2. **Press/Outreach Coordination:**    - All partner institutions have affirmed press office readiness for embargo-compliant, joint outreach. No procedural discrepancies noted; latest harmonized outreach materials are archived on the shared drive. 3. **Embargo Monitoring Log:**    - Sunita presented the updated log (ver. 14Oct2022). Michael’s harmonization notes were discussed with consensus to finalize tracked changes by 20 October. No pending queries. 4. **Prospects for Joint JCDL 2022 Submission:**    - Agreed to initiate a collaborative documentation folder outlining possible abstract themes and dataset extensions, with a target for draft brainstorming by mid-December. 5. **Other Business:**    - All members reconfirmed Q&A compliance status. Ananya will touch base with Oxford’s legal counsel regarding embargo expiry ramifications, should a pre-acceptance press query arise.  **Action Points:** - Sunita and Michael to finalize embargo log harmonization and update master sheet by 20 October. - Prof. Bhatia (myself) to draft a shared follow-up template for unforeseen press queries and circulate by 22 October. - Ananya to open JCDL 2022 joint documentation workspace and notify team by 25 October.  Please reply with any additions or corrections to these minutes by 19 October. Otherwise, I will consider them ratified for consortium records. Thank you for prompt attention and continued collaboration.  Best regards,  Prof. Ramesh Bhatia   Professor, Department of Computer Science   Indian Association for the Cultivation of Science",SubmissionID,PaperStatus
e446,Prof. Ramesh Bhatia,worksOn,daily monitoring of shared inboxes and immediate information relay,Team agreed to maintain daily monitoring of shared inboxes and immediate information relay protocol.,"Thread ID: 0IDUSW Mail ID: MAILE0B2F6KD Date: 12th April 2022 From: Prof. Ramesh Bhatia <ramesh.bhatia@iacs.res.in> To: Sunita Sen <scholar.sunita@iacs.res.in>, Dr. Ananya Chatterjee <ananya.chatterjee@cs.ox.ac.uk>, Dr. Michael Bradley <michael@cs.stanford.edu> Subject: Minutes and Action Points from 16 October Progress Review  Dear Sunita, Ananya, and Michael,  Thank you all for your participation and focused engagement in yesterday’s progress review. I am writing to circulate the official minutes and summarized action points from our 16 October call, as agreed:  **Participants**: Prof. Ramesh Bhatia (chair), Dr. Ananya Chatterjee, Dr. Michael Bradley, Ms. Sunita Sen   **Date/Time**: 11th April 2020, 15:30–16:25 IST   **Platform**: Google Meet  **Agenda Review and Outcomes:** 1. **JOCCH Submission Status (SUB-JOCCH-2022-0362):**    - No new communications from JOCCH as of the meeting date; status remains under editorial review. Team agreed to maintain daily monitoring of shared inboxes and immediate information relay protocol. 2. **Press/Outreach Coordination:**    - All partner institutions have affirmed press office readiness for embargo-compliant, joint outreach. No procedural discrepancies noted; latest harmonized outreach materials are archived on the shared drive. 3. **Embargo Monitoring Log:**    - Sunita presented the updated log (ver. 14Oct2022). Michael’s harmonization notes were discussed with consensus to finalize tracked changes by 20 October. No pending queries. 4. **Prospects for Joint JCDL 2022 Submission:**    - Agreed to initiate a collaborative documentation folder outlining possible abstract themes and dataset extensions, with a target for draft brainstorming by mid-December. 5. **Other Business:**    - All members reconfirmed Q&A compliance status. Ananya will touch base with Oxford’s legal counsel regarding embargo expiry ramifications, should a pre-acceptance press query arise.  **Action Points:** - Sunita and Michael to finalize embargo log harmonization and update master sheet by 20 October. - Prof. Bhatia (myself) to draft a shared follow-up template for unforeseen press queries and circulate by 22 October. - Ananya to open JCDL 2022 joint documentation workspace and notify team by 25 October.  Please reply with any additions or corrections to these minutes by 19 October. Otherwise, I will consider them ratified for consortium records. Thank you for prompt attention and continued collaboration.  Best regards,  Prof. Ramesh Bhatia   Professor, Department of Computer Science   Indian Association for the Cultivation of Science",Person,Task
