:START_ID,:END_ID,:TYPE,context,source
s2,ps1,movesTo,We are pleased to confirm receipt of your recent submission to the ACM Journal on Computing and Cultural Heritage (JOCCH).,e69
ps1,ps2,movesTo,"The editorial office will now conduct initial checks to ensure compliance with our technical and ethical standards, as well as completeness of supporting documentation and data availability statements.",e69
ps2,ps3,movesTo,"Upon completion of this preliminary review, your submission will proceed to associate editor assignment and peer review.",e69
s2,ps4,movesTo,"Your manuscript has been forwarded to the assigned Associate Editor, who will oversee the peer review process.",e70
s2,ps5,movesTo,the Associate Editor has reached the following decision: **Minor Revision Required**.,e71
s2,ps5,movesTo,the formal “Minor Revision Required” decision,e72
s2,ps6,movesTo,for our JOCCH minor revision (Submission ID: SUB-JOCCH-2019-0187).,e79
s2,ps7,movesTo,"has been successfully submitted this morning via the ACM submission portal.
...
- **JOCCH Submission ID**: SUB-JOCCH-2019-0187
- **Date & Time of Submission**: 15th August 2019, 09:23 IST",e83
s2,ps4,movesTo,has passed initial editorial checks and has now been sent out for peer review.,e84
s2,ps8,movesTo,"we are pleased to inform you that your submission has been accepted for publication, pending minor revisions.",e85
ps9,pa6,movesTo,"positive decision from JOCCH on our manuscript, pending minor revisions (see editorial message of 10 December)",e86
s2,ps10,movesTo,"This message is to formally acknowledge receipt of your resubmitted manuscript ...

Submission ID: SUB-JOCCH-2019-0187  
Date Received: 13th November 2019",e99
ps10,ps11,movesTo,The editorial office has now initiated the second-round peer review as per the minor revision pathway.,e99
s2,ps6,movesTo,a small number of additional points were raised during this round which we ask you to address before publication,e100
s2,ps12,movesTo,This is to formally acknowledge receipt of your revised manuscript entitled,e109
s2,ps13,movesTo,The manuscript will now be transferred to the editorial board for assessment of the minor revisions,e109
s2,ps14,movesTo,and will be sent for final reviewer verification as needed.,e109
s2,ps15,movesTo,"has accepted the paper pending receipt of the final, camera-ready version.",e110
s2,ps17,movesTo,I am submitting the camera-ready package for our manuscript entitled “NLP Approaches to Historical Entity Disambiguation: Lessons from Bengali-English Colonial Gazetteers” (Submission ID: SUB-JOCCH-2019-0187).,e116
s2,ps18,movesTo,we have received your camera-ready submission package for the manuscript entitled ... (Submission ID: SUB-JOCCH-2019-0187) via the ScholarOne system on 18th January 2019.,e117
ps18,ps19,movesTo,"Assuming all materials meet the publication checklist, your article is scheduled for inclusion in an upcoming JOCCH issue.",e117
ps20,pa14,movesTo,"With that, I wholeheartedly approve the current version for submission to JCDL 2020.",e134
s3,ps7,movesTo,"the JCDL 2020 tutorial proposal has now been officially submitted via the conference portal.
...
We have been assigned the following Submission ID for tracking and correspondence:
SUB-JCDL-2020-0143",e136
s3,ps4,movesTo,it will now be forwarded to the tutorial selection committee for review.,e137
s3,ps16,movesTo,We are pleased to inform you that your tutorial proposal has been **accepted** for presentation at JCDL 2020,e138
s4,ps21,movesTo,Status: Camera-ready submission received and queued for committee verification,e150
s4,ps22,movesTo,- **Status:** Camera-ready package verified and accepted,e151
s5,ps7,movesTo,has now been formally submitted to the ACM Journal on Computing and Cultural Heritage (JOCCH).,e189
s5,ps23,movesTo,Our editorial office has initiated the preliminary technical and compliance review.,e190
ps23,ps24,movesTo,"Once the pre-review check is completed, your manuscript will be forwarded to the Editorial Board for peer review.",e190
s5,ps6,movesTo,your submission has been evaluated and the editorial decision is “Minor Revision.”,e191
s5,ps9,movesTo,I am thrilled that the outcome was positive—minor revisions only!,e192
s5,ps6,movesTo,reaching the minor revision stage for SUB-JOCCH-2020-0047.,e193
s5,tk1002,movesTo,we finalize our minor revision for submission to JOCCH (SUB-JOCCH-2020-0047).,e197
tk1185,tk1186,movesTo,Target for initial draft circulation: 12 November. Internal deadline for review and consolidated submission: 19 November,e197
tk1186,tk1187,movesTo,a week ahead of the journal cutoff (26 November).,e197
s5,ps6,movesTo,Decision: Minor Revision,e206
s5,ps25,movesTo,editorial decision email on SUB-JOCCH-2020-0047 and summarized the main revision requests,e207
s5,ps7,movesTo,our revised manuscript entitled “Domain Transfer Limits and Anchor-Based Reviewer Navigation for NLP on Historical Data” was submitted to the ACM Journal on Computing and Cultural Heritage.,e219
s5,ps26,movesTo,have successfully passed the technical check and are now in the queue for editorial review.,e220
s5,ps6,movesTo,the editorial board has reached a decision of minor revision.,e221
s5,ps6,movesTo,the decision from the JOCCH editorial office (SUB-JOCCH-2020-0047) requires only a minor revision,e222
s5,ps6,movesTo,our JOCCH minor revision resubmission (SUB-JOCCH-2020-0047),e225
s5,ps6,movesTo,our JOCCH minor revision (SUB-JOCCH-2020-0047),e230
s5,ps27,movesTo,"our fully revised minor revision manuscript, response letter, and all supplementary files for our JOCCH submission (Submission ID: SUB-JOCCH-2020-0047) were successfully uploaded and submitted via ScholarOne at 14:12 BST today.",e232
s5,ps28,movesTo,"Your revision has now been assigned to the Associate Editor for further assessment, following which it may be forwarded to external reviewers for confirmation of revision adequacy.",e233
s5,ps29,movesTo,"we are pleased to announce that your manuscript is **conditionally accepted**, pending minor clarifications.",e234
s5,ps29,movesTo,conditional acceptance of our JOCCH manuscript (SUB-JOCCH-2020-0047),e235
s6,ps18,movesTo,This is to formally acknowledge receipt of your camera-ready manuscript and supplementary materials for the submission entitled,e245
s6,ps30,movesTo,Your submission is now being transferred to the production and editorial review teams for a final assessment prior to scheduling for publication.,e245
s6,ps32,movesTo,"The JOCCH editorial office will now conduct a detailed pre-publication checklist for formatting, metadata accuracy, and compliance with ACM author guidelines.",e245
s6,ps31,movesTo,"Assuming there are no outstanding technical issues, galley proofs for your article will be generated and circulated to the corresponding author for final approval prior to online publication.",e245
s6,ps33,movesTo,has completed the editorial pre-publication process and is ready for the final production stage.,e246
s6,ps34,movesTo,"With these minor corrections incorporated, we are confident the article will be ready for online publication.",e250
s6,ps35,movesTo,we will proceed to schedule your article for publication in the upcoming issue of the ACM Journal on Computing and Cultural Heritage.,e251
s6,ps35,movesTo,"has now been scheduled for publication in Volume 16, Issue 4 (September 2021)",e253
ps36,pa42,movesTo,confirming our September issue slot and imminent DOI,e254
