:START_ID,:END_ID,:TYPE
mt1,tk1,evaluates
mt2,tk1,evaluates
mt3,tk1,evaluates
mt4,tk1,evaluates
mt5,tk2,evaluates
mt6,tk2,evaluates
mt9,me29,evaluates
mt10,me29,evaluates
mt11,me29,evaluates
mt12,tk24,evaluates
mt13,tk24,evaluates
mt14,tk24,evaluates
mt12,pa7,evaluates
mt13,pa7,evaluates
mt14,pa7,evaluates
mt12,me31,evaluates
mt13,me31,evaluates
mt14,me31,evaluates
mt12,tk74,evaluates
mt13,tk74,evaluates
mt2,tk74,evaluates
mt15,tk74,evaluates
mt16,tk74,evaluates
mt15,me39,evaluates
mt16,me39,evaluates
mt15,d47,evaluates
mt16,d47,evaluates
mt17,tk84,evaluates
mt18,tk86,evaluates
mt19,tk86,evaluates
mt18,tk87,evaluates
mt19,tk87,evaluates
mt18,pa22,evaluates
mt19,pa22,evaluates
