:START_ID,:END_ID,:TYPE,context,source
s1,c3,inVenue,"our manuscript, titled “Evaluation Pipelines and Visualization Methodologies for NLP on Noisy Historical Data,” has been successfully submitted to ACL 2019. We have received the official submission confirmation, and our Submission ID is SUB-ACL-2019-0374.",e49
j1,tk1002,inVenue,General agreement on JOCCH as primary target for an extended journal version,e54
j2,tk1002,inVenue,Journal Extension (JOCCH/JDoc),e54
s2,j3,inVenue,The ScholarOne platform has assigned the following Submission ID for reference: SUB-JOCCH-2019-0187.,e68
s2,j3,inVenue,We are pleased to confirm receipt of your recent submission to the ACM Journal on Computing and Cultural Heritage (JOCCH).,e69
s2,j3,inVenue,submitted to the ACM Journal on Computing and Cultural Heritage.,e70
s2,j1,inVenue,the latest JOCCH notification (SUB-JOCCH-2019-0187),e72
s2,j1,inVenue,point-by-point response letter based on the reviewer reports (SUB-JOCCH-2019-0187),e76
s2,j5,inVenue,our minor revision of the manuscript for the ACM JOCCH (Submission ID: SUB-JOCCH-2019-0187).,e77
s2,j1,inVenue,for our JOCCH minor revision (Submission ID: SUB-JOCCH-2019-0187).,e79
s2,j3,inVenue,"our revised manuscript package for the ACM Journal on Computing and Cultural Heritage (JOCCH) has been successfully submitted this morning via the ACM submission portal.
...
- **JOCCH Submission ID**: SUB-JOCCH-2019-0187",e83
s2,j3,inVenue,Thank you for choosing the ACM Journal on Computing and Cultural Heritage for your work.,e84
s2,j3,inVenue,"your manuscript submitted to the ACM Journal on Computing and Cultural Heritage, entitled ...",e85
pa6,j1,inVenue,"positive decision from JOCCH on our manuscript, pending minor revisions",e86
s2,j3,inVenue,I have now formally submitted our revised manuscript ... to the ACM Journal on Computing and Cultural Heritage (Submission ID: SUB-JOCCH-2019-0187).,e98
s2,j3,inVenue,"your resubmitted manuscript, entitled “NER Methodology and Heritage Data: A Multilingual Benchmark for Bengali-English Colonial Documents,” to the ACM Journal on Computing and Cultural Heritage.

Submission ID: SUB-JOCCH-2019-0187",e99
s2,j3,inVenue,"your resubmission to the ACM Journal on Computing and Cultural Heritage, entitled “NER Methodology and Heritage Data: A Multilingual Benchmark for Bengali-English Colonial Documents” (Submission ID: SUB-JOCCH-2019-0187).",e100
ps6,j1,inVenue,"we progress to the final rounds of our JOCCH submission. I trust you have seen the editorial office’s decision email (12 Jan), which summarizes the minor revision requests.",e101
s2,j3,inVenue,"submitted to the ACM Journal on Computing and Cultural Heritage (JOCCH) as of earlier today. Submission was completed through the ScholarOne system, under Submission ID: SUB-JOCCH-2019-0187.",e108
s2,j1,inVenue,"submitted to the ACM Journal on Computing and Cultural Heritage (JOCCH) as of earlier today. Submission was completed through the ScholarOne system, under Submission ID: SUB-JOCCH-2019-0187.",e108
s2,j3,inVenue,"submitted to the ACM Journal on Computing and Cultural Heritage (JOCCH), under Submission ID: SUB-JOCCH-2019-0187.",e109
s2,j3,inVenue,the editorial board at the ACM Journal on Computing and Cultural Heritage (JOCCH) has accepted the paper,e110
ps16,j1,inVenue,Congratulations to everyone on receiving the formal acceptance (pending camera-ready files) from JOCCH—this is a significant milestone for our team!,e111
s2,j1,inVenue,camera-ready submission to JOCCH (SUB-JOCCH-2019-0187),e114
s2,j5,inVenue,Per your acceptance notification and the ACM JOCCH (v2020) guidelines,e116
s2,j5,inVenue,Thank you for your diligent adherence to the ACM JOCCH camera-ready guidelines.,e117
pa10,c6,inVenue,"a workflow/methods tutorial aimed at JCDL 2020, including a possible abstract title: “Reproducible NLP Workflows for Historical Datasets: Lessons from a Cross-Lingual Gazetteer Project.”",e126
pa11,c6,inVenue,as assigned for the JCDL tutorial proposal.,e127
pa12,c6,inVenue,for the JCDL reviewer audience—especially in the context of cross-lingual reproducibility challenges.,e128
pa13,c21,inVenue,Your communication regarding both the format and the content requirements for JCDL is extremely helpful.,e132
pa14,c6,inVenue,"With that, I wholeheartedly approve the current version for submission to JCDL 2020.",e134
s3,c6,inVenue,"I am pleased to inform you that the JCDL 2020 tutorial proposal has now been officially submitted via the conference portal.
...
We have been assigned the following Submission ID for tracking and correspondence:
SUB-JCDL-2020-0143",e136
s3,c8,inVenue,Thank you for your submission to the ACM/IEEE Joint Conference on Digital Libraries (JCDL) 2020.,e137
s3,c6,inVenue,"On behalf of the JCDL 2020 Tutorials Committee, we thank you for your submission:

""Entity Normalization, Reproducibility, and FAIR Data Management in Historical NLP: A Workflow Tutorial""
Submission ID: SUB-JCDL-2020-0143",e138
pa16,c6,inVenue,Congratulations to everyone on the acceptance of our JCDL 2020 tutorial proposal!,e139
pa17,c6,inVenue,finalizing the camera-ready submission for the JCDL 2020 tutorial.,e144
pa19,c6,inVenue,the finalized version of the screencast for our JCDL 2020 camera-ready submission,e146
s4,c6,inVenue,our camera-ready submission for the JCDL 2020 tutorial ... Submission ID: SUB-JCDL-2020-0718,e150
s4,c6,inVenue,"On behalf of the JCDL 2020 committee, we extend our congratulations and confirm the official acceptance of your camera-ready materials.",e151
c6,mg65,inVenue,yesterday’s rehearsal for our JCDL 2020 tutorial.,e156
c6,mg66,inVenue,The conference organizers will reach out on 24 July with our official Zoom presentation link and access instructions.,e156
pa22,j1,inVenue,I am delighted by the prospect of moving our work forward through a survey/methods article for JOCCH.,e165
pa23,j1,inVenue,Thank you all for your active participation and thoughtful contributions during today’s planning meeting for our JOCCH submission.,e173
tk1002,j1,inVenue,Looking forward to our collaborative discussion and the final steps ahead of JOCCH submission.,e185
s5,j3,inVenue,has now been formally submitted to the ACM Journal on Computing and Cultural Heritage (JOCCH). ... Our submission has been assigned the following ID ... SUB-JOCCH-2020-0047.,e189
s5,j3,inVenue,Thank you for your submission to the ACM Journal on Computing and Cultural Heritage (JOCCH).,e190
s5,j3,inVenue,submitted to the ACM Journal on Computing and Cultural Heritage (Submission ID: SUB-JOCCH-2020-0047).,e191
s5,j1,inVenue,I have carefully read the decision letter and attached reviewer feedback from the JOCCH Editorial Office (SUB-JOCCH-2020-0047),e192
s5,j1,inVenue,reaching the minor revision stage for SUB-JOCCH-2020-0047.,e193
s5,j1,inVenue,we finalize our minor revision for submission to JOCCH (SUB-JOCCH-2020-0047).,e197
tk1002,j1,inVenue,so we can submit a comprehensive and polished revision to JOCCH.,e201
tk1210,j3,inVenue,I plan to proceed with our formal submission to the ACM Journal on Computing and Cultural Heritage through their online portal.,e203
s5,j3,inVenue,today’s submission to the ACM Journal on Computing and Cultural Heritage (SUB-JOCCH-2020-0047),e204
s5,j3,inVenue,submitted to the ACM Journal on Computing and Cultural Heritage (JOCCH). Your revision and all supplementary documents have been successfully uploaded,e205
s5,j3,inVenue,"We thank you for submitting your work to JOCCH and look forward to receiving your revision.

Best regards,

The JOCCH Editorial Office
ACM Journal on Computing and Cultural Heritage",e206
s5,j1,inVenue,editorial decision email on SUB-JOCCH-2020-0047,e207
pa28,j1,inVenue,our JOCCH manuscript,e207
s5,j1,inVenue,final pre-submission phase of our JOCCH minor revision (SUB-JOCCH-2020-0047).,e216
pa32,j1,inVenue,Inline citations have been aligned following JOCCH’s guidelines,e217
s5,j3,inVenue,Submission was completed via the JOCCH ScholarOne portal. The system has assigned the following tracking ID: SUB-JOCCH-2020-0047.,e219
s5,j3,inVenue,your revised manuscript submission to the ACM Journal on Computing and Cultural Heritage (JOCCH):,e220
s5,j3,inVenue,your revised submission to the ACM Journal on Computing and Cultural Heritage (JOCCH):,e221
s5,j1,inVenue,the decision from the JOCCH editorial office (SUB-JOCCH-2020-0047) requires only a minor revision,e222
s5,j1,inVenue,our JOCCH minor revision resubmission (SUB-JOCCH-2020-0047),e225
s5,j1,inVenue,our JOCCH minor revision tasks (SUB-JOCCH-2020-0047),e226
s5,j1,inVenue,our JOCCH minor revision package (SUB-JOCCH-2020-0047),e227
s5,j1,inVenue,our JOCCH minor revision (SUB-JOCCH-2020-0047),e229
s5,j1,inVenue,"our fully revised minor revision manuscript, response letter, and all supplementary files for our JOCCH submission (Submission ID: SUB-JOCCH-2020-0047)",e232
s5,j3,inVenue,Submission ID: SUB-JOCCH-2020-0047) to the ACM Journal on Computing and Cultural Heritage (JOCCH).,e233
s5,j3,inVenue,"your revised submission to the ACM Journal on Computing and Cultural Heritage (JOCCH), “Cross-Language NLP Pipelines ...” (Submission ID: SUB-JOCCH-2020-0047).",e234
s5,j1,inVenue,conditional acceptance of our JOCCH manuscript (SUB-JOCCH-2020-0047),e235
pa36,j11,inVenue,"""The Global Historical Press Corpus (GHPC): Multilingual Newspapers, 1850–1950."" _Language Resources and Evaluation_, 56(3), pp. 655–681.",e236
pa37,j12,inVenue,"""HISTEXT-21: Annotated Parliamentary Debates and Legislative Documents, 1800–1930."" _Journal of Open Humanities Data_, 9(1): 24.",e236
pa38,j1,inVenue,"I have uploaded the updated notebook as an HTML export, along with an annotated preview screenshot, to our “CameraReady_JOCCH_Revision” folder.",e239
pa39,j1,inVenue,I have now reviewed all files in the “CameraReady_JOCCH_Revision” folder.,e240
pa40,j1,inVenue,final ScholarOne submission of our JOCCH camera-ready manuscript,e243
s6,j3,inVenue,"uploaded to ScholarOne for the ACM Journal on Computing and Cultural Heritage (JOCCH).

**Submission ID for your reference:**  
SUB-JOCCH-2021-0612",e244
s6,j3,inVenue,Thank you for choosing the ACM Journal on Computing and Cultural Heritage.,e245
s6,j3,inVenue,your article will be scheduled for online publication in the forthcoming issue of the ACM Journal on Computing and Cultural Heritage.,e246
s6,j1,inVenue,"our JOCCH submission (“HistocrNLP: A Reproducible NLP Pipeline for Historical Texts across Domains,” SUB-JOCCH-2021-0612)",e247
s6,j1,inVenue,"Dear JOCCH Editorial Office,",e250
s6,j3,inVenue,we will proceed to schedule your article for publication in the upcoming issue of the ACM Journal on Computing and Cultural Heritage.,e251
s6,j3,inVenue,"scheduled for publication in Volume 16, Issue 4 (September 2021) of the ACM Journal on Computing and Cultural Heritage.",e253
pa42,j1,inVenue,"the forthcoming publication of our article, ""HistocrNLP: A Reproducible NLP Pipeline for Historical Texts across Domains,"" in JOCCH.",e254
