:ID,mergeConfidence,mergedFrom,methodName,:LABEL
me1,,,temporal embeddings,Method
me2,0.9185,['me9'],historical lexicons for language change,Method
me4,,,BERT,Method
me5,,,GPT,Method
me6,,,LSTM,Method
me7,,,CRFs,Method
me8,,,evaluation methods that focus on interpretability,Method
me10,0.7597,['me64'],methods for interpretability (model explanations),Method
me11,,,alignment methods,Method
me12,0.842,['me23'],chronological split (decade-based split),Method
me13,,,random split,Method
me14,0.8096,['me20'],traditional lexicon-based approaches (lexicon-based methods),Method
me15,0.8108,"['me3', 'me50']",Transformer-based language model (Transformer models),Method
me16,,,diachronic variants of BERT,Method
me17,,,model-agnostic methods,Method
me18,,,LIME,Method
me19,,,SHAP,Method
me21,,,temporal saliency mapping,Method
me22,,,attention visualization techniques in Transformer architectures,Method
me24,,,preprocessing approaches,Method
me25,,,post-hoc interpretability approaches,Method
me26,,,standardizing metadata fields,Method
me27,,,deduplication,Method
me28,,,lowercasing,Method
me29,,,removal of extraneous symbols,Method
me31,,,Tesseract,Method
me32,,,ocropy,Method
me33,,,Project LaVa,Method
me35,,,correction workflow,Method
me36,,,metadata mapping system,Method
me37,,,unified mapping system for metadata standardization,Method
me38,0.7765,['me46'],dual mapping system for metadata standardization (dual mapping schema),Method
me41,,,metadata harmonization,Method
me42,,,interpretability tools,Method
me44,,,interpretability outputs on raw versus post-OCR-corrected text,Method
me45,,,metadata mapping,Method
me48,,,post-processing,Method
me49,,,manual verification,Method
me51,,,chronology prediction,Method
me52,0.8087,"['me53', 'me59']",transfer evaluation between datasets (cross-dataset transfer),Method
me54,,,annotation pipeline,Method
me55,,,baseline model configuration,Method
me56,,,fine-tuned transformer,Method
me57,,,token-level encoder,Method
me58,,,page-level encoder,Method
me60,0.9043,['me61'],overfitting mitigation techniques (regularization techniques),Method
me62,,,ablation summaries,Method
me63,,,alternative transfer settings,Method
me65,,,interpretability analyses,Method
me66,,,visualizing qualitative themes,Method
me67,,,heatmaps overlaid with representative vignette quotes,Method
me68,,,side-by-side faithfulness/clarity ratings,Method
me69,,,exemplar visualizations,Method
me70,,,supplemental figure for evaluation section,Method
me71,,,faithfulness/clarity heatmaps,Method
me72,,,representative vignettes for “best case” and “edge case” explanations,Method
me73,,,bar charts showing breakdowns of willingness scores by document artifact severity,Method
me74,,,bar chart breakdown of willingness scores by OCR artifact severity,Method
me75,,,vignette figure,Method
me76,0.8444,"['me77', 'me80']",viridis palette in matplotlib,Method
me78,,,plasma,Method
me79,,,matplotlib,Method
me81,,,contrasting orange outline for the Document F edge case,Method
me82,,,"artifact severity bins (low, medium, high)",Method
me83,,,hybrid approach combining quantitative threshold and qualitative ranking,Method
me85,,,"Descriptive statistics for class distribution (substitution, insertion, deletion, segmentation errors)",Method
me86,,,Annotator-wise confusion matrices for each error type,Method
me87,,,short appendix with illustrative cases per error class,Method
me88,,,Source archive and permission metadata extraction from IACS and British Library records,Method
me89,,,pipeline scripts,Method
me90,,,technical validation scripts,Method
me92,,,technical validation procedures,Method
me94,,,language identification,Method
me96,,,topic modeling,Method
me98,,,Domain Adaptation,Method
me99,,,Evaluation Metrics,Method
me100,,,Historical NER,Method
me101,,,topic annotation,Method
me102,0.8471,"['me107', 'me131']",genre segmentation methodology (genre segmentation protocol),Method
me103,0.8789,['me95'],NER annotation,Method
me104,,,open-heritage data management standards,Method
me105,,,CLARIN’s recommendations for digital cultural heritage,Method
me106,,,Europeana’s recommendations for digital cultural heritage,Method
me108,,,annotation discrepancy table,Method
me109,0.896,['me122'],hyperlink verification in the compliance appendix (hyperlink verification across operating systems),Method
me110,,,annotation edge cases handling,Method
me111,,,responsible downstream use guidance,Method
me112,,,citing specific licensing statements,Method
me113,,,collating updated sections into master camera-ready document,Method
me114,,,drafting response letter addressing each reviewer point,Method
me115,,,hyperlink syntax correction for DOI links,Method
me116,,,annotated checklist,Method
me117,,,Ethical Considerations section additions,Method
me118,,,draft caption for Fig. 3,Method
me119,,,camera-ready document preparation,Method
me120,,,response letter cross-referencing file locations for edits,Method
me121,,,supplementary project webpage materials,Method
me123,,,minor grammar tweaks to caption text,Method
me124,,,uploading files to shared Minor_Revisions folder,Method
me125,,,uploading revised manuscript and response letter to JOCCH system,Method
me126,,,circulating additional thoughts via email,Method
me127,,,referencing CLARIN standards,Method
me128,,,referencing Europeana standards,Method
me129,,,hyperlink compliance appendix checking,Method
me130,,,project webpage update,Method
me132,,,NER ambiguity analysis,Method
me133,0.8259,"['me456', 'me503', 'me505', 'me91']",Inter-Annotator Agreement (IAA) Metrics (inter-annotator agreement metrics),Method
me134,,,annotation policy adjustments,Method
me135,0.9132,['me136'],data stewardship guidelines from CLARIN (responsible use guidelines from CLARIN),Method
me137,0.962,['me138'],data stewardship guidelines from Europeana (responsible use guidelines from Europeana),Method
me139,,,licensing mandates stated by the Bengali and English source archives,Method
me140,,,JOCCH’s open heritage standards,Method
me141,,,Accessibility Checker (Adobe Acrobat),Method
me142,0.8363,"['me210', 'me249', 'me254', 'me364', 'me39', 'me410', 'me474', 'me509', 'me97']",open and reproducible NLP for historical texts,Method
me143,,,NER Methodology,Method
me144,0.7751,['me162'],name normalization-OCR pipeline linkage,Method
me145,0.8085,"['me150', 'me152', 'me252', 'me30', 'me323', 'me326', 'me34', 'me388', 'me390', 'me40', 'me43', 'me47']",integrating an OCR correction tool,Method
me146,,,annotation guidelines for entity disambiguation,Method
me147,,,entity disambiguation protocol,Method
me148,,,historical OCR post-processing pipeline,Method
me149,,,post-OCR workflow,Method
me151,,,token-level standardization,Method
me153,,,accessibility re-tagging,Method
me154,,,tagged PDF verification,Method
me155,0.7994,['me161'],batch processing via Acrobat scripting,Method
me156,,,ACM accessibility guidelines,Method
me157,,,embedded table tagging,Method
me158,,,iterative re-tagging of Tables 3 and 5 in the source LaTeX files,Method
me159,,,PAC 2019,Method
me160,,,Adobe Acrobat checker tools,Method
me163,,,Bengali-English entity alignment,Method
me164,,,normalization processes,Method
me165,,,reproducibility guidelines,Method
me166,,,project management and communication logistics,Method
me167,0.7831,['me180'],reproducibility frameworks,Method
me168,,,Comprehensive metadata capture and version control for evolving historical corpora,Method
me169,,,Standardized documentation templates,Method
me170,,,automating provenance tracking across text normalization and alignment pipelines,Method
me171,,,corpus normalization,Method
me172,,,version control scripts,Method
me173,0.8213,"['me377', 'me93']",multilingual OCR,Method
me174,,,annotation,Method
me175,,,cross-lingual entity alignment,Method
me176,,,reproducibility practices,Method
me177,,,project management in distributed teams,Method
me178,,,cross-corpus metadata normalization,Method
me179,,,cross-lingual entity normalization methods,Method
me181,0.8423,['me335'],FAIR Principles section,Method
me182,,,metadata schema harmonization,Method
me183,,,overall slide deck integration,Method
me184,0.787,['me192'],rule-based string matching (string matching methods),Method
me185,,,neural string matching,Method
me186,,,Levenshtein distance,Method
me187,,,BERT-based alignment,Method
me188,,,FastText embeddings,Method
me189,,,rule-based methods,Method
me190,,,neural methods,Method
me191,,,FastText embedding strategies,Method
me193,,,entity normalization,Method
me194,,,reproducibility,Method
me195,,,FAIR pipeline,Method
me196,0.7859,"['me197', 'me336', 'me337', 'me380']",multilingual and low-resource historical NLP pipelines (Multilingual NLP),Method
me198,,,FAIR workflow,Method
me199,,,risk management annotation,Method
me200,,,normalization strategies,Method
me201,,,normalization framework,Method
me202,,,reproducible workflows,Method
me203,,,scripts that would require additional requests for access,Method
me204,,,assignment of a maintenance lead,Method
me205,,,integration with platforms like Zenodo/OSF,Method
me206,,,Creative Commons (or comparable) license,Method
me207,,,CC BY,Method
me208,,,CC BY-NC,Method
me209,,,Zenodo,Method
me211,0.8128,['me472'],entity linking methods for digitized archival texts,Method
me212,,,token normalization approach,Method
me213,,,evaluation set selection logic,Method
me214,,,Transfer Learning in Low-Resource Historical Texts,Method
me215,,,Evaluation & Benchmarks,Method
me216,,,cross-lingual model,Method
me217,,,cross-lingual model transfer workflow,Method
me218,,,data de-identification using named entity masking and character scrambling,Method
me219,,,dataset access audit function,Method
me220,,,cross-lingual model transfer,Method
me221,,,data privacy and compliance process,Method
me222,0.7822,"['me596', 'me602']",robust anonymization standards,Method
me223,,,audit mechanisms,Method
me224,0.773,"['me227', 'me229']",code anchor system methodology,Method
me225,,,cross-validation setup,Method
me226,,,cell anchors,Method
me228,,,cross-lingual transfer approach,Method
me230,,,Code Anchor-Based Reviewer Navigation,Method
me231,,,anonymization pipeline,Method
me232,,,data hashing procedures,Method
me233,,,exclusion of personally identifiable information at the source,Method
me234,,,approach to managing regional digital archival consent,Method
me235,,,anchor methods subsection,Method
me236,,,anchor indices,Method
me237,,,compliance pipeline,Method
me238,,,privacy error-type,Method
me239,,,LaTeX-to-Word conversion,Method
me240,,,historical OCR noise threshold,Method
me241,,,tabu package,Method
me242,,,ACM style recommendations for multi-line cells,Method
me243,,,LaTeX table environments,Method
me244,,,anchor-based domain adaptation,Method
me245,,,reproducibility workflow,Method
me246,0.8415,['me250'],HistocrNLP—Reproducible NLP Pipeline for Historical Corpora,Method
me247,,,pipeline for South Asian historical language corpora,Method
me248,,,pipeline,Method
me251,,,comparative NLP analysis,Method
me253,,,named entity recognition,Method
me255,,,metadata anonymization,Method
me256,,,user consent documentation,Method
me257,,,annotation schemas,Method
me258,,,toolchain,Method
me259,,,GitHub Organization,Method
me260,,,IACS-drive,Method
me261,,,GitHub,Method
me262,,,metadata formats,Method
me263,,,Jupyter/Python package versions,Method
me264,,,annotated Jupyter notebooks,Method
me265,,,Python 3.10,Method
me266,,,conda environments,Method
me267,,,Docker images,Method
me268,,,Dockerfiles,Method
me269,0.9506,['me270'],Stanford-backed annotation toolkit (sequence labeling demo),Method
me271,,,cloud-based deployment,Method
me272,,,sample repository README,Method
me273,,,shared drive,Method
me274,,,technical setup instructions,Method
me275,,,sample notebook,Method
me276,,,technical documentation,Method
me277,,,checklist for group review,Method
me278,,,sequence labeling,Method
me279,,,legacy data parsing,Method
me280,,,ACL reproducibility guidelines,Method
me281,0.8146,"['me308', 'me409', 'me84']",evaluation framework (methodology),Method
me282,,,quantitative reasoning,Method
me283,,,qualitative expert assessment,Method
me284,,,UKRI/Stanford resource-sharing models,Method
me285,,,ACL resource track requirements,Method
me286,,,synthetic preview sample workflow,Method
me287,0.8281,"['me297', 'me374', 'me423', 'me431', 'me448', 'me452', 'me633']",transparent process for annotation (annotation process),Method
me288,,,manual expert vetting,Method
me289,,,protocol-driven crowdsourced validation,Method
me290,,,sampling approach,Method
me291,0.796,"['me467', 'me572']",annotation guidelines (annotation schema),Method
me292,,,embargo protocols,Method
me293,,,synthetic preview protocols,Method
