:START_ID,:END_ID,:TYPE,context,source
me18,d6,uses,"Specifically, I will conduct a comparative analysis of LIME and SHAP, focusing on their adaptability to models trained on diachronic (historically shifting) text data.",P3V8WD4J
me19,d6,uses,"Specifically, I will conduct a comparative analysis of LIME and SHAP, focusing on their adaptability to models trained on diachronic (historically shifting) text data.",P3V8WD4J
me24,d20,uses,There might be preprocessing or post-hoc interpretability approaches we can apply to mitigate these issues without losing valuable historical nuance.,P3V8WD4J
me25,d20,uses,There might be preprocessing or post-hoc interpretability approaches we can apply to mitigate these issues without losing valuable historical nuance.,P3V8WD4J
me26,d1,uses,I have begun by standardizing metadata fields and applying basic preprocessing steps,Q9M7XZ8T
me26,d2,uses,I have begun by standardizing metadata fields and applying basic preprocessing steps,Q9M7XZ8T
me27,d1,uses,"such as deduplication, lowercasing, and removal of extraneous symbols.",Q9M7XZ8T
me27,d2,uses,"such as deduplication, lowercasing, and removal of extraneous symbols.",Q9M7XZ8T
me28,d1,uses,"such as deduplication, lowercasing, and removal of extraneous symbols.",Q9M7XZ8T
me28,d2,uses,"such as deduplication, lowercasing, and removal of extraneous symbols.",Q9M7XZ8T
me29,d1,uses,"such as deduplication, lowercasing, and removal of extraneous symbols.",Q9M7XZ8T
me29,d2,uses,"such as deduplication, lowercasing, and removal of extraneous symbols.",Q9M7XZ8T
me145,d1,uses,I am considering integrating an OCR correction tool,Q9M7XZ8T
me145,d2,uses,I am considering integrating an OCR correction tool,Q9M7XZ8T
me18,d11,uses,"for example, I can test whether post-OCR tokens introduce artifact-driven explanations in LIME/SHAP output.",W8RSK3BQ
me19,d11,uses,"for example, I can test whether post-OCR tokens introduce artifact-driven explanations in LIME/SHAP output.",W8RSK3BQ
me145,d12,uses,OCR-challenged text segments from the Chronicling America subset (1890–1900),JU4L39XZ
me145,d1,uses,Michael's demonstration of OCR/post-processing pipeline (using shared Chronicling America samples),B9Z4EH5S
me45,d1,uses,metadata mapping for both Chronicling America and British Library datasets.,AB7FQC9K
me45,d13,uses,metadata mapping for both Chronicling America and British Library datasets.,AB7FQC9K
me38,d1,uses,"The group agreed to implement a dual mapping schema for now, with the option to standardize if downstream complications arise.",AB7FQC9K
me38,d13,uses,"The group agreed to implement a dual mapping schema for now, with the option to standardize if downstream complications arise.",AB7FQC9K
me145,d15,uses,This subset has been processed using Michael’s latest OCR correction pipeline and manually verified to ensure high textual fidelity and alignment with our dual metadata mapping policies.,L72FWD19
me18,d19,uses,my preliminary experiments using both LIME and SHAP indicate clear differences in both stability and quality of explanations,V9T5QK23
me19,d19,uses,my preliminary experiments using both LIME and SHAP indicate clear differences in both stability and quality of explanations,V9T5QK23
me18,d21,uses,Comparative quantitative evaluation of LIME vs. SHAP on our current corpus subset,SJ9HD3WK
me19,d21,uses,Comparative quantitative evaluation of LIME vs. SHAP on our current corpus subset,SJ9HD3WK
me18,d22,uses,Ananya presented the findings from her comparative evaluation of LIME and SHAP on our clean corpus subset.,MAIL6VM4ZB12
me19,d22,uses,Ananya presented the findings from her comparative evaluation of LIME and SHAP on our clean corpus subset.,MAIL6VM4ZB12
me56,d23,uses,fine-tuned transformer on our preprocessed historical corpus,2NR7PQKW
me66,d100,uses,Recommendations to simplify or better contextualize explanations for historical data specialists.,MAIL4WEXSG76
me82,d32,uses,"artifact severity bins (e.g., “low,” “medium,” “high”) correspond to a quantitative threshold (e.g., OCR error rate) or a qualitative ranking from annotator notes?",MAILF39WV12K
me83,d32,uses,"If a hybrid approach was used, a brief mention in the caption would be helpful.",MAILF39WV12K
me85,d37,uses,"- Descriptive statistics for class distribution (substitution, insertion, deletion, segmentation errors), both by document and aggregated corpus level.",MAILDW17QPZL
me86,d37,uses,"- Annotator-wise confusion matrices for each error type, in both CSV and heatmap formats.",MAILDW17QPZL
me87,d37,uses,"- A short appendix with five illustrative cases per error class, including full original line image references and associated archival metadata.",MAILDW17QPZL
me88,d37,uses,"- Source archive and permission metadata, extracted from IACS and British Library records, as a draft for the “Provenance” documentation section.",MAILDW17QPZL
me89,d38,uses,"Michael, if your pipeline scripts integrate smoothly with the new inputs",MAIL5RJ7C2FV
me90,d43,uses,The annotated validation logs (v0.2.1) are now available in our shared Drive directory under `/dataset_release_June2019/validation_logs/`.,MAILPQ61VJ8T
me173,d100,uses,focusing on the OCR domain shift in non-English historical texts.,MAILH2P8TBVW
me94,d50,uses,corpus diversity statistics and language identification error rates,MAILH2P8TBVW
me142,d53,uses,How our dataset’s annotations and NLP processing outputs are distributed under the agreed Creative Commons terms,MAIL4N2S8ZEM
me103,d61,uses,It provides genre-wise Cohen’s kappa and Krippendorff’s alpha statistics for our NER and topical annotation sets,MAILFE2Q7SVM
me96,d62,uses,- Two summary tables (NER and Topic Modeling) with genre and language breakdowns,MAILFE2Q7SVM
me98,d65,uses,Domain Adaptation and Evaluation Metrics for Historical NER and Topic Modeling across Multilingual Archives,MAILM7PH2QZ8
me100,d65,uses,Domain Adaptation and Evaluation Metrics for Historical NER and Topic Modeling across Multilingual Archives,MAILM7PH2QZ8
me96,d65,uses,Domain Adaptation and Evaluation Metrics for Historical NER and Topic Modeling across Multilingual Archives,MAILM7PH2QZ8
me103,d66,uses,NER and topic annotation nuances for both the Bengali and English data slices.,MAILQ5RX9KLT
me103,d67,uses,NER and topic annotation nuances for both the Bengali and English data slices.,MAILQ5RX9KLT
me101,d66,uses,NER and topic annotation nuances for both the Bengali and English data slices.,MAILQ5RX9KLT
me101,d67,uses,NER and topic annotation nuances for both the Bengali and English data slices.,MAILQ5RX9KLT
me102,d66,uses,"The revised version more explicitly delineates the genre segmentation methodology, with clear demarcation of workflow across the Bengali and English corpora",MAILHZ4F1J3G
me102,d67,uses,"The revised version more explicitly delineates the genre segmentation methodology, with clear demarcation of workflow across the Bengali and English corpora",MAILHZ4F1J3G
me139,d74,uses,our compliance with licensing mandates stated by the Bengali and English source archives.,MAILXHT28FQM
me145,d79,uses,against a reference list assembled during preliminary OCR correction.,MAIL4EBQ7XZF
me144,d78,uses,variational orthographies—common in colonial-era newspapers and census records—against a reference list,MAIL4EBQ7XZF
me158,d82,uses,"I have now begun the iterative re-tagging of Tables 3 and 5 in the source LaTeX files, aligning headers, associations, and scope definitions for assistive technology compatibility.",MAILE1827QZL
