NLQ,GOLD_ANS,QUESTION_TYPE,SYSTEM_ANS,Unnamed: 4
What email address is associated with Sunita Sen?,scholar.sunita@iacs.res.in,single-hop,,
Which datasets are proposed for the Temporal Sentiment Analysis project?,"Chronicling America, British Library Digital Collections, Corpus of Historical American English (COHA)",multi-hop,,
Will Sunita Sen collaborate with an expert in Temporal Sentiment Analysis?,TRUE,reasoning,,
Has the proposal for the Temporal Sentiment Analysis project been submitted to a conference?,FALSE,multi-hop,,
What datasets were suggested for the Temporal Sentiment Analysis research?,"Chronicling America, British Library Digital Collections",single-hop,,
Which institutions are the potential collaborators from for the Temporal Sentiment Analysis project?,"Stanford University, University of Oxford",multi-hop,,
Is Prof. Ramesh Bhatia affiliated with Indian Association for the Cultivation of Science?,TRUE,reasoning,,
What is the exact publication date of Sunita Sen's paper on Temporal Sentiment Analysis?,Not available,not available,,
What is the email address of Prof. Ramesh Bhatia?,ramesh.bhatia@iacs.res.in,single-hop,,
Which datasets are suggested for the Temporal Sentiment Analysis project in historical archives?,"Chronicling America, British Library Digital Collections, Corpus of Historical American English (COHA)",multi-hop,,
Is Sunita Sen affiliated with Indian Association for the Cultivation of Science?,TRUE,reasoning,,
Has Prof. Ramesh Bhatia published any papers on Temporal Sentiment Analysis?,FALSE,multi-hop,,
What is the email address of Dr. Michael Bradley?,michael@cs.stanford.edu,single-hop,,
Which method is proposed for Temporal Sentiment Analysis in the collaborative project?,Transformer-based models,multi-hop,,
Did Sunita Sen collaborate with researchers from Stanford University?,TRUE,reasoning,,
What datasets are used in the Temporal Sentiment Analysis project?,"Chronicling America
British Library Digital Collections
Corpus of Historical American English (COHA)
datasets",single-hop,, 
Which task is Dr. Ananya Chatterjee working on with Prof. Ramesh Bhatia and Sunita Sen?,Temporal Sentiment Analysis,multi-hop,,
"Does Dr. Ananya Chatterjee have any meetings scheduled before April 8th, 2019?",Yes,reasoning,,
What are the main datasets being used for the Temporal Sentiment Analysis project?,"Chronicling America, British Library Digital Collections, Corpus of Historical American English (COHA)",multi-hop,,
What is the affiliation of Ananya Chatterjee?,University of Oxford,single-hop,,
Which researchers are involved in the Temporal Sentiment Analysis project with Sunita Sen?,"Prof. Ramesh Bhatia, Dr. Michael Bradley, Dr. Ananya Chatterjee",multi-hop,,
Is Prof. Ramesh Bhatia affiliated with the Indian Association for the Cultivation of Science?,TRUE,reasoning,,
"What is the outcome of the meeting scheduled for April 6th, 2019, regarding Temporal Sentiment Analysis?",Not available,not available,,
