:ID,identifier,:LABEL
s40,SUB-JCDL-2023-0147,SubmissionID
s22,SUB-ACL-2021-0471,SubmissionID
s26,ACL2021_cameraReadyChecklist_v2.xlsx,SubmissionID
s11,SUB-JOCCH-2020-0047,SubmissionID
s2,SUB-JOCCH-2019-0187,SubmissionID
s33,SUB-JCDL-2022-0092,SubmissionID
s1,SUB-ACL-2019-0374,SubmissionID
s30,SUB-JCDL-2022-0432,SubmissionID
s36,SUB-JOCCH-2022-0421,SubmissionID
s27,SUB-ACL-2022-0047,SubmissionID
s46,JOCCH_Submission_27Oct2023,SubmissionID
s24,SUB-ACL-2022-1098,SubmissionID
s25,ACL2021-Oral,SubmissionID
s29,SUB-JOCCH-2022-0362,SubmissionID
s39,SUB-JCDL-2023-1174,SubmissionID
s37,SUB-JCDL-2023-0417,SubmissionID
s38,JCDL2023-XXXX,SubmissionID
s28,ACL portal,SubmissionID
s43,SUB-JOCCH-2023-0193,SubmissionID
s16,ACL Resource Track,SubmissionID
s44,SUB-JOCCH-2023-0782,SubmissionID
s9,SUB-JCDL-2020-0718,SubmissionID
s60,SUB-JOCCH-2025-0472,SubmissionID
s34,JCDL2022_WebAssets,SubmissionID
s21,Autogenerated submission receipt,SubmissionID
s55,JOCCH_SubmissionChecklist_v6May.xlsx,SubmissionID
s56,SUB-JOCCH-2024-0421,SubmissionID
s13,SUB-JOCCH-2021-0612,SubmissionID
s49,SUB-ACL-2024-0483,SubmissionID
s31,JCDL2022-XXXX,SubmissionID
s41,Unknown,SubmissionID
s50,ACL2024_CameraReady_27Feb,SubmissionID
s14,HistocrNLP_submission,SubmissionID
s51,SUB-ACL-2024-0193,SubmissionID
s3,TBD,SubmissionID
s4,Pending Identifier,SubmissionID
s42,SUB-JCDL-2023-0427,SubmissionID
s53,ACL2024-camera-ready-manuscript,SubmissionID
s61,SUB-JOCCH-2025-0194,SubmissionID
s45,SUB-JOCCH-2023-0843,SubmissionID
s35,SUB-JCDL-2022-1189,SubmissionID
s58,SUB-JOCCH-2024-1143,SubmissionID
s17,histnlp-acl2021-submission-final,SubmissionID
s18,SUB-ACL-2021-0842,SubmissionID
s20,ACL2021-XXXX,SubmissionID
s5,SUB-JCDL-2020-0143,SubmissionID
s54,SUB-ACL-2024-2386,SubmissionID
s10,submission ID,SubmissionID
s57,ScholarOne submission,SubmissionID
s32,JCDL2022_Press_Release_Final.docx,SubmissionID
s12,JOCCH_Revision,SubmissionID
s48,ACL Decision Notification,SubmissionID
s62,Abstract submission to IACS Computer Science Department's 2025 Research Colloquium,SubmissionID
s8,N/A,SubmissionID
s59,Section_4.2_JOCCH_Revision_RB_20Jan2025.docx,SubmissionID
s23,ACL2021-REG-18542,SubmissionID
s19,ACL resource track paper,SubmissionID
s47,SUB-ACL-2023-0321,SubmissionID
s6,JCDL2020_Tutorial_CameraReady_FINAL_22June2020,SubmissionID
s15,COMMS/HISTOCRNLP/2021-08,SubmissionID
s52,ACL2024-XXXX,SubmissionID
s7,JCDL2020,SubmissionID
