:START_ID,:END_ID,:TYPE,context,source
mt1,tk1,evaluates,"We can measure our progress using metrics such as accuracy, F1-score, and a new temporal consistency score that we could propose.",e1
mt13,tk1,evaluates,"We can measure our progress using metrics such as accuracy, F1-score, and a new temporal consistency score that we could propose.",e1
mt3,tk1,evaluates,"We can measure our progress using metrics such as accuracy, F1-score, and a new temporal consistency score that we could propose.",e1
mt100,me15,evaluates,"delve deeper into the metrics we've discussed, and potentially refine the evaluation framework for our models.",e3
mt5,me15,evaluates,"delve deeper into the metrics we've discussed, and potentially refine the evaluation framework for our models.",e3
mt1,tk1,evaluates,"Metrics for evaluation include accuracy, F1-score, temporal consistency score, and methods for interpretability.",e6
mt13,tk1,evaluates,"Metrics for evaluation include accuracy, F1-score, temporal consistency score, and methods for interpretability.",e6
mt3,tk1,evaluates,"Metrics for evaluation include accuracy, F1-score, temporal consistency score, and methods for interpretability.",e6
mt1,tk100,evaluates,"preferred performance indicators (e.g., task-appropriate accuracy, F1, historical lexicon recall)",e17
mt13,tk100,evaluates,"preferred performance indicators (e.g., task-appropriate accuracy, F1, historical lexicon recall)",e17
mt14,tk100,evaluates,"preferred performance indicators (e.g., task-appropriate accuracy, F1, historical lexicon recall)",e17
mt8,tk100,evaluates,Are there particular intrinsic/extrinsic evaluation protocols from previous projects we should consider for benchmarking?,e17
mt9,tk100,evaluates,Are there particular intrinsic/extrinsic evaluation protocols from previous projects we should consider for benchmarking?,e17
mt10,tk100,evaluates,"For intrinsic, character/error rates (CER and WER) would provide a transparent assessment of any remaining OCR noise.",e18
mt11,tk100,evaluates,"For intrinsic, character/error rates (CER and WER) would provide a transparent assessment of any remaining OCR noise.",e18
mt12,tk100,evaluates,"On the extrinsic side, standard token-level accuracy, F1 score, and, for our context, an adjusted historical vocabulary recall (as you noted) will map well to both classification and retrieval subtasks.",e18
mt13,tk100,evaluates,"On the extrinsic side, standard token-level accuracy, F1 score, and, for our context, an adjusted historical vocabulary recall (as you noted) will map well to both classification and retrieval subtasks.",e18
mt14,tk100,evaluates,"On the extrinsic side, standard token-level accuracy, F1 score, and, for our context, an adjusted historical vocabulary recall (as you noted) will map well to both classification and retrieval subtasks.",e18
mt12,tk101,evaluates,will map well to both classification and retrieval subtasks.,e18
mt13,tk101,evaluates,will map well to both classification and retrieval subtasks.,e18
mt14,tk101,evaluates,will map well to both classification and retrieval subtasks.,e18
mt12,tk102,evaluates,will map well to both classification and retrieval subtasks.,e18
mt13,tk102,evaluates,will map well to both classification and retrieval subtasks.,e18
mt14,tk102,evaluates,will map well to both classification and retrieval subtasks.,e18
mt101,tk1006,evaluates,"provenance-based metrics—measuring fidelity of date/location extraction from noisy versus cleaned text—could be useful, particularly since we intend for the models to support historical analysis pipelines.",e18
mt154,tk1002,evaluates,"additional diagnostic metrics, particularly for post-hoc model explanations and case study selection.",e18
mt154,tk106,evaluates,"additional diagnostic metrics, particularly for post-hoc model explanations and case study selection.",e18
mt10,tk107,evaluates,whose evaluation would require tailoring our metric selection further.,e18
mt11,tk107,evaluates,whose evaluation would require tailoring our metric selection further.,e18
mt12,tk107,evaluates,whose evaluation would require tailoring our metric selection further.,e18
mt13,tk107,evaluates,whose evaluation would require tailoring our metric selection further.,e18
mt14,tk107,evaluates,whose evaluation would require tailoring our metric selection further.,e18
mt101,tk107,evaluates,whose evaluation would require tailoring our metric selection further.,e18
mt10,tk108,evaluates,whose evaluation would require tailoring our metric selection further.,e18
mt11,tk108,evaluates,whose evaluation would require tailoring our metric selection further.,e18
mt12,tk108,evaluates,whose evaluation would require tailoring our metric selection further.,e18
mt13,tk108,evaluates,whose evaluation would require tailoring our metric selection further.,e18
mt14,tk108,evaluates,whose evaluation would require tailoring our metric selection further.,e18
mt101,tk108,evaluates,whose evaluation would require tailoring our metric selection further.,e18
mt104,tk100,evaluates,Michael’s suggestions for incorporating both intrinsic (CER/WER) and extrinsic (token- and provenance-based) metrics are well taken.,e19
mt104,tk100,evaluates,intrinsic (CER/WER) and extrinsic (token- and provenance-based) metrics,e19
mt101,tk100,evaluates,intrinsic (CER/WER) and extrinsic (token- and provenance-based) metrics,e19
mt20,me18,evaluates,"will offer both quantitative metrics (e.g., explanation consistency scores, faithfulness indices)",e20
mt20,me19,evaluates,"will offer both quantitative metrics (e.g., explanation consistency scores, faithfulness indices)",e20
mt21,me18,evaluates,"will offer both quantitative metrics (e.g., explanation consistency scores, faithfulness indices)",e20
mt21,me19,evaluates,"will offer both quantitative metrics (e.g., explanation consistency scores, faithfulness indices)",e20
mt22,me18,evaluates,indicate clear differences in both stability and quality of explanations,e20
mt22,me19,evaluates,indicate clear differences in both stability and quality of explanations,e20
mt23,me18,evaluates,indicate clear differences in both stability and quality of explanations,e20
mt23,me19,evaluates,indicate clear differences in both stability and quality of explanations,e20
mt26,tk132,evaluates,could indicate the degree of actionability and trustworthiness of our model outputs,e21
mt27,tk132,evaluates,could indicate the degree of actionability and trustworthiness of our model outputs,e21
mt28,tk107,evaluates,Michael’s notes on stretch evaluation goals and agree that operationalizing chronology prediction and cross-dataset transfer will help position our work,e21
mt28,tk124,evaluates,Michael’s notes on stretch evaluation goals and agree that operationalizing chronology prediction and cross-dataset transfer will help position our work,e21
mt100,tk100,evaluates,Agree on the final set of evaluation metrics and protocols (incl. stretch goals),e22
mt30,tk156,evaluates,Proposed usability and faithfulness metrics,e23
mt31,tk156,evaluates,Proposed usability and faithfulness metrics,e23
mt20,me18,evaluates,Group discussed explanation consistency scores and faithfulness metrics.,e25
mt20,me19,evaluates,Group discussed explanation consistency scores and faithfulness metrics.,e25
mt31,me18,evaluates,Group discussed explanation consistency scores and faithfulness metrics.,e25
mt31,me19,evaluates,Group discussed explanation consistency scores and faithfulness metrics.,e25
mt104,tk171,evaluates,"Consensus on using both standard (CER, WER, token accuracy, F1) and proposed provenance-based metrics, as well as chronology prediction and cross-dataset transfer as stretch goals.",e25
mt13,tk171,evaluates,"Consensus on using both standard (CER, WER, token accuracy, F1) and proposed provenance-based metrics, as well as chronology prediction and cross-dataset transfer as stretch goals.",e25
