NLQ,GOLD_CYPHER_Q,GOLD_ANS,SYSTEM_ANS
What is the email address of Sunita Sen?,"MATCH (p:Person)
WHERE p.personName = ""Sunita Sen""
RETURN p.personEmail;",sunita.sen@iacs.res.in,sunita.sen@iacs.res.in
Which institution is Michael Bradley affiliated with?,"MATCH (p:Person)
WHERE p.personName = ""Michael Bradley""
RETURN p.affiliation;",Stanford University,Stanford University
Who is affiliated with the University of Oxford?,"MATCH (p:Person)
WHERE p.affiliation = ""University of Oxford""
RETURN p.personName;",Ananya Chatterjee,Ananya Chatterjee
What is the title of the paper submitted to ACL 2021?,"MATCH (sid:SubmissionID)-[:identifies]->(p:Paper),
      (sid)-[:inVenue]->(c:Conference), (sid)-[:movesTo]->(s:PaperStatus)
WHERE c.confTitle = ""ACL 2021"" AND s.statusType = ""Submitted""
RETURN p.paperTitle;",Adaptive Model Integration for Historical Data Harnessing Multidisciplinary Synergies,"Adaptive Model Integration for Historical Data Harnessing Multidisciplinary Synergies,  Adaptive Model Integration for Historical Data Harnessing Multidisciplinary Synergies"
Who are the authors of the ACL 2021 paper?,"MATCH (sid:SubmissionID)-[:identifies]->(p:Paper), (p)-[:hasAuthor]->(a:Person),
      (sid)-[:inVenue]->(c:Conference)
WHERE c.confTitle = ""ACL 2021""
RETURN a.personName;","Sunita Sen, Ramesh Bhatia, Michael Bradley, Ananya Chatterjee","Ramesh Bhatia, Michael Bradley, Ananya Chatterjee, Sunita Sen, Ramesh Bhatia, Michael Bradley, Ananya Chatterjee, Sunita Sen,,Ramesh Bhatia, Michael Bradley, Ananya Chatterjee, Sunita Sen,"
Which paper was accepted in Journal of Documentation?,"MATCH (sid:SubmissionID)-[:identifies]->(p:Paper),
      (sid)-[:inVenue]->(j:Journal),
      (sid)-[:movesTo]->(s:PaperStatus)
WHERE j.journalTitle = ""Journal of Documentation""
  AND s.statusType = ""Accepted""
RETURN p.paperTitle;",Exploring Historical Narratives: An Interdisciplinary Approach through NLP,Exploring Historical Narratives: An Interdisciplinary Approach through NLP
How many papers were submitted to ACM Journal on Computing and Cultural Heritage?,"MATCH (sid:SubmissionID)-[:identifies]->(p:Paper),
      (sid)-[:inVenue]->(j:Journal),
      (sid)-[:movesTo]->(s:PaperStatus)
WHERE j.journalTitle = ""ACM Journal on Computing and Cultural Heritage""
  AND s.statusType = ""Submitted""
RETURN count(p);",3,4
What is the venue of ACL 2023?,"MATCH (c:Conference)
WHERE c.confTitle = ""ACL 2023""
RETURN c.confVenue;","Vancouver Convention Center,Room B203",Vancouver Convention Center
Which journals published papers by Sunita Sen?,"MATCH (sunita:Person {personName: ""Sunita Sen""})
MATCH (paper:Paper)-[:hasAuthor]->(sunita)
MATCH (sid:SubmissionID)-[:identifies]->(paper) MATCH (sid)-[:movesTo]->(pstat:PaperStatus)
MATCH (sid)-[:inVenue]->(journal:Journal) WHERE pstat.statusType = ""Accepted""
RETURN DISTINCT journal.journalTitle;","Journal of Documentation, ACM Journal on Computing and Cultural Heritage","ACM Journal on Computing and Cultural Heritage, Journal of Documentation"
Was any paper published in IEEE journals?,"MATCH (sid:SubmissionID)-[:identifies]->(p:Paper),
      (sid)-[:inVenue]->(j:Journal),
      (sid)-[:movesTo]->(ps:PaperStatus)
WHERE j.journalTitle CONTAINS ""IEEE"" AND ps.statusType = ""Accepted""
RETURN COUNT(sid) > 0;
",FALSE,FALSE
