:START_ID,:END_ID,:TYPE
pa1,pn1,hasAuthor
pa1,pn5,hasAuthor
pa1,pn6,hasAuthor
pa1,pn7,hasAuthor
pa1,pn1,hasAuthor
pa1,pn2,hasAuthor
pa1,pn3,hasAuthor
pa1,pn4,hasAuthor
pa3,pn1,hasAuthor
pa3,pn2,hasAuthor
pa3,pn4,hasAuthor
pa3,pn3,hasAuthor
pa5,pn1,hasAuthor
pa5,pn2,hasAuthor
pa5,pn4,hasAuthor
pa5,pn3,hasAuthor
pa5,pn1,hasAuthor
pa5,pn3,hasAuthor
pa5,pn4,hasAuthor
pa5,pn1,hasAuthor
pa5,pn1,hasAuthor
pa5,pn5,hasAuthor
pa5,pn6,hasAuthor
pa5,pn7,hasAuthor
pa6,pn4,hasAuthor
pa6,pn1,hasAuthor
pa6,pn3,hasAuthor
pa6,pn2,hasAuthor
pa6,pn4,hasAuthor
pa7,pn1,hasAuthor
pa7,pn2,hasAuthor
pa7,pn3,hasAuthor
pa7,pn4,hasAuthor
pa7,pn1,hasAuthor
pa7,pn5,hasAuthor
pa7,pn6,hasAuthor
pa7,pn7,hasAuthor
pa7,pn2,hasAuthor
pa7,pn1,hasAuthor
pa7,pn3,hasAuthor
pa7,pn4,hasAuthor
pa7,pn7,hasAuthor
pa7,pn1,hasAuthor
pa7,pn5,hasAuthor
pa7,pn6,hasAuthor
pa10,pn1,hasAuthor
pa10,pn2,hasAuthor
pa10,pn4,hasAuthor
pa10,pn3,hasAuthor
pa10,pn1,hasAuthor
pa10,pn2,hasAuthor
pa10,pn4,hasAuthor
pa10,pn3,hasAuthor
pa10,pn2,hasAuthor
pa10,pn1,hasAuthor
pa10,pn3,hasAuthor
pa10,pn4,hasAuthor
pa10,pn1,hasAuthor
pa10,pn2,hasAuthor
pa10,pn3,hasAuthor
pa10,pn4,hasAuthor
pa10,pn1,hasAuthor
pa10,pn2,hasAuthor
pa10,pn3,hasAuthor
pa10,pn4,hasAuthor
pa10,pn1,hasAuthor
pa10,pn2,hasAuthor
pa10,pn4,hasAuthor
pa10,pn3,hasAuthor
pa11,pn1,hasAuthor
pa11,pn1,hasAuthor
pa11,pn2,hasAuthor
pa11,pn3,hasAuthor
pa11,pn4,hasAuthor
pa11,pn1,hasAuthor
pa11,pn2,hasAuthor
pa11,pn3,hasAuthor
pa11,pn4,hasAuthor
pa11,pn1,hasAuthor
pa11,pn2,hasAuthor
pa11,pn3,hasAuthor
pa11,pn4,hasAuthor
pa12,pn1,hasAuthor
pa12,pn3,hasAuthor
pa12,pn4,hasAuthor
pa12,pn2,hasAuthor
pa12,pn1,hasAuthor
pa12,pn2,hasAuthor
pa12,pn4,hasAuthor
pa12,pn3,hasAuthor
pa12,pn1,hasAuthor
pa12,pn2,hasAuthor
pa12,pn4,hasAuthor
pa12,pn3,hasAuthor
pa14,pn1,hasAuthor
pa14,pn5,hasAuthor
pa14,pn7,hasAuthor
pa14,pn6,hasAuthor
pa14,pn3,hasAuthor
pa14,pn1,hasAuthor
pa14,pn2,hasAuthor
pa14,pn4,hasAuthor
pa14,pn3,hasAuthor
pa14,pn1,hasAuthor
pa14,pn2,hasAuthor
pa14,pn4,hasAuthor
pa14,pn3,hasAuthor
pa14,pn1,hasAuthor
pa14,pn2,hasAuthor
pa14,pn4,hasAuthor
pa14,pn3,hasAuthor
pa14,pn1,hasAuthor
pa14,pn2,hasAuthor
pa14,pn4,hasAuthor
pa14,pn1,hasAuthor
pa14,pn2,hasAuthor
pa14,pn4,hasAuthor
pa14,pn3,hasAuthor
pa14,pn3,hasAuthor
pa14,pn1,hasAuthor
pa14,pn2,hasAuthor
pa14,pn4,hasAuthor
pa14,pn2,hasAuthor
pa14,pn1,hasAuthor
pa14,pn3,hasAuthor
pa14,pn4,hasAuthor
pa14,pn2,hasAuthor
pa14,pn3,hasAuthor
pa14,pn1,hasAuthor
pa14,pn2,hasAuthor
pa14,pn4,hasAuthor
pa14,pn3,hasAuthor
pa14,pn1,hasAuthor
pa14,pn2,hasAuthor
pa14,pn4,hasAuthor
pa14,pn2,hasAuthor
pa14,pn3,hasAuthor
pa14,pn4,hasAuthor
pa14,pn1,hasAuthor
pa14,pn1,hasAuthor
pa14,pn3,hasAuthor
pa14,pn4,hasAuthor
pa14,pn2,hasAuthor
pa14,pn1,hasAuthor
pa14,pn3,hasAuthor
pa14,pn4,hasAuthor
pa14,pn2,hasAuthor
pa14,pn1,hasAuthor
pa14,pn5,hasAuthor
pa14,pn7,hasAuthor
pa14,pn6,hasAuthor
pa1,pn3,hasAuthor
pa1,pn1,hasAuthor
pa1,pn2,hasAuthor
pa1,pn4,hasAuthor
pa14,pn1,hasAuthor
pa14,pn5,hasAuthor
pa14,pn6,hasAuthor
pa14,pn7,hasAuthor
pa14,pn1,hasAuthor
pa14,pn3,hasAuthor
pa14,pn4,hasAuthor
pa14,pn2,hasAuthor
pa22,pn1,hasAuthor
pa22,pn2,hasAuthor
pa22,pn3,hasAuthor
pa22,pn4,hasAuthor
pa23,pn1,hasAuthor
pa23,pn2,hasAuthor
pa23,pn3,hasAuthor
pa23,pn4,hasAuthor
