NLQ,GOLD_ANS,QUESTION_TYPE,GENERATED_ANS,IS_USEFUL,EVAL_REASON
What email address is associated with Sunita Sen?,scholar.sunita@iacs.res.in,single-hop,scholar.sunita@iacs.res.in,True,"The system answer exactly matches the Gold Answer email address, so it correctly satisfies the user’s question."
Which datasets are proposed for the Temporal Sentiment Analysis project?,"Chronicling America, British Library Digital Collections, Corpus of Historical American English (COHA)",multi-hop,"Chronicling America, British Library Digital Collections, Corpus of Historical American English (COHA)",True,"The system answer exactly matches the datasets listed in the Gold Answer, so it correctly and completely satisfies the user’s question."
Will Sunita Sen collaborate with an expert in Temporal Sentiment Analysis?,TRUE,reasoning,Yes.,True,"The gold answer is TRUE and the system answer ""Yes."" conveys the same meaning, so it correctly satisfies the user’s question."
Has the proposal for the Temporal Sentiment Analysis project been submitted to a conference?,FALSE,multi-hop,"Yes. The Temporal Sentiment Analysis project was accepted for presentation at ACL 2019, as confirmed in the email from Dr. Ananya Chatterjee on 19th May 2019, which states: ""I am very pleased to inform you that our manuscript, titled 'Evaluation Pipelines and Visualization Methodologies for NLP on Noisy Historical Data,' has been successfully submitted to ACL 2019. We have received the official submission confirmation, and our Submission ID is SUB-ACL-2019-0374.""",False,"The gold answer indicates the correct response is FALSE, meaning the proposal was not submitted, but the system answer claims it was submitted and even accepted. This directly contradicts the gold answer, so it is not correct or useful."
What datasets were suggested for the Temporal Sentiment Analysis research?,"Chronicling America, British Library Digital Collections",single-hop,"Chronicling America newspaper archives, British Library Digital Collections, Corpus of Historical American English (COHA)",False,"The system answer includes the two correct datasets (Chronicling America and British Library Digital Collections) but also adds an extra dataset (COHA) that was not in the Gold Answer. Since it introduces incorrect additional information, it does not strictly satisfy the requirement compared to the Gold Answer."
Which institutions are the potential collaborators from for the Temporal Sentiment Analysis project?,"Stanford University, University of Oxford",multi-hop,"Stanford University, University of Oxford, Indian Association for the Cultivation of Science (IACS)",False,"The system answer includes the correct institutions (Stanford University and University of Oxford) but also adds an extra institution (Indian Association for the Cultivation of Science) that is not in the Gold Answer. Since the additional information is incorrect or unsupported, the answer is not fully correct."
Is Prof. Ramesh Bhatia affiliated with Indian Association for the Cultivation of Science?,TRUE,reasoning,Yes.,True,"The system answer 'Yes.' correctly affirms the affiliation, which matches the Gold Answer of TRUE."
What is the exact publication date of Sunita Sen's paper on Temporal Sentiment Analysis?,Not available,not available,Not available,True,Both correctly identified missing information.
What is the email address of Prof. Ramesh Bhatia?,ramesh.bhatia@iacs.res.in,single-hop,ramesh.bhatia@iacs.res.in,True,The system answer exactly matches the Gold Answer email address and correctly satisfies the user’s question.
Which datasets are suggested for the Temporal Sentiment Analysis project in historical archives?,"Chronicling America, British Library Digital Collections, Corpus of Historical American English (COHA)",multi-hop,"Chronicling America, British Library Digital Collections, Corpus of Historical American English (COHA)",True,"The system answer exactly matches the Gold Answer, listing all three suggested datasets correctly."
