:START_ID,:END_ID,:TYPE,context,source
s1,pa2,identifies,"our manuscript, titled “Evaluation Pipelines and Visualization Methodologies for NLP on Noisy Historical Data,” has been successfully submitted to ACL 2019. We have received the official submission confirmation, and our Submission ID is SUB-ACL-2019-0374.",MAILFY98K3WN
s2,pa3,identifies,"Your manuscript, titled “A Harmonized NLP Dataset and Documentation Protocol for OCR’d Historical Texts,” has been successfully entered into our manuscript management system under Submission ID: SUB-JOCCH-2019-0187.",MAILWF5N3R8C
s2,pa3,identifies,"your manuscript (Submission ID: SUB-JOCCH-2019-0187, “A Harmonized NLP Dataset and Documentation Protocol for OCR’d Historical Texts”)",MAILBU84WK31
s2,pa3,identifies,"your manuscript, “A Harmonized NLP Dataset and Documentation Protocol for OCR’d Historical Texts” (Submission ID: SUB-JOCCH-2019-0187)",MAILJ82D6MUV
s2,pa4,identifies,for our JOCCH minor revision (Submission ID: SUB-JOCCH-2019-0187).,MAILFE2Q7SVM
s2,pa3,identifies,"**Submission Title**: “Domain Adaptation and Evaluation Metrics for Historical NER and Topic Modeling across Multilingual Archives”
- **JOCCH Submission ID**: SUB-JOCCH-2019-0187",MAILA5W4TJQ2
s2,pa3,identifies,your revised submission entitled “Domain Adaptation and Evaluation Metrics for Historical NER and Topic Modeling across Multilingual Archives” (Submission ID: SUB-JOCCH-2019-0187),MAILM7PH2QZ8
s2,pa3,identifies,"your manuscript submitted to the ACM Journal on Computing and Cultural Heritage, entitled “Domain Adaptation and Evaluation Metrics for Historical NER and Topic Modeling across Multilingual Archives” (Submission ID: SUB-JOCCH-2019-0187).",MAILVGZ74QHB
s2,pa3,identifies,"This message is to formally acknowledge receipt of your resubmitted manuscript, entitled “NER Methodology and Heritage Data: A Multilingual Benchmark for Bengali-English Colonial Documents,” to the ACM Journal on Computing and Cultural Heritage.

Submission ID: SUB-JOCCH-2019-0187",MAILGL7XP2QZ
s2,pa3,identifies,entitled “NER Methodology and Heritage Data: A Multilingual Benchmark for Bengali-English Colonial Documents” (Submission ID: SUB-JOCCH-2019-0187).,MAILQ8HZ2CW7
s2,pa8,identifies,"Submission was completed through the ScholarOne system, under Submission ID: SUB-JOCCH-2019-0187.",MAILSYZT58FG
s2,pa3,identifies,"revised manuscript entitled “NLP Approaches to Historical Entity Disambiguation: Lessons from Bengali-English Colonial Gazetteers” submitted to the ACM Journal on Computing and Cultural Heritage (JOCCH), under Submission ID: SUB-JOCCH-2019-0187.",MAILU4RHAQ01
s2,pa3,identifies,your revised manuscript “NLP Approaches to Historical Entity Disambiguation: Lessons from Bengali-English Colonial Gazetteers” (Submission ID: SUB-JOCCH-2019-0187),MAIL5ZWL2TCQ
s2,pa3,identifies,our manuscript entitled “NLP Approaches to Historical Entity Disambiguation: Lessons from Bengali-English Colonial Gazetteers” (Submission ID: SUB-JOCCH-2019-0187).,MAIL4Q8V73YD
s2,pa3,identifies,the manuscript entitled “NLP Approaches to Historical Entity Disambiguation: Lessons from Bengali-English Colonial Gazetteers” (Submission ID: SUB-JOCCH-2019-0187),MAILRY7F6PQ4
s3,pa15,identifies,"We have been assigned the following Submission ID for tracking and correspondence:
SUB-JCDL-2020-0143",MAILQ19Y6D3A
s3,pa15,identifies,"Your proposal has been assigned the following Submission ID for future correspondence:
SUB-JCDL-2020-0143",MAILU16TWSQ8
s3,pa15,identifies,"""Entity Normalization, Reproducibility, and FAIR Data Management in Historical NLP: A Workflow Tutorial""
Submission ID: SUB-JCDL-2020-0143",MAILRAK93ULG
s4,pa20,identifies,Submission ID: SUB-JCDL-2020-0718,MAILE94LJAPQ
s4,pa20,identifies,- **Submission ID:** SUB-JCDL-2020-0718,MAILH8ZR57VQ
s5,pa25,identifies,Our submission has been assigned the following ID for reference in all future correspondence: SUB-JOCCH-2020-0047.,MAIL2A8WBZR7
s5,pa25,identifies,Your submission has been assigned the following Submission ID: SUB-JOCCH-2020-0047.,MAILW8J6BV3A
s5,pa25,identifies,"your manuscript, “Cross-Institutional Methods for NLP on Historical Data: Dataset Profiling, Transfer Approaches, and Compliance,” submitted to the ACM Journal on Computing and Cultural Heritage (Submission ID: SUB-JOCCH-2020-0047).",MAILF1T8ZQK9
s5,pa25,identifies,final review of the consolidated “JOCCH_Revision/FinalManuscript_18Nov22” document ... proceeding with today’s submission to the ACM Journal on Computing and Cultural Heritage (SUB-JOCCH-2020-0047),MAIL7NKWPDG1
s5,pa25,identifies,Submission ID: SUB-JOCCH-2020-0047,MAILF9QB2ST6
s5,pa25,identifies,"your manuscript, “Cross-Lingual Transfer and Error Analysis in Privacy-Preserved Historical Data: Methodological and Compliance Supplement with Code Anchors,” submitted under Submission ID SUB-JOCCH-2020-0047",MAIL76PKFQ2S
s5,pa25,identifies,I have carefully reviewed the editorial decision email on SUB-JOCCH-2020-0047 and summarized the main revision requests,MAIL3PA7YZXT
s5,pa4,identifies,final pre-submission phase of our JOCCH minor revision (SUB-JOCCH-2020-0047).,MAILQ8HG2ZVC
s5,pa25,identifies,The system has assigned the following tracking ID: SUB-JOCCH-2020-0047.,MAIL3DF92WNK
s5,pa25,identifies,Title: Domain Transfer Limits and Anchor-Based Reviewer Navigation for NLP on Historical Data  Submission ID: SUB-JOCCH-2020-0047,MAILJ8WV4LXO
s5,pa25,identifies,"Title: Domain Transfer Limits and Anchor-Based Reviewer Navigation for NLP on Historical Data  
Submission ID: SUB-JOCCH-2020-0047",MAILPB4T9K3G
s5,pa25,identifies,our JOCCH minor revision tasks (SUB-JOCCH-2020-0047),MAIL1DZT5XQE
s5,pa25,identifies,"your submission entitled “Cross-Language NLP Pipelines for Noisy Historical Data: Protocols, Benchmarks, and Reproducibility Advances” (Submission ID: SUB-JOCCH-2020-0047)",MAILE9QX1W43
s5,pa25,identifies,"“Cross-Language NLP Pipelines for Noisy Historical Data: Protocols, Benchmarks, and Reproducibility Advances” (Submission ID: SUB-JOCCH-2020-0047).",MAILJ92KLD7P
s5,pa25,identifies,conditional acceptance of our JOCCH manuscript (SUB-JOCCH-2020-0047),MAIL2XNC51SK
s6,pa41,identifies,Submission ID for your reference: SUB-JOCCH-2021-0612,MAILHL9F1QX7
s6,pa42,identifies,"""HistocrNLP: A Reproducible NLP Pipeline for Historical Texts across Domains""  Submission ID: SUB-JOCCH-2021-0612",MAILK2V8RM3D
s6,pa42,identifies,"""HistocrNLP: A Reproducible NLP Pipeline for Historical Texts across Domains"" (Submission ID: SUB-JOCCH-2021-0612)",MAIL97YF2KSH
s6,pa42,identifies,"our JOCCH submission (“HistocrNLP: A Reproducible NLP Pipeline for Historical Texts across Domains,” SUB-JOCCH-2021-0612)",MAIL8DPS3BVN
s6,pa42,identifies,our article “HistocrNLP: A Reproducible NLP Pipeline for Historical Texts across Domains” (Submission ID: SUB-JOCCH-2021-0612),MAILU3CVH92B
s6,pa42,identifies,"""HistocrNLP: A Reproducible NLP Pipeline for Historical Texts across Domains"" (Submission ID: SUB-JOCCH-2021-0612).",MAILDE87S4A0
s8,pa53,identifies,Submission ID: SUB-ACL-2021-0842,MAILBG5C29QT
s8,pa53,identifies,"- **Title:** Deploying Synthetic Preview and Embargo Protocols for Multilingual Historical NLP Resources
- **Submission ID:** SUB-ACL-2021-0842",MAILU7ZT14MB
s8,pa53,identifies,"- Title: Deploying Synthetic Preview and Embargo Protocols for Multilingual Historical NLP Resources
- Submission ID: SUB-ACL-2021-0842",MAILG8B2MJK9
s8,pa53,identifies,our resource track paper (SUB-ACL-2021-0842),MAILVS849QPL
s9,pa60,identifies,"Your submission, titled ""Provenance-Aware NLP for Historical Texts: Annotation, Compliance, and Synthetic Instance Protocols,"" has been recorded under Submission ID: SUB-ACL-2021-0471.",MAILEU947XCF
s9,pa60,identifies,"""Provenance-Aware NLP for Historical Texts: Annotation, Compliance, and Synthetic Instance Protocols"" (Submission ID: SUB-ACL-2021-0471)",MAILJT49DFXQ
s9,pa60,identifies,"Your accepted paper, ""Provenance-Aware NLP for Historical Texts: Annotation, Compliance, and Synthetic Instance Protocols"" (Submission ID: SUB-ACL-2021-0471)",MAILQU62SKVL
s9,pa60,identifies,"your paper: ""Provenance-Aware NLP for Historical Texts: Annotation, Compliance, and Synthetic Instance Protocols"" (Submission ID: SUB-ACL-2021-0471).",MAILTF58BZQH
s9,pa60,identifies,"""Provenance-Aware NLP for Historical Texts: Annotation, Compliance, and Synthetic Instance Protocols"" (Submission ID: SUB-ACL-2021-0471).",MAILP53VHB2T
s9,pa60,identifies,"the paper, ""Provenance-Aware NLP for Historical Texts: Annotation, Compliance, and Synthetic Instance Protocols"" (Submission ID: SUB-ACL-2021-0471).",MAILUX48MP20
s9,pa60,identifies,"your revised abstract for the paper ""Provenance-Aware NLP for Historical Texts: Annotation, Compliance, and Synthetic Instance Protocols"" (Submission ID: SUB-ACL-2021-0471)",MAILJ81N4XFR
s11,pa64,identifies,"Title: “A Provenance-Aware Annotation Protocol for NLP on Historical Document Corpora”
- Submission ID: SUB-ACL-2022-1098",MAILPLU9S0KM
s11,pa64,identifies,"your submission entitled ""A Provenance-Aware Annotation Protocol for NLP on Historical Document Corpora"" (Submission ID: SUB-ACL-2022-1098).",MAILR6QP7HD4
s12,pa65,identifies,Our submission ID is SUB-ACL-2022-0047.,MAILJK39DPZC
s12,pa65,identifies,"We are pleased to confirm receipt of your camera-ready materials for your paper submitted to ACL 2022: 

**Submission ID:** SUB-ACL-2022-0047",MAILEU7QX13A
s12,pa65,identifies,"your camera-ready submission for ACL 2022 (Submission ID: SUB-ACL-2022-0047, “NLP Methods for Historical Data: Provenance and Bias Mitigation”)",MAILT5B8WY2C
s12,pa65,identifies,our paper “NLP Methods for Historical Data: Provenance and Bias Mitigation” has been officially ACCEPTED for presentation at ACL 2022 (SUB-ACL-2022-0047).,MAIL4V8XZUP2
s13,pa71,identifies,The JOCCH editorial system has acknowledged receipt and assigned the following Submission ID for our reference: SUB-JOCCH-2022-0362.,MAILQ58DZVL3
s13,pa71,identifies,Preliminary discussion on next steps should we receive initial reviewer feedback on SUB-JOCCH-2022-0362.,MAILY5JK29XM
s13,pa71,identifies,continue monitoring the status of our JOCCH submission (SUB-JOCCH-2022-0362).,MAIL4XM2QNTB
s13,pa23,identifies,our JOCCH submission (SUB-JOCCH-2022-0362),MAILW9J4S1QN
s13,pa71,identifies,as we await the editorial outcome from JOCCH (SUB-JOCCH-2022-0362).,MAILJ5N8W2XF
s14,pa78,identifies,Submission ID: SUB-JCDL-2022-0432,MAILQ9B3A7UT
s14,pa78,identifies,your submission to JCDL 2022 entitled “Cross-Institutional Protocols for Metadata and Embargo: An Integrated FAQ Annex” (Submission ID: SUB-JCDL-2022-0432),MAILS3K7U1XC
s14,pa78,identifies,our camera-ready manuscript for JCDL 2022 (Submission ID: SUB-JCDL-2022-0432) has been uploaded via the official submission portal,MAILZ7B1L4NT
s14,pa78,identifies,entitled “Cross-Jurisdictional Protocols in NLP: FAQ Annexation for Multilingual Historical Media” (Submission ID: SUB-JCDL-2022-0432),MAILG3S9D4XB
s16,pa88,identifies,"- Paper/Symposium Title: “Cross-lingual NLP Pipelines for Historical Document Archives: A Data-driven & Inclusive Approach”
- Submission ID: SUB-JCDL-2022-1189",MAILPG2483SL
s16,pa88,identifies,"Submission Details:
- Title: “Cross-lingual NLP Pipelines for Historical Document Archives: A Data-driven & Inclusive Approach”
- Submission ID: SUB-JCDL-2022-1189",MAILW19Z75EN
s16,pa88,identifies,Now that JCDL 2022 has officially acknowledged receipt of our submission (SUB-JCDL-2022-1189),MAIL6SKZ4RXV
s17,pa101,identifies,"Submission details:
- Submission ID: SUB-JOCCH-2022-0421",MAILWGQ0BZ68
s17,pa101,identifies,"your manuscript entitled “Language Variation and Accessibility: NLP Methods for Historical Question Answering with Cross-Dialectal Data,” which has been registered under the submission identification number SUB-JOCCH-2022-0421 in the ACM Journal on Computing and Cultural Heritage (JOCCH) editorial system.",MAIL3XME9VQD
s17,pa101,identifies,my dashboard also displays a green checkmark next to “Copyright Agreement” for our manuscript SUB-JOCCH-2022-0421.,MAILJ8BKQ1XM
s17,pa23,identifies,our JOCCH submission (SUB-JOCCH-2022-0421),MAILEV72RC4S
s17,pa101,identifies,our manuscript submission to the ACM Journal on Computing and Cultural Heritage (SUB-JOCCH-2022-0421),MAILU7J356PH
s18,pa109,identifies,Your official submission number is SUB-JCDL-2023-0417. Please use this submission ID in any future correspondence regarding this abstract.,MAILY378GHT9
s18,pa109,identifies,"your abstract, “Multilingual Historical Corpora for Semantic Drift Detection: A Hybrid Evaluation Approach,” submitted under Submission ID SUB-JCDL-2023-0417",MAIL7G5S23LV
s19,pa111,identifies,"Submission details:
- Title: “Cross-Lingual Semantic Drift Detection and Digital Humanities Applications in Historical Corpora”
- Submission ID: SUB-JCDL-2023-1174",MAILWK92N3Q6
s19,pa111,identifies,"our submission, “Cross-Lingual Semantic Drift Detection and Digital Humanities Applications in Historical Corpora” (Submission ID: SUB-JCDL-2023-1174).",MAILWD9CX3N2
s19,pa111,identifies,entitled “Cross-Lingual Semantic Drift Detection and Digital Humanities Applications in Historical Corpora” (Submission ID: SUB-JCDL-2023-1174),MAIL9ANQLZ10
s20,pa41,identifies,"the system generated an official acknowledgment as below:

**Submission ID:** SUB-JCDL-2023-0147",MAIL5A4LJ7WM
s20,pa115,identifies,"Your submission has been successfully registered under the following identifier:

**Submission ID:** SUB-JCDL-2023-0147",MAIL9V4PKLWB
s20,pa115,identifies,your submission (ID: SUB-JCDL-2023-0147) has successfully passed our administrative compliance check,MAILP3KWLGX4
s20,pa115,identifies,"submission ID SUB-JCDL-2023-0147, entitled “Semantic Drift Detection and Interoperability in Low-Resource Historical Corpora: An Annotated Benchmark and Evaluation Framework,”",MAILR7B6SWFQ
