:ID,subject,threadID,:LABEL
t1,Proposal for Research on Temporal Sentiment Analysis in Historical Archives,BTBBNN,MailThread
t2,Re: Proposal for Collaborative Research on Temporal Sentiment Analysis in Historical Archives,RA22JN,MailThread
t3,"Meeting Minutes - April 6th, 2019",B2MYMW,MailThread
t4,Follow-up on Action Items and Experiment Design,YLQR56,MailThread
t5,Data Processing Update and Preliminary Challenges,HZ5K7N,MailThread
t6,Re: Data Processing Update and OCR Challenges – Interpretability Considerations,1OSZJ0,MailThread
t7,Sharing OCR-Affected Samples & Metadata Mappings for Interpretability Review,Y9DA8T,MailThread
t8,Confirmation of Receipt and Agenda for 23rd April Check-in,O41MZ6,MailThread
t9,Google Meet Link and Final Preparations for 23rd April Meeting,FU6Z67,MailThread
t10,Minutes and Action Points from 23rd April Check-in,QUWSCC,MailThread
t11,Clean Corpus Subset and Request for Feedback,N6G5GS,MailThread
t12,Re: Clean Corpus Subset and Evaluation Metrics Discussion,8HDJWN,MailThread
t13,Stretch Evaluation Goals and Next Meeting - Availability Request,L2Y0O9,MailThread
t14,Interpretability Memo Update and Meeting Availability,394526,MailThread
t15,Meeting Coordination and Initial Feedback on Interpretability Protocols,57B7BE,MailThread
t16,Finalizing Meeting Slot and Comments on Human Annotation Pilot,E6LKXQ,MailThread
t17,Meeting Link and Pre-Meeting Materials for 3rd May,8WE3KG,MailThread
t18,"Meeting Minutes: Project Check-in, 28th April 2019",PC25TD,MailThread
t19,Baseline Model Specification and Preliminary Results Uploaded,ZXHDJ7,MailThread
t20,Draft Annotation Instructions and Feedback Request,ZFOPAG,MailThread
t21,Finalization of Annotation Instructions and Next Steps,O99TSJ,MailThread
t22,Annotation Outreach Update and Early Feedback Logistics,REK2HE,MailThread
t23,Initial Annotation Returns and Planning Synthesis Session,H5Q1QF,MailThread
t24,"Confirmation and Agenda for Synthesis Meeting, 13th May",J4ZGUT,MailThread
t25,Google Meet Link and Notes Document for 13th May Synthesis Meeting,BD6AHQ,MailThread
t26,Synthesis Meeting Minutes and Action Items,KRRQWM,MailThread
t27,Re: Synthesis Meeting Minutes and Action Items – Visualization Timeline,BLWF4W,MailThread
t28,Re: Visualization Clarifications and Data Anonymization for Evaluation Figures,VVJK7G,MailThread
t29,Visualization Inputs and Accessibility Notes,G3612I,MailThread
t30,Visualization: Additional Exemplar Segments and Review of Metadata,VF1S4V,MailThread
t31,Draft Visualization Figures – Review and Feedback Requested,9QGL08,MailThread
t32,Re: Draft Visualization Figures – Initial Feedback and Caption Suggestions,779OLO,MailThread
t33,Visualization Feedback Consolidation and Next Steps for Manuscript Integration,BQC3MP,MailThread
t34,Re: Visualization Feedback and Integration – Additional Notes & Readiness for Manuscript Finalization,Z5O6SR,MailThread
t35,Re: Visualization Feedback and Integration – Finalized Figures and Manuscript Draft Uploaded,0DR9C4,MailThread
t36,Final Review of Evaluation Results Section and Figure Integration,N4M2FE,MailThread
t37,Final Narrative Review and Green Light for Pre-Submission Checks,X4CYV3,MailThread
t38,Pre-Submission Administrative Check and ACL Submission Preparation,RL83QZ,MailThread
t39,Administrative Review Complete – Ready for ACL Submission,4M08MD,MailThread
t40,ACL Submission Confirmed – Submission ID and Final Package,82ID5J,MailThread
