:START_ID,:END_ID,:TYPE,context,source
s57,ps40,movesTo,I fully endorse proceeding with submission on ScholarOne by the planned 30 August timeline.,email_903
s36,ps30,movesTo,our paper has now formally entered the external peer review phase,email_624
s44,ps36,movesTo,your manuscript has successfully passed the initial editorial screening,email_779
s36,ps1,movesTo,Your submission was completed on 13th November 2020.,email_612
s22,ps9,movesTo,has passed the final compliance review and has been officially accepted for publication in the ACL 2021 conference proceedings.,email_338
s24,ps3,movesTo,"Submitted on: 16th November 2019, 13:07 IST",email_365
s11,ps12,movesTo,"Your revision has now been assigned to the Associate Editor for further assessment, following which it may be forwarded to external reviewers for confirmation of revision adequacy.",email_233
s2,ps5,movesTo,"your submission has been accepted for publication, pending minor revisions",email_85
s2,ps1,movesTo,This message is to confirm that we have received your camera-ready submission package for the manuscript entitled “NLP Approaches to Historical Entity Disambiguation: Lessons from Bengali-English Colonial Gazetteers” (Submission ID: SUB-JOCCH-2019-0187) via the ScholarOne system on 18th January 2019.,email_117
s43,ps1,movesTo,We are writing to confirm receipt of your revised manuscript and associated documents submitted on 4th September 2021,email_744
s43,ps22,movesTo,Your manuscript now enters the final editorial assessment phase.,email_744
s40,ps31,movesTo,We are pleased to confirm that your submission (ID: SUB-JCDL-2023-0147) has successfully passed our administrative compliance check.,email_677
s14,ps18,movesTo,"now that our ""HistocrNLP"" paper is entering its publication phase.",email_255
s30,ps9,movesTo,your manuscript is officially accepted into the JCDL 2022 proceedings,email_485
s2,ps1,movesTo,"Your manuscript, titled “A Harmonized NLP Dataset and Documentation Protocol for OCR’d Historical Texts,” has been successfully entered into our manuscript management system under Submission ID: SUB-JOCCH-2019-0187.",email_69
s50,ps9,movesTo,"First, a heartfelt congratulations to the entire team for our acceptance at ACL 2024!",email_838
s24,ps9,movesTo,your oral presentation submission has been ACCEPTED for presentation at ACL 2021,email_366
s58,ps41,movesTo,We are writing to confirm that your revised manuscript and all supplementary files have successfully passed our initial technical and formatting checks.,email_952
s58,ps42,movesTo,"Your manuscript will now move to the full peer review phase, under the supervision of an Associate Editor.",email_952
s16,ps19,movesTo,"With all action items addressed and supplementary material formatted per ACL resource track requirements, I believe we are positioned for on-time submission.",email_314
s11,ps12,movesTo,Decision: Minor Revision,email_206
s47,ps38,movesTo,Decision: Revise & Resubmit,email_819
s51,ps9,movesTo,your paper has been ACCEPTED for presentation at ACL2024,email_856
s18,ps9,movesTo,official acceptance notification from ACL 2021,email_321
s2,ps2,movesTo,I am delighted by the strongly supportive feedback from the reviewers and the formal “Minor Revision Required” decision,email_72
s20,ps9,movesTo,Let me echo everyone’s congratulations on our ACL acceptance—this is a gratifying step for our team.,email_324
s22,ps1,movesTo,We are writing to acknowledge receipt of your camera-ready manuscript and supplementary files submitted to ACL 2021.,email_337
s22,ps22,movesTo,"The submission is now under formal review by the camera-ready compliance team for a final check on formatting, required checklists, and repository links.",email_337
s22,ps23,movesTo,"The submission is now under formal review by the camera-ready compliance team for a final check on formatting, required checklists, and repository links.",email_337
s22,ps24,movesTo,The official notification of acceptance to the conference proceedings will be sent following completion of the compliance check.,email_337
s11,ps12,movesTo,congratulations to everyone on reaching the minor revision stage for SUB-JOCCH-2020-0047,email_193
s58,ps43,movesTo,Decision: Major Revision Required,email_953
s37,ps9,movesTo,"submitted under Submission ID SUB-JCDL-2023-0417, has been ACCEPTED for presentation at JCDL 2023.",email_647
s43,ps35,movesTo,processing status is now set to “Minor Revision – Materials Submitted”,email_743
s22,ps25,movesTo,"Your oral presentation, ""Provenance-Aware NLP for Historical Texts: Annotation, Compliance, and Synthetic Instance Protocols"" (Submission ID: SUB-ACL-2021-0471)",email_346
s38,ps9,movesTo,Congratulations to all on our acceptance to JCDL 2023!,email_665
s56,ps37,movesTo,Editorial Decision: Major Revision,email_934
s42,ps1,movesTo,Your submission has been received successfully and assigned the following Submission ID for reference: **SUB-JCDL-2023-0427**,email_699
s11,ps14,movesTo,Congratulations to everyone on the conditional acceptance of our JOCCH manuscript (SUB-JOCCH-2020-0047),email_235
s49,ps9,movesTo,your paper has been ACCEPTED for presentation at ACL 2024,email_837
s39,ps1,movesTo,received formal acknowledgment,email_663
s11,ps13,movesTo,outcome was positive—minor revisions only!,email_192
s60,ps3,movesTo,"The manuscript titled “Cross-Jurisdictional Compliance in NLP Applications for Historical Data: A Comparative Analysis” has been formally submitted to the ACM Journal on Computing and Cultural Heritage (JOCCH) as of today, 27th January 2022.",email_971
s4,ps8,movesTo,Congratulations to everyone on receiving the formal acceptance (pending camera-ready files) from JOCCH,email_111
s18,ps1,movesTo,Your submission has been successfully entered into our review system,email_319
s22,ps9,movesTo,"Your accepted paper, ""Provenance-Aware NLP for Historical Texts: Annotation, Compliance, and Synthetic Instance Protocols"" (Submission ID: SUB-ACL-2021-0471)",email_341
s56,ps3,movesTo,Date of resubmission: 23rd September 2022,email_904
s56,ps3,movesTo,Date of Submission: 6th July 2022,email_895
s60,ps37,movesTo,"your manuscript has been assessed as highly relevant and original for our readership. However, the reviewers have recommended a major revision prior to potential acceptance for publication.",email_973
s60,ps37,movesTo,The verdict is ‘major revision’,email_974
s36,ps28,movesTo,our manuscript has now progressed past the initial technical and scope screening,email_616
s36,ps29,movesTo,the manuscript is being forwarded to the assigned Associate Editor for reviewer selection,email_616
s11,ps12,movesTo,your submission has been evaluated and the editorial decision is “Minor Revision.”,email_191
s38,ps9,movesTo,I am delighted to share the news of our ACCEPTANCE at JCDL 2023 and want to congratulate everyone for their outstanding contributions to this collaborative project.,email_648
s2,ps4,movesTo,your revised submission entitled “Domain Adaptation and Evaluation Metrics for Historical NER and Topic Modeling across Multilingual Archives” (Submission ID: SUB-JOCCH-2019-0187) has passed initial editorial checks and has now been sent out for peer review.,email_84
s22,ps9,movesTo,for our accepted paper,email_347
s5,ps9,movesTo,your tutorial proposal has been accepted for presentation at JCDL 2020,email_138
s9,ps11,movesTo,- **Status:** Camera-ready package verified and accepted,email_151
s31,ps9,movesTo,Having now received the final confirmation from the committee,email_486
s9,ps10,movesTo,Status: Camera-ready submission received and queued for committee verification,email_150
s53,ps3,movesTo,"our ACL2024 camera-ready manuscript, supplementary documentation, and all required forms were uploaded and successfully submitted through the conference portal",email_865
s5,ps3,movesTo,"Submission received: 24th February 2019, 12:13 BST",email_136
s22,ps9,movesTo,"our accepted paper, ""Provenance-Aware NLP for Historical Texts: Annotation, Compliance, and Synthetic Instance Protocols""",email_342
s49,ps22,movesTo,Your paper has been successfully uploaded and is now under review.,email_836
s25,ps9,movesTo,I hope this finds you well and as delighted as I am by the acceptance of our oral presentation at ACL 2021.,email_367
s2,ps3,movesTo,"The metadata fields were carefully checked to ensure alignment with our latest manuscript content, per Prof. Bhatia’s final review.",email_83
s30,ps5,movesTo,your submission to JCDL 2022 entitled “Cross-Institutional Protocols for Metadata and Embargo: An Integrated FAQ Annex” (Submission ID: SUB-JCDL-2022-0432) has been accepted with minor revisions,email_477
s11,ps12,movesTo,the decision from the JOCCH editorial office (SUB-JOCCH-2020-0047) requires only a minor revision,email_222
s2,ps2,movesTo,the Associate Editor has reached the following decision: Minor Revision Required,email_71
s18,ps21,movesTo,your submission has been accepted for presentation at the ACL 2021 Resource Track,email_320
