:ID,confDate,confTitle,confVenue,:LABEL
c35,2024-03-09,ACL 2024,N/A,Conference
c36,,ACL2024,,Conference
c30,,JCDL 2023,,Conference
c11,,ACL 2021,,Conference
c1,2020-01-01,ACL,N/A,Conference
c15,2022-07-25,ACL 2022,,Conference
c2,,EMNLP,,Conference
c6,,JCDL,,Conference
c19,,JCDL 2022,,Conference
c41,,Departmental Colloquium,,Conference
c4,2019-05-28,ACL 2019,Not specified,Conference
c8,,JCDL 2020,,Conference
c46,,,,Conference
c3,,ACL/EMNLP,,Conference
c9,,ACL's special interest group sessions,,Conference
c34,,ACL 2023,,Conference
c14,,,,Conference
c18,2023-07-18,Historical Data & Societal NLP session,Zoom,Conference
c31,2023-09-22,Joint Conference on Digital Libraries (JCDL),"London, UK",Conference
c21,,ACL system demonstrations,,Conference
c27,,JOCCH,,Conference
c16,,ACL 2022 Resource Track,,Conference
c43,,EMNLP System Demonstrations,,Conference
c20,,ACM/IEEE Joint Conference on Digital Libraries (JCDL) 2022,,Conference
c23,2022-01-01,ACL 2022 System Demonstrations,,Conference
c24,2022-01-01,EMNLP 2022 Workshops on Digital Humanities & Cultural Heritage,,Conference
c13,2019-09-01,IACS media team/webinar,,Conference
c32,,EMNLP workshop,,Conference
c28,2023-06-18,ACL D&I,,Conference
c7,,SIG,,Conference
c42,2023-04-02,Departmental Research Colloquium,,Conference
c40,,April departmental colloquium,,Conference
c26,,JCDL Workshop Proceedings,,Conference
c10,2020-01-01,ACM/IEEE Joint Conference on Digital Libraries (JCDL) 2020,N/A,Conference
c29,,EMNLP satellite workshops,,Conference
c22,,EMNLP workshops,,Conference
c37,N/A,LREC,N/A,Conference
c38,2023-09-18,Seminar,Online,Conference
c44,,IACS Computer Science Department's 2025 Research Colloquium,,Conference
c45,,JDoc,,Conference
c5,2023-06-16,Oxford,,Conference
c25,2022-05-19,Workshop/Tutorial 2022,Online,Conference
c39,,JCDL/EMNLP,,Conference
c33,2023-01-01,2023 Annual Meeting of the Association for Computational Linguistics (ACL),N/A,Conference
c12,,EMNLP 2021,,Conference
c17,,ACL 2021 Resource Track,,Conference
