:START_ID,:END_ID,:TYPE,context,source
pn1,tk1,worksOn,I wanted to propose a new research project on Temporal Sentiment Analysis in Historical Archives.,YT6A21
pn1,tk2,worksOn,The idea is to develop models that can not only detect sentiment but also understand how sentiment evolves over time in archival texts.,YT6A21
pn8,tk1,worksOn,"Dear Dr Bradley and Dr Chatterjee, I hope this email finds you both well. I am writing to you to discuss collaboration on a research proposed by my doctoral student Sunita",YT6A22
pn9,tk1,worksOn,"Dear Dr Bradley and Dr Chatterjee, I hope this email finds you both well. I am writing to you to discuss collaboration on a research proposed by my doctoral student Sunita",YT6A22
pn1,tk1,worksOn,Sunita proposes that we do a Temporal Sentiment Analysis in Historical Archives.,YT6A22
pn2,tk1,worksOn,I believe this research direction is both timely and relevant,YT6A22
pn1,tk2,worksOn,Developing temporal embeddings to capture sentiment shifts.,YT6A22
pn1,tk4,worksOn,Exploring historical lexicons to address diachronic language changes.,YT6A22
pn1,tk5,worksOn,"Comparing Transformer-based models (e.g., BERT, GPT) with traditional techniques like LSTM and CRFs.",YT6A22
pn2,tk6,worksOn,"To discuss these ideas further and to coordinate our next steps, I suggest we organize a meeting. I am available on April 6th, 2019, from 3 PM to 4 PM IST.",YT6A22
pn2,tk2,worksOn,I appreciate the enthusiasm surrounding the Temporal Sentiment Analysis project.,YT6A23
pn7,tk2,worksOn,I appreciate the enthusiasm surrounding the Temporal Sentiment Analysis project.,YT6A23
pn2,tk2,worksOn,I find the focus on capturing sentiment shifts over time particularly engaging,YT6A24
pn4,tk2,worksOn,I find the focus on capturing sentiment shifts over time particularly engaging,YT6A24
pn2,tk2,worksOn,it could yield some innovative insights into historical sentiment trends.,YT6A24
pn4,tk2,worksOn,it could yield some innovative insights into historical sentiment trends.,YT6A24
pn1,tk13,worksOn,Sunita: Begin initial data processing.,YT6A26
pn7,tk14,worksOn,Michael: Prepare results from preliminary analyses.,YT6A26
pn4,tk15,worksOn,Ananya: Research additional evaluation methods.,YT6A26
pn2,tk16,worksOn,Ramesh: Coordinate ongoing discussions and oversee the timeline.,YT6A26
pn2,tk17,worksOn,Ramesh: Coordinate ongoing discussions and oversee the timeline.,YT6A26
pn1,tk2,worksOn,"Thank you for the productive meeting yesterday regarding the Temporal Sentiment Analysis project.

**Attendees**: Sunita Sen, Prof. Ramesh Bhatia, Dr. Michael Bradley, Dr. Ananya Chatterjee",YT6A26
pn2,tk2,worksOn,"Thank you for the productive meeting yesterday regarding the Temporal Sentiment Analysis project.

**Attendees**: Sunita Sen, Prof. Ramesh Bhatia, Dr. Michael Bradley, Dr. Ananya Chatterjee",YT6A26
pn7,tk2,worksOn,"Thank you for the productive meeting yesterday regarding the Temporal Sentiment Analysis project.

**Attendees**: Sunita Sen, Prof. Ramesh Bhatia, Dr. Michael Bradley, Dr. Ananya Chatterjee",YT6A26
pn4,tk2,worksOn,"Thank you for the productive meeting yesterday regarding the Temporal Sentiment Analysis project.

**Attendees**: Sunita Sen, Prof. Ramesh Bhatia, Dr. Michael Bradley, Dr. Ananya Chatterjee",YT6A26
pn1,tk22,worksOn,"Sunita, please let us know if you encounter any challenges as you begin the data processing.",ZR71X3HB
pn2,tk23,worksOn,"Ramesh, could you recommend a schedule for our first progress check-in?",ZR71X3HB
pn7,tk2,worksOn,it will allow us to systematically model and analyze temporal drift in sentiment.,AJ4KD52N
pn4,tk25,worksOn,"approaches specifically tailored to diachronic analysis, that would be ideal.",AJ4KD52N
pn1,tk22,worksOn,"Sunita, please proceed with the data processing",AJ4KD52N
pn1,tk26,worksOn,ensuring consistency in preprocessing across both datasets.,AJ4KD52N
pn1,tk27,worksOn,"for instance, OCR errors or inconsistent metadata — please flag them so we can decide on appropriate remediation steps collectively.",AJ4KD52N
pn1,tk28,worksOn,"for instance, OCR errors or inconsistent metadata — please flag them so we can decide on appropriate remediation steps collectively.",AJ4KD52N
pn8,tk29,worksOn,I am pleased to lead the review of model interpretability methods for our project.,P3V8WD4J
pn8,tk30,worksOn,"Specifically, I will conduct a comparative analysis of LIME and SHAP, focusing on their adaptability to models trained on diachronic (historically shifting) text data.",P3V8WD4J
