:START_ID,:END_ID,:TYPE
s1,ps1,movesTo
s1,ps2,movesTo
s1,ps3,movesTo
s1,ps4,movesTo
s1,ps5,movesTo
s2,ps6,movesTo
s2,ps7,movesTo
s3,ps8,movesTo
s2,ps9,movesTo
s5,ps10,movesTo
s5,ps11,movesTo
s5,ps12,movesTo
s5,ps13,movesTo
s5,ps14,movesTo
s1,ps15,movesTo
s5,ps16,movesTo
s6,ps17,movesTo
s6,ps18,movesTo
s7,ps19,movesTo
s7,ps20,movesTo
s8,ps21,movesTo
s10,ps22,movesTo
s7,ps23,movesTo
s11,ps24,movesTo
s11,ps25,movesTo
s12,ps26,movesTo
s12,ps27,movesTo
s12,ps28,movesTo
s12,ps29,movesTo
s12,ps31,movesTo
s13,ps32,movesTo
s14,ps33,movesTo
s14,ps34,movesTo
s14,ps35,movesTo
s15,ps36,movesTo
s14,ps37,movesTo
s14,ps38,movesTo
s14,ps39,movesTo
s14,ps40,movesTo
s16,ps41,movesTo
s16,ps42,movesTo
s16,ps43,movesTo
s17,ps44,movesTo
s18,ps45,movesTo
s18,ps46,movesTo
e180,ps47,movesTo
s1,ps48,movesTo
s19,ps49,movesTo
s19,ps50,movesTo
s19,ps51,movesTo
s21,ps52,movesTo
s21,ps53,movesTo
s21,ps55,movesTo
s21,ps56,movesTo
s21,ps57,movesTo
s21,ps58,movesTo
s21,ps59,movesTo
s21,ps60,movesTo
s21,ps61,movesTo
s21,ps62,movesTo
s21,ps63,movesTo
s1,ps64,movesTo
ps65,pa1,movesTo
s21,ps66,movesTo
s21,ps67,movesTo
e233,ps68,movesTo
s22,ps69,movesTo
s24,ps70,movesTo
