:ID,mergeConfidence,mergedFrom,taskDate,taskName,:LABEL
tk3253,,,,review and confirm revised language,Task
tk1432,,,,"assignment of revisions (annotation provenance, compliance appendix, formatting/cross-referencing)",Task
tk1433,,,,internal milestone and upload deadlines,Task
tk1434,,,,compliance documentation and administrative actions,Task
tk1436,,,,next steps and communication logistics,Task
tk1437,,,TBD,ACL camera-ready submission,Task
tk539,,,today,upload drafts and feedback,Task
tk540,,,late tonight or midday UK time tomorrow,provide two anonymized sample mappings,Task
tk541,,,late tonight or midday UK time tomorrow,include a one-slide summary visual of the FAIR pipeline and recommendations for sensitive data management,Task
tk542,,,late tonight or midday UK time tomorrow,assemble the integrated draft and circulate it for internal review,Task
tk543,,,2019-04-18,final circulation,Task
tk255,,,2023-10-18,internal review,Task
tk3687,,,2024-01-15,incorporating final feedback,Task
tk3688,,,2024-01-15,review response draft,Task
tk3689,,,2024-01-15T18:00:00Z,alerting about specific points,Task
tk3851,,,,expanding annotation guidelines,Task
tk3852,,,,language normalization methodology,Task
tk3853,0.8182,"['tk3859', 'tk3866', 'tk3878', 'tk3879', 'tk3882']",2024-04-24,preparing material on normalization workflows and agreement statistics (agreement statistics section),Task
tk3842,,,2024-04-22,planning call,Task
tk3854,,,,noting recent developments in digital resource hosting,Task
tk3855,,,,designating outreach liaisons,Task
tk3856,,,,coordinating user study protocol,Task
tk3857,,,,preparing core datasets or supplementary analyses,Task
tk3858,,,,submitting a dataset note or technical report,Task
tk2982,,,2023-03-24,notify JCDL Proceedings Committee,Task
tk2983,,,Not specified,session planning and presentation materials,Task
tk2984,,,Not specified,initial virtual check-in,Task
tk1522,,,,evaluation methodology update,Task
tk1523,0.7786,['tk1532'],,cross-institutional dataset benchmarking (cross-institutional benchmarking),Task
tk1621,,,2021-06-19,final and thorough review of consolidated camera-ready package,Task
tk2973,,,Not specified,copyright form confirmation,Task
tk2974,,,Not specified,session scheduling preparation,Task
tk380,,,2023-12-15,checking each hyperlink in the compliance appendix,Task
tk381,,,2023-12-15,providing a summary of checks and any suggested tweaks,Task
tk2600,,,2023-06-10,incorporating illustrative participant feedback and anonymized chat excerpts,Task
tk2602,,,2023-06-10,coordinating on standardized captioning and color schemes,Task
tk2603,,,2023-06-10,sharing partial drafts and key figures,Task
tk2604,0.8251,['tk2622'],2023-06-10,collating extra background material on accessibility evaluation frameworks (sharing additional references for accessibility evaluation),Task
tk793,,,2019-08-12,expand Section 4.2 and perform error analysis,Task
tk794,,,2019-11-10,finalize graphical abstract,Task
tk795,,,2019-11-12,formatting and code appendix,Task
tk797,,,2019-11-10,confirm new evaluation metrics fit within word limits,Task
tk798,,,2019-11-10,update Table 3 formatting,Task
tk1472,,,2023-02-06,Harmonization Phase,Task
