:START_ID,:END_ID,:TYPE,context,source
pn1,tk1,worksOn,I wanted to propose a new research project on Temporal Sentiment Analysis in Historical Archives.,e1
pn1,tk1,worksOn,The idea is to develop models that can not only detect sentiment but also understand how sentiment evolves over time in archival texts.,e1
pn3,tk1,worksOn,"Dear Dr Bradley and Dr Chatterjee, I hope this email finds you both well. I am writing to you to discuss collaboration on a research proposed by my doctoral student Sunita",e2
pn4,tk1,worksOn,"Dear Dr Bradley and Dr Chatterjee, I hope this email finds you both well. I am writing to you to discuss collaboration on a research proposed by my doctoral student Sunita",e2
pn1,tk1,worksOn,Sunita proposes that we do a Temporal Sentiment Analysis in Historical Archives.,e2
pn2,tk1,worksOn,I believe this research direction is both timely and relevant,e2
pn1,tk1,worksOn,Developing temporal embeddings to capture sentiment shifts.,e2
pn1,tk1414,worksOn,Exploring historical lexicons to address diachronic language changes.,e2
pn1,tk5,worksOn,"Comparing Transformer-based models (e.g., BERT, GPT) with traditional techniques like LSTM and CRFs.",e2
pn2,tk6,worksOn,"To discuss these ideas further and to coordinate our next steps, I suggest we organize a meeting. I am available on April 6th, 2019, from 3 PM to 4 PM IST.",e2
pn2,tk1,worksOn,I appreciate the enthusiasm surrounding the Temporal Sentiment Analysis project.,e3
pn7,tk1,worksOn,I appreciate the enthusiasm surrounding the Temporal Sentiment Analysis project.,e3
pn2,tk1,worksOn,I find the focus on capturing sentiment shifts over time particularly engaging,e4
pn8,tk1,worksOn,I find the focus on capturing sentiment shifts over time particularly engaging,e4
pn2,tk1,worksOn,it could yield some innovative insights into historical sentiment trends.,e4
pn8,tk1,worksOn,it could yield some innovative insights into historical sentiment trends.,e4
pn1,tk13,worksOn,Sunita: Begin initial data processing.,e6
pn7,tk14,worksOn,Michael: Prepare results from preliminary analyses.,e6
pn8,tk15,worksOn,Ananya: Research additional evaluation methods.,e6
pn2,tk16,worksOn,Ramesh: Coordinate ongoing discussions and oversee the timeline.,e6
pn2,tk17,worksOn,Ramesh: Coordinate ongoing discussions and oversee the timeline.,e6
pn1,tk1,worksOn,"Thank you for the productive meeting yesterday regarding the Temporal Sentiment Analysis project.

**Attendees**: Sunita Sen, Prof. Ramesh Bhatia, Dr. Michael Bradley, Dr. Ananya Chatterjee",e6
pn2,tk1,worksOn,"Thank you for the productive meeting yesterday regarding the Temporal Sentiment Analysis project.

**Attendees**: Sunita Sen, Prof. Ramesh Bhatia, Dr. Michael Bradley, Dr. Ananya Chatterjee",e6
pn7,tk1,worksOn,"Thank you for the productive meeting yesterday regarding the Temporal Sentiment Analysis project.

**Attendees**: Sunita Sen, Prof. Ramesh Bhatia, Dr. Michael Bradley, Dr. Ananya Chatterjee",e6
pn8,tk1,worksOn,"Thank you for the productive meeting yesterday regarding the Temporal Sentiment Analysis project.

**Attendees**: Sunita Sen, Prof. Ramesh Bhatia, Dr. Michael Bradley, Dr. Ananya Chatterjee",e6
pn1,tk22,worksOn,"Sunita, please let us know if you encounter any challenges as you begin the data processing.",e7
pn2,tk1701,worksOn,"Ramesh, could you recommend a schedule for our first progress check-in?",e7
pn7,tk1,worksOn,it will allow us to systematically model and analyze temporal drift in sentiment.,e8
pn8,tk25,worksOn,"approaches specifically tailored to diachronic analysis, that would be ideal.",e8
pn1,tk22,worksOn,"Sunita, please proceed with the data processing",e8
pn1,tk26,worksOn,ensuring consistency in preprocessing across both datasets.,e8
pn1,tk1331,worksOn,"for instance, OCR errors or inconsistent metadata — please flag them so we can decide on appropriate remediation steps collectively.",e8
pn1,tk28,worksOn,"for instance, OCR errors or inconsistent metadata — please flag them so we can decide on appropriate remediation steps collectively.",e8
pn9,tk1002,worksOn,I am pleased to lead the review of model interpretability methods for our project.,e9
pn9,tk155,worksOn,"Specifically, I will conduct a comparative analysis of LIME and SHAP, focusing on their adaptability to models trained on diachronic (historically shifting) text data.",e9
pn9,tk31,worksOn,"I also intend to research recent developments in interpretability specific to NLP on historical texts, such as temporal saliency mapping and attention visualization techniques in Transformer architectures.",e9
pn7,tk1,worksOn,especially in the context of tracking historical semantic shift and sentiment drift.,e9
pn7,tk19,worksOn,I concur that this method offers a more realistic evaluation of our models’ longitudinal generalizability.,e9
pn1,tk1331,worksOn,There might be preprocessing or post-hoc interpretability approaches we can apply to mitigate these issues without losing valuable historical nuance.,e9
pn9,tk35,worksOn,I will circulate a brief summary of interpretability options ahead of our meeting.,e9
pn1,tk13,worksOn,my progress with the initial data processing for both the “Chronicling America” and “British Library Digital Collections” datasets.,e10
pn1,tk1007,worksOn,I have begun by standardizing metadata fields and applying basic preprocessing steps,e10
pn1,tk1007,worksOn,"I have begun by standardizing metadata fields and applying basic preprocessing steps, such as deduplication, lowercasing, and removal of extraneous symbols.",e10
pn1,tk1007,worksOn,which complicates extraction of clean sentences for analysis.,e10
pn1,tk39,worksOn,I am considering integrating an OCR correction tool,e10
pn1,tk40,worksOn,"Would it be prudent to create custom mappings tailored for each archive, or do we standardize using the majority format?",e10
pn1,tk41,worksOn,"Would it be prudent to create custom mappings tailored for each archive, or do we standardize using the majority format?",e10
pn9,tk1002,worksOn,I can send them over for further interpretability assessment.,e10
pn1,tk43,worksOn,before our check-in on the 23rd.,e10
pn9,tk1002,worksOn,"Ananya, if you wish to review a sample of problematic segments, I can send them over for further interpretability assessment.",e10
