:ID,meetAgenda,meetDate,meetLink,meetTime,:LABEL
mg149,"Assignment of revisions (annotation provenance, compliance appendix, formatting/cross-referencing), Internal milestone and upload deadlines, Compliance documentation and administrative actions, Discussion of possible bottlenecks, resource needs, Next steps and communication logistics",2023-01-22,https://us02web.zoom.us/j/88546712309?pwd=Z2VjMDNmWkZjUUpEN05HVVhiZzRXQT09,16:00 UTC,Meeting
mg361,"expanding annotation guidelines, language normalization methodology, noting recent developments in digital resource hosting, designating outreach liaisons, coordinating user study protocol",2024-04-24,,16:00 GMT,Meeting
mg36,coordination meeting,2023-10-12,N/A,N/A,Meeting
mg260,"sync call agenda including Lessons Learned & Recommendations, Workshop Design & Accessibility Protocols",2023-06-10,,,Meeting
mg83,revision meeting,2023-10-31,Zoom,17:00 IST,Meeting
mg131,discuss submission path,2023-10-03,Google Meet,14:30 IST,Meeting
mg325,final review and sign-off,2024-03-25,Zoom/Google Meet,TBD,Meeting
mg2,,2023-04-15,,10:00-17:00 IST,Meeting
mg110,"(1) public summary finalization and dissemination, (2) webinar structure and division of roles, (3) registration and promotion plan, (4) timeline alignment with the publication DOI",2023-08-09,,15:00 IST / 10:30 BST / 02:30 PDT,Meeting
mg54,retrospective highlights and next steps for potential workshop/tutorial proposals,2023-04-06,https://meet.google.com/xyz-pqmf-btu,12:00-16:00 UK,Meeting
mg24,group review,2023-10-23,,,Meeting
mg61,finalize the division of tasks,TBD,,TBD,Meeting
mg26,debrief meeting,2023-06-01,,15:00-19:00 IST,Meeting
mg46,clear any final points and validate the completed camera-ready package,2023-01-20,,10:30 am GMT / 4:00 pm IST / 8:30 am PST,Meeting
mg379,Integration of figures and supplementary legal templates,2023-09-19,,,Meeting
mg262,Sync call minutes,2020-10-30,,,Meeting
mg210,Final check-in for JCDL 2022 FAQ annex submission,2020-05-15,Google Meet,14:30–15:20 GMT,Meeting
mg33,sign off on merged documentation,2019-06-21,https://meet.google.com/bpu-wxry-avf,16:30-17:00 IST,Meeting
mg106,"define the format and division of topics: overview, technical contributions, application demos, and live Q&A",TBC,,,Meeting
mg3,"review datasets and methodologies proposed, share insights",2019-04-06,https://zoom.us/j/1234567890,3 PM IST,Meeting
mg300,1. Allocation of presentation roles and overview of each contributor’s section. 2. Status updates on draft slides and discussion of supplementary materials. 3. Collective brainstorming on probable Q&A topics—please bring your preliminary audience query drafts. 4. Planning contingencies for both oral/poster and in-person/virtual session formats. 5. Next steps for synchronizing slide design and timeline for internal rehearsals.,2021-07-11,https://stanford.zoom.us/j/94870123456?pwd=ZXhBTXp4UWdoWmZ0c2hNdz09,20:30–22:00 IST / 16:00–17:30 BST / 08:00–09:30 PDT,Meeting
mg320,review and finalize retrospective document,2023-07-19,N/A,06:00–09:30 PDT,Meeting
mg86,review progress and resolve any overlapping issues,2019-02-08,,,Meeting
mg301,"Coordination meeting for JCDL 2023 presentation roles, material development, Q&A preparation, contingency planning, and timeline for internal rehearsals",2021-07-11,Zoom,TBD,Meeting
mg109,finalize time for Zoom meeting,2023-08-09,,15:00 IST / 10:30 BST / 02:30 PDT,Meeting
mg346,address technical and editorial contingencies,2023-03-01,Zoom call,14:30 GMT,Meeting
mg360,"Journal extension structure & division of new writing tasks, Dataset/resource paper logistics and timeline, Outreach to the broader historical NLP community, Preliminary organization of our upcoming ACL2024 presentation",2023-04-24,,16:00 GMT,Meeting
mg166,camera-ready review meeting,2019-12-23,Not specified,Not specified,Meeting
mg321,"1. Overview of the draft outline and feedback consolidation (Sunita). 2. Presentation and group review of Michael’s workflow diagram, with live annotation if feasible. 3. Section-by-section review for actionable improvements: Roles & Responsibilities, Communication Protocols, Bottleneck Handling, and Template Library. 4. Discussion of lessons learned (brief oral summaries), with Ananya and Ramesh highlighting coordination and escalation mechanisms, and Michael elaborating on visual/data workflows. 5. Next steps: Assigning leads for section finalization and establishing a rough timeline for document completion and periodic review.",2023-07-19,TBD,18:30 IST / 14:00 BST / 06:00 PDT,Meeting
mg373,virtual seminar,2024-09-18,,16:00–18:00 IST,Meeting
mg20,discuss annotation feedback forms and integrate insights into the main draft,2019-05-13,,,Meeting
mg413,,,,,Meeting
mg298,kick off the preparation and agree on the timeline for draft review,2023-04-01,,,Meeting
mg211,harmonize residual details and fix synchronized release date,2022-03-15,Google Meet/Zoom,TBD,Meeting
mg34,quick sign-off of the merged package,2019-06-21,https://meet.google.com/bpu-wxry-avf,16:30–17:00 IST,Meeting
mg48,"Walkthrough of all revision point responses and their location in the manuscript, secondary accessibility check, consolidated review of 'Response to Reviewers' letter, final checks for cross-file consistency, timeline confirmation for manuscript upload",2023-01-20,https://zoom.us/j/93027450827?pwd=N2ZoMnZWdEYwUjBpU2VOQkl6ZWVpUT09,10:30 am GMT / 4:00 pm IST / 8:30 am PST,Meeting
mg192,"Final institutional clearance for outreach materials and scheduling public release in coordination with JOCCH editorial timeline, Review embargo monitoring and media query protocols, Preliminary discussion on next steps should we receive initial reviewer feedback on SUB-JOCCH-2022-0362",2023-09-26,https://meet.google.com/fyk-zmkt-pvq,15:30 IST / 11:00 BST,Meeting
mg37,finalizing compliance appendix revisions,2021-08-30,,after 15:00 IST,Meeting
mg330,joint call,2023-10-10,,late afternoon IST/morning UK/early AM US,Meeting
mg257,"Review progress, discuss lessons learned, evaluate submission strategies, confirm internal deadlines, plan for near-final draft circulation",2023-06-10,,20:00 IST / 15:30 BST / 07:30 PDT,Meeting
mg161,"collectively review changes, assign action items, finalize presenter bios",2021-06-08,Google Meet,TBD,Meeting
mg219,strategy call for the JCDL 2022 live project spotlight,2022-03-31,Zoom link not provided yet,11:30 GMT,Meeting
mg18,"review interpretability memo, discuss pilot annotation exercise, and explore future work",2023-10-09,Google Meet link,TBD,Meeting
mg294,"synchronize on progress, share feedback, and confirm all revision points",2023-03-04,,,Meeting
mg185,Minutes and action points for JOCCH manuscript,2020-02-17,,,Meeting
mg268,Review and refine the draft reviewer response points; distribute action items around supplementary table references and artifact example preparation; discuss metric generalizability and modular codebase components; any additional items or concerns raised by the team ahead of the call.,2020-12-01,https://meet.google.com/zrm-jkpi-wgv,16:00 IST,Meeting
mg237,internal run-through,2023-05-19,,,Meeting
mg89,Discuss draft subsection and schematic,2021-02-09,,,Meeting
mg250,final pre-workshop huddle,2022-05-29,,,Meeting
mg91,progress call,2019-11-01,,,Meeting
mg77,effective and focused meeting,2023-08-16,https://meet.google.com/hst-jocch-writing,15:00 UTC,Meeting
mg245,official pre-event communication send,2022-05-26,N/A,09:00 BST / 13:30 IST / 1:00 PDT,Meeting
mg183,discussion and input capture for merging case studies and workflow sections,2023-08-15,https://stanford.zoom.us/j/91475638219?pwd=MnFQa2tkYVpOa2FhZHM3QWlmVEhaQT09,2:30pm BST / 7pm IST / 6:30am PDT,Meeting
mg151,,,,,Meeting
mg9,check-in,2019-05-03,,,Meeting
mg22,synthesis meeting,2023-08-18,,,Meeting
mg335,"Finalizing section leads, incorporating feedback on appendices, agreeing on target completion date, updating on new points from submission portal",2023-11-07,https://doodle.com/meeting/participate/id/1234-reflection-memo,TBD,Meeting
mg234,"Quick alignment on dissemination deliverables, error analysis research note, workshop outline progress, version control and shared resource logistics, institutional requirements or updates regarding the JCDL notification, open floor for emerging concerns or suggestions",2023-05-07,,12:00 noon BST / 4:30pm IST / 7:00am PST,Meeting
mg99,,,,,Meeting
mg57,summary of the meeting minutes and key action items,2023-04-16,,,Meeting
mg343,"Recap of Reviewer Feedback, Allocation of Responsibilities, Timeline, Drafting the Author Response Letter, Other Notes",2022-03-03,Zoom (Stanford-hosted),15:00–16:05 GMT,Meeting
mg354,Camera-ready coordination call,2023-04-24,N/A,12:30–13:30 GMT,Meeting
mg120,"technical checks, A/V and screen share tests, backup streaming/recording settings, last-minute troubleshooting",TBD,https://events.iacs.res.in/histocrnlp,14:15 IST (9:45 BST / 1:45 PDT),Meeting
mg378,brief follow-up call,2023-09-21,,16:00–16:45 IST,Meeting
mg375,seminar session,2023-09-20,,,Meeting
mg88,collective progress updates and resolution of cross-cutting issues,2023-02-08,,11:00–17:00 IST,Meeting
mg242,finalize outstanding items and rehearse the contingency communications protocol together,2023-05-24,,16:00 BST / 20:30 IST / 8:00 PDT,Meeting
mg295,internal review meeting,2021-06-18,N/A,16:30–18:00 IST,Meeting
mg302,rehearsal session,TBD,,6:30 PM IST,Meeting
mg212,finalize the announcement date,,https://doodle.com/meet/JCDL2022-PressRelease-Coordination,,Meeting
mg58,discussion on cross-lingual entity normalization methods,2020-04-07,,,Meeting
mg341,coordinate tasks and establish deadlines,2022-03-04,N/A,14:00–17:00 GMT,Meeting
mg222,internal rehearsal,2022-04-08,Zoom,late next week,Meeting
mg181,reviewing materials and finalizing integration plans,mid-next week,,20-30 min check-in,Meeting
mg169,test transitions live,2023-07-17,,TBD,Meeting
mg282,Discuss 'Related Work' draft,2023-12-02,TBD,TBD,Meeting
mg315,consolidation meeting,2023-05-16,https://meet.google.com/nlp-histdata-final,14:30 IST / 10:00 CEST / 01:00 PDT,Meeting
