:START_ID,:END_ID,:TYPE,context,source
pn5,mg214,attends,"Dear Ananya, Ramesh, and Michael, ... the optimal slot appears to be tomorrow, 16th August 2020, at 16:00 CET / 20:30 IST / 08:00 PT.",email_500
pn2,mg214,attends,"Dear Ananya, Ramesh, and Michael, ... the optimal slot appears to be tomorrow, 16th August 2020, at 16:00 CET / 20:30 IST / 08:00 PT.",email_500
pn19,mg214,attends,"Dear Ananya, Ramesh, and Michael, ... the optimal slot appears to be tomorrow, 16th August 2020, at 16:00 CET / 20:30 IST / 08:00 PT.",email_500
pn1,mg214,attends,"Looking forward to our final synchronizing session and, most importantly, to our long-awaited JCDL 2022 media launch!",email_500
pn5,c19,attends,"Looking forward to our final synchronizing session and, most importantly, to our long-awaited JCDL 2022 media launch!",email_500
pn2,c19,attends,"Looking forward to our final synchronizing session and, most importantly, to our long-awaited JCDL 2022 media launch!",email_500
pn19,c19,attends,"Looking forward to our final synchronizing session and, most importantly, to our long-awaited JCDL 2022 media launch!",email_500
pn1,mg386,attends,"Thank you, Sunita, for convening us so effectively and outlining tomorrow’s agenda. I am pleased to confirm my availability for the 16:30 IST meeting slot on 25 September.",email_927
pn2,mg386,attends,"Thank you, Sunita, for convening us so effectively and outlining tomorrow’s agenda. I am pleased to confirm my availability for the 16:30 IST meeting slot on 25 September.",email_927
pn9,mg386,attends,"Thank you, Sunita, for convening us so effectively and outlining tomorrow’s agenda. I am pleased to confirm my availability for the 16:30 IST meeting slot on 25 September.",email_927
pn19,mg386,attends,"Thank you, Sunita, for convening us so effectively and outlining tomorrow’s agenda. I am pleased to confirm my availability for the 16:30 IST meeting slot on 25 September.",email_927
pn5,mg299,attends,I am delighted to confirm my availability for the proposed virtual meeting on 3 April between 20:30–22:00 IST,email_687
pn19,mg299,attends,I am delighted to confirm my availability for the proposed virtual meeting on 3 April between 20:30–22:00 IST,email_687
pn1,mg299,attends,I am delighted to confirm my availability for the proposed virtual meeting on 3 April between 20:30–22:00 IST,email_687
pn2,mg299,attends,I am delighted to confirm my availability for the proposed virtual meeting on 3 April between 20:30–22:00 IST,email_687
pn1,mg315,attends,Google Meet link for tomorrow’s consolidation meeting,email_733
pn2,mg315,attends,Google Meet link for tomorrow’s consolidation meeting,email_733
pn5,mg315,attends,Google Meet link for tomorrow’s consolidation meeting,email_733
pn19,mg315,attends,Google Meet link for tomorrow’s consolidation meeting,email_733
