:START_ID,:END_ID,:TYPE,context,source
e1,t1,partOf,Header Metadata,header
e2,t1,partOf,Header Metadata,header
e3,t2,partOf,Header Metadata,header
e4,t2,partOf,Header Metadata,header
e5,t2,partOf,Header Metadata,header
e6,t3,partOf,Header Metadata,header
e7,t4,partOf,Header Metadata,header
e8,t4,partOf,Header Metadata,header
e9,t4,partOf,Header Metadata,header
e10,t5,partOf,Header Metadata,header
e11,t5,partOf,Header Metadata,header
e12,t6,partOf,Header Metadata,header
e13,t7,partOf,Header Metadata,header
e14,t8,partOf,Header Metadata,header
e15,t9,partOf,Header Metadata,header
e16,t10,partOf,Header Metadata,header
e17,t11,partOf,Header Metadata,header
e18,t12,partOf,Header Metadata,header
e19,t13,partOf,Header Metadata,header
e20,t14,partOf,Header Metadata,header
e21,t15,partOf,Header Metadata,header
e22,t16,partOf,Header Metadata,header
e23,t17,partOf,Header Metadata,header
e24,t17,partOf,Header Metadata,header
e25,t18,partOf,Header Metadata,header
e26,t19,partOf,Header Metadata,header
e27,t20,partOf,Header Metadata,header
e28,t20,partOf,Header Metadata,header
e29,t21,partOf,Header Metadata,header
e30,t22,partOf,Header Metadata,header
e31,t23,partOf,Header Metadata,header
e32,t23,partOf,Header Metadata,header
e33,t24,partOf,Header Metadata,header
e34,t25,partOf,Header Metadata,header
e35,t26,partOf,Header Metadata,header
e36,t27,partOf,Header Metadata,header
e37,t28,partOf,Header Metadata,header
e38,t29,partOf,Header Metadata,header
e39,t30,partOf,Header Metadata,header
e40,t31,partOf,Header Metadata,header
e41,t32,partOf,Header Metadata,header
e42,t33,partOf,Header Metadata,header
e43,t34,partOf,Header Metadata,header
e44,t35,partOf,Header Metadata,header
e45,t36,partOf,Header Metadata,header
e46,t37,partOf,Header Metadata,header
e47,t38,partOf,Header Metadata,header
e48,t39,partOf,Header Metadata,header
e49,t40,partOf,Header Metadata,header
e50,t41,partOf,Header Metadata,header
e51,t41,partOf,Header Metadata,header
e52,t42,partOf,Header Metadata,header
e53,t42,partOf,Header Metadata,header
e54,t43,partOf,Header Metadata,header
e55,t43,partOf,Header Metadata,header
e56,t44,partOf,Header Metadata,header
e57,t44,partOf,Header Metadata,header
e58,t45,partOf,Header Metadata,header
e59,t46,partOf,Header Metadata,header
e60,t47,partOf,Header Metadata,header
e61,t48,partOf,Header Metadata,header
e62,t49,partOf,Header Metadata,header
e63,t50,partOf,Header Metadata,header
e64,t50,partOf,Header Metadata,header
e65,t51,partOf,Header Metadata,header
e66,t52,partOf,Header Metadata,header
e67,t52,partOf,Header Metadata,header
e68,t53,partOf,Header Metadata,header
e69,t54,partOf,Header Metadata,header
e70,t55,partOf,Header Metadata,header
e71,t56,partOf,Header Metadata,header
e72,t57,partOf,Header Metadata,header
e73,t58,partOf,Header Metadata,header
e74,t59,partOf,Header Metadata,header
e75,t60,partOf,Header Metadata,header
e76,t61,partOf,Header Metadata,header
e77,t62,partOf,Header Metadata,header
e78,t63,partOf,Header Metadata,header
e79,t64,partOf,Header Metadata,header
e80,t65,partOf,Header Metadata,header
e81,t66,partOf,Header Metadata,header
e82,t67,partOf,Header Metadata,header
e83,t68,partOf,Header Metadata,header
e84,t69,partOf,Header Metadata,header
e85,t70,partOf,Header Metadata,header
e86,t71,partOf,Header Metadata,header
e87,t72,partOf,Header Metadata,header
e88,t73,partOf,Header Metadata,header
e89,t74,partOf,Header Metadata,header
e90,t75,partOf,Header Metadata,header
e91,t76,partOf,Header Metadata,header
e92,t77,partOf,Header Metadata,header
e93,t78,partOf,Header Metadata,header
e94,t79,partOf,Header Metadata,header
e95,t80,partOf,Header Metadata,header
e96,t81,partOf,Header Metadata,header
e97,t82,partOf,Header Metadata,header
e98,t83,partOf,Header Metadata,header
e99,t84,partOf,Header Metadata,header
e100,t85,partOf,Header Metadata,header
e101,t86,partOf,Header Metadata,header
e102,t87,partOf,Header Metadata,header
e103,t88,partOf,Header Metadata,header
e104,t89,partOf,Header Metadata,header
e105,t90,partOf,Header Metadata,header
e106,t91,partOf,Header Metadata,header
e107,t92,partOf,Header Metadata,header
e108,t93,partOf,Header Metadata,header
e109,t94,partOf,Header Metadata,header
e110,t95,partOf,Header Metadata,header
e111,t96,partOf,Header Metadata,header
e112,t97,partOf,Header Metadata,header
e113,t98,partOf,Header Metadata,header
e114,t99,partOf,Header Metadata,header
e115,t100,partOf,Header Metadata,header
e116,t101,partOf,Header Metadata,header
e117,t102,partOf,Header Metadata,header
e118,t103,partOf,Header Metadata,header
e119,t104,partOf,Header Metadata,header
e120,t105,partOf,Header Metadata,header
e121,t106,partOf,Header Metadata,header
e122,t107,partOf,Header Metadata,header
e123,t108,partOf,Header Metadata,header
e124,t109,partOf,Header Metadata,header
e125,t110,partOf,Header Metadata,header
e126,t111,partOf,Header Metadata,header
e127,t112,partOf,Header Metadata,header
e128,t113,partOf,Header Metadata,header
e129,t114,partOf,Header Metadata,header
e130,t115,partOf,Header Metadata,header
e131,t116,partOf,Header Metadata,header
e132,t117,partOf,Header Metadata,header
e133,t118,partOf,Header Metadata,header
