:START_ID,:END_ID,:TYPE,context,source
s1,pa2,identifies,"our manuscript, titled “Evaluation Pipelines and Visualization Methodologies for NLP on Noisy Historical Data,” has been successfully submitted to ACL 2019. We have received the official submission confirmation, and our Submission ID is SUB-ACL-2019-0374.",e49
s2,pa3,identifies,"Your manuscript, titled “A Harmonized NLP Dataset and Documentation Protocol for OCR’d Historical Texts,” has been successfully entered into our manuscript management system under Submission ID: SUB-JOCCH-2019-0187.",e69
s2,pa3,identifies,"your manuscript (Submission ID: SUB-JOCCH-2019-0187, “A Harmonized NLP Dataset and Documentation Protocol for OCR’d Historical Texts”)",e70
s2,pa3,identifies,"your manuscript, “A Harmonized NLP Dataset and Documentation Protocol for OCR’d Historical Texts” (Submission ID: SUB-JOCCH-2019-0187)",e71
s2,pa4,identifies,for our JOCCH minor revision (Submission ID: SUB-JOCCH-2019-0187).,e79
s2,pa5,identifies,"**Submission Title**: “Domain Adaptation and Evaluation Metrics for Historical NER and Topic Modeling across Multilingual Archives”
- **JOCCH Submission ID**: SUB-JOCCH-2019-0187",e83
s2,pa5,identifies,your revised submission entitled “Domain Adaptation and Evaluation Metrics for Historical NER and Topic Modeling across Multilingual Archives” (Submission ID: SUB-JOCCH-2019-0187),e84
s2,pa5,identifies,"your manuscript submitted to the ACM Journal on Computing and Cultural Heritage, entitled “Domain Adaptation and Evaluation Metrics for Historical NER and Topic Modeling across Multilingual Archives” (Submission ID: SUB-JOCCH-2019-0187).",e85
s2,pa7,identifies,"This message is to formally acknowledge receipt of your resubmitted manuscript, entitled “NER Methodology and Heritage Data: A Multilingual Benchmark for Bengali-English Colonial Documents,” to the ACM Journal on Computing and Cultural Heritage.

Submission ID: SUB-JOCCH-2019-0187",e99
s2,pa7,identifies,entitled “NER Methodology and Heritage Data: A Multilingual Benchmark for Bengali-English Colonial Documents” (Submission ID: SUB-JOCCH-2019-0187).,e100
s2,pa8,identifies,"Submission was completed through the ScholarOne system, under Submission ID: SUB-JOCCH-2019-0187.",e108
s2,pa9,identifies,"revised manuscript entitled “NLP Approaches to Historical Entity Disambiguation: Lessons from Bengali-English Colonial Gazetteers” submitted to the ACM Journal on Computing and Cultural Heritage (JOCCH), under Submission ID: SUB-JOCCH-2019-0187.",e109
s2,pa9,identifies,your revised manuscript “NLP Approaches to Historical Entity Disambiguation: Lessons from Bengali-English Colonial Gazetteers” (Submission ID: SUB-JOCCH-2019-0187),e110
s2,pa9,identifies,our manuscript entitled “NLP Approaches to Historical Entity Disambiguation: Lessons from Bengali-English Colonial Gazetteers” (Submission ID: SUB-JOCCH-2019-0187).,e116
s2,pa9,identifies,the manuscript entitled “NLP Approaches to Historical Entity Disambiguation: Lessons from Bengali-English Colonial Gazetteers” (Submission ID: SUB-JOCCH-2019-0187),e117
s3,pa15,identifies,"We have been assigned the following Submission ID for tracking and correspondence:
SUB-JCDL-2020-0143",e136
s3,pa15,identifies,"Your proposal has been assigned the following Submission ID for future correspondence:
SUB-JCDL-2020-0143",e137
s3,pa15,identifies,"""Entity Normalization, Reproducibility, and FAIR Data Management in Historical NLP: A Workflow Tutorial""
Submission ID: SUB-JCDL-2020-0143",e138
s4,pa20,identifies,Submission ID: SUB-JCDL-2020-0718,e150
s4,pa20,identifies,- **Submission ID:** SUB-JCDL-2020-0718,e151
