:START_ID,:END_ID,:TYPE,context,source
d306,tk2528,usedFor,I am writing to confirm completion of the tests for both the main and backup resource mirrors from the Stanford (US-Pacific) network.,email_584
me345,tk4003,usedFor,Michael’s updated workflow diagrams provide helpful citation touchpoints for readers.,email_903
d180,tk4003,usedFor,"The expanded rolling embargo statement is now explicitly cross-referenced to our partner MOUs, with definitive embargo end-dates that align with the current agreements and Zenodo upload schedules.",email_903
me511,tk3228,usedFor,The revised footnote on entity overlap has been incorporated,email_733
d392,tk3468,usedFor,"Main Table: Includes Cohen’s kappa, F1, and Krippendorff’s alpha across annotation batches (Indian Newspapers corpus, British Colonial Proceedings, US Immigration Letters).",email_787
d393,tk3468,usedFor,"Main Table: Includes Cohen’s kappa, F1, and Krippendorff’s alpha across annotation batches (Indian Newspapers corpus, British Colonial Proceedings, US Immigration Letters).",email_787
d394,tk3468,usedFor,"Main Table: Includes Cohen’s kappa, F1, and Krippendorff’s alpha across annotation batches (Indian Newspapers corpus, British Colonial Proceedings, US Immigration Letters).",email_787
me686,tk2561,usedFor,"Michael, I particularly appreciate your points regarding a reproducible template for multi-author version management and the suggestion to formally document our method of dealing with conflicting annotations under time constraints.",email_993
me687,tk2561,usedFor,"Michael, I particularly appreciate your points regarding a reproducible template for multi-author version management and the suggestion to formally document our method of dealing with conflicting annotations under time constraints.",email_993
me653,tk4257,usedFor,"Ananya will complete final appendix formatting by 9 November, ensuring consistent citation formatting and table/figure cross-links.",email_948
me654,tk4257,usedFor,"Ananya will complete final appendix formatting by 9 November, ensuring consistent citation formatting and table/figure cross-links.",email_948
me650,tk4257,usedFor,"Ananya will complete final appendix formatting by 9 November, ensuring consistent citation formatting and table/figure cross-links.",email_948
me655,tk4258,usedFor,"Sunita (myself) will supply a compact set of 3–4 anonymized annotation examples and explanatory captions by midday tomorrow, highlighting cases governed by section 37B and corresponding GDPR provisions.",email_948
me656,tk3248,usedFor,"Michael, please review the supplied annotation cases and update the corresponding figure legends as needed so that everything is in full compliance before the internal review.",email_948
me134,tk566,usedFor,"Specifically, if there are points that would benefit from added emphasis (e.g., stepwise provenance workflow, particular annotation challenges in multilingual sources)",email_140
me135,tk566,usedFor,"Ananya, once Ramesh’s parenthetical explanation on the ambiguity schematic is ready, I will integrate it into both the screencast and the slide notes for consistency.",email_140
me136,tk566,usedFor,Please also let me know if I should reference your ACM reproducibility visual in the video or defer to your slide update.,email_140
d102,tk566,usedFor,"Specifically, if there are points that would benefit from added emphasis (e.g., stepwise provenance workflow, particular annotation challenges in multilingual sources)",email_140
