:ID,identifier,:LABEL
s1,SUB-ACL-2019-0374,SubmissionID
s2,SUB-JOCCH-2019-0187,SubmissionID
s3,SUB-JCDL-2020-0143,SubmissionID
s4,SUB-JCDL-2020-0718,SubmissionID
s5,SUB-JOCCH-2020-0047,SubmissionID
s6,SUB-JOCCH-2021-0612,SubmissionID
s7,COMMS/HISTOCRNLP/2021-08,SubmissionID
s8,SUB-ACL-2021-0842,SubmissionID
s9,SUB-ACL-2021-0471,SubmissionID
s10,ACL2021-REG-18542,SubmissionID
s11,SUB-ACL-2022-1098,SubmissionID
s12,SUB-ACL-2022-0047,SubmissionID
s13,SUB-JOCCH-2022-0362,SubmissionID
s14,SUB-JCDL-2022-0432,SubmissionID
s15,SUB-JCDL-2022-0092,SubmissionID
s16,SUB-JCDL-2022-1189,SubmissionID
s17,SUB-JOCCH-2022-0421,SubmissionID
s18,SUB-JCDL-2023-0417,SubmissionID
s19,SUB-JCDL-2023-1174,SubmissionID
s20,SUB-JCDL-2023-0147,SubmissionID
s21,SUB-JCDL-2023-0427,SubmissionID
s22,SUB-JOCCH-2023-0193,SubmissionID
s23,SUB-JOCCH-2023-0782,SubmissionID
s24,confirmation ID,SubmissionID
s25,SUB-JOCCH-2023-0843,SubmissionID
s26,SUB-ACL-2023-0321,SubmissionID
s27,SUB-ACL-2024-0483,SubmissionID
s28,SUB-ACL-2024-0193,SubmissionID
s29,SUB-ACL-2024-2386,SubmissionID
s30,SUB-JOCCH-2024-0421,SubmissionID
s31,SUB-JOCCH-2024-1143,SubmissionID
s32,SUB-JOCCH-2025-0472,SubmissionID
s33,SUB-JOCCH-2025-0194,SubmissionID
