:START_ID,:END_ID,:TYPE,context,source
pa465,pn1,hasAuthor,"Thank you, Ananya, for your initiative in consolidating all revision materials and synthesizing our collective modifications for the JOCCH resource note.",email_903
pa465,pn2,hasAuthor,"Thank you, Ananya, for your initiative in consolidating all revision materials and synthesizing our collective modifications for the JOCCH resource note.",email_903
pa465,pn19,hasAuthor,"Thank you, Ananya, for your initiative in consolidating all revision materials and synthesizing our collective modifications for the JOCCH resource note.",email_903
pa465,pn9,hasAuthor,"Thank you, Ananya, for your initiative in consolidating all revision materials and synthesizing our collective modifications for the JOCCH resource note.",email_903
pa45,pn1,hasAuthor,"Thank you, Sunita, for your thorough accessibility review and the comprehensive documentation you have kindly shared.",email_97
pa45,pn2,hasAuthor,"I have now carefully skimmed the integrated Ethical Considerations section in the full camera-ready manuscript, with particular attention to in-text cross-references and pagination per Ramesh’s suggestion.",email_97
pa45,pn19,hasAuthor,"If Michael can make these minor visual adjustments today, it will further future-proof the file for open access standards.",email_97
pa45,pn5,hasAuthor,Looking forward to crossing this final milestone together.,email_97
pa199,pn1,hasAuthor,I am pleased to acknowledge receipt of your summary and confirm my agreement with the documented action points.,email_392
pa199,pn2,hasAuthor,I am pleased to acknowledge receipt of your summary and confirm my agreement with the documented action points.,email_392
pa199,pn19,hasAuthor,I am pleased to acknowledge receipt of your summary and confirm my agreement with the documented action points.,email_392
pa199,pn5,hasAuthor,I am pleased to acknowledge receipt of your summary and confirm my agreement with the documented action points.,email_392
pa234,pn1,hasAuthor,I have thoroughly reviewed the latest “Working_Draft_Scenarios” in the shared folder and appreciate the inclusion of both Stanford’s and Oxford’s compliance perspectives.,email_453
pa234,pn5,hasAuthor,I have thoroughly reviewed the latest “Working_Draft_Scenarios” in the shared folder and appreciate the inclusion of both Stanford’s and Oxford’s compliance perspectives.,email_453
pa234,pn19,hasAuthor,I have thoroughly reviewed the latest “Working_Draft_Scenarios” in the shared folder and appreciate the inclusion of both Stanford’s and Oxford’s compliance perspectives.,email_453
pa234,pn2,hasAuthor,I have thoroughly reviewed the latest “Working_Draft_Scenarios” in the shared folder and appreciate the inclusion of both Stanford’s and Oxford’s compliance perspectives.,email_453
pa136,pn1,hasAuthor,Thank you for your email and for proactively addressing the final steps prior to your oral presentation at ACL 2021.,email_348
pa480,pn1,hasAuthor,"I am aligned with the plan, and would like to offer a few specific inputs on both the document outline and the event logistics.",email_909
pa480,pn2,hasAuthor,"I am aligned with the plan, and would like to offer a few specific inputs on both the document outline and the event logistics.",email_909
pa480,pn5,hasAuthor,"I am aligned with the plan, and would like to offer a few specific inputs on both the document outline and the event logistics.",email_909
pa482,pn2,hasAuthor,I have located annotated drafts of our MOU negotiation summary (de-identified per institutional guidelines),email_909
pa483,pn2,hasAuthor,"it may be useful to include a real example from our January 2024 compliance negotiation, where ambiguities in data access periods almost delayed our Zenodo release.",email_909
pa484,pn2,hasAuthor,"I have been exploring scripting possibilities via Google Apps Script tied to our team calendar, which might offer a simple replicable solution for others.",email_909
pa133,pn1,hasAuthor,"Dear Dr. Sen and co-authors, This is to confirm that we have received your consolidated list of minor corrections and the marked PDF for your article, ""HistocrNLP: A Reproducible NLP Pipeline for Historical Texts across Domains""",email_251
pa133,pn13,hasAuthor,"Dear Dr. Sen and co-authors, This is to confirm that we have received your consolidated list of minor corrections and the marked PDF for your article, ""HistocrNLP: A Reproducible NLP Pipeline for Historical Texts across Domains""",email_251
pa519,pn1,hasAuthor,"Thank you, Michael, for promptly sharing your expanded draft of the annotation metadata section and the glossary proposal.",email_982
pa519,pn2,hasAuthor,"Ramesh, your comments on integration and terminology have been very helpful as I began aligning the ongoing drafts for the consolidated manuscript structure.",email_982
pa519,pn5,hasAuthor,"Ananya, I have isolated the specific feedback regarding “consent revalidation” and the need to clarify archival authority within the Chilean dataset workflow.",email_982
pa526,pn1,hasAuthor,"Sunita (lead, and contact)",email_996
pa526,pn5,hasAuthor,myself (for Oxford),email_996
pa526,pn19,hasAuthor,Michael (for the Stanford/international collaboration angle),email_996
pa106,pn1,hasAuthor,"As agreed, I am sharing my updated materials for the JOCCH revision, with focused attention to points raised in our last meeting and in the reviewer feedback.",email_787
pa106,pn19,hasAuthor,"As agreed, I am sharing my updated materials for the JOCCH revision, with focused attention to points raised in our last meeting and in the reviewer feedback.",email_787
pa106,pn2,hasAuthor,"As agreed, I am sharing my updated materials for the JOCCH revision, with focused attention to points raised in our last meeting and in the reviewer feedback.",email_787
pa106,pn5,hasAuthor,"As agreed, I am sharing my updated materials for the JOCCH revision, with focused attention to points raised in our last meeting and in the reviewer feedback.",email_787
pa443,pn1,hasAuthor,I echo your congratulations and appreciation—it is truly rewarding to see our joint work recognized in this way.,email_839
