NLQ,GOLD_ANS,QUESTION_TYPE,SYSTEM_ANS,Unnamed: 4,GENERATED_CYPHER,DB_OUTPUT,IS_USEFUL,EVAL_REASON
What email address is associated with Sunita Sen?,scholar.sunita@iacs.res.in,single-hop,,,"MATCH (p:Person) WHERE toLower(p.personName) CONTAINS toLower(""Sunita Sen"") RETURN DISTINCT p.personEmail","[{'p.personEmail': 'scholar.sunita@iacs.res.in'}, {'p.personEmail': None}]",True,"The correct email address 'scholar.sunita@iacs.res.in' is explicitly present in the raw database output, matching the Gold Answer, so it contains the necessary information despite the additional None entry."
Which datasets are proposed for the Temporal Sentiment Analysis project?,"Chronicling America, British Library Digital Collections, Corpus of Historical American English (COHA)",multi-hop,,,"MATCH (d:Dataset)-[:usedFor]->(t:Task)
WHERE toLower(t.taskName) CONTAINS toLower(""temporal sentiment analysis"")
RETURN DISTINCT d.datasetName","[{'d.datasetName': 'Chronicling America'}, {'d.datasetName': 'British Library Digital Collections'}, {'d.datasetName': 'Corpus of Historical American English (COHA)'}, {'d.datasetName': 'datasets'}]",True,"The raw database output includes all three correct datasets listed in the Gold Answer: Chronicling America, British Library Digital Collections, and COHA. It also contains one extra irrelevant entry ('datasets'), but this does not prevent retrieving the correct information, so it is still useful."
Will Sunita Sen collaborate with an expert in Temporal Sentiment Analysis?,TRUE,reasoning,,,"MATCH (p:Person)-[:worksOn]->(t:Task)
WHERE toLower(p.personName) CONTAINS toLower(""Sunita Sen"")
WITH p
MATCH (expert:Person)-[:worksOn]->(task:Task)
WHERE (toLower(task.taskName) CONTAINS toLower(""temporal sentiment analysis"") OR toLower(task.taskName) CONTAINS toLower(""temporal sentiment"") OR toLower(task.taskName) CONTAINS toLower(""sentiment analysis""))
AND expert.id <> p.id
RETURN count(expert) > 0 AS result",[{'result': True}],True,"The database output returns True, which matches the Gold Answer (TRUE) and correctly satisfies the user’s question."
Has the proposal for the Temporal Sentiment Analysis project been submitted to a conference?,FALSE,multi-hop,,,"MATCH (t:Task) 
WHERE toLower(t.taskName) CONTAINS toLower(""temporal sentiment analysis"")
MATCH (p:Person)-[:worksOn]->(t)
MATCH (pa:Paper)-[:hasAuthor]->(p)
MATCH (s:SubmissionID)-[:identifies]->(pa)
MATCH (s)-[:inVenue]->(c:Conference)
RETURN count(s) > 0 AS result",[{'result': True}],False,"The gold answer indicates the proposal has not been submitted (FALSE), but the database output returns True, which contradicts the correct answer. Therefore, it does not contain the correct information."
What datasets were suggested for the Temporal Sentiment Analysis research?,"Chronicling America, British Library Digital Collections",single-hop,,,"MATCH (t:Task) WHERE toLower(t.taskName) CONTAINS ""temporal"" OR toLower(t.taskName) CONTAINS ""sentiment analysis""
MATCH (d:Dataset)-[:usedFor]->(t)
RETURN DISTINCT d.datasetName","[{'d.datasetName': 'Chronicling America'}, {'d.datasetName': 'British Library Digital Collections'}, {'d.datasetName': 'Corpus of Historical American English (COHA)'}, {'d.datasetName': 'datasets'}, {'d.datasetName': 'key South Asian corpora'}, {'d.datasetName': 'multilingual corpus'}]",True,"The database output includes all datasets from the Gold Answer (Chronicling America, British Library Digital Collections), plus additional entries. Since the correct datasets are present, the output is usable, though it would need filtering to match the Gold Answer exactly."
Which institutions are the potential collaborators from for the Temporal Sentiment Analysis project?,"Stanford University, University of Oxford",multi-hop,,,"MATCH (p:Person)-[:worksOn]->(t:Task)
WHERE toLower(t.taskName) CONTAINS toLower(""temporal"") OR toLower(t.taskName) CONTAINS toLower(""sentiment"")
RETURN DISTINCT p.affiliation","[{'p.affiliation': 'Indian Association for the Cultivation of Science'}, {'p.affiliation': 'Stanford University'}, {'p.affiliation': 'University of Oxford'}]",True,"Yes. The raw database output includes both institutions listed in the Gold Answer (Stanford University and University of Oxford). The extra institution (Indian Association for the Cultivation of Science) is irrelevant noise but does not prevent retrieving the correct information, so the DB output is still usable to satisfy the user’s question."
Is Prof. Ramesh Bhatia affiliated with Indian Association for the Cultivation of Science?,TRUE,reasoning,,,"MATCH (p:Person) 
WHERE toLower(p.personName) CONTAINS toLower(""Ramesh Bhatia"") AND toLower(p.affiliation) CONTAINS toLower(""Indian Association for the Cultivation of Science"") 
RETURN count(p) > 0 AS result",[{'result': True}],True,"The raw database output indicates `True`, which matches the Gold Answer of TRUE, so it correctly satisfies the user’s question."
What is the exact publication date of Sunita Sen's paper on Temporal Sentiment Analysis?,Not available,not available,,,"MATCH (p:Person)-[:hasAuthor]-(pa:Paper)
WHERE toLower(p.personName) CONTAINS toLower(""Sunita Sen"") AND toLower(pa.paperTitle) CONTAINS toLower(""Temporal Sentiment Analysis"")
MATCH (sid:SubmissionID)-[:identifies]->(pa)
MATCH (sid)-[:movesTo]->(ps:PaperStatus)
WHERE ps.statusDate IS NOT NULL
RETURN DISTINCT ps.statusDate",[],True,Both correctly identified missing information.
What is the email address of Prof. Ramesh Bhatia?,ramesh.bhatia@iacs.res.in,single-hop,,,"MATCH (p:Person) WHERE toLower(p.personName) CONTAINS toLower(""Ramesh Bhatia"") RETURN DISTINCT p.personEmail","[{'p.personEmail': 'ramesh.bhatia@iacs.res.in'}, {'p.personEmail': None}]",True,"The correct email address 'ramesh.bhatia@iacs.res.in' is explicitly present in the first element of the raw database output, matching the Gold Answer. The additional None entry does not invalidate the presence of the correct information."
Which datasets are suggested for the Temporal Sentiment Analysis project in historical archives?,"Chronicling America, British Library Digital Collections, Corpus of Historical American English (COHA)",multi-hop,,,"MATCH (d:Dataset)-[:usedFor]->(t:Task)
WHERE toLower(t.taskName) CONTAINS ""temporal"" OR toLower(t.taskName) CONTAINS ""sentiment"" OR toLower(t.taskName) CONTAINS ""historical"" OR toLower(t.taskName) CONTAINS ""archive""
RETURN DISTINCT d.datasetName","[{'d.datasetName': 'Chronicling America'}, {'d.datasetName': 'British Library Digital Collections'}, {'d.datasetName': 'Corpus of Historical American English (COHA)'}, {'d.datasetName': 'datasets'}, {'d.datasetName': 'data impacted by OCR noise or metadata inconsistencies'}, {'d.datasetName': 'historical datasets'}, {'d.datasetName': 'historical data'}, {'d.datasetName': 'Multilingual Archives'}, {'d.datasetName': 'historical place names'}, {'d.datasetName': 'colonial gazetteer sources'}, {'d.datasetName': 'evolving historical corpora'}, {'d.datasetName': 'historical NLP corpus'}, {'d.datasetName': 'colonial-era corpus'}, {'d.datasetName': 'Bengali–Gujarati historical corpora'}, {'d.datasetName': 'French–English historical corpora'}, {'d.datasetName': 'Gujarati dataset'}, {'d.datasetName': 'French dataset'}, {'d.datasetName': 'Global Historical Press Corpus'}, {'d.datasetName': 'HISTEXT-21'}, {'d.datasetName': 'South Asian historical language corpora'}, {'d.datasetName': 'low-resource historical datasets'}, {'d.datasetName': 'Oxford European corpus initiative'}, {'d.datasetName': 'key South Asian corpora'}, {'d.datasetName': 'historical NLP knowledge base'}, {'d.datasetName': 'historical samples'}, {'d.datasetName': 'our dataset'}, {'d.datasetName': 'historical manuscript corpora'}, {'d.datasetName': 'reviewer-only embargo dataset'}, {'d.datasetName': 'digitized archives in regional languages'}, {'d.datasetName': 'new working documents and datasets in the Historical NLP Dissemination & Outreach (JCDL 2022) folder'}, {'d.datasetName': 'annotated historical datasets'}, {'d.datasetName': 'dataset access'}, {'d.datasetName': 'cross-dialectal datasets'}, {'d.datasetName': 'multilingual corpus'}, {'d.datasetName': 'non-Latin corpora'}, {'d.datasetName': 'datasets index'}, {'d.datasetName': 'dataset links'}, {'d.datasetName': 'West Bengal State Archives'}, {'d.datasetName': 'NDLI materials'}, {'d.datasetName': 'Stanford IRB'}, {'d.datasetName': 'annotated historical corpora and scripts'}, {'d.datasetName': 'user study survey'}, {'d.datasetName': 'relevant subset of our historical corpus'}, {'d.datasetName': 'historical NLP data releases'}]",True,"The database output includes all three specific datasets from the gold answer (Chronicling America, British Library Digital Collections, Corpus of Historical American English (COHA)). Although it also contains many additional, less specific entries, the correct ones are present, so it provides the necessary information to answer the question."
