:ID,datasetName,mergeConfidence,mergedFrom,:LABEL
d1,Chronicling America,,,Dataset
d2,British Library Digital Collections,,,Dataset
d3,Corpus of Historical American English (COHA),,,Dataset
d4,datasets,,,Dataset
d5,both datasets,,,Dataset
d6,diachronic (historically shifting) text data,,,Dataset
d9,heterogeneous archival sources,,,Dataset
d10,digitized Stanford Library pamphlets,,,Dataset
d11,1890s datasets,,,Dataset
d12,Chronicling America subset (1890–1900),,,Dataset
d13,British Library,,,Dataset
d14,British Library collections,,,Dataset
d15,Cleaned text corpora for both archives (clean subset of the corpus),0.7739,['d16'],Dataset
d17,Annotated metadata files,,,Dataset
d18,README describing preprocessing steps and remaining known issues,,,Dataset
d19,Sunita and Michael’s curated clean subset,,,Dataset
d20,data impacted by OCR noise or metadata inconsistencies (OCR error data type subgroup),0.8077,"['d27', 'd7']",Dataset
d21,our current corpus subset,,,Dataset
d22,clean corpus subset,,,Dataset
d23,preprocessed historical corpus,,,Dataset
d24,pilot test sets,,,Dataset
d25,clean data type subgroup,,,Dataset
d26,Gaussian noise data type subgroup,,,Dataset
d28,stanford_annotations_may2019,,,Dataset
d30,Document F,,,Dataset
d31,anonymized participant IDs,,,Dataset
d32,annotator notes,,,Dataset
d33,annotated OCR error corpora (annotated OCR error corpus),0.8942,['d35'],Dataset
d34,Phased Dataset Release,,,Dataset
d37,annotated corpus (late-19th-century Bengali and English periodicals segment),,,Dataset
d38,datasets in the shared folder,,,Dataset
d39,major dataset segment,,,Dataset
d40,annotated historical OCR error corpus,,,Dataset
d41,dataset,,,Dataset
d42,dataset documentation,,,Dataset
d43,dataset_release_June2019,,,Dataset
d44,current corpus,,,Dataset
d45,Dataset and documentation ZIP archive,,,Dataset
d47,A Harmonized NLP Dataset and Documentation Protocol for OCR’d Historical Texts,,,Dataset
d49,corpus diversity statistics,,,Dataset
d50,language identification error rates,,,Dataset
d51,raw annotator agreement data,,,Dataset
d52,shared statistics spreadsheet,,,Dataset
d53,our dataset’s annotations and NLP processing outputs,,,Dataset
d54,digitized materials from both Indian and European sources,,,Dataset
d55,parental scans,,,Dataset
d56,annotator-generated resources,,,Dataset
d57,NLP outputs,,,Dataset
d58,raw scans,,,Dataset
d59,annotations,,,Dataset
d60,pre-processed datasets,,,Dataset
d61,NER annotation set,,,Dataset
d62,topical annotation set,,,Dataset
d63,Historical Bengali Serials,,,Dataset
d64,English Colonial Periodicals,,,Dataset
d65,Multilingual Archives,,,Dataset
d66,Bengali data slice (Bengali corpus),0.7643,['d71'],Dataset
d67,English data slice (English corpus),0.7604,['d72'],Dataset
d68,“Annotator_Agreement_ByGenre” tables (Annotator_Agreement_ByGenre tables),0.9444,['d73'],Dataset
d69,annotated corpora,,,Dataset
d70,our main corpus,,,Dataset
d74,Bengali and English source archives,,,Dataset
d75,Heritage Data: A Multilingual Benchmark for Bengali-English Colonial Documents,,,Dataset
d76,historical corpus of Bengali-English place names (Bengali-English Colonial Gazetteers),0.7672,['d88'],Dataset
d77,EntityAmbiguity_Examples_SSen_14Jan2020.docx,,,Dataset
d78,colonial-era newspapers and census records,,,Dataset
d79,reference list assembled during preliminary OCR correction,,,Dataset
d80,benchmark set,,,Dataset
d81,NormalizationPipeline_MBradley_2020.xlsx,,,Dataset
d82,Tables 3 and 5,,,Dataset
d83,historical place names,,,Dataset
d84,colonial gazetteer sources,,,Dataset
d86,"minimal, reusable dataset sample",,,Dataset
d87,"small, representative corpus sample",,,Dataset
d89,Wikidata,,,Dataset
d90,domain-specific gazetteers,,,Dataset
d92,colonial-era corpus,,,Dataset
d94,Bengali-English parallel corpus,,,Dataset
d95,Revision_Materials,,,Dataset
d96,demo materials and datasets,,,Dataset
d97,dataset samples,,,Dataset
d98,JCDL2020_Presentation_Materials,,,Dataset
d99,annotated datasets,,,Dataset
d100,annotated historical corpora and scripts (historical data),0.7897,"['d150', 'd165', 'd171', 'd178', 'd180', 'd191', 'd195', 'd215', 'd244', 'd253', 'd29', 'd292', 'd294', 'd36', 'd362', 'd376', 'd383', 'd401', 'd48', 'd8', 'd85', 'd91']",Dataset
d101,"open repository of demo scripts, annotation templates, and sample data",,,Dataset
d102,reviewer-only embargo dataset (dataset embargo),0.7807,"['d212', 'd213']",Dataset
d103,repository,,,Dataset
d104,institutional archives,,,Dataset
d105,Zenodo,,,Dataset
d106,OSF,,,Dataset
d107,datasets deriving from national archives or government records,,,Dataset
d108,sensitive/embargoed components,,,Dataset
d109,final versions of all datasets and code,,,Dataset
d110,multi-institutional datasets (cross-institutional dataset),0.7795,['d187'],Dataset
d111,annotated corpus samples,,,Dataset
d112,low-resource language benchmarks,,,Dataset
d113,internal dataset DOIs (sample data),0.7765,['d353'],Dataset
d114,Bengali–Gujarati historical corpora,,,Dataset
d115,French–English historical corpora,,,Dataset
d116,dataset harmonization protocol,0.87,['d117'],Dataset
d118,Bengali–Gujarati test datasets,,,Dataset
d119,French–English test datasets,,,Dataset
d120,low-resource dataset domains,,,Dataset
d121,low-resource lexicons,,,Dataset
d122,Bengali–Gujarati scenario,,,Dataset
d123,French–English scenario,,,Dataset
d124,Gujarati dataset,,,Dataset
d125,French historical corpus (French dataset),0.81,['d127'],Dataset
d126,Gujarati-trained model,,,Dataset
d128,Indian datasets,,,Dataset
d129,"European (GDPR Article 89, Recital 156) datasets (European datasets)",0.8001,['d131'],Dataset
d130,"Indian (IT Act, 2019 and the 2019 guidelines) datasets",,,Dataset
d132,ErrorPrivacy summary,,,Dataset
d133,supplementary Jupyter notebook,,,Dataset
d134,IACS_ApprovalLetter.pdf,,,Dataset
d135,collaborative GSheet (MinorRevision_ProgressTracker),,,Dataset
d136,preview PDF and latest .tex and .pdf source files,,,Dataset
d137,MinorRevision_ProgressTracker/Table2_Final_31Mar,,,Dataset
d138,sample OCR noise outputs,,,Dataset
d139,Global Historical Press Corpus,,,Dataset
d140,GHPC,,,Dataset
d141,HISTEXT-21,,,Dataset
d142,2019 dataset,,,Dataset
d143,South Asian historical language corpora (South Asian corpora),0.811,"['d144', 'd155']",Dataset
