:START_ID,:END_ID,:TYPE,context,source
pn2,mg1,attends,"I am available on April 6th, 2019, from 3 PM to 4 PM IST. If this works for everyone, I can set up a Zoom meeting.",e2
pn1,mg1,attends,"If this works for everyone, I can set up a Zoom meeting.",e2
pn3,mg1,attends,"If this works for everyone, I can set up a Zoom meeting.",e2
pn4,mg1,attends,"If this works for everyone, I can set up a Zoom meeting.",e2
pn2,mg2,attends,"If everyone agrees, I propose scheduling a meeting next week to finalize the project details.",e2
pn7,mg3,attends,The meeting on April 8th works for me.,e3
pn2,mg3,attends,The meeting on April 8th works for me.,e3
pn2,mg4,attends,The meeting on April 8th suits my schedule as well.,e4
pn8,mg4,attends,The meeting on April 8th suits my schedule as well.,e4
pn2,mg5,attends,"I have set up the Zoom meeting for April 6th, 2019, from 3 PM to 4 PM IST.",e5
pn1,mg5,attends,"Dear Team, I have set up the Zoom meeting for April 6th, 2019, from 3 PM to 4 PM IST.",e5
pn7,mg5,attends,"Dear Team, I have set up the Zoom meeting for April 6th, 2019, from 3 PM to 4 PM IST.",e5
pn8,mg5,attends,"Dear Team, I have set up the Zoom meeting for April 6th, 2019, from 3 PM to 4 PM IST.",e5
pn2,mg6,attends,"For our first progress check-in, I propose a group call next Friday, 19th April 2019, at 3 PM IST",e8
pn7,mg6,attends,"apologies for the early hour in California, Michael",e8
pn1,mg6,attends,"For our first progress check-in, I propose a group call next Friday, 19th April 2019, at 3 PM IST",e8
pn8,mg6,attends,"For our first progress check-in, I propose a group call next Friday, 19th April 2019, at 3 PM IST",e8
pn9,mg7,attends,The proposed check-in on 23rd April at 3 PM IST works well for me.,e9
pn2,mg7,attends,"The proposed check-in on 23rd April at 3 PM IST works well for me. Ramesh, kindly share the Google Meet link once confirmed.",e9
pn7,mg7,attends,The proposed check-in on 23rd April at 3 PM IST works well for me.,e9
pn1,mg7,attends,The proposed check-in on 23rd April at 3 PM IST works well for me.,e9
pn9,mg8,attends,"I will make my comments and preliminary analysis available ahead of our 23rd April check-in, so that we may align on next steps.",e12
pn7,mg8,attends,"I will make my comments and preliminary analysis available ahead of our 23rd April check-in, so that we may align on next steps.",e12
pn1,mg8,attends,"I will make my comments and preliminary analysis available ahead of our 23rd April check-in, so that we may align on next steps.",e12
pn2,mg8,attends,"I will make my comments and preliminary analysis available ahead of our 23rd April check-in, so that we may align on next steps.",e12
pn1,mg9,attends,ahead of our 23rd April check-in.,e13
pn9,mg9,attends,ahead of our 23rd April check-in.,e13
