:START_ID,:END_ID,:TYPE,context,source
pn2,mg1,attends,"I am available on April 6th, 2019, from 3 PM to 4 PM IST. If this works for everyone, I can set up a Zoom meeting.",YT6A22
pn1,mg1,attends,"If this works for everyone, I can set up a Zoom meeting.",YT6A22
pn7,mg1,attends,"If this works for everyone, I can set up a Zoom meeting.",YT6A22
pn8,mg1,attends,"If this works for everyone, I can set up a Zoom meeting.",YT6A22
pn2,mg2,attends,"If everyone agrees, I propose scheduling a meeting next week to finalize the project details.",YT6A22
pn7,mg3,attends,The meeting on April 8th works for me.,YT6A23
pn2,mg3,attends,The meeting on April 8th works for me.,YT6A23
pn2,mg4,attends,The meeting on April 8th suits my schedule as well.,YT6A24
pn4,mg4,attends,The meeting on April 8th suits my schedule as well.,YT6A24
pn2,mg5,attends,"I have set up the Zoom meeting for April 6th, 2019, from 3 PM to 4 PM IST.",YT6A25
pn1,mg5,attends,"Dear Team, I have set up the Zoom meeting for April 6th, 2019, from 3 PM to 4 PM IST.",YT6A25
pn7,mg5,attends,"Dear Team, I have set up the Zoom meeting for April 6th, 2019, from 3 PM to 4 PM IST.",YT6A25
pn4,mg5,attends,"Dear Team, I have set up the Zoom meeting for April 6th, 2019, from 3 PM to 4 PM IST.",YT6A25
pn2,mg6,attends,"For our first progress check-in, I propose a group call next Friday, 19th April 2019, at 3 PM IST",AJ4KD52N
pn7,mg6,attends,"apologies for the early hour in California, Michael",AJ4KD52N
pn1,mg6,attends,"For our first progress check-in, I propose a group call next Friday, 19th April 2019, at 3 PM IST",AJ4KD52N
pn4,mg6,attends,"For our first progress check-in, I propose a group call next Friday, 19th April 2019, at 3 PM IST",AJ4KD52N
pn8,mg7,attends,The proposed check-in on 23rd April at 3 PM IST works well for me.,P3V8WD4J
pn2,mg7,attends,"The proposed check-in on 23rd April at 3 PM IST works well for me. Ramesh, kindly share the Google Meet link once confirmed.",P3V8WD4J
pn7,mg7,attends,The proposed check-in on 23rd April at 3 PM IST works well for me.,P3V8WD4J
pn1,mg7,attends,The proposed check-in on 23rd April at 3 PM IST works well for me.,P3V8WD4J
pn8,mg8,attends,"I will make my comments and preliminary analysis available ahead of our 23rd April check-in, so that we may align on next steps.",W8RSK3BQ
pn7,mg8,attends,"I will make my comments and preliminary analysis available ahead of our 23rd April check-in, so that we may align on next steps.",W8RSK3BQ
pn1,mg8,attends,"I will make my comments and preliminary analysis available ahead of our 23rd April check-in, so that we may align on next steps.",W8RSK3BQ
pn2,mg8,attends,"I will make my comments and preliminary analysis available ahead of our 23rd April check-in, so that we may align on next steps.",W8RSK3BQ
pn1,mg9,attends,ahead of our 23rd April check-in.,JU4L39XZ
pn8,mg9,attends,ahead of our 23rd April check-in.,JU4L39XZ
pn7,mg9,attends,ahead of our 23rd April check-in.,JU4L39XZ
pn1,mg8,attends,"For the 23rd April check-in at 3 PM IST, I propose the following agenda:
1. Sunita's briefing on dataset harmonization progress and immediate needs",B9Z4EH5S
pn7,mg8,attends,"For the 23rd April check-in at 3 PM IST, I propose the following agenda:
2. Michael's demonstration of OCR/post-processing pipeline (using shared Chronicling America samples)",B9Z4EH5S
pn8,mg8,attends,"For the 23rd April check-in at 3 PM IST, I propose the following agenda:
3. Ananya's preliminary feedback on interpretability review and metadata system memo",B9Z4EH5S
pn2,mg8,attends,"Ramesh, please confirm if you will be able to circulate the Google Meet link for tomorrow's session",B9Z4EH5S
pn7,mg10,attends,"Dear Michael, Sunita, and Ananya,",ZD8KL7SW
pn1,mg10,attends,"Dear Michael, Sunita, and Ananya,",ZD8KL7SW
pn8,mg10,attends,"Dear Michael, Sunita, and Ananya,",ZD8KL7SW
pn2,mg10,attends,"As requested, I have set up the Google Meet session for our meeting on 23rd April at 3 PM IST (10:30 AM BST / 2:30 AM PDT).",ZD8KL7SW
pn1,mg11,attends,Thank you for the highly productive discussion during yesterday’s meeting.,AB7FQC9K
pn2,mg11,attends,Thank you for the highly productive discussion during yesterday’s meeting.,AB7FQC9K
pn7,mg11,attends,Thank you for the highly productive discussion during yesterday’s meeting.,AB7FQC9K
pn8,mg11,attends,Thank you for the highly productive discussion during yesterday’s meeting.,AB7FQC9K
pn1,c1,attends,cutting-edge insight for our targeted venues (ACL/EMNLP).,F2R6YT89
pn8,c1,attends,cutting-edge insight for our targeted venues (ACL/EMNLP).,F2R6YT89
pn2,c1,attends,cutting-edge insight for our targeted venues (ACL/EMNLP).,F2R6YT89
pn7,c1,attends,cutting-edge insight for our targeted venues (ACL/EMNLP).,F2R6YT89
pn1,c2,attends,cutting-edge insight for our targeted venues (ACL/EMNLP).,F2R6YT89
pn8,c2,attends,cutting-edge insight for our targeted venues (ACL/EMNLP).,F2R6YT89
pn2,c2,attends,cutting-edge insight for our targeted venues (ACL/EMNLP).,F2R6YT89
pn7,c2,attends,cutting-edge insight for our targeted venues (ACL/EMNLP).,F2R6YT89
