:START_ID,:END_ID,:TYPE,context,source
s57,j1,inVenue,I fully endorse proceeding with submission on ScholarOne by the planned 30 August timeline.,email_903
s13,j3,inVenue,we will proceed to schedule your article for publication in the upcoming issue of the ACM Journal on Computing and Cultural Heritage,email_251
s36,j3,inVenue,submission to the ACM Journal on Computing and Cultural Heritage,email_624
s1,c4,inVenue,Our manuscript has been successfully submitted to ACL 2019.,email_49
s44,j3,inVenue,submission to the ACM Journal on Computing and Cultural Heritage,email_779
s36,j3,inVenue,which has been registered under the submission identification number SUB-JOCCH-2022-0421 in the ACM Journal on Computing and Cultural Heritage (JOCCH) editorial system.,email_612
s34,c19,inVenue,I am confident that we are offering JCDL an exceptionally polished and inclusive set of materials that robustly showcase our shared research on historical NLP datasets.,email_547
s22,c11,inVenue,has been officially accepted for publication in the ACL 2021 conference proceedings.,email_338
s24,c11,inVenue,I have successfully submitted our oral presentation materials (final slide deck and supplementary notes) to the ACL 2021 submission portal ahead of the deadline.,email_365
s58,j3,inVenue,our assigned Submission ID is: SUB-JOCCH-2024-1143,email_951
s43,j26,inVenue,submitting the finalized correction form and annotated manuscript to ACM Production,email_755
s11,j3,inVenue,(Submission ID: SUB-JOCCH-2020-0047) to the ACM Journal on Computing and Cultural Heritage (JOCCH).,email_233
s35,c19,inVenue,"our full JCDL 2022 spotlight session package—including the revised pre-recorded video, finalized session summary, speaker biographies, accessibility script, and all supporting files—has been successfully uploaded to the conference submission portal this morning.",email_548
s2,j3,inVenue,submitted to the ACM Journal on Computing and Cultural Heritage,email_85;email_70;email_71
s36,j1,inVenue,"Thank you, Ananya, for keeping us updated on the JOCCH submission status (SUB-JOCCH-2022-0421)",email_625
s2,j3,inVenue,to the ACM Journal on Computing and Cultural Heritage (Submission ID: SUB-JOCCH-2019-0187),email_98
s2,j1,inVenue,"assuming all materials meet the publication checklist, your article is scheduled for inclusion in an upcoming JOCCH issue.",email_117
s56,j3,inVenue,"The complete submission package—including the main manuscript, high-resolution figures, annotated appendices, and cover letter—was uploaded via the JOCCH online submission portal without issue.",email_932
s43,j3,inVenue,"For your records, the manuscript has been assigned Submission ID: SUB-JOCCH-2023-0193 by the JOCCH editorial system.",email_734
s29,j1,inVenue,Planning for follow-up communications pending reviewer decision on SUB-JOCCH-2022-0362.,email_436
s2,j1,inVenue,camera-ready submission to JOCCH (SUB-JOCCH-2019-0187),email_114
s47,c1,inVenue,The attached confirmation from the ACL system indicates that our submission has been assigned Submission ID: SUB-ACL-2023-0321.,email_817
s30,c19,inVenue,Submission ID: SUB-JCDL-2022-0432 for JCDL 2022,email_484
s40,c30,inVenue,"I am pleased to inform you that the camera-ready manuscript, supplementary appendix, and response-to-reviewers sheet have now been successfully submitted to the JCDL 2023 portal.",email_675
s39,c30,inVenue,Submission ID: SUB-JCDL-2023-1174,email_659
s43,j1,inVenue,scheduled for online publication in the August 2023 issue of JOCCH,email_756
s43,j3,inVenue,submitted for review to the ACM Journal on Computing and Cultural Heritage,email_744
s22,c11,inVenue,We acknowledge receipt of your confirmation and are grateful for your team’s efficiency in following the outlined registration steps for ACL 2021.,email_343
s40,c30,inVenue,We are pleased to confirm that your submission (ID: SUB-JCDL-2023-0147) has successfully passed our administrative compliance check.,email_677
s2,j5,inVenue,submission for our manuscript entitled “NLP Approaches to Historical Entity Disambiguation: Lessons from Bengali-English Colonial Gazetteers” (Submission ID: SUB-JOCCH-2019-0187).,email_116
s60,j3,inVenue,submission to the ACM Journal on Computing and Cultural Heritage (JOCCH),email_972
s21,c11,inVenue,I have received the autogenerated submission receipt from the ACL system,email_336
s46,j1,inVenue,I have reviewed all files in the “JOCCH_Submission_27Oct2023” folder and confirm that everything appears complete and correctly formatted,email_795
s33,c19,inVenue,Please find the Submission ID for reference: SUB-JCDL-2022-0092.,email_532
s2,j3,inVenue,"Submission was completed through the ScholarOne system, under Submission ID: SUB-JOCCH-2019-0187",email_108
s2,j3,inVenue,resubmission to the ACM Journal on Computing and Cultural Heritage,email_100
s43,j1,inVenue,SUB-JOCCH-2023-0193,email_741
s30,c19,inVenue,"your camera-ready submission for JCDL 2022, entitled “Cross-Jurisdictional Protocols in NLP: FAQ Annexation for Multilingual Historical Media” (Submission ID: SUB-JCDL-2022-0432)",email_485
s11,j3,inVenue,formally submitted to the ACM Journal on Computing and Cultural Heritage (JOCCH),email_189
s2,j3,inVenue,We are pleased to confirm receipt of your recent submission to the ACM Journal on Computing and Cultural Heritage (JOCCH).,email_69
s50,c35,inVenue,It is gratifying to see the substantial work on harmonization and legal-operational flexibility in the historical NLP space being recognized at this level.,email_838
s47,c33,inVenue,submission to the 2023 Annual Meeting of the Association for Computational Linguistics (ACL),email_818;email_819
s24,c11,inVenue,your oral presentation submission has been ACCEPTED for presentation at ACL 2021,email_366
s58,j3,inVenue,Thank you for your recent resubmission to the ACM Journal on Computing and Cultural Heritage (JOCCH),email_952
s16,c1,inVenue,draft formal ACL submission and circulate the package to all co-authors for your final review ahead of our 4 November deadline.,email_314
s11,j1,inVenue,our JOCCH submission (Submission ID: SUB-JOCCH-2020-0047),email_232
s11,j3,inVenue,submission to JOCCH,email_206
s48,c1,inVenue,Thank you for promptly forwarding the ACL decision notification. I have thoroughly reviewed both the decision letter and the reviewer comments available on the submission portal.,email_820
s36,j1,inVenue,our manuscript SUB-JOCCH-2022-0421,email_614
s51,c36,inVenue,"your submission to ACL2024, entitled ‘‘Annotation Strategies and Workflow Transparency for 19th-Century Bengali-English Historical Texts’’ (Submission ID: SUB-ACL-2024-0193)",email_856
s18,c11,inVenue,official acceptance notification from ACL 2021,email_321
s2,j1,inVenue,I have read through the editorial summary and the reviewer reports attached to the latest JOCCH notification (SUB-JOCCH-2019-0187).,email_72
s20,c11,inVenue,"Ananya, I look forward to collaborating on the final formatting, particularly ensuring adherence to updated section numbering and all template specifics mandated by ACL 2021.",email_324
s22,c11,inVenue,"Your submission, titled ""Provenance-Aware NLP for Historical Texts: Annotation, Compliance, and Synthetic Instance Protocols,"" has been recorded under Submission ID: SUB-ACL-2021-0471.",email_337
s58,j3,inVenue,submitted to the ACM Journal on Computing and Cultural Heritage,email_953
s37,c30,inVenue,"submitted under Submission ID SUB-JCDL-2023-0417, has been ACCEPTED for presentation at JCDL 2023.",email_647
s29,j1,inVenue,"Looking ahead, I propose we outline the following immediate action points as we await the editorial decision for SUB-JOCCH-2022-0362:",email_427
s2,j5,inVenue,ACM JOCCH,email_77
s11,j3,inVenue,Our revised manuscript entitled “Domain Transfer Limits and Anchor-Based Reviewer Navigation for NLP on Historical Data” was submitted to the ACM Journal on Computing and Cultural Heritage.,email_219
s55,j1,inVenue,"I have reviewed the “JOCCH_SubmissionChecklist_v6May.xlsx” in detail and am pleased to confirm that all items under my purview—including institutional affiliations, author order, compliance appendix, and legal notice citation—are completely in order.",email_886
s43,j1,inVenue,resubmitted our revised manuscript for JOCCH,email_743
s11,j1,inVenue,submission to JOCCH (SUB-JOCCH-2020-0047),email_197
s22,c11,inVenue,"Your oral presentation, ""Provenance-Aware NLP for Historical Texts: Annotation, Compliance, and Synthetic Instance Protocols"" (Submission ID: SUB-ACL-2021-0471)",email_346
s38,j25,inVenue,Congratulations to all on our acceptance to JCDL 2023!,email_665
s40,c30,inVenue,SUB-JCDL-2023-0147,email_681
s11,j1,inVenue,SUB-JOCCH-2020-0047,email_226
s3,c30,inVenue,The consolidated abstract has now been uploaded to the JCDL 2023 submission portal.,email_645
s56,j3,inVenue,submitted under Submission ID SUB-JOCCH-2024-0421,email_934
s42,c30,inVenue,Your submission has been received successfully and assigned the following Submission ID for reference: **SUB-JCDL-2023-0427**,email_699
s11,j1,inVenue,Congratulations to everyone on the conditional acceptance of our JOCCH manuscript (SUB-JOCCH-2020-0047),email_235
s37,c30,inVenue,submitted to JCDL 2023,email_646
s3,c11,inVenue,"Based on this meticulous internal review and the unanimous sign-off from all authors, I fully support proceeding with the formal submission to the ACL online portal.",email_317
s49,c35,inVenue,submission to the 2024 Annual Meeting of the Association for Computational Linguistics (ACL 2024),email_837
s13,j1,inVenue,SUB-JOCCH-2021-0612,email_247
s39,c30,inVenue,JCDL 2023,email_663
s11,j3,inVenue,submission to the ACM Journal on Computing and Cultural Heritage (JOCCH),email_220
s13,j3,inVenue,"scheduled for publication in Volume 16, Issue 4 (September 2021) of the ACM Journal on Computing and Cultural Heritage",email_253
s11,j1,inVenue,JOCCH Editorial Office,email_192
s60,j3,inVenue,formally submitted to the ACM Journal on Computing and Cultural Heritage (JOCCH),email_971
s62,c44,inVenue,"The submission was made via the departmental portal this morning along with a brief statement highlighting the collaborative, cross-institutional dimension of our work.",email_1001
s29,j1,inVenue,SUB-JOCCH-2022-0362,email_438
s29,j1,inVenue,Status update on JOCCH submission (SUB-JOCCH-2022-0362),email_444
