:ID,mergeConfidence,mergedFrom,metricName,:LABEL
mt123,,,provenance-aware precision,Metric
mt76,,,recall,Metric
mt91,0.8667,['mt92'],Macro-averaged F1 scores,Metric
mt26,,,clarity,Metric
mt250,,,interdisciplinary clarity,Metric
mt134,,,evaluation metrics for noisy historical data,Metric
mt96,,,macro-F1,Metric
mt242,,,citation compliance,Metric
mt192,,,hybrid evaluation suite,Metric
mt103,,,Rendering consistency,Metric
mt104,,,Cell boundary display,Metric
mt74,,,accessibility scores,Metric
mt283,,,cross-jurisdictional themes,Metric
mt284,,,compliance convergence,Metric
mt28,,,actionability,Metric
mt19,,,faithfulness,Metric
mt66,,,compliance,Metric
mt67,,,policy mismatches,Metric
mt68,,,best practices,Metric
mt302,,,consistent labeling,Metric
mt144,,,RTI processing timelines,Metric
mt145,,,UKRI mandates,Metric
mt239,,,quantitative transparency,Metric
mt149,,,joint publication and media impact metrics,Metric
mt30,,,Likert-scale questions,Metric
mt71,,,evaluation metrics,Metric
mt139,,,reduction in ambiguity for non-technical staff,Metric
mt65,,,legal attributions,Metric
mt208,,,axis labels for confusion matrix plots,Metric
mt303,,,cross-sectional consistency,Metric
mt259,,,processing multi-script and historical texts,Metric
mt260,,,community needs for normalization,Metric
mt122,,,margin note word count limits,Metric
mt150,,,house style (British English),Metric
mt151,,,JCDL’s visual identity protocols,Metric
mt7,,,character/error rates (CER and WER),Metric
mt8,,,token-level accuracy,Metric
mt10,,,adjusted historical vocabulary recall,Metric
mt11,,,provenance-based metrics,Metric
mt281,,,data provenance,Metric
mt282,,,legal permissions,Metric
mt29,,,high-quality feedback,Metric
mt251,,,functional and routable DOIs,Metric
mt97,,,error types and privacy strategies,Metric
mt1,,,accuracy,Metric
mt2,0.8365,"['mt270', 'mt5', 'mt9']",F1 scores,Metric
mt3,,,temporal consistency score,Metric
mt75,,,normalization accuracy,Metric
mt198,,,semantic change across time and language,Metric
mt4,,,methods for interpretability,Metric
mt231,,,prompt escalation of minor anomalies,Metric
mt232,,,typesetting inconsistencies,Metric
mt233,,,DOI workflow ambiguities,Metric
mt234,,,internal handovers or rapid consultations,Metric
mt235,,,visual integrity coordination with ACM Production,Metric
mt236,,,"project kickoff, proofing, and submission stages",Metric
mt38,,,annotator disagreement metrics,Metric
mt39,,,cross-lingual results,Metric
mt89,,,confusion matrix,Metric
mt90,,,error categories,Metric
mt206,,,generalizability,Metric
mt105,,,Boundary Error,Metric
mt100,,,error-type privacy,Metric
mt88,,,statistical significance,Metric
mt177,,,checksum values,Metric
mt36,,,artifact severity,Metric
mt99,,,precision,Metric
mt267,,,digital research transparency,Metric
mt268,,,data-sharing challenges,Metric
mt40,,,annotator disagreement,Metric
mt121,,,technical consistency,Metric
mt181,,,accessibility evaluation metrics,Metric
mt199,,,archival metadata interoperability,Metric
mt18,0.9123,['mt258'],real-world usability,Metric
mt184,0.8263,"['mt193', 'mt196', 'mt197', 'mt207', 'mt215', 'mt41', 'mt59', 'mt61', 'mt73']",inter-annotator agreement statistics (Cohen's kappa),Metric
mt98,,,figure-caption alignment,Metric
mt111,,,PDF accessibility,Metric
mt185,,,evaluation metric adaptation,Metric
mt186,,,annotation reliability,Metric
mt16,,,explanation consistency scores,Metric
mt20,,,faithfulness metrics,Metric
mt12,,,CER,Metric
mt13,,,WER,Metric
mt21,,,token accuracy,Metric
mt22,,,chronology prediction,Metric
mt23,,,cross-dataset transfer,Metric
mt24,,,actionability rating,Metric
mt255,,,transparency and reproducibility,Metric
mt25,,,token-level F1,Metric
mt225,,,CC BY-NC,Metric
mt226,,,MIT terms,Metric
mt124,,,provenance-aware metric,Metric
mt195,0.7541,['mt72'],evaluation metrics for annotated corpora (annotation reliability metrics),Metric
mt182,0.8249,"['mt183', 'mt42', 'mt60']",hybrid accuracy/recall/F1 scheme (F1 per class),Metric
mt261,,,typographical consistency,Metric
mt238,,,cross-references,Metric
mt209,,,evaluation metrics for historical NLP,Metric
