:START_ID,:END_ID,:TYPE
e1,pn1,sentBy
e2,pn2,sentBy
e3,pn3,sentBy
e4,pn4,sentBy
e5,pn2,sentBy
e6,pn1,sentBy
e7,pn3,sentBy
e8,pn1,sentBy
e9,j1,sentBy
e10,j1,sentBy
e11,pn2,sentBy
e12,pn1,sentBy
e13,pn1,sentBy
e14,pn1,sentBy
e15,j1,sentBy
e16,pn1,sentBy
e17,pn2,sentBy
e18,pn3,sentBy
e19,pn4,sentBy
e20,pn1,sentBy
e21,j1,sentBy
e22,pn1,sentBy
e23,pn4,sentBy
e24,pn3,sentBy
e25,pn1,sentBy
e26,pn1,sentBy
e27,pn2,sentBy
e28,pn3,sentBy
e29,pn4,sentBy
e30,pn1,sentBy
e31,pn3,sentBy
e32,pn1,sentBy
e33,pn2,sentBy
e34,pn4,sentBy
e35,pn1,sentBy
e36,pn3,sentBy
e37,pn4,sentBy
e38,pn2,sentBy
e39,pn1,sentBy
e40,pn3,sentBy
e41,pn2,sentBy
e42,c3,sentBy
e43,pn1,sentBy
e44,pn4,sentBy
e45,pn3,sentBy
e46,pn1,sentBy
e47,pn2,sentBy
e48,pn4,sentBy
e49,pn1,sentBy
e50,pn2,sentBy
e51,pn3,sentBy
e52,pn4,sentBy
e53,pn1,sentBy
e54,pn4,sentBy
e55,pn2,sentBy
e56,pn1,sentBy
e57,j1,sentBy
e58,pn1,sentBy
e59,pn2,sentBy
e60,pn4,sentBy
e61,j1,sentBy
e62,pn1,sentBy
e63,pn3,sentBy
e64,pn1,sentBy
e65,j1,sentBy
e66,pn4,sentBy
e67,pn3,sentBy
e68,pn1,sentBy
e69,pn2,sentBy
e70,pn4,sentBy
e71,pn2,sentBy
e72,pn1,sentBy
e73,pn3,sentBy
e74,pn1,sentBy
e75,pn4,sentBy
e76,pn9,sentBy
e77,pn4,sentBy
e78,pn3,sentBy
e79,pn2,sentBy
e80,pn1,sentBy
e81,pn4,sentBy
e82,pn1,sentBy
e83,pn2,sentBy
e84,pn3,sentBy
e85,pn4,sentBy
e86,pn2,sentBy
e87,pn1,sentBy
e88,pn3,sentBy
e89,pn1,sentBy
e90,pn4,sentBy
e91,pn3,sentBy
e92,pn2,sentBy
e93,pn1,sentBy
e94,pn4,sentBy
e95,pn3,sentBy
e96,pn2,sentBy
e97,pn1,sentBy
e98,pn4,sentBy
e99,c5,sentBy
e100,c5,sentBy
e101,pn2,sentBy
e102,pn3,sentBy
e103,pn1,sentBy
e104,pn4,sentBy
e105,pn2,sentBy
e106,c5,sentBy
e107,pn1,sentBy
e108,pn3,sentBy
e109,pn4,sentBy
e110,pn2,sentBy
e111,c5,sentBy
e112,pn1,sentBy
e113,pn3,sentBy
e114,pn4,sentBy
e115,pn2,sentBy
e116,pn1,sentBy
e117,pn3,sentBy
e118,j2,sentBy
e119,j2,sentBy
e120,pn1,sentBy
e121,pn3,sentBy
e122,j2,sentBy
e123,pn2,sentBy
e124,pn1,sentBy
e125,pn4,sentBy
e126,pn1,sentBy
e127,pn3,sentBy
e128,pn4,sentBy
e129,pn1,sentBy
e130,pn3,sentBy
e131,pn1,sentBy
e132,j2,sentBy
e133,pn3,sentBy
e134,pn1,sentBy
e135,pn2,sentBy
e136,pn4,sentBy
e137,c6,sentBy
e138,c6,sentBy
e139,pn1,sentBy
e140,pn3,sentBy
e141,pn4,sentBy
e142,pn2,sentBy
e143,pn1,sentBy
e144,pn3,sentBy
e145,pn4,sentBy
e146,pn1,sentBy
e147,c6,sentBy
e148,pn1,sentBy
e149,c6,sentBy
e150,pn4,sentBy
e151,pn2,sentBy
e152,pn1,sentBy
e153,pn3,sentBy
e154,pn4,sentBy
e155,pn1,sentBy
e156,pn2,sentBy
e157,pn4,sentBy
e158,pn3,sentBy
e159,pn1,sentBy
e160,pn2,sentBy
e161,pn1,sentBy
e162,pn3,sentBy
e163,pn4,sentBy
e164,pn1,sentBy
e165,c7,sentBy
e166,c8,sentBy
e167,pn2,sentBy
e168,pn1,sentBy
e169,pn3,sentBy
e170,pn4,sentBy
e171,pn1,sentBy
e172,pn2,sentBy
e173,pn3,sentBy
e174,pn4,sentBy
e175,j1,sentBy
e176,j1,sentBy
e177,pn1,sentBy
e178,pn3,sentBy
e179,pn2,sentBy
e180,pn4,sentBy
e181,pn2,sentBy
e182,pn3,sentBy
e183,j1,sentBy
e184,j1,sentBy
e185,pn1,sentBy
e186,pn3,sentBy
e187,pn2,sentBy
e188,pn4,sentBy
e189,pn1,sentBy
e190,pn2,sentBy
e191,pn4,sentBy
e192,j1,sentBy
