:START_ID,:END_ID,:TYPE,context,source
pa1,pn1,hasAuthor,"Best regards,
Sunita",e1
pa1,pn1,hasAuthor,Thank you for your detailed proposal on Temporal Sentiment Analysis in Historical Archives.,e2
pa1,pn2,hasAuthor,I am writing to you to discuss collaboration on a research proposed by my doctoral student Sunita,e2
pa1,pn3,hasAuthor,I will ask Dr Michael Bradly ... if they wish to collaborate in this project,e2
pa1,pn4,hasAuthor,"I will ask ... and Dr Ananya Chatterjee, a post doctoral student in the University of Oxford if they wish to collaborate in this project",e2
pa2,pn9,hasAuthor,"our manuscript, titled “Evaluation Pipelines and Visualization Methodologies for NLP on Noisy Historical Data,”",e49
pa2,pn7,hasAuthor,"Dear Michael, Sunita, and Prof. Bhatia,

I am very pleased to inform you that our manuscript, titled “Evaluation Pipelines and Visualization Methodologies for NLP on Noisy Historical Data,”",e49
pa2,pn1,hasAuthor,"Dear Michael, Sunita, and Prof. Bhatia,

I am very pleased to inform you that our manuscript, titled “Evaluation Pipelines and Visualization Methodologies for NLP on Noisy Historical Data,”",e49
pa2,pn2,hasAuthor,"Dear Michael, Sunita, and Prof. Bhatia,

I am very pleased to inform you that our manuscript, titled “Evaluation Pipelines and Visualization Methodologies for NLP on Noisy Historical Data,”",e49
pa2,pn15,hasAuthor,- Corresponding Author: Ananya Chatterjee,e49
pa5,pn2,hasAuthor,- **Corresponding Author**: Prof. Ramesh Bhatia (as registered),e83
pa5,pn1,hasAuthor,"Best regards,

Sunita",e83
pa5,pn7,hasAuthor,"Dear Prof. Bhatia, Michael, and Ananya,",e83
pa5,pn9,hasAuthor,"Dear Prof. Bhatia, Michael, and Ananya,",e83
pa8,pn1,hasAuthor,"Dear Sunita, Michael, and Ananya, I am pleased to inform you that the revised manuscript along with the “Response to Reviewers” letter has been successfully submitted",e108
pa8,pn7,hasAuthor,"Dear Sunita, Michael, and Ananya, I am pleased to inform you that the revised manuscript along with the “Response to Reviewers” letter has been successfully submitted",e108
pa8,pn9,hasAuthor,"Dear Sunita, Michael, and Ananya, I am pleased to inform you that the revised manuscript along with the “Response to Reviewers” letter has been successfully submitted",e108
pa8,pn2,hasAuthor,I have acknowledged our joint contributions appropriately per the latest authorship guidelines.,e108
pa9,pn2,hasAuthor,"Dear Prof. Bhatia, Ms. Sen, Dr. Bradley, and Dr. Chatterjee,",e109
pa9,pn1,hasAuthor,"Dear Prof. Bhatia, Ms. Sen, Dr. Bradley, and Dr. Chatterjee,",e109
pa9,pn7,hasAuthor,"Dear Prof. Bhatia, Ms. Sen, Dr. Bradley, and Dr. Chatterjee,",e109
pa9,pn9,hasAuthor,"Dear Prof. Bhatia, Ms. Sen, Dr. Bradley, and Dr. Chatterjee,",e109
pa9,pn2,hasAuthor,your revised manuscript “NLP Approaches to Historical Entity Disambiguation: Lessons from Bengali-English Colonial Gazetteers”,e110
pa9,pn1,hasAuthor,your revised manuscript “NLP Approaches to Historical Entity Disambiguation: Lessons from Bengali-English Colonial Gazetteers”,e110
pa9,pn7,hasAuthor,your revised manuscript “NLP Approaches to Historical Entity Disambiguation: Lessons from Bengali-English Colonial Gazetteers”,e110
pa9,pn9,hasAuthor,your revised manuscript “NLP Approaches to Historical Entity Disambiguation: Lessons from Bengali-English Colonial Gazetteers”,e110
pa9,pn1,hasAuthor,"On behalf of my co-authors—Sunita Sen, Dr. Michael Bradley, and Dr. Ananya Chatterjee—I am submitting the camera-ready package for our manuscript entitled “NLP Approaches to Historical Entity Disambiguation: Lessons from Bengali-English Colonial Gazetteers”",e116
pa9,pn7,hasAuthor,"On behalf of my co-authors—Sunita Sen, Dr. Michael Bradley, and Dr. Ananya Chatterjee—I am submitting the camera-ready package for our manuscript entitled “NLP Approaches to Historical Entity Disambiguation: Lessons from Bengali-English Colonial Gazetteers”",e116
pa9,pn9,hasAuthor,"On behalf of my co-authors—Sunita Sen, Dr. Michael Bradley, and Dr. Ananya Chatterjee—I am submitting the camera-ready package for our manuscript entitled “NLP Approaches to Historical Entity Disambiguation: Lessons from Bengali-English Colonial Gazetteers”",e116
pa9,pn19,hasAuthor,"Best regards,

Ramesh Bhatia
Professor, Department of Computer Science
Indian Association for the Cultivation of Science
On behalf of all co-authors",e116
pa10,pn1,hasAuthor,toward developing a methods/workflow paper or tutorial proposal.,e126
pa10,pn2,hasAuthor,toward developing a methods/workflow paper or tutorial proposal.,e126
pa10,pn7,hasAuthor,toward developing a methods/workflow paper or tutorial proposal.,e126
pa10,pn9,hasAuthor,toward developing a methods/workflow paper or tutorial proposal.,e126
pn1,pa11,hasAuthor,"I would like to report that I have completed an initial draft of my section on cross-lingual entity normalization methods, as assigned for the JCDL tutorial proposal.",e127
pn2,pa13,hasAuthor,"Ramesh, thank you for harmonizing the narrative and providing detailed editorial support throughout.",e132
pn7,pa13,hasAuthor,Looking forward to our submission and hoping for a positive outcome!,e132
pn9,pa13,hasAuthor,"Ananya, once the final deck is assembled, please circulate a PDF copy for a last team review",e132
pn1,pa13,hasAuthor,"I support Sunita’s suggestion to explicitly emphasize, in the concluding slide, the workflow’s transferability",e132
pa14,pn9,hasAuthor,"Michael’s and Sunita’s contributions are both rigorously presented, and your editorial oversight has ensured a cohesive package.",e134
pa14,pn7,hasAuthor,"Michael’s and Sunita’s contributions are both rigorously presented, and your editorial oversight has ensured a cohesive package.",e134
pa14,pn1,hasAuthor,"Michael’s and Sunita’s contributions are both rigorously presented, and your editorial oversight has ensured a cohesive package.",e134
pa14,pn2,hasAuthor,"Otherwise, Ananya, you have my go-ahead to proceed with formal submission on behalf of our team.",e134
pa15,pn2,hasAuthor,You should each soon receive an automated acknowledgment email from the conference submission system as co-authors,e136
pa15,pn1,hasAuthor,You should each soon receive an automated acknowledgment email from the conference submission system as co-authors,e136
pa15,pn7,hasAuthor,You should each soon receive an automated acknowledgment email from the conference submission system as co-authors,e136
pa15,pn9,hasAuthor,You should each soon receive an automated acknowledgment email from the conference submission system as co-authors,e136
pa16,pn9,hasAuthor,Congratulations to everyone on the acceptance of our JCDL 2020 tutorial proposal!,e139
pa16,pn2,hasAuthor,Congratulations to everyone on the acceptance of our JCDL 2020 tutorial proposal!,e139
pa16,pn1,hasAuthor,Congratulations to everyone on the acceptance of our JCDL 2020 tutorial proposal!,e139
pa16,pn7,hasAuthor,Congratulations to everyone on the acceptance of our JCDL 2020 tutorial proposal!,e139
pa20,pn1,hasAuthor,"I am pleased to confirm that our camera-ready submission for the JCDL 2020 tutorial, ""NLP Methods for Large-Scale Historical Data: Annotation, Corpus Design, and Reproducibility,"" was successfully compiled and uploaded",e150
pa20,pn9,hasAuthor,"Dear Ananya, Michael, and Ramesh, I am pleased to confirm that our camera-ready submission for the JCDL 2020 tutorial, ""NLP Methods for Large-Scale Historical Data: Annotation, Corpus Design, and Reproducibility,"" was successfully compiled and uploaded",e150
pa20,pn7,hasAuthor,"Dear Ananya, Michael, and Ramesh, I am pleased to confirm that our camera-ready submission for the JCDL 2020 tutorial, ""NLP Methods for Large-Scale Historical Data: Annotation, Corpus Design, and Reproducibility,"" was successfully compiled and uploaded",e150
pa20,pn2,hasAuthor,"Dear Ananya, Michael, and Ramesh, I am pleased to confirm that our camera-ready submission for the JCDL 2020 tutorial, ""NLP Methods for Large-Scale Historical Data: Annotation, Corpus Design, and Reproducibility,"" was successfully compiled and uploaded",e150
pa20,pn1,hasAuthor,"Dear Sunita Sen, Dr. Michael Bradley, Dr. Ananya Chatterjee, and Prof. Ramesh Bhatia,",e151
pa20,pn7,hasAuthor,"Dear Sunita Sen, Dr. Michael Bradley, Dr. Ananya Chatterjee, and Prof. Ramesh Bhatia,",e151
pa20,pn9,hasAuthor,"Dear Sunita Sen, Dr. Michael Bradley, Dr. Ananya Chatterjee, and Prof. Ramesh Bhatia,",e151
pa20,pn2,hasAuthor,"Dear Sunita Sen, Dr. Michael Bradley, Dr. Ananya Chatterjee, and Prof. Ramesh Bhatia,",e151
pa21,pn7,hasAuthor,it was a privilege to co-present with such a dedicated team.,e160
pa21,pn9,hasAuthor,it was a privilege to co-present with such a dedicated team.,e160
pa21,pn2,hasAuthor,it was a privilege to co-present with such a dedicated team.,e160
pa21,pn1,hasAuthor,it was a privilege to co-present with such a dedicated team.,e160
pn9,pa22,hasAuthor,I am delighted by the prospect of moving our work forward through a survey/methods article for JOCCH.,e165
pn1,pa22,hasAuthor,"Sunita, could you coordinate with Michael on compiling the attendee feedback and collate any unique outreach messages for possible inclusion in the paper?",e165
pn7,pa22,hasAuthor,"Michael, your input on GitHub repository documentation and compliance will be especially helpful here.",e165
pn2,pa22,hasAuthor,"Thank you, Ramesh, for compiling the detailed meeting minutes and summarizing our action plan so clearly. I am delighted by the prospect of moving our work forward through a survey/methods article for JOCCH.",e165
pa23,pn1,hasAuthor,"Authorship order will follow the agreement discussed: Sunita (lead author), Ananya (co-lead), Michael (methodology and compliance senior lead), Ramesh (senior advisor).",e173
pa23,pn9,hasAuthor,"Authorship order will follow the agreement discussed: Sunita (lead author), Ananya (co-lead), Michael (methodology and compliance senior lead), Ramesh (senior advisor).",e173
pa23,pn7,hasAuthor,"Authorship order will follow the agreement discussed: Sunita (lead author), Ananya (co-lead), Michael (methodology and compliance senior lead), Ramesh (senior advisor).",e173
pa23,pn2,hasAuthor,"Authorship order will follow the agreement discussed: Sunita (lead author), Ananya (co-lead), Michael (methodology and compliance senior lead), Ramesh (senior advisor).",e173
pa24,pn9,hasAuthor,"Ananya, your revisions to the “Transfer Learning in Low-Resource Historical Texts” subsection are clear and well-positioned",e183
pa25,pn1,hasAuthor,"Dear Sunita, Michael, and Ananya,",e189
pa25,pn7,hasAuthor,"Dear Sunita, Michael, and Ananya,",e189
pa25,pn9,hasAuthor,"Dear Sunita, Michael, and Ananya,",e189
pa25,pn2,hasAuthor,"I am very happy to confirm that our manuscript, “Cross-Institutional Methods for NLP on Historical Data: Dataset Profiling, Transfer Approaches, and Compliance,” ... has now been formally submitted",e189
pa26,pn9,hasAuthor,Ananya’s prompt updates to the graphical abstract and the succinct audit checklist reference in the caption,e204
pa26,pn1,hasAuthor,Sunita’s mapping table and Michael’s updates to the Response to Reviewers comprehensively cover the main feedback points,e204
pa26,pn7,hasAuthor,Sunita’s mapping table and Michael’s updates to the Response to Reviewers comprehensively cover the main feedback points,e204
pa26,pn2,hasAuthor,Thank you all for your comprehensive and coordinated work on this revision cycle.,e204
pa27,pn7,hasAuthor,"Dear Dr. Bradley, Prof. Bhatia, Ms. Sen, and Dr. Chatterjee,",e205
pa27,pn2,hasAuthor,"Dear Dr. Bradley, Prof. Bhatia, Ms. Sen, and Dr. Chatterjee,",e205
pa27,pn1,hasAuthor,"Dear Dr. Bradley, Prof. Bhatia, Ms. Sen, and Dr. Chatterjee,",e205
pa27,pn9,hasAuthor,"Dear Dr. Bradley, Prof. Bhatia, Ms. Sen, and Dr. Chatterjee,",e205
pa27,pn7,hasAuthor,"Dear Dr. Bradley, Prof. Bhatia, Ms. Sen, and Dr. Chatterjee",e206
pa27,pn2,hasAuthor,"Dear Dr. Bradley, Prof. Bhatia, Ms. Sen, and Dr. Chatterjee",e206
pa27,pn1,hasAuthor,"Dear Dr. Bradley, Prof. Bhatia, Ms. Sen, and Dr. Chatterjee",e206
pa27,pn9,hasAuthor,"Dear Dr. Bradley, Prof. Bhatia, Ms. Sen, and Dr. Chatterjee",e206
pa29,pn7,hasAuthor,Thank you for confirming timelines and your readiness to collaborate on our JOCCH revision.,e211
pa29,pn2,hasAuthor,Thank you for confirming timelines and your readiness to collaborate on our JOCCH revision.,e211
pa29,pn9,hasAuthor,Thank you for confirming timelines and your readiness to collaborate on our JOCCH revision.,e211
pa29,pn1,hasAuthor,Thank you for confirming timelines and your readiness to collaborate on our JOCCH revision.,e211
pn2,pa31,hasAuthor,I am pleased to confirm that my draft for the revised ethical data sourcing and anonymization sections is now complete,e214
pn1,pa32,hasAuthor,supplementary materials uploaded by Sunita and Michael to the Drive.,e217
pn7,pa32,hasAuthor,supplementary materials uploaded by Sunita and Michael to the Drive.,e217
pa33,pn2,hasAuthor,"Best regards,

Ramesh",e219
pa33,pn9,hasAuthor,"All of your individual efforts—Ananya’s cross-consistency pass, Michael’s supplementary validation, and Sunita’s integration and final packaging—were crucial in reaching this milestone",e219
pa33,pn7,hasAuthor,"All of your individual efforts—Ananya’s cross-consistency pass, Michael’s supplementary validation, and Sunita’s integration and final packaging—were crucial in reaching this milestone",e219
pa33,pn1,hasAuthor,"All of your individual efforts—Ananya’s cross-consistency pass, Michael’s supplementary validation, and Sunita’s integration and final packaging—were crucial in reaching this milestone",e219
pa35,pn9,hasAuthor,"Dear Dr. Chatterjee, Prof. Bhatia, Ms. Sen, and Dr. Bradley,",e233
pa35,pn2,hasAuthor,"Dear Dr. Chatterjee, Prof. Bhatia, Ms. Sen, and Dr. Bradley,",e233
pa35,pn1,hasAuthor,"Dear Dr. Chatterjee, Prof. Bhatia, Ms. Sen, and Dr. Bradley,",e233
pa35,pn7,hasAuthor,"Dear Dr. Chatterjee, Prof. Bhatia, Ms. Sen, and Dr. Bradley,",e233
pa35,pn9,hasAuthor,"Dear Dr. Chatterjee, Prof. Bhatia, Ms. Sen, and Dr. Bradley, ... your revised submission ... “Cross-Language NLP Pipelines for Noisy Historical Data: Protocols, Benchmarks, and Reproducibility Advances”",e234
pa35,pn2,hasAuthor,"Dear Dr. Chatterjee, Prof. Bhatia, Ms. Sen, and Dr. Bradley, ... your revised submission ... “Cross-Language NLP Pipelines for Noisy Historical Data: Protocols, Benchmarks, and Reproducibility Advances”",e234
pa35,pn1,hasAuthor,"Dear Dr. Chatterjee, Prof. Bhatia, Ms. Sen, and Dr. Bradley, ... your revised submission ... “Cross-Language NLP Pipelines for Noisy Historical Data: Protocols, Benchmarks, and Reproducibility Advances”",e234
pa35,pn7,hasAuthor,"Dear Dr. Chatterjee, Prof. Bhatia, Ms. Sen, and Dr. Bradley, ... your revised submission ... “Cross-Language NLP Pipelines for Noisy Historical Data: Protocols, Benchmarks, and Reproducibility Advances”",e234
pa28,pn9,hasAuthor,Congratulations to everyone on the conditional acceptance of our JOCCH manuscript,e235
pa28,pn7,hasAuthor,Congratulations to everyone on the conditional acceptance of our JOCCH manuscript,e235
pa28,pn2,hasAuthor,Congratulations to everyone on the conditional acceptance of our JOCCH manuscript,e235
