:ID,taskDate,taskName,:LABEL
tk1,,Temporal Sentiment Analysis in Historical Archives,Task
tk5,,comparing Transformer-based models with traditional techniques like LSTM and CRFs,Task
tk6,2019-04-06,meeting to discuss ideas and coordinate next steps,Task
tk10,,sentiment analysis,Task
tk11,,initial experiments with dataset implementation,Task
tk12,,defining a timeline for results,Task
tk13,,initial data processing,Task
tk14,,prepare results from preliminary analyses,Task
tk15,,research additional evaluation methods,Task
tk16,,coordinate ongoing discussions,Task
tk17,,oversee the timeline,Task
tk19,,evaluate temporal consistency of models,Task
tk20,,establish a baseline,Task
tk21,,benchmark Transformer models,Task
tk22,,data processing,Task
tk25,,diachronic analysis,Task
tk26,,preprocessing across both datasets,Task
tk28,,inconsistent metadata remediation,Task
tk31,,research recent developments in interpretability specific to NLP on historical texts,Task
tk35,,circulate a brief summary of interpretability options ahead of the meeting,Task
tk39,,integrating an OCR correction tool,Task
tk40,,create custom mappings tailored for each archive,Task
tk41,,standardize using the majority format,Task
tk43,23,check-in,Task
tk47,,text recovery,Task
tk48,,training a custom OCR correction model,Task
tk51,,probabilistic inference based on content or publication context,Task
tk52,,reviewing a targeted sample of the OCR-challenged segments,Task
tk61,,memo summarizing the pros and cons of a unified versus dual mapping system for metadata standardization,Task
tk62,,downstream harmonization and documentation,Task
tk63,April 23,comments and preliminary analysis,Task
tk64,,analyze the impact of post-OCR artifacts on interpretability tools,Task
tk65,,tabulate the main date format inconsistencies,Task
tk66,,draft initial mapping schema for each archive,Task
tk67,,refine or switch to a unified mapping,Task
tk69,,Sunita's briefing on dataset harmonization progress and immediate needs,Task
tk71,,Ananya's preliminary feedback on interpretability review and metadata system memo,Task
tk72,,Joint discussion: unified vs. dual metadata mapping schema; plan for next harmonization/annotation steps,Task
tk73,,"Scheduling and discussion of next milestone (e.g., baseline model implementation, evaluation setup)",Task
tk74,,contrast the interpretability outputs on raw versus post-OCR-corrected text,Task
tk76,,review recent files and memos,Task
tk77,,advancing baseline modeling,Task
tk84,2019-04-30,formalize findings as a technical memo for circulation,Task
tk86,,data partitioning with decade-based splits for training and evaluation,Task
tk87,2019-05-01,draft the model configuration,Task
tk88,2019-04-28,share a jointly curated clean sample corpus,Task
tk89,2019-04-30,circulate interpretability memo,Task
tk90,2019-05-01,provide decade-partitioned data overview,Task
tk92,,suggest further evaluation metrics,Task
tk93,2019-05-03,next check-in meeting scheduling,Task
tk94,,manual verification to ensure high textual fidelity and alignment with dual metadata mapping policies,Task
tk95,,manual inspection or annotation standards for the initial subset,Task
tk96,,finalizing decade-based splits,Task
tk100,,upcoming baseline modeling,Task
tk101,,classification subtasks,Task
tk102,,retrieval subtasks,Task
tk106,,case study selection,Task
tk107,,chronology prediction,Task
tk108,,entity linking across archives,Task
tk109,early May,early May check-in,Task
tk110,,nominate 1-2 stretch evaluation goals,Task
tk111,1st May,baseline model configuration and evaluation workflow draft,Task
tk115,,modeling,Task
tk117,,Cross-Dataset Generalizability,Task
tk119,,downstream historiographical analysis,Task
tk124,,transfer evaluation between datasets,Task
tk125,2024-04-30,preparing interpretability memo,Task
tk126,,assessing explanation usability from a historian’s perspective,Task
tk129,2025-05-03,group meeting,Task
tk130,,include a small pilot with human annotators,Task
tk131,,short annotation exercise,Task
tk132,,collect brief feedback from actual historians or expert users on sample explanations,Task
tk136,,discuss the annotation pipeline and author responsibilities,Task
tk137,,streamline submission plan,Task
tk140,,expert assessments by digital history collaborators,Task
tk147,,finalize Google Meet or Zoom logistics and circulate the link,Task
tk152,,finalization of evaluation metrics & stretch goal feasibility,Task
tk155,,,Task
tk156,,proposed usability and faithfulness metrics,Task
tk157,,"vignettes with commentary on explanation clarity, including candidate samples for historian review",Task
tk158,,annotation protocol options (ad hoc survey vs. targeted feedback session),Task
tk160,,explanations associated with residual error,Task
tk161,,systematic annotation component in future work or as a post-submission extension,Task
tk162,,Monday’s session,Task
tk164,,comparative evaluation of LIME and SHAP on clean corpus subset,Task
tk166,2019-05-10,prepare annotation instructions and feedback form,Task
tk167,2019-05-04,upload baseline model config and preliminary results,Task
tk168,2019-05-05,review interpretability memo and provide feedback,Task
tk171,,modeling & evaluation,Task
tk172,,project oversight,Task
tk173,,literature review sections,Task
tk174,2019-05-10,initial results and annotation feedback,Task
tk175,2019-05-25,full draft with figures,Task
tk176,2019-06-05,ACL/EMNLP submission,Task
tk177,,training setup,Task
tk178,,validation setup,Task
tk179,,chronological prediction (year classification),Task
tk182,,error case annotation,Task
tk183,,next round of experiments,Task
tk184,,make modeling workflow more explicit for reproducibility and submission appendix,Task
tk185,,draft of the annotation instruction set,Task
tk187,2019-05-07,annotation,Task
tk188,,external annotations,Task
tk189,,outreach to Stanford colleagues,Task
tk190,,provide feedback on annotation protocol,Task
tk192,2019-05-07,revise annotation protocol,Task
tk194,7th May,finalizing annotation protocol,Task
tk195,,commencing annotation collection,Task
tk197,,outreach with cover note,Task
tk199,,"dispatch the finalized annotation instructions, feedback form, and cover note to the Stanford historians",Task
tk200,2025-05-12,receiving feedback from external annotators,Task
tk201,,serve as the main point of contact for any annotation-related questions,Task
tk203,,"confirm once the outreach has been completed, and track any progress updates from external collaborators",Task
tk206,,initial outreach to digital historian collaborators,Task
tk207,,serve as main point of contact for procedural queries,Task
tk209,2019-05-10,check Google Drive folder periodically,Task
tk210,2019-05-12,review initial annotation returns and discuss synthesis strategies and workflow adjustments,Task
tk211,,share additional resources or exemplars with annotators,Task
tk212,2019-05-12,annotation feedback,Task
tk214,,summarizing the key themes from Dr. Liu’s feedback,Task
tk215,,reviewing the annotation forms,Task
tk216,,refine interpretability analyses and draft narrative,Task
tk218,,pre-analysis highlighting salient trends and adding in-line margin notes to the Google Drive copies,Task
tk219,,flag data for potential exemplar visualizations,Task
tk220,,"quick tally of “willingness to use” scores, cross-referenced with the presence of noise or error in input documents",Task
tk222,,Rapid review of cross-annotator quantitative trends,Task
tk223,,Identification and discussion of recurring qualitative themes,Task
tk224,,Design choices for integrating visualizations,Task
tk226,,Next steps for incorporating insights into the draft,Task
tk227,,Assignment of drafting/editing responsibilities,Task
tk228,,Timeline for internal review ahead of conference deadline,Task
tk229,tomorrow morning (IST),circulate the Google Meet link and a shared live notes document,Task
tk230,,bring any further updates from Dr. Patel to the meeting,Task
tk231,,compare evolving evidence with reviewer guidelines from the latest ACL/EMNLP CFPs,Task
tk232,,quantitative review,Task
tk233,,qualitative analysis,Task
tk234,,visualization planning,Task
tk235,,reviewer expectation matching,Task
