email_id,subject_label,predicate,object_label,evidence_sentence,subject_type,object_type,source_type
e643,Dr. Michael Bradley,worksWith,Dr. Ananya Chatterjee,"Thank you, Michael, Ananya, and Sunita,",Person,Person,Gemma
e643,Dr. Michael Bradley,worksWith,Sunita Sen,"Thank you, Michael, Ananya, and Sunita,",Person,Person,Gemma
e643,Dr. Ananya Chatterjee,identifies,Unknown Submission,"In response to your first point, I have now updated the “Datasets” section to include the annotation inter-rater reliability figures from our pilot runs (average Cohen’s Kappa = 0.86 across language subsets),",Person,SubmissionID,Gemma
e643,Sunita Sen,identifies,Unknown Submission,"In response to your first point, I have now updated the “Datasets” section to include the annotation inter-rater reliability figures from our pilot runs (average Cohen’s Kappa = 0.86 across language subsets),",Person,SubmissionID,Gemma
e643,Sunita Sen,uses,Cohen’s kappa,"In response to your first point, I have now updated the “Datasets” section to include the annotation inter-rater reliability figures from our pilot runs (average Cohen’s Kappa = 0.86 across language subsets),",Person,Method,Gemma
e643,Dr. Ananya Chatterjee,worksOn,annotation inter-rater reliability,"In response to your first point, I have now updated the “Datasets” section to include the annotation inter-rater reliability figures from our pilot runs (average Cohen’s Kappa = 0.86 across language subsets),",Person,Dataset,Gemma
e643,Sunita Sen,worksOn,annotation inter-rater reliability,"In response to your first point, I have now updated the “Datasets” section to include the annotation inter-rater reliability figures from our pilot runs (average Cohen’s Kappa = 0.86 across language subsets),",Person,Dataset,Gemma
e643,Sunita Sen,worksOn,revise abstract,"Kindly review these latest changes and add any further feedback or last-minute edits by the morning of 24 August, so that Ananya can consolidate and circulate the final version as planned.",Person,Task,Gemma
e455,Dr. Michael Bradley,worksWith,Prof. Ramesh Bhatia,"Thank you, Prof. Bhatia, for your clear summary and for leading us through the finalization phase of our harmonized press query response protocol.",Person,Person,Gemma
e455,Dr. Michael Bradley,worksWith,Sunita Sen,"Sunita, your proactive contributions regarding RTI and regional translation are exemplary, and Ananya’s integration of GDPR and EU research citation frameworks has created a genuinely multifaceted resource.",Person,Person,Gemma
e455,Dr. Michael Bradley,worksWith,Dr. Ananya Chatterjee,"Sunita, your proactive contributions regarding RTI and regional translation are exemplary, and Ananya’s integration of GDPR and EU research citation frameworks has created a genuinely multifaceted resource.",Person,Person,Gemma
e455,Prof. Ramesh Bhatia,worksWith,Dr. Michael Bradley,"Thank you, Prof. Bhatia, for your clear summary and for leading us through the finalization phase of our harmonized press query response protocol.",Person,Person,Gemma
e455,Sunita Sen,worksWith,Dr. Michael Bradley,"Sunita, your proactive contributions regarding RTI and regional translation are exemplary, and Ananya’s integration of GDPR and EU research citation frameworks has created a genuinely multifaceted resource.",Person,Person,Gemma
e455,Dr. Ananya Chatterjee,worksWith,Dr. Michael Bradley,"Sunita, your proactive contributions regarding RTI and regional translation are exemplary, and Ananya’s integration of GDPR and EU research citation frameworks has created a genuinely multifaceted resource.",Person,Person,Gemma
e455,Sunita Sen,attends,JCDL 2022,Please count on me for any follow-up regarding the distribution process or for future revisions as we roll out this resource.,Person,Conference,Gemma
e455,Prof. Ramesh Bhatia,attends,JCDL 2022,Please count on me for any follow-up regarding the distribution process or for future revisions as we roll out this resource.,Person,Conference,Gemma
