:START_ID,:END_ID,:TYPE,context,source
s1,c3,inVenue,"our manuscript, titled “Evaluation Pipelines and Visualization Methodologies for NLP on Noisy Historical Data,” has been successfully submitted to ACL 2019. We have received the official submission confirmation, and our Submission ID is SUB-ACL-2019-0374.",MAILFY98K3WN
s2,j3,inVenue,The ScholarOne platform has assigned the following Submission ID for reference: SUB-JOCCH-2019-0187.,MAIL1NVF3JL9
s2,j3,inVenue,We are pleased to confirm receipt of your recent submission to the ACM Journal on Computing and Cultural Heritage (JOCCH).,MAILWF5N3R8C
s2,j3,inVenue,submitted to the ACM Journal on Computing and Cultural Heritage.,MAILBU84WK31
s2,j1,inVenue,the latest JOCCH notification (SUB-JOCCH-2019-0187),MAILA93SVWX7
s2,j1,inVenue,point-by-point response letter based on the reviewer reports (SUB-JOCCH-2019-0187),MAILE9T7PZD5
s2,j5,inVenue,our minor revision of the manuscript for the ACM JOCCH (Submission ID: SUB-JOCCH-2019-0187).,MAIL7SX1CHQ8
s2,j1,inVenue,for our JOCCH minor revision (Submission ID: SUB-JOCCH-2019-0187).,MAILFE2Q7SVM
s2,j3,inVenue,"our revised manuscript package for the ACM Journal on Computing and Cultural Heritage (JOCCH) has been successfully submitted this morning via the ACM submission portal.
...
- **JOCCH Submission ID**: SUB-JOCCH-2019-0187",MAILA5W4TJQ2
s2,j3,inVenue,Thank you for choosing the ACM Journal on Computing and Cultural Heritage for your work.,MAILM7PH2QZ8
s2,j3,inVenue,"your manuscript submitted to the ACM Journal on Computing and Cultural Heritage, entitled ...",MAILVGZ74QHB
s2,j3,inVenue,I have now formally submitted our revised manuscript ... to the ACM Journal on Computing and Cultural Heritage (Submission ID: SUB-JOCCH-2019-0187).,MAIL7ZA5PNXM
s2,j3,inVenue,"your resubmitted manuscript, entitled “NER Methodology and Heritage Data: A Multilingual Benchmark for Bengali-English Colonial Documents,” to the ACM Journal on Computing and Cultural Heritage.

Submission ID: SUB-JOCCH-2019-0187",MAILGL7XP2QZ
s2,j3,inVenue,"your resubmission to the ACM Journal on Computing and Cultural Heritage, entitled “NER Methodology and Heritage Data: A Multilingual Benchmark for Bengali-English Colonial Documents” (Submission ID: SUB-JOCCH-2019-0187).",MAILQ8HZ2CW7
s2,j3,inVenue,"submitted to the ACM Journal on Computing and Cultural Heritage (JOCCH) as of earlier today. Submission was completed through the ScholarOne system, under Submission ID: SUB-JOCCH-2019-0187.",MAILSYZT58FG
s2,j1,inVenue,"submitted to the ACM Journal on Computing and Cultural Heritage (JOCCH) as of earlier today. Submission was completed through the ScholarOne system, under Submission ID: SUB-JOCCH-2019-0187.",MAILSYZT58FG
s2,j3,inVenue,"submitted to the ACM Journal on Computing and Cultural Heritage (JOCCH), under Submission ID: SUB-JOCCH-2019-0187.",MAILU4RHAQ01
s2,j3,inVenue,the editorial board at the ACM Journal on Computing and Cultural Heritage (JOCCH) has accepted the paper,MAIL5ZWL2TCQ
s2,j1,inVenue,camera-ready submission to JOCCH (SUB-JOCCH-2019-0187),MAIL3JVTQY8L
s2,j5,inVenue,Per your acceptance notification and the ACM JOCCH (v2020) guidelines,MAIL4Q8V73YD
s2,j5,inVenue,Thank you for your diligent adherence to the ACM JOCCH camera-ready guidelines.,MAILRY7F6PQ4
s3,c6,inVenue,"I am pleased to inform you that the JCDL 2020 tutorial proposal has now been officially submitted via the conference portal.
...
We have been assigned the following Submission ID for tracking and correspondence:
SUB-JCDL-2020-0143",MAILQ19Y6D3A
s3,c8,inVenue,Thank you for your submission to the ACM/IEEE Joint Conference on Digital Libraries (JCDL) 2020.,MAILU16TWSQ8
s3,c6,inVenue,"On behalf of the JCDL 2020 Tutorials Committee, we thank you for your submission:

""Entity Normalization, Reproducibility, and FAIR Data Management in Historical NLP: A Workflow Tutorial""
Submission ID: SUB-JCDL-2020-0143",MAILRAK93ULG
s4,c6,inVenue,our camera-ready submission for the JCDL 2020 tutorial ... Submission ID: SUB-JCDL-2020-0718,MAILE94LJAPQ
s4,c6,inVenue,"On behalf of the JCDL 2020 committee, we extend our congratulations and confirm the official acceptance of your camera-ready materials.",MAILH8ZR57VQ
s5,j3,inVenue,has now been formally submitted to the ACM Journal on Computing and Cultural Heritage (JOCCH). ... Our submission has been assigned the following ID ... SUB-JOCCH-2020-0047.,MAIL2A8WBZR7
s5,j3,inVenue,Thank you for your submission to the ACM Journal on Computing and Cultural Heritage (JOCCH).,MAILW8J6BV3A
s5,j3,inVenue,submitted to the ACM Journal on Computing and Cultural Heritage (Submission ID: SUB-JOCCH-2020-0047).,MAILF1T8ZQK9
s5,j1,inVenue,I have carefully read the decision letter and attached reviewer feedback from the JOCCH Editorial Office (SUB-JOCCH-2020-0047),MAIL73UPQXJ2
s5,j1,inVenue,reaching the minor revision stage for SUB-JOCCH-2020-0047.,MAIL6BZLTW81
s5,j1,inVenue,we finalize our minor revision for submission to JOCCH (SUB-JOCCH-2020-0047).,MAILQ1B5ZWM9
s5,j3,inVenue,today’s submission to the ACM Journal on Computing and Cultural Heritage (SUB-JOCCH-2020-0047),MAIL7NKWPDG1
s5,j3,inVenue,submitted to the ACM Journal on Computing and Cultural Heritage (JOCCH). Your revision and all supplementary documents have been successfully uploaded,MAILF9QB2ST6
s5,j3,inVenue,"We thank you for submitting your work to JOCCH and look forward to receiving your revision.

Best regards,

The JOCCH Editorial Office
ACM Journal on Computing and Cultural Heritage",MAIL76PKFQ2S
s5,j1,inVenue,editorial decision email on SUB-JOCCH-2020-0047,MAIL3PA7YZXT
s5,j1,inVenue,final pre-submission phase of our JOCCH minor revision (SUB-JOCCH-2020-0047).,MAILQ8HG2ZVC
s5,j3,inVenue,Submission was completed via the JOCCH ScholarOne portal. The system has assigned the following tracking ID: SUB-JOCCH-2020-0047.,MAIL3DF92WNK
s5,j3,inVenue,your revised manuscript submission to the ACM Journal on Computing and Cultural Heritage (JOCCH):,MAILJ8WV4LXO
s5,j3,inVenue,your revised submission to the ACM Journal on Computing and Cultural Heritage (JOCCH):,MAILPB4T9K3G
s5,j1,inVenue,the decision from the JOCCH editorial office (SUB-JOCCH-2020-0047) requires only a minor revision,MAILNQ572JLV
s5,j1,inVenue,our JOCCH minor revision resubmission (SUB-JOCCH-2020-0047),MAILKQ9DHL7S
s5,j1,inVenue,our JOCCH minor revision tasks (SUB-JOCCH-2020-0047),MAIL1DZT5XQE
s5,j1,inVenue,our JOCCH minor revision package (SUB-JOCCH-2020-0047),MAIL82AXJ9LT
s5,j1,inVenue,our JOCCH minor revision (SUB-JOCCH-2020-0047),MAILN83Z3YLS
s5,j1,inVenue,"our fully revised minor revision manuscript, response letter, and all supplementary files for our JOCCH submission (Submission ID: SUB-JOCCH-2020-0047)",MAILQB4E93NW
s5,j3,inVenue,Submission ID: SUB-JOCCH-2020-0047) to the ACM Journal on Computing and Cultural Heritage (JOCCH).,MAILE9QX1W43
s5,j3,inVenue,"your revised submission to the ACM Journal on Computing and Cultural Heritage (JOCCH), “Cross-Language NLP Pipelines ...” (Submission ID: SUB-JOCCH-2020-0047).",MAILJ92KLD7P
s5,j1,inVenue,conditional acceptance of our JOCCH manuscript (SUB-JOCCH-2020-0047),MAIL2XNC51SK
s6,j3,inVenue,"uploaded to ScholarOne for the ACM Journal on Computing and Cultural Heritage (JOCCH).

**Submission ID for your reference:**  
SUB-JOCCH-2021-0612",MAILHL9F1QX7
s6,j3,inVenue,Thank you for choosing the ACM Journal on Computing and Cultural Heritage.,MAILK2V8RM3D
s6,j3,inVenue,your article will be scheduled for online publication in the forthcoming issue of the ACM Journal on Computing and Cultural Heritage.,MAIL97YF2KSH
