email_id,subject_label,predicate,object_label,evidence_sentence,subject_type,object_type,source_type
e267,Dr. Ananya Chatterjee,worksOn,outlining Oxford’s media release workflow,"Thank you, Ananya, for outlining Oxford’s media release workflow.",Person,Task,Qwen32b
e267,Sunita Sen,worksOn,taking leadership on IACS communications and logistics,"Sunita, thanks also to you for taking such steady leadership on both the IACS communications and all logistical fronts for our webinar.",Person,Task,Qwen32b
e267,Prof. Ramesh Bhatia,worksOn,preparing case studies,placeholders for Sunita’s introduction and for Ramesh/Ananya’s case studies,Person,Task,Qwen32b
e267,Sunita Sen,worksOn,preparing introduction,placeholders for Sunita’s introduction and for Ramesh/Ananya’s case studies,Person,Task,Qwen32b
e267,Dr. Ananya Chatterjee,worksOn,preparing case studies,placeholders for Sunita’s introduction and for Ramesh/Ananya’s case studies,Person,Task,Qwen32b
e267,Prof. Ramesh Bhatia,worksOn,preparing technical demo,an outline for my 20-min technical demo,Person,Task,Qwen32b
e267,Sunita Sen,worksOn,suggesting visual and annotation formats,suggested visual and annotation formats for clarity across a diverse digital humanities audience,Person,Task,Qwen32b
e267,Dr. Ananya Chatterjee,worksOn,suggesting visual and annotation formats,suggested visual and annotation formats for clarity across a diverse digital humanities audience,Person,Task,Qwen32b
e267,Prof. Ramesh Bhatia,worksOn,suggesting visual and annotation formats,suggested visual and annotation formats for clarity across a diverse digital humanities audience,Person,Task,Qwen32b
e267,Sunita Sen,worksOn,sharing draft slide deck framework,I am on track to share the draft slide deck framework with you all by 20 August,Person,Task,Qwen32b
e267,Dr. Ananya Chatterjee,worksOn,sharing draft slide deck framework,I am on track to share the draft slide deck framework with you all by 20 August,Person,Task,Qwen32b
e267,Prof. Ramesh Bhatia,worksOn,sharing draft slide deck framework,I am on track to share the draft slide deck framework with you all by 20 August,Person,Task,Qwen32b
e267,Sunita Sen,worksOn,providing compliance forms or data management assurances,if you need any additional compliance forms or data management assurances from the Stanford side for the IACS or webinar setups,Person,Task,Qwen32b
e267,Sunita Sen,worksOn,sending finalized release materials,please send me the finalized release materials,Person,Task,Qwen32b
e267,Sunita Sen,worksOn,initiating OUC's internal review,I will initiate the OUC’s internal review and keep you updated on their feedback or required changes,Person,Task,Qwen32b
e267,Sunita Sen,worksOn,reviewing press statements,our Office of University Communications (OUC) similarly requires at least 2 business days for review of any press statements,Person,Task,Qwen32b
e267,Sunita Sen,attends,sharing draft slide deck framework,I am on track to share the draft slide deck framework with you all by 20 August,Person,Meeting,Qwen32b
e267,Dr. Ananya Chatterjee,attends,sharing draft slide deck framework,I am on track to share the draft slide deck framework with you all by 20 August,Person,Meeting,Qwen32b
e267,Prof. Ramesh Bhatia,attends,sharing draft slide deck framework,I am on track to share the draft slide deck framework with you all by 20 August,Person,Meeting,Qwen32b
e55,Sunita Sen,worksOn,prepare the first draft of the digital poster,I am pleased to confirm my responsibilities and will coordinate closely with Ananya to prepare the first draft of the digital poster by 9 June.,Person,Task,Qwen32b
e55,Ananya Chatterjee,worksOn,prepare the first draft of the digital poster,I am pleased to confirm my responsibilities and will coordinate closely with Ananya to prepare the first draft of the digital poster by 9 June.,Person,Task,Qwen32b
e55,Sunita Sen,worksOn,compile relevant descriptive statistics and example cases,"once you share the documentation template for the dataset release (as discussed), I will also begin compiling relevant descriptive statistics and example cases from our annotated OCR error corpus to include in the dataset documentation and for use in the seminar poster visualizations.",Person,Task,Qwen32b
e55,Sunita Sen,worksWith,annotated OCR error corpus,"once you share the documentation template for the dataset release (as discussed), I will also begin compiling relevant descriptive statistics and example cases from our annotated OCR error corpus to include in the dataset documentation and for use in the seminar poster visualizations.",Person,Dataset,Qwen32b
e55,Michael Bradley,worksOn,adapt the codebase for annotator disagreement analysis,"Michael, I appreciate your initiative to adapt the codebase for annotator disagreement analysis.",Person,Task,Qwen32b
e55,Michael Bradley,worksWith,annotator disagreement analysis,"Michael, I appreciate your initiative to adapt the codebase for annotator disagreement analysis.",Person,Method,Qwen32b
e55,Sunita Sen,worksOn,share a shortlist of candidate datasets,I am currently reviewing several candidate datasets and will share a shortlist early next week.,Person,Task,Qwen32b
e55,Ramesh Bhatia,worksOn,review institutional requirements for dataset clearance,"Prof. Bhatia, I look forward to reviewing the institutional requirements for dataset clearance once you and Michael have mapped out the process.",Person,Task,Qwen32b
e55,Michael Bradley,worksOn,review institutional requirements for dataset clearance,"Prof. Bhatia, I look forward to reviewing the institutional requirements for dataset clearance once you and Michael have mapped out the process.",Person,Task,Qwen32b
e453,Working_Draft_Scenarios,hasAuthor,Sunita Sen,I have thoroughly reviewed the latest “Working_Draft_Scenarios” in the shared folder and appreciate the inclusion of both Stanford’s and Oxford’s compliance perspectives.,Paper,Person,Qwen32b
