:ID,mailDate,mailNum,:LABEL
e1,2019-04-01,YT6A21,Email
e2,2019-04-01,YT6A22,Email
e3,2019-04-02,YT6A23,Email
e4,2019-04-02,YT6A24,Email
e5,2019-04-02,YT6A25,Email
e6,2019-04-07,YT6A26,Email
e7,2019-04-10,ZR71X3HB,Email
e8,2019-04-12,AJ4KD52N,Email
e9,2019-04-13,P3V8WD4J,Email
e10,2019-04-15,Q9M7XZ8T,Email
e11,2019-04-16,DS4L8R2V,Email
e12,2019-04-17,W8RSK3BQ,Email
e13,2019-04-18,JU4L39XZ,Email
e14,2019-04-18,B9Z4EH5S,Email
e15,2019-04-18,ZD8KL7SW,Email
e16,2019-04-20,AB7FQC9K,Email
e17,2019-04-21,L72FWD19,Email
e18,2019-04-22,F2R6YT89,Email
e19,2019-04-23,MN42KXHS,Email
e20,2019-04-24,V9T5QK23,Email
e21,2019-04-24,X7P4ZJ13,Email
e22,2019-04-25,4GNV9SZP,Email
e23,2019-04-26,SJ9HD3WK,Email
e24,2019-04-27,P8LK3QZR,Email
e25,2019-04-28,MAIL6VM4ZB12,Email
e26,2019-04-29,2NR7PQKW,Email
e27,2019-04-30,MAIL3FP2JK89,Email
e28,2019-04-30,MAIL2H8QWS35,Email
e29,2019-05-01,MAIL8VC1XW04,Email
e30,2019-05-02,MAIL0R3NPX52,Email
e31,2019-05-04,MAIL2B4FDX13,Email
e32,2019-05-05,MAIL4WEXSG76,Email
e33,2019-05-06,MAIL1VF9CZ82,Email
e34,2019-05-06,MAIL7KLWXP01,Email
e35,2019-05-07,MAILN84PXVR5,Email
e36,2019-05-08,MAIL58PL9VCY,Email
e37,2019-05-09,MAIL2VJ4NARY,Email
e38,2019-05-10,MAILK3D9PZI7,Email
e39,2019-05-11,MAIL7T3QPWB1,Email
e40,2019-05-12,MAILGXK5T2QP,Email
e41,2019-05-12,MAILF39WV12K,Email
e42,2019-05-13,MAILE5FP1LQZ,Email
e43,2019-05-14,MAILWTG8Q12R,Email
e44,2019-05-15,MAILZTM27A6H,Email
