:START_ID,:END_ID,:TYPE
e1,t1,partOf
e2,t1,partOf
e3,t1,partOf
e4,t1,partOf
e5,t2,partOf
e6,t3,partOf
e7,t4,partOf
e8,t4,partOf
e9,t5,partOf
e10,t6,partOf
e11,t7,partOf
e12,t8,partOf
e13,t9,partOf
e14,t10,partOf
e15,t11,partOf
e16,t12,partOf
e17,t12,partOf
e18,t12,partOf
e19,t13,partOf
e20,t14,partOf
e21,t15,partOf
e22,t16,partOf
e23,t16,partOf
e24,t16,partOf
e25,t17,partOf
e26,t18,partOf
e27,t19,partOf
e28,t20,partOf
e29,t21,partOf
e30,t21,partOf
e31,t22,partOf
e32,t23,partOf
e33,t23,partOf
e34,t24,partOf
e35,t25,partOf
e36,t26,partOf
e37,t27,partOf
e38,t28,partOf
e39,t29,partOf
e40,t30,partOf
e41,t31,partOf
e42,t32,partOf
e43,t33,partOf
e44,t34,partOf
e45,t35,partOf
e46,t36,partOf
e47,t37,partOf
e48,t38,partOf
e49,t39,partOf
e50,t40,partOf
e51,t41,partOf
e52,t42,partOf
e53,t43,partOf
e54,t44,partOf
e55,t45,partOf
e56,t46,partOf
e57,t47,partOf
e58,t48,partOf
e59,t49,partOf
e60,t50,partOf
e61,t51,partOf
e62,t52,partOf
e63,t52,partOf
e64,t53,partOf
e65,t54,partOf
e66,t55,partOf
e67,t55,partOf
e68,t56,partOf
e69,t57,partOf
e70,t58,partOf
e71,t58,partOf
e72,t59,partOf
e73,t60,partOf
e74,t61,partOf
e75,t62,partOf
e76,t63,partOf
e77,t64,partOf
e78,t64,partOf
e79,t65,partOf
e80,t66,partOf
e81,t67,partOf
e82,t68,partOf
e83,t69,partOf
e84,t70,partOf
e85,t71,partOf
e86,t71,partOf
e87,t72,partOf
e88,t73,partOf
e89,t74,partOf
e90,t75,partOf
e91,t76,partOf
e92,t77,partOf
e93,t78,partOf
e94,t79,partOf
e95,t80,partOf
e96,t81,partOf
e97,t82,partOf
e98,t83,partOf
e99,t84,partOf
e100,t85,partOf
e101,t86,partOf
e102,t87,partOf
e103,t88,partOf
e104,t89,partOf
e105,t90,partOf
e106,t91,partOf
e107,t92,partOf
e108,t93,partOf
e109,t94,partOf
e110,t95,partOf
e111,t96,partOf
e112,t97,partOf
e113,t98,partOf
e114,t99,partOf
e115,t100,partOf
e116,t101,partOf
e117,t102,partOf
e118,t103,partOf
e119,t104,partOf
e120,t105,partOf
e121,t106,partOf
e122,t107,partOf
e123,t108,partOf
e124,t109,partOf
e125,t110,partOf
e126,t111,partOf
e127,t112,partOf
e128,t113,partOf
e129,t114,partOf
e130,t60,partOf
e131,t115,partOf
e132,t116,partOf
e133,t117,partOf
e134,t118,partOf
e135,t119,partOf
e136,t120,partOf
e137,t121,partOf
e138,t122,partOf
e139,t123,partOf
e140,t124,partOf
e141,t125,partOf
e142,t126,partOf
e143,t127,partOf
e144,t128,partOf
e145,t129,partOf
e146,t130,partOf
e147,t131,partOf
e148,t132,partOf
e149,t133,partOf
e150,t134,partOf
e151,t134,partOf
e152,t135,partOf
e153,t136,partOf
e154,t137,partOf
e155,t138,partOf
e156,t139,partOf
e157,t140,partOf
e158,t141,partOf
e159,t142,partOf
e160,t143,partOf
e161,t144,partOf
e162,t145,partOf
e163,t146,partOf
e164,t147,partOf
e165,t148,partOf
e166,t149,partOf
e167,t150,partOf
e168,t151,partOf
e169,t152,partOf
e170,t153,partOf
e171,t154,partOf
e172,t155,partOf
e173,t156,partOf
e174,t157,partOf
e175,t158,partOf
e176,t159,partOf
e177,t160,partOf
e178,t161,partOf
e179,t162,partOf
e180,t163,partOf
e181,t164,partOf
e182,t165,partOf
e183,t166,partOf
e184,t167,partOf
e185,t168,partOf
e186,t169,partOf
e187,t170,partOf
e188,t171,partOf
e189,t172,partOf
e190,t173,partOf
e191,t174,partOf
e192,t175,partOf
e193,t176,partOf
e194,t177,partOf
e195,t178,partOf
e196,t179,partOf
e197,t180,partOf
e198,t181,partOf
e199,t182,partOf
e200,t183,partOf
e201,t184,partOf
e202,t185,partOf
e203,t186,partOf
e204,t187,partOf
e205,t188,partOf
e206,t189,partOf
e207,t190,partOf
e208,t191,partOf
e209,t192,partOf
e210,t193,partOf
e211,t194,partOf
e212,t195,partOf
e213,t196,partOf
e214,t197,partOf
e215,t198,partOf
e216,t199,partOf
e217,t200,partOf
e218,t201,partOf
e219,t202,partOf
e220,t203,partOf
e221,t204,partOf
e222,t205,partOf
e223,t206,partOf
e224,t207,partOf
e225,t208,partOf
e226,t209,partOf
e227,t210,partOf
e228,t211,partOf
e229,t212,partOf
e230,t213,partOf
e231,t214,partOf
e232,t215,partOf
e233,t216,partOf
e234,t217,partOf
e235,t218,partOf
e236,t219,partOf
e237,t220,partOf
e238,t221,partOf
e239,t221,partOf
e240,t222,partOf
e241,t223,partOf
e242,t224,partOf
e243,t225,partOf
e244,t226,partOf
e245,t227,partOf
e246,t228,partOf
e247,t229,partOf
e248,t230,partOf
e249,t231,partOf
e250,t232,partOf
