:START_ID,:END_ID,:TYPE,context,source
pa1,pn1,hasAuthor,"Best regards,
Sunita",YT6A21
pa1,pn1,hasAuthor,Thank you for your detailed proposal on Temporal Sentiment Analysis in Historical Archives.,YT6A22
pa1,pn2,hasAuthor,I am writing to you to discuss collaboration on a research proposed by my doctoral student Sunita,YT6A22
pa1,pn7,hasAuthor,I will ask Dr Michael Bradly ... if they wish to collaborate in this project,YT6A22
pa1,pn8,hasAuthor,"I will ask ... and Dr Ananya Chatterjee, a post doctoral student in the University of Oxford if they wish to collaborate in this project",YT6A22
pa2,pn8,hasAuthor,"our manuscript, titled “Evaluation Pipelines and Visualization Methodologies for NLP on Noisy Historical Data,”",MAILFY98K3WN
pa2,pn7,hasAuthor,"Dear Michael, Sunita, and Prof. Bhatia,

I am very pleased to inform you that our manuscript, titled “Evaluation Pipelines and Visualization Methodologies for NLP on Noisy Historical Data,”",MAILFY98K3WN
pa2,pn1,hasAuthor,"Dear Michael, Sunita, and Prof. Bhatia,

I am very pleased to inform you that our manuscript, titled “Evaluation Pipelines and Visualization Methodologies for NLP on Noisy Historical Data,”",MAILFY98K3WN
pa2,pn2,hasAuthor,"Dear Michael, Sunita, and Prof. Bhatia,

I am very pleased to inform you that our manuscript, titled “Evaluation Pipelines and Visualization Methodologies for NLP on Noisy Historical Data,”",MAILFY98K3WN
pa2,pn8,hasAuthor,- Corresponding Author: Ananya Chatterjee,MAILFY98K3WN
pa3,pn2,hasAuthor,- **Corresponding Author**: Prof. Ramesh Bhatia (as registered),MAILA5W4TJQ2
pa3,pn1,hasAuthor,"Best regards,

Sunita",MAILA5W4TJQ2
pa3,pn7,hasAuthor,"Dear Prof. Bhatia, Michael, and Ananya,",MAILA5W4TJQ2
pa3,pn8,hasAuthor,"Dear Prof. Bhatia, Michael, and Ananya,",MAILA5W4TJQ2
pa8,pn1,hasAuthor,"Dear Sunita, Michael, and Ananya, I am pleased to inform you that the revised manuscript along with the “Response to Reviewers” letter has been successfully submitted",MAILSYZT58FG
pa8,pn7,hasAuthor,"Dear Sunita, Michael, and Ananya, I am pleased to inform you that the revised manuscript along with the “Response to Reviewers” letter has been successfully submitted",MAILSYZT58FG
pa8,pn8,hasAuthor,"Dear Sunita, Michael, and Ananya, I am pleased to inform you that the revised manuscript along with the “Response to Reviewers” letter has been successfully submitted",MAILSYZT58FG
pa8,pn2,hasAuthor,I have acknowledged our joint contributions appropriately per the latest authorship guidelines.,MAILSYZT58FG
pa3,pn2,hasAuthor,"Dear Prof. Bhatia, Ms. Sen, Dr. Bradley, and Dr. Chatterjee,",MAILU4RHAQ01
pa3,pn1,hasAuthor,"Dear Prof. Bhatia, Ms. Sen, Dr. Bradley, and Dr. Chatterjee,",MAILU4RHAQ01
pa3,pn7,hasAuthor,"Dear Prof. Bhatia, Ms. Sen, Dr. Bradley, and Dr. Chatterjee,",MAILU4RHAQ01
pa3,pn8,hasAuthor,"Dear Prof. Bhatia, Ms. Sen, Dr. Bradley, and Dr. Chatterjee,",MAILU4RHAQ01
pa3,pn2,hasAuthor,your revised manuscript “NLP Approaches to Historical Entity Disambiguation: Lessons from Bengali-English Colonial Gazetteers”,MAIL5ZWL2TCQ
pa3,pn1,hasAuthor,your revised manuscript “NLP Approaches to Historical Entity Disambiguation: Lessons from Bengali-English Colonial Gazetteers”,MAIL5ZWL2TCQ
pa3,pn7,hasAuthor,your revised manuscript “NLP Approaches to Historical Entity Disambiguation: Lessons from Bengali-English Colonial Gazetteers”,MAIL5ZWL2TCQ
pa3,pn8,hasAuthor,your revised manuscript “NLP Approaches to Historical Entity Disambiguation: Lessons from Bengali-English Colonial Gazetteers”,MAIL5ZWL2TCQ
pa3,pn1,hasAuthor,"On behalf of my co-authors—Sunita Sen, Dr. Michael Bradley, and Dr. Ananya Chatterjee—I am submitting the camera-ready package for our manuscript entitled “NLP Approaches to Historical Entity Disambiguation: Lessons from Bengali-English Colonial Gazetteers”",MAIL4Q8V73YD
pa3,pn7,hasAuthor,"On behalf of my co-authors—Sunita Sen, Dr. Michael Bradley, and Dr. Ananya Chatterjee—I am submitting the camera-ready package for our manuscript entitled “NLP Approaches to Historical Entity Disambiguation: Lessons from Bengali-English Colonial Gazetteers”",MAIL4Q8V73YD
pa3,pn8,hasAuthor,"On behalf of my co-authors—Sunita Sen, Dr. Michael Bradley, and Dr. Ananya Chatterjee—I am submitting the camera-ready package for our manuscript entitled “NLP Approaches to Historical Entity Disambiguation: Lessons from Bengali-English Colonial Gazetteers”",MAIL4Q8V73YD
pa3,pn2,hasAuthor,"Best regards,

Ramesh Bhatia
Professor, Department of Computer Science
Indian Association for the Cultivation of Science
On behalf of all co-authors",MAIL4Q8V73YD
pa10,pn1,hasAuthor,toward developing a methods/workflow paper or tutorial proposal.,MAILZ8N4RTSY
pa10,pn2,hasAuthor,toward developing a methods/workflow paper or tutorial proposal.,MAILZ8N4RTSY
pa10,pn7,hasAuthor,toward developing a methods/workflow paper or tutorial proposal.,MAILZ8N4RTSY
pa10,pn8,hasAuthor,toward developing a methods/workflow paper or tutorial proposal.,MAILZ8N4RTSY
pa14,pn8,hasAuthor,"Michael’s and Sunita’s contributions are both rigorously presented, and your editorial oversight has ensured a cohesive package.",MAILE5R29QTM
pa14,pn7,hasAuthor,"Michael’s and Sunita’s contributions are both rigorously presented, and your editorial oversight has ensured a cohesive package.",MAILE5R29QTM
pa14,pn1,hasAuthor,"Michael’s and Sunita’s contributions are both rigorously presented, and your editorial oversight has ensured a cohesive package.",MAILE5R29QTM
pa14,pn2,hasAuthor,"Otherwise, Ananya, you have my go-ahead to proceed with formal submission on behalf of our team.",MAILE5R29QTM
pa15,pn2,hasAuthor,You should each soon receive an automated acknowledgment email from the conference submission system as co-authors,MAILQ19Y6D3A
pa15,pn1,hasAuthor,You should each soon receive an automated acknowledgment email from the conference submission system as co-authors,MAILQ19Y6D3A
pa15,pn7,hasAuthor,You should each soon receive an automated acknowledgment email from the conference submission system as co-authors,MAILQ19Y6D3A
pa15,pn8,hasAuthor,You should each soon receive an automated acknowledgment email from the conference submission system as co-authors,MAILQ19Y6D3A
pa16,pn8,hasAuthor,Congratulations to everyone on the acceptance of our JCDL 2020 tutorial proposal!,MAILDZ5A8KQ3
pa16,pn2,hasAuthor,Congratulations to everyone on the acceptance of our JCDL 2020 tutorial proposal!,MAILDZ5A8KQ3
pa16,pn1,hasAuthor,Congratulations to everyone on the acceptance of our JCDL 2020 tutorial proposal!,MAILDZ5A8KQ3
pa16,pn7,hasAuthor,Congratulations to everyone on the acceptance of our JCDL 2020 tutorial proposal!,MAILDZ5A8KQ3
pa20,pn1,hasAuthor,"I am pleased to confirm that our camera-ready submission for the JCDL 2020 tutorial, ""NLP Methods for Large-Scale Historical Data: Annotation, Corpus Design, and Reproducibility,"" was successfully compiled and uploaded",MAILE94LJAPQ
pa20,pn8,hasAuthor,"Dear Ananya, Michael, and Ramesh, I am pleased to confirm that our camera-ready submission for the JCDL 2020 tutorial, ""NLP Methods for Large-Scale Historical Data: Annotation, Corpus Design, and Reproducibility,"" was successfully compiled and uploaded",MAILE94LJAPQ
pa20,pn7,hasAuthor,"Dear Ananya, Michael, and Ramesh, I am pleased to confirm that our camera-ready submission for the JCDL 2020 tutorial, ""NLP Methods for Large-Scale Historical Data: Annotation, Corpus Design, and Reproducibility,"" was successfully compiled and uploaded",MAILE94LJAPQ
pa20,pn2,hasAuthor,"Dear Ananya, Michael, and Ramesh, I am pleased to confirm that our camera-ready submission for the JCDL 2020 tutorial, ""NLP Methods for Large-Scale Historical Data: Annotation, Corpus Design, and Reproducibility,"" was successfully compiled and uploaded",MAILE94LJAPQ
pa20,pn1,hasAuthor,"Dear Sunita Sen, Dr. Michael Bradley, Dr. Ananya Chatterjee, and Prof. Ramesh Bhatia,",MAILH8ZR57VQ
pa20,pn7,hasAuthor,"Dear Sunita Sen, Dr. Michael Bradley, Dr. Ananya Chatterjee, and Prof. Ramesh Bhatia,",MAILH8ZR57VQ
pa20,pn8,hasAuthor,"Dear Sunita Sen, Dr. Michael Bradley, Dr. Ananya Chatterjee, and Prof. Ramesh Bhatia,",MAILH8ZR57VQ
pa20,pn2,hasAuthor,"Dear Sunita Sen, Dr. Michael Bradley, Dr. Ananya Chatterjee, and Prof. Ramesh Bhatia,",MAILH8ZR57VQ
pa21,pn7,hasAuthor,it was a privilege to co-present with such a dedicated team.,MAIL1ADV9ZQW
pa21,pn8,hasAuthor,it was a privilege to co-present with such a dedicated team.,MAIL1ADV9ZQW
pa21,pn2,hasAuthor,it was a privilege to co-present with such a dedicated team.,MAIL1ADV9ZQW
pa21,pn1,hasAuthor,it was a privilege to co-present with such a dedicated team.,MAIL1ADV9ZQW
pa23,pn1,hasAuthor,"Authorship order will follow the agreement discussed: Sunita (lead author), Ananya (co-lead), Michael (methodology and compliance senior lead), Ramesh (senior advisor).",MAIL8Y4XRQJM
pa23,pn8,hasAuthor,"Authorship order will follow the agreement discussed: Sunita (lead author), Ananya (co-lead), Michael (methodology and compliance senior lead), Ramesh (senior advisor).",MAIL8Y4XRQJM
pa23,pn7,hasAuthor,"Authorship order will follow the agreement discussed: Sunita (lead author), Ananya (co-lead), Michael (methodology and compliance senior lead), Ramesh (senior advisor).",MAIL8Y4XRQJM
pa23,pn2,hasAuthor,"Authorship order will follow the agreement discussed: Sunita (lead author), Ananya (co-lead), Michael (methodology and compliance senior lead), Ramesh (senior advisor).",MAIL8Y4XRQJM
pa24,pn8,hasAuthor,"Ananya, your revisions to the “Transfer Learning in Low-Resource Historical Texts” subsection are clear and well-positioned",MAILYW15QH3T
pa25,pn1,hasAuthor,"Dear Sunita, Michael, and Ananya,",MAIL2A8WBZR7
pa25,pn7,hasAuthor,"Dear Sunita, Michael, and Ananya,",MAIL2A8WBZR7
pa25,pn8,hasAuthor,"Dear Sunita, Michael, and Ananya,",MAIL2A8WBZR7
pa25,pn2,hasAuthor,"I am very happy to confirm that our manuscript, “Cross-Institutional Methods for NLP on Historical Data: Dataset Profiling, Transfer Approaches, and Compliance,” ... has now been formally submitted",MAIL2A8WBZR7
pa25,pn8,hasAuthor,Ananya’s prompt updates to the graphical abstract and the succinct audit checklist reference in the caption,MAIL7NKWPDG1
pa25,pn1,hasAuthor,Sunita’s mapping table and Michael’s updates to the Response to Reviewers comprehensively cover the main feedback points,MAIL7NKWPDG1
pa25,pn7,hasAuthor,Sunita’s mapping table and Michael’s updates to the Response to Reviewers comprehensively cover the main feedback points,MAIL7NKWPDG1
pa25,pn2,hasAuthor,Thank you all for your comprehensive and coordinated work on this revision cycle.,MAIL7NKWPDG1
pa25,pn7,hasAuthor,"Dear Dr. Bradley, Prof. Bhatia, Ms. Sen, and Dr. Chatterjee,",MAILF9QB2ST6
pa25,pn2,hasAuthor,"Dear Dr. Bradley, Prof. Bhatia, Ms. Sen, and Dr. Chatterjee,",MAILF9QB2ST6
pa25,pn1,hasAuthor,"Dear Dr. Bradley, Prof. Bhatia, Ms. Sen, and Dr. Chatterjee,",MAILF9QB2ST6
pa25,pn8,hasAuthor,"Dear Dr. Bradley, Prof. Bhatia, Ms. Sen, and Dr. Chatterjee,",MAILF9QB2ST6
pa25,pn7,hasAuthor,"Dear Dr. Bradley, Prof. Bhatia, Ms. Sen, and Dr. Chatterjee",MAIL76PKFQ2S
pa25,pn2,hasAuthor,"Dear Dr. Bradley, Prof. Bhatia, Ms. Sen, and Dr. Chatterjee",MAIL76PKFQ2S
pa25,pn1,hasAuthor,"Dear Dr. Bradley, Prof. Bhatia, Ms. Sen, and Dr. Chatterjee",MAIL76PKFQ2S
pa25,pn8,hasAuthor,"Dear Dr. Bradley, Prof. Bhatia, Ms. Sen, and Dr. Chatterjee",MAIL76PKFQ2S
pa29,pn7,hasAuthor,Thank you for confirming timelines and your readiness to collaborate on our JOCCH revision.,MAIL57JWBKXN
pa29,pn2,hasAuthor,Thank you for confirming timelines and your readiness to collaborate on our JOCCH revision.,MAIL57JWBKXN
pa29,pn8,hasAuthor,Thank you for confirming timelines and your readiness to collaborate on our JOCCH revision.,MAIL57JWBKXN
pa29,pn1,hasAuthor,Thank you for confirming timelines and your readiness to collaborate on our JOCCH revision.,MAIL57JWBKXN
pa25,pn2,hasAuthor,"Best regards,

Ramesh",MAIL3DF92WNK
pa25,pn8,hasAuthor,"All of your individual efforts—Ananya’s cross-consistency pass, Michael’s supplementary validation, and Sunita’s integration and final packaging—were crucial in reaching this milestone",MAIL3DF92WNK
pa25,pn7,hasAuthor,"All of your individual efforts—Ananya’s cross-consistency pass, Michael’s supplementary validation, and Sunita’s integration and final packaging—were crucial in reaching this milestone",MAIL3DF92WNK
pa25,pn1,hasAuthor,"All of your individual efforts—Ananya’s cross-consistency pass, Michael’s supplementary validation, and Sunita’s integration and final packaging—were crucial in reaching this milestone",MAIL3DF92WNK
pa25,pn8,hasAuthor,"Dear Dr. Chatterjee, Prof. Bhatia, Ms. Sen, and Dr. Bradley,",MAILE9QX1W43
pa25,pn2,hasAuthor,"Dear Dr. Chatterjee, Prof. Bhatia, Ms. Sen, and Dr. Bradley,",MAILE9QX1W43
pa25,pn1,hasAuthor,"Dear Dr. Chatterjee, Prof. Bhatia, Ms. Sen, and Dr. Bradley,",MAILE9QX1W43
pa25,pn7,hasAuthor,"Dear Dr. Chatterjee, Prof. Bhatia, Ms. Sen, and Dr. Bradley,",MAILE9QX1W43
pa25,pn8,hasAuthor,"Dear Dr. Chatterjee, Prof. Bhatia, Ms. Sen, and Dr. Bradley, ... your revised submission ... “Cross-Language NLP Pipelines for Noisy Historical Data: Protocols, Benchmarks, and Reproducibility Advances”",MAILJ92KLD7P
pa25,pn2,hasAuthor,"Dear Dr. Chatterjee, Prof. Bhatia, Ms. Sen, and Dr. Bradley, ... your revised submission ... “Cross-Language NLP Pipelines for Noisy Historical Data: Protocols, Benchmarks, and Reproducibility Advances”",MAILJ92KLD7P
pa25,pn1,hasAuthor,"Dear Dr. Chatterjee, Prof. Bhatia, Ms. Sen, and Dr. Bradley, ... your revised submission ... “Cross-Language NLP Pipelines for Noisy Historical Data: Protocols, Benchmarks, and Reproducibility Advances”",MAILJ92KLD7P
