:ID,mergeConfidence,mergedFrom,personName,:LABEL
pn1,,,Sunita Sen,Person
pn2,,,Ramesh Bhatia,Person
pn3,,,Michael Bradley,Person
pn4,,,Ananya Chatterjee,Person
pn5,,,Ananya Chatterjee,Person
pn6,,,JCDL Communications Liaison,Person
pn7,,,Ramesh Bhatia,Person
pn8,,,Michael Bradley,Person
pn9,,,Ananya Chatterjee,Person
pn10,,,Ananya Chatterjee,Person
pn11,,,Sunita Sen,Person
pn12,,,Ramesh Bhatia,Person
pn13,,,co-authors,Person
pn14,,,Michael,Person
pn15,,,Ramesh,Person
pn16,,,Ananya,Person
pn17,,,Dr. Patel,Person
pn18,,,Dr. Markov,Person
pn19,,,expert in this field,Person
pn20,,,Laura Jenkins,Person
pn21,,,Sunita,Person
pn22,,,Ms. Sen,Person
pn23,,,partners from IACS,Person
pn24,,,Dr. Nguyen,Person
pn25,0.8306,['pn31'],Arvind Narayanan (Prof. Narayanan),Person
pn26,,,Dr. Ricci,Person
pn27,,,Christine Wong,Person
pn28,,,Fiona K.,Person
pn29,,,Dr. Rodriguez,Person
pn30,,,Lisa Nguyen,Person
pn32,,,Claudia Ricci,Person
pn33,,,"Johnson, L.",Person
pn34,,,"Sánchez-Gijón, P.",Person
pn35,,,Associate Editor,Person
pn36,,,S. Mukhopadhyay,Person
