:ID,mergeConfidence,mergedFrom,paperTitle,:LABEL
pa387,,,Manuscript Draft with Revised Data Availability Section,Paper
pa62,,,JCDL Tutorial Proposal,Paper
pa437,,,ACL revision,Paper
pa172,,,"Provenance-Aware NLP for Historical Texts: Annotation, Compliance, and Synthetic Instance Protocols",Paper
pa191,,,Consolidated Camera-Ready Package for ACL,Paper
pa39,,,JOCCH minor revisions,Paper
pa100,1.0,"['pa104', 'pa120', 'pa121', 'pa122']",JOCCH_Revision/FinalManuscript_18Nov22,Paper
pa167,,,ACL 2021 camera-ready submission,Paper
pa394,,,Project Retrospective & Workflow Reference,Paper
pa416,,,NDLI Workflow Documents,Paper
pa447,,,Revised Section 4.3 and Updated Figure 2 Workflow Diagram,Paper
pa87,,,Lay Abstract Draft,Paper
pa88,,,Compliance Appendices (Stanford and Joint),Paper
pa89,,,Preliminary Section Materials,Paper
pa90,,,Historical Corpus Profiling,Paper
pa91,,,Evaluation & Benchmarks,Paper
pa92,,,Methods Section,Paper
pa186,,,Final Submission,Paper
pa26,,,Unspecified Paper Title,Paper
pa46,,,Revised manuscript,Paper
pa231,,,JCDL 2022 submission,Paper
pa117,,,Domain Transfer Limits and Anchor-Based Reviewer Navigation for NLP on Historical Data,Paper
pa50,,,Manuscript under review,Paper
pa487,,,Technical Note on Practical Compliance and Data Release Workflows for NLP on Historical Collections,Paper
pa425,,,TransnationalNLP_ReflectionMemo_v2.3,Paper
pa305,,,Workshop Report,Paper
pa276,,,JCDL 2022 spotlight submission,Paper
pa524,,,Lessons Learned Documentation,Paper
pa48,,,JOCCH Submission,Paper
pa18,,,Evaluation Pipelines and Visualization Methodologies for NLP on Noisy Historical Data,Paper
pa63,,,FAIR Pipeline Summary,Paper
pa243,,,JCDL 2022 FAQ Annex,Paper
pa94,,,Manuscript with Transfer Learning in Low-Resource Historical Texts,Paper
pa342,,,JCDL abstract draft,Paper
pa137,,,Our article,Paper
pa17,,,Manuscript for ACL 2019,Paper
pa64,,,Master Slide Deck for JCDL 2020 Tutorial Proposal,Paper
pa53,,,NLP Approaches to Historical Entity Disambiguation: Lessons from Bengali-English Colonial Gazetteers,Paper
pa189,,,ACL Submission,Paper
pa488,,,Practical Compliance and Data Release Workflows for NLP on Historical Collections,Paper
pa395,,,Retrospective Document Outline,Paper
pa30,,,JOCCH manuscript,Paper
pa365,,,JCDL 2023 Presentation,Paper
pa253,,,Cross-Jurisdictional Protocols in NLP: FAQ Annexation for Multilingual Historical Media,Paper
pa85,,,JOCCH Submission Preparation – Aug/Sep 2020,Paper
pa499,,,JOCCH major revision,Paper
pa239,,,PressQuery_FAQ_Drafts/FINAL_Integrated_FAQ_Annex_v1.0,Paper
pa275,,,JCDL2022_FinalSpotlightDeck_v4.pptx,Paper
pa86,,,NLP Tools for Unlocking Historical Textual Data,Paper
pa403,,,Compliance Crosswalk Table,Paper
pa404,,,Pilot Study Data Integration,Paper
pa233,,,draft press query response template,Paper
pa461,,,Our ACL2024 paper,Paper
pa192,,,ACL 2022 submission,Paper
pa163,,,ACL Paper,Paper
pa106,,,JOCCH revision,Paper
pa480,,,technical note,Paper
pa482,,,MOU negotiation summary,Paper
pa483,,,Zenodo release case study,Paper
pa484,,,Compliance automation script,Paper
pa445,,,In-progress draft,Paper
pa49,,,Bengali-English Colonial Gazetteers,Paper
pa263,,,NLP on Historical Data Project,Paper
pa380,,,ACM JOCCH submission,Paper
pa4,,,ACL/EMNLP Submission,Paper
pa318,,,Full_Draft_JOCCH,Paper
pa410,,,Manuscript uploaded to JOCCH,Paper
pa532,,,Manuscript on Historical-Corpus NLP Context,Paper
pa258,,,JCDL 2022 press release,Paper
pa22,,,Sensitive Data & Risk Assessment,Paper
pa237,,,Unified Press Query Response Template and Scenario Annex,Paper
pa52,,,NLPHistory Manuscript,Paper
