:START_ID,:END_ID,:TYPE,context,source
e1,t1,partOf,YT6A21 partOf BTBBNN,YT6A21
e2,t1,partOf,YT6A22 partOf BTBBNN,YT6A22
e3,t2,partOf,YT6A23 partOf RA22JN,YT6A23
e4,t2,partOf,YT6A24 partOf RA22JN,YT6A24
e5,t2,partOf,YT6A25 partOf RA22JN,YT6A25
e6,t3,partOf,YT6A26 partOf B2MYMW,YT6A26
e7,t4,partOf,ZR71X3HB partOf YLQR56,ZR71X3HB
e8,t4,partOf,AJ4KD52N partOf YLQR56,AJ4KD52N
e9,t4,partOf,P3V8WD4J partOf YLQR56,P3V8WD4J
e10,t5,partOf,Q9M7XZ8T partOf HZ5K7N,Q9M7XZ8T
e11,t5,partOf,DS4L8R2V partOf HZ5K7N,DS4L8R2V
e12,t6,partOf,W8RSK3BQ partOf 1OSZJ0,W8RSK3BQ
e13,t7,partOf,JU4L39XZ partOf Y9DA8T,JU4L39XZ
e14,t8,partOf,B9Z4EH5S partOf O41MZ6,B9Z4EH5S
e15,t9,partOf,ZD8KL7SW partOf FU6Z67,ZD8KL7SW
e16,t10,partOf,AB7FQC9K partOf QUWSCC,AB7FQC9K
e17,t11,partOf,L72FWD19 partOf N6G5GS,L72FWD19
e18,t12,partOf,F2R6YT89 partOf 8HDJWN,F2R6YT89
e19,t13,partOf,MN42KXHS partOf L2Y0O9,MN42KXHS
e20,t14,partOf,V9T5QK23 partOf 394526,V9T5QK23
e21,t15,partOf,X7P4ZJ13 partOf 57B7BE,X7P4ZJ13
e22,t16,partOf,4GNV9SZP partOf E6LKXQ,4GNV9SZP
e23,t17,partOf,SJ9HD3WK partOf 8WE3KG,SJ9HD3WK
e24,t17,partOf,P8LK3QZR partOf 8WE3KG,P8LK3QZR
e25,t18,partOf,MAIL6VM4ZB12 partOf PC25TD,MAIL6VM4ZB12
e26,t19,partOf,2NR7PQKW partOf ZXHDJ7,2NR7PQKW
e27,t20,partOf,MAIL3FP2JK89 partOf ZFOPAG,MAIL3FP2JK89
e28,t20,partOf,MAIL2H8QWS35 partOf ZFOPAG,MAIL2H8QWS35
e29,t21,partOf,MAIL8VC1XW04 partOf O99TSJ,MAIL8VC1XW04
e30,t22,partOf,MAIL0R3NPX52 partOf REK2HE,MAIL0R3NPX52
e31,t23,partOf,MAIL2B4FDX13 partOf H5Q1QF,MAIL2B4FDX13
e32,t23,partOf,MAIL4WEXSG76 partOf H5Q1QF,MAIL4WEXSG76
e33,t24,partOf,MAIL1VF9CZ82 partOf J4ZGUT,MAIL1VF9CZ82
e34,t25,partOf,MAIL7KLWXP01 partOf BD6AHQ,MAIL7KLWXP01
e35,t26,partOf,MAILN84PXVR5 partOf KRRQWM,MAILN84PXVR5
