:START_ID,:END_ID,:TYPE,context,source
d1,tk1,usedFor,"I suggest we use datasets like the ""Chronicling America"" newspaper archives ... for this project",YT6A21
d2,tk1,usedFor,"I suggest we use datasets like the ""Chronicling America"" newspaper archives and the ""British Library Digital Collections.""",YT6A21
d3,tk1,usedFor,"We could also consider using annotated corpora like the ""Corpus of Historical American English (COHA)"" to fine-tune our models.",YT6A21
me1,tk2,usedFor,- Developing temporal embeddings to capture sentiment shifts.,YT6A21
me2,tk4,usedFor,- Exploring historical lexicons to address diachronic language changes.,YT6A21
me15,tk5,usedFor,"- Comparing Transformer-based models (e.g., BERT, GPT) with traditional techniques like LSTM and CRFs.",YT6A21
me4,tk5,usedFor,"- Comparing Transformer-based models (e.g., BERT, GPT) with traditional techniques like LSTM and CRFs.",YT6A21
me5,tk5,usedFor,"- Comparing Transformer-based models (e.g., BERT, GPT) with traditional techniques like LSTM and CRFs.",YT6A21
me6,tk5,usedFor,"- Comparing Transformer-based models (e.g., BERT, GPT) with traditional techniques like LSTM and CRFs.",YT6A21
me7,tk5,usedFor,"- Comparing Transformer-based models (e.g., BERT, GPT) with traditional techniques like LSTM and CRFs.",YT6A21
d1,tk1,usedFor,"she suggests we use datasets like the ""Chronicling America"" newspaper archives",YT6A22
d2,tk1,usedFor,"and the ""British Library Digital Collections.""",YT6A22
me1,tk2,usedFor,Developing temporal embeddings to capture sentiment shifts.,YT6A22
me2,tk4,usedFor,Exploring historical lexicons to address diachronic language changes.,YT6A22
me15,tk5,usedFor,"Comparing Transformer-based models (e.g., BERT, GPT) with traditional techniques like LSTM and CRFs.",YT6A22
me4,tk5,usedFor,"Comparing Transformer-based models (e.g., BERT, GPT) with traditional techniques like LSTM and CRFs.",YT6A22
me5,tk5,usedFor,"Comparing Transformer-based models (e.g., BERT, GPT) with traditional techniques like LSTM and CRFs.",YT6A22
me6,tk5,usedFor,traditional techniques like LSTM and CRFs.,YT6A22
me7,tk5,usedFor,traditional techniques like LSTM and CRFs.,YT6A22
me15,tk2,usedFor,"I appreciate the enthusiasm surrounding the Temporal Sentiment Analysis project. I find the proposed methodologies, especially the use of Transformer-based models, particularly compelling.",YT6A23
d4,tk2,usedFor,I'll ensure I am ready with some initial findings I can share regarding the datasets.,YT6A23
me8,tk2,usedFor,"evaluation methods that focus on interpretability, given the historical context we are analyzing.",YT6A24
d1,tk10,usedFor,Agreement on using the “Chronicling America” and “British Library Digital Collections” datasets for sentiment analysis.,YT6A26
d2,tk10,usedFor,Agreement on using the “Chronicling America” and “British Library Digital Collections” datasets for sentiment analysis.,YT6A26
d1,tk2,usedFor,"Thank you for the productive meeting yesterday regarding the Temporal Sentiment Analysis project.

1. Agreement on using the “Chronicling America” and “British Library Digital Collections” datasets for sentiment analysis.",YT6A26
d2,tk2,usedFor,"Thank you for the productive meeting yesterday regarding the Temporal Sentiment Analysis project.

1. Agreement on using the “Chronicling America” and “British Library Digital Collections” datasets for sentiment analysis.",YT6A26
me1,tk2,usedFor,The team will explore the development of temporal embeddings and investigate historical lexicons for language change.,YT6A26
me2,tk2,usedFor,The team will explore the development of temporal embeddings and investigate historical lexicons for language change.,YT6A26
me10,tk2,usedFor,"Metrics for evaluation include accuracy, F1-score, temporal consistency score, and methods for interpretability.",YT6A26
d1,tk18,usedFor,My preliminary analyses reveal substantial variance in sentiment lexicon usage across decades,ZR71X3HB
d2,tk18,usedFor,My preliminary analyses reveal substantial variance in sentiment lexicon usage across decades,ZR71X3HB
me1,tk18,usedFor,underscoring the need for robust temporal embeddings and alignment methods.,ZR71X3HB
me11,tk18,usedFor,underscoring the need for robust temporal embeddings and alignment methods.,ZR71X3HB
me12,tk19,usedFor,"we implement a chronological split (by decade) rather than a random split, to better evaluate the temporal consistency of our models.",ZR71X3HB
me13,tk19,usedFor,"we implement a chronological split (by decade) rather than a random split, to better evaluate the temporal consistency of our models.",ZR71X3HB
me6,tk20,usedFor,establish a baseline with LSTM and traditional lexicon-based approaches,ZR71X3HB
me14,tk20,usedFor,establish a baseline with LSTM and traditional lexicon-based approaches,ZR71X3HB
me15,tk21,usedFor,before benchmarking Transformer models like BERT and its diachronic variants.,ZR71X3HB
me4,tk21,usedFor,before benchmarking Transformer models like BERT and its diachronic variants.,ZR71X3HB
me16,tk21,usedFor,before benchmarking Transformer models like BERT and its diachronic variants.,ZR71X3HB
me17,tk18,usedFor,perhaps we can discuss model-agnostic methods such as LIME or SHAP?,ZR71X3HB
me18,tk18,usedFor,perhaps we can discuss model-agnostic methods such as LIME or SHAP?,ZR71X3HB
