:ID,meetAgenda,meetDate,meetLink,meetTime,:LABEL
mg1,discuss these ideas further and coordinate next steps,2019-04-06,,3 PM to 4 PM IST,Meeting
mg2,meeting next week to finalize the project details,,,,Meeting
mg3,delve deeper into the metrics and refine the evaluation framework for models,April 8,,,Meeting
mg4,project discussion on capturing sentiment shifts over time and historical sentiment trends,April 8,,,Meeting
mg5,"discussion of datasets, methodologies, and insights",2019-04-06,https://zoom.us/j/1234567890,3 PM to 4 PM IST,Meeting
mg6,first progress check-in group call,2019-04-19,,3 PM IST,Meeting
mg7,,,,,Meeting
mg8,23rd April check-in,April 23,,,Meeting
mg9,check-in,23rd April,,,Meeting
mg10,tomorrow’s check-in; ambitious agenda; advancing baseline modeling; possible venues for ultimate submission,23rd April,https://meet.google.com/hjk-mnrt-xqu,3 PM IST (10:30 AM BST / 2:30 AM PDT),Meeting
mg11,highly productive discussion for ongoing collaboration,2019-04-19,,3-4:30 PM IST,Meeting
mg12,60–90 minute check-in; confirm the session and streamline agenda including author responsibilities for a potential ACL/EMNLP submission draft,between 3rd–7th May,,,Meeting
mg13,next check-in,2024-05-03,,10:30 AM - 1:00 PM,Meeting
mg14,,,,,Meeting
mg15,"review Ananya’s interpretability memo, decide on pilot annotation logistics, confirm baseline model configuration and initial results, agree on final set of evaluation metrics and protocols, outline preliminary authorship and responsibilities map for planned ACL/EMNLP submission, set timeline for subsequent drafts and code releases",3rd May,,3 PM IST / 10:30 AM BST / 2:30 AM PDT,Meeting
mg16,check-in meeting,"Monday, 3rd May",https://meet.google.com/vty-cqsi-bjk,3 PM IST / 10:30 AM BST / 2:30 AM PDT,Meeting
mg17,"project discussion on interpretability memo, human annotation pilot, baseline model configuration, evaluation metrics, authorship, and timeline",2019-04-28,https://meet.google.com/vty-cqsi-bjk,3 PM IST / 10:30 AM BST / 2:30 AM PDT,Meeting
mg18,"focused session to discuss annotation feedback trends, qualitative themes, visualization prioritization, and integration into evaluation and discussion sections",2019-05-13,,,Meeting
mg19,synthesis session,13th May,,,Meeting
mg20,synthesis meeting,13th May,,,Meeting
mg21,"synthesis session; quantitative review, qualitative analysis, visualization planning, reviewer expectation matching, drafting assignments, additional discussion points, design planning segment",2019-05-06,https://meet.google.com/kzt-evwr-qiu,17:30 IST / 13:00 BST / 05:00 PDT,Meeting
mg22,"virtual debrief meeting to discuss strategy for dissemination, next steps, and to mark submission milestone",coming week,,,Meeting
mg23,,,,,Meeting
mg24,"strategizing outreach, potential follow-on research, presentation/poster preparation, dataset release plan, supplementary analyses, and possible journal extension","Wednesday, 2nd June",,16:30 IST,Meeting
mg25,Presentation/Poster Development; Phased Dataset Release; Supplementary Analyses; Journal Extension Planning,"Wednesday, 2nd June",https://meet.google.com/jxr-twth-uzc,16:30 IST,Meeting
mg26,short check-in,2019-06-17,,same time,Meeting
mg27,discuss flagged compliance issues and finalize phased release plan,2025-06-17,,,Meeting
mg28,,,,,Meeting
mg29,review meeting for robust and comprehensive data release protocol,2025-06-16,,,Meeting
mg30,"internal review meeting regarding the annotated historical OCR error corpus, its documentation, and institutional compliance",2019-06-04,https://meet.google.com/tcu-ocbb-wjd,16:00–17:00 IST,Meeting
mg31,quick troubleshooting session,,Google Meet,,Meeting
mg32,sign off on the merged documentation before submission,2019-06-21,https://meet.google.com/bpu-wxry-avf,16:30-17:00 IST,Meeting
mg33,"quick sign-off of the merged package; section-by-section confirmation of finalized documentation, technical validation, and risk/compliance text; consensus on submission of the package to JOCCH; assignment of final responsibilities for submission upload and corresponding author designation",21 June,https://meet.google.com/bpu-wxry-avf,16:30–17:00 IST,Meeting
mg34,final stage compliance checklist review and collective approval for submission,today,Google Meet,16:30 IST,Meeting
mg35,discuss progress and agree on a concrete timeline,early next week (Monday or Tuesday IST),,,Meeting
mg36,coordination meeting,30 August / 31 August,Zoom or usual Google Meet link,after 14:00 IST,Meeting
mg37,1. Quick review of draft expansions for “Limitations” and compliance clarifications  2. Walkthrough of the new annotator agreement table (I’ll circulate a preliminary spreadsheet by midday Monday)  3. Review template for the point-by-point response letter  4. Assignment of remaining drafting and review/editing responsibilities  5. Timeline check to ensure we’re on track for the 22 September revision deadline,2019-08-07,https://stanford.zoom.us/j/91738125460,15:15–16:30 IST,Meeting
mg38,Zoom meeting to discuss point-by-point response letter and related drafts,30 August,Zoom (link not shown in text),15:15 IST,Meeting
mg39,coordination meeting to guide minor revision of the manuscript for the ACM JOCCH,2019-08-08,Zoom,15:15–16:35 IST,Meeting
