:ID,passcode,meetDate,meetLink,meetAgenda,meetTime,:LABEL
mg1,,2019-04-08,,Discuss ideas and coordinate next steps for Temporal Sentiment Analysis research,15:00-16:00,Meeting
mg2,,2019-04-08,,delve deeper into the metrics and refine the evaluation framework for models,,Meeting
mg3,,2019-04-08,,Discussing next steps for Temporal Sentiment Analysis project,,Meeting
mg4,,2019-04-08,https://zoom.us/j/1234567890,Review of datasets and methodologies proposed,15:00-16:00,Meeting
mg5,,,,Discuss reviewers' comments and strategize revisions for ACM Journal submission,,Meeting
mg6,,2019-06-26,https://zoom.us/j/0987654321,Reviewing the reviewers' comments in detail. Discussing enhancements for a multimodal approach and refining feature extraction. Establishing a clear plan for addressing the feedback and preparing the revised submission.,15:00-16:30,Meeting
mg7,,2019-06-26,,Revisions for ACM Journal Submission,,Meeting
mg8,,2019-08-19,,clarify any lingering issues and confirm our next steps,,Meeting
mg9,,2019-08-16,,Check-in meeting for final submission review,10:00,Meeting
mg10,,2019-08-18,,Check-in meeting for final submission review,15:00,Meeting
mg11,,2019-08-16,,Quick check-in for finalizing the camera-ready submission,10:00,Meeting
mg12,,2019-08-16,https://zoom.us/j/1234567890,"Final review of the manuscript to ensure all feedback has been incorporated. Confirm any last-minute adjustments to figures, tables, and socio-political context segments. Finalize the authorship order and acknowledge contributions adequately. Discuss the formatting compliance and set a firm deadline for submission by 31st August.",10:00-10:30,Meeting
mg13,,2019-09-14,,Exploring new research directions and preliminary ideas,,Meeting
mg14,,2019-09-14,https://meet.google.com/qwe-rtyu-ioo,"Discussion on potential partnering archives and digital humanities projects. Methodological frameworks and incorporating transformers for analysis. Evaluation metrics that cater to historical linguistic nuances and cultural dimensions. Division of roles, if applicable, and laying out preliminary timelines.",10:00,Meeting
mg15,,2019-10-01,,Follow-up meeting to check progress and recalibrate approach,,Meeting
mg16,,2019-09-29,https://meet.google.com/abc-defg-hij,Final Review and Feedback on the Dataset Proposal - Last-minute observations and anticipated questions. Methodologies and Experimentation Plans - Initiating with BERT models and other identified techniques. Evaluation Strategies - Progress on metrics involving cultural and historical nuances. Contingency Plans - Discussing potential measures in case of data-sharing challenges.,15:00,Meeting
mg17,,2019-09-29,https://meet.google.com/abc-defg-hij,"Scalability of BERT experimentations, contingency plans for dataset access",15:00,Meeting
mg18,,2019-09-29,,"Follow-up meeting to discuss project scalability, model alignment, and alternative data access measures",15:00,Meeting
mg19,,2019-09-29,,Follow-up on research structuring and next steps,,Meeting
mg20,,2019-10-07,https://stanford.zoom.us/j/123456789,Review and Selection of Conferences and Journals. Division of Paper Writing Responsibilities. Establishment of a Draft Timeline for Abstract and Manuscript Submission. Addressing Any Potential Bottlenecks in Data Analysis and Experiments.,16:00,Meeting
mg21,,2019-10-07,,Publication strategy discussion,,Meeting
mg22,,2019-10-31,,Internal review of paper sections,,Meeting
mg23,,2020-02-15,,strategize key points for ACL 2020 presentation,,Meeting
mg24,,2020-02-14,,Review each reviewer's comments and discuss our strategies for addressing them specifically. Assign specific revision tasks to ensure all suggested changes are thoroughly implemented. Discuss and align our approach for the ACL presentation preparation.,16:00 IST / 10:30 GMT / 2:30 PST,Meeting
mg25,,2020-02-14,https://zoom.us/j/1234567890?pwd=abc12345,Address ACL camera-ready revisions and JOCCH manuscript development,,Meeting
mg26,,2020-02-14,,Discussion on ACL Revisions and JOCCH Progress,,Meeting
mg27,,2020-03-07,,literature mapping sessions to deepen the cultural contexts,,Meeting
mg28,,2020-03-10,,virtual presentation rehearsal for ACL 2020,,Meeting
mg29,,2020-03-07,,Literature mapping session focused on cultural contexts,,Meeting
mg30,,2020-03-08,,Brainstorming session for technological methodology exploration,,Meeting
mg31,,2020-03-10,,Virtual rehearsal for ACL conference presentation,15:00,Meeting
mg32,,2020-03-08,https://stanford.zoom.us/j/1234567890,"furthering technological methodologies, datasets for computational approaches, 19th-century literary corpora for BERT model refinements",10:00 PST / 18:00 GMT,Meeting
mg33,,2020-03-15,,round table discussion with Dr. Edward Long on historical data interpretation through computational frameworks,,Meeting
mg34,,2020-03-10,,ACL presentation rehearsal,,Meeting
mg35,,2020-03-15,,Discuss outcomes from Ananya’s round table with Dr. Edward Long and colleagues at Oxford,,Meeting
mg36,,2020-03-28,,Collective review meeting for manuscript objectives alignment,,Meeting
mg37,,2020-03-28,,Review of Final Draft for JOCCH,16:00,Meeting
mg38,,2020-03-28,,ACL Final Rehearsal,17:30,Meeting
mg39,,,,"Addressing methodological clarifications, Expanding the dataset: discussing potential sources, Enhancing the discussion to align with interdisciplinary strands",,Meeting
mg40,,2020-04-25,https://zoom.us/j/1234567890,"Overview of Review Feedback, Methodological Enhancements, Dataset Expansion Discussion, Discussion Section Enrichment, Setting Milestones",15:00 IST / 10:30 BST / 2:30 PDT,Meeting
