:ID,subject,threadID,:LABEL
t1,Re: Proposal for Collaborative Research on Temporal Sentiment Analysis in Historical Archives,K5L0QV,MailThread
t2,Meeting Confirmation,0OSH6D,MailThread
t3,Draft of Meeting Minutes - Temporal Sentiment Analysis Project Meeting on 08-04-2019,JT9DNS,MailThread
t4,Re: Proposal for Further Enhancement of Temporal Sentiment Analysis Framework,E8RJ9S,MailThread
t5,Acknowledgement of Submission - Paper ID: JOCCH21-TSA039,3CUDC0,MailThread
t6,Submission Update - Paper ID: JOCCH21-TSA039,Z19P5P,MailThread
t7,Upcoming Meeting to Discuss Paper Revisions,QX46AL,MailThread
t8,Scheduling Poll for Meeting on Revisions for ACM Journal Submission,S38LF1,MailThread
t9,Confirmation of Meeting - Discussion on Revisions for ACM Journal Submission,Y1L43Z,MailThread
t10,Meeting Minutes - Revisions for ACM Journal Submission,PWH0PD,MailThread
t11,Decision on Revised Submission - Paper ID: JOCCH21-TSA039,9K07LI,MailThread
t12,Re: Final Steps for ACM Journal Submission - Camera Ready Version,DQSWYL,MailThread
t13,Final Touches for Camera Ready Submission,VHB55J,MailThread
t14,Confirmation of Final Meeting - Camera Ready Version Submission,KDVUA7,MailThread
t15,Acknowledgment of Camera Ready Paper Submission - Paper ID: JOCCH21-TSA039,MRKNUA,MailThread
t16,Re: New Research Directions and Preliminary Ideas,2JO4C3,MailThread
t17,Coordination of Meeting for New Research Ideas,UB3PLF,MailThread
t18,Meeting Minutes and Next Steps for New Research Project,GX6M46,MailThread
t19,Follow-up on Datasets and Methodologies,EOKVTH,MailThread
t20,Progress on Dataset Acquisition,QP8HKJ,MailThread
t21,Re: Feedback on Dataset Proposal Draft,WP2KM4,MailThread
t22,Finalized Dataset Proposal and Next Steps,KEI8UA,MailThread
t23,Re: Organizing a Follow-up Meeting,MA66W3,MailThread
t24,Confirmation for Follow-up Meeting,SWPDFF,MailThread
t25,Meeting Minutes from Follow-up Meeting,JKCVWJ,MailThread
t26,Discussion on Paper Submission Options,PTRVHU,MailThread
t27,Zoom Meeting Invitation for Publication Strategy Discussion,CRGTEM,MailThread
t28,Meeting Minutes for Publication Strategy Discussion,KCYTO0,MailThread
t29,Progress Update and Next Steps for ACL Submission,X9521F,MailThread
t30,Further Work on the Manuscript and Journal Submission Considerations,I6XPY5,MailThread
t31,Submission Acknowledgement for ACL 2020,3CQHDV,MailThread
t32,Review Decision for Submission ID ACL22-2135-P,YX6ONB,MailThread
t33,ACL 2020 Acceptance Congratulations and Next Steps,LR95R2,MailThread
t34,Planning Upcoming Meetings for ACL Revisions and JOCCH Progress,56MYXK,MailThread
t35,Confirmation of Upcoming Meeting and Additional Logistical Details,1BPZY6,MailThread
t36,Meeting Minutes from Today’s Discussion on ACL Revisions and JOCCH Progress,0KKZV2,MailThread
t37,Further Improvements and Next Steps for ACL and JOCCH,X4EHAF,MailThread
t38,Submission Confirmation and Conference Registration Reminder,K3TOON,MailThread
t39,Improving Our Work for Future Submissions and Conference Preparations,61WF1O,MailThread
t40,Setting Up Collaborative Framework for ACL Presentation and JOCCH Manuscript,71KQEB,MailThread
t41,Follow-Up on Literature Mapping Session and Technological Exploration,X69GJ6,MailThread
t42,Outcomes from Technological Methodology Session and Oxford Collaboration Plans,FZ4APE,MailThread
t43,Meeting Minutes and Next Steps: ACL Presentation Rehearsal and JOCCH Collaboration,YEKLMC,MailThread
t44,Insights from Oxford Round Table and Final Amendments for ACL & JOCCH,JHJGL5,MailThread
t45,Progress on JOCCH Manuscript and Upcoming ACL Presentation,8T12XH,MailThread
t46,Confirmation of JOCCH Submission and Acknowledgment,Y7BLEH,MailThread
t47,Initial Review Feedback and Revision Request for Submission ID: JOCCH22A5Q8Z,N1EJ5S,MailThread
t48,Planning Revisions for JOCCH Submission: Insights Required,OH2P4V,MailThread
t49,Planning Upcoming Zoom Meeting for JOCCH Revisions,7PLD4W,MailThread
t50,Meeting Minutes from April 25th JOCCH Revisions Zoom Meeting,U5JV7H,MailThread
t51,Decision on Revised Manuscript Submission ID: JOCCH22A5Q8Z,9FQQDH,MailThread
t52,Re: Final Steps for Camera-Ready Submission: JOCCH22A5Q8Z,8VLBVG,MailThread
t53,Internal Review Complete for JOCCH Camera-Ready Submission,3ZSJ1B,MailThread
t54,Confirmation of Final Submission and Camera-Ready Version: JOCCH22A5Q8Z,D852KK,MailThread
t55,Re: Exploring New Research Directions in Historical NLP,8GTZD3,MailThread
t56,Scheduling Zoom Meeting for New Research Directions,0FIE8I,MailThread
t57,Meeting Minutes: Exploring New Research Directions,TT96FF,MailThread
t58,Re: Improving Strategies for Grant Proposal and Dataset Exploration,CA4Z5R,MailThread
t59,Literature Synthesis and Proposal Draft Attached,WJ588D,MailThread
t60,Feedback on Draft Proposal and Next Steps,ABS6CS,MailThread
t61,Revised Proposal and Final Touches,T6LP46,MailThread
t62,Submission Confirmation and Next Steps,GG6YO0,MailThread
t63,Review Feedback on Submission ID H202023GBM9 - Integrating Historical Datasets with NLP,9YT44U,MailThread
t64,Re: Feedback from Horizon 2019 on Our Proposal H202023GBM9,V0EJUN,MailThread
t65,Proposal Refurbishing Meeting Agenda and Details,1YOTHK,MailThread
t66,Meeting Minutes and Next Steps for Proposal Refinement,OI0234,MailThread
t67,Preliminary Draft and Feedback Request,2QI91R,MailThread
t68,Feedback on the Preliminary Draft and Further Suggestions,VEKVK3,MailThread
t69,Final Review Meeting for Revised Proposal,QXP81D,MailThread
t70,Discussion on Algorithm Refinement and Tool Development,G68TV0,MailThread
t71,Re: Follow-up on Algorithm Refinement and Tool Development Plans,I3WED7,MailThread
t72,Confirmation for Virtual Discussion on Development Plans,HEHGEB,MailThread
t73,Minutes from Virtual Discussion on Development Plans,VIRD21,MailThread
t74,Draft Plan for Adaptive Model Integration,6WXEIN,MailThread
t75,Feedback on Draft Plan for Adaptive Model Integration,V55ASC,MailThread
t76,Technology Platform Assessments for Prototype Development,VF0ZA2,MailThread
t77,Meeting Minutes and Next Steps on Adaptive Models and Prototypes,EMA4AD,MailThread
t78,Final Plan for Adaptive Model Integration,U5N9OS,MailThread
t79,Further Discussion on Journal Submission and Next Steps,TCU8B1,MailThread
t80,Confirmation and Preparation for Journal Submission Meeting,HXCH6O,MailThread
t81,Follow-Up on Manuscript Drafting and Journal Submission,9UY58G,MailThread
t82,Initial Draft Submission for Internal Review—NLP in Historical Data,56YJOG,MailThread
t83,Finalizing the Manuscript for Submission to JOCCH,J9M9CG,MailThread
t84,Acknowledgment of Paper Submission - ACL 2021,ZETJIW,MailThread
t85,Decision on Your Paper Submission - ACL 2021,RS8GJ3,MailThread
t86,Revision Plan for ACL Submission - Immediate Action Required,W9OTFQ,MailThread
t87,Clarifications and Zoom Meeting Invitation for ACL Paper Revision,Y4UC9V,MailThread
t88,Documentation of Meeting Minutes - ACL Revision Collaboration,8YCL3W,MailThread
t89,Feedback and Final Adjustments for ACL Paper Revision,6DLLAP,MailThread
t90,Submission Confirmation and Final Thoughts on ACL Paper,VESPWS,MailThread
t91,Notification of Acceptance - ACL 2021,9SY06E,MailThread
t92,Preparation for Camera-Ready Submission - ACL 2021,PO12SE,MailThread
t93,Drafting and Finalizing Technical Slides for ACL Presentation,LV8OGC,MailThread
t94,Visualization Strategy and Collaborative Session Confirmation,ZA04PN,MailThread
t95,Final Presentation Strategy and Mock Session Details for ACL 2021,9N1ZWG,MailThread
t96,Reminder: Camera-Ready Submission and Presentation Preparation - ACL 2021,JFPZB2,MailThread
t97,Travel Plans and Final Coordination for ACL 2021,T4D8IA,MailThread
t98,Final Travel Details and Pre-Conference Meetup Plans for ACL 2021,34OQ7S,MailThread
t99,Initial Thoughts on Next Research Phase Post-ACL 2021,I7USLD,MailThread
t100,Coordination for Post-ACL Research Meeting and Upcoming Collaborative Opportunities,WC1FM2,MailThread
t101,Minutes from Post-ACL Research Meeting - September 15,OD3NEP,MailThread
t102,Further Discussions on Manuscript Submission and Funding Strategy,B8GUHU,MailThread
t103,Manuscript Submission Acknowledgment and Review Process Initiation,X24GDT,MailThread
t104,Manuscript Review Decision for Submission ID JDOC12345,WO7OX7,MailThread
t105,Collaboration on Manuscript Revisions for JDOC12345 - Feedback Integration,HJE665,MailThread
t106,Completion of Manuscript Revisions for JDOC12345,8VRVOO,MailThread
t107,Final Decision and Acceptance for Submission ID JDOC12345,Q8EUEV,MailThread
t108,Preparations for Camera-Ready Submission and Next Research Steps,77VE75,MailThread
t109,Camera-Ready Version Draft for Final Review,KSG7W8,MailThread
t110,Feedback on Camera-Ready Draft,YHPRER,MailThread
t111,Final Submission of Camera-Ready Version and Copyright Agreement for JDOC12345,LIPG6Y,MailThread
t112,Preparation for Upcoming Meeting on February 5,YDYQPA,MailThread
t113,Minutes from February 5 Meeting,RTJ2S0,MailThread
t114,Draft Proposal for New Research on Under-Represented Linguistic Datasets,P1U2Y2,MailThread
t115,Finalized Proposal for New Research Initiative and Next Steps,YQGMUC,MailThread
t116,Acknowledgment of Submission - JDOC23456,3OBB9U,MailThread
t117,Follow-Up after Seminar on Advanced Syntactic Tools,VJR9ZI,MailThread
t118,Updates from First Bi-Weekly Meeting - Progress on Data Analysis,6OK4Z5,MailThread
t119,Next Steps for Grant Application and Upcoming Meeting Confirmation,IL1JLA,MailThread
t120,Minutes from March 24 Bi-Weekly Meeting,G6AQE5,MailThread
t121,Acknowledgment of Submission - ACL2022-P01567,9SQQDW,MailThread
t122,Notification of Decision - ACL2022-P01567,X0JNMX,MailThread
t123,Acceptance Notification and Required Revisions for ACL 2022,SJ6QO6,MailThread
t124,Strategy and Revisions Discussion for ACL 2022 Paper,LDAT8M,MailThread
t125,Minutes from Strategy Meeting for ACL 2022 Revisions,CZ3ODU,MailThread
t126,Final Review and Submission Strategy for ACL 2022,23LZK8,MailThread
