:ID,teamName,:LABEL
tm1,Journal on Computing and Cultural Heritage,Team
tm2,JOCCH Editorial Office,Team
tm3,JOCCH Editorial Office,Team
tm4,Department of Computer Science,Team
tm5,JCDL 2020 Submissions,Team
tm6,JOCCH Editorial Office,Team
tm7,Journal on Computing and Cultural Heritage,Team
tm8,JOCCH Editorial Office,Team
tm9,Department of Computer Science,Team
tm10,Department of Computer Science,Team
tm11,2021 Resource Track Committee,Team
tm12,The Program Committee,Team
tm13,2022 Program Committee,Team
tm14,JCDL 2022 Program Office,Team
tm15,JCDL 2022 Organizing Committee,Team
tm16,JCDL 2023 Submissions,Team
tm17,JCDL 2023 Program Committee,Team
tm18,The JCDL 2023 Proceedings Committee,Team
tm19,The JCDL 2023 Proceedings Committee,Team
tm20,JCDL2023 Submissions,Team
tm21,JOCCH Editorial Office,Team
tm22,JOCCH Editorial Office,Team
tm23,JOCCH Editorial Office,Team
tm24,2023 Submission Office,Team
tm25,2024 Submissions,Team
tm26,ACL2024 Program Chairs,Team
tm27,ACL2024 Publications Team,Team
tm28,JOCCH Editorial Office,Team
tm29,The JOCCH Editorial Office,Team
tm30,JOCCH Editorial Office,Team
tm31,press office at IACS,Team
tm32,Indian National Digital Library Foundation,Team
