:ID,mergeConfidence,mergedFrom,taskDate,taskName,:LABEL
tk1,,,,Temporal Sentiment Analysis in Historical Archives,Task
tk2,0.792,"['tk24', 'tk3', 'tk32', 'tk7', 'tk8', 'tk9']",,develop models that can detect sentiment and understand how sentiment evolves over time in archival texts (Temporal Sentiment Analysis project),Task
tk4,,,,exploring historical lexicons to address diachronic language changes,Task
tk5,,,,comparing Transformer-based models with traditional techniques like LSTM and CRFs,Task
tk6,,,2019-04-06,meeting to discuss ideas and coordinate next steps,Task
tk10,,,,sentiment analysis,Task
tk11,,,,initial experiments with dataset implementation,Task
tk12,,,,defining a timeline for results,Task
tk13,,,,initial data processing,Task
tk14,0.7739,['tk4398'],,prepare results from preliminary analyses (early drop of preliminary figures),Task
tk15,,,,research additional evaluation methods,Task
tk16,,,,coordinate ongoing discussions,Task
tk17,,,,oversee the timeline,Task
tk18,,,,sentiment lexicon usage analysis,Task
tk19,0.7901,['tk33'],,evaluation of models’ longitudinal generalizability (evaluate temporal consistency of models),Task
tk20,,,,establish a baseline,Task
tk21,,,,benchmark Transformer models,Task
tk22,,,,data processing,Task
tk23,0.8044,"['tk2618', 'tk3254']",,propose preferred windows for such a call (progress review call scheduling),Task
tk25,,,,diachronic analysis,Task
tk26,,,,preprocessing across both datasets,Task
tk27,0.8039,"['tk34', 'tk57', 'tk81']",,mitigate OCR noise or metadata inconsistencies without losing valuable historical nuance (OCR correction),Task
tk28,,,,inconsistent metadata remediation,Task
tk29,,,,review of model interpretability methods for our project,Task
tk30,,,,,Task
tk31,,,,research recent developments in interpretability specific to NLP on historical texts,Task
tk35,,,,circulate a brief summary of interpretability options ahead of the meeting,Task
tk37,0.8055,['tk46'],,"applying basic preprocessing steps such as deduplication, lowercasing, and removal of extraneous symbols",Task
tk38,,,,extraction of clean sentences for analysis,Task
tk39,,,,integrating an OCR correction tool,Task
tk40,,,,create custom mappings tailored for each archive,Task
tk41,,,,standardize using the majority format,Task
tk43,,,,check-in,Task
tk44,,,,processing the historical datasets,Task
tk47,,,,text recovery,Task
tk48,,,,training a custom OCR correction model,Task
tk50,,,,downstream chronological analysis,Task
tk51,,,,probabilistic inference based on content or publication context,Task
tk52,,,,reviewing a targeted sample of the OCR-challenged segments,Task
tk53,,,,improve cleaning,Task
tk54,,,,tie in interpretability insights for downstream models,Task
tk55,,,,demonstration of correction workflow,Task
tk56,,,,data cleaning,Task
tk60,,,,robust longitudinal analysis,Task
tk61,,,,memo summarizing the pros and cons of a unified versus dual mapping system for metadata standardization,Task
tk62,,,,downstream harmonization and documentation,Task
tk63,,,2019-04-23,comments and preliminary analysis,Task
tk65,,,,tabulate the main date format inconsistencies,Task
tk66,,,,draft initial mapping schema for each archive,Task
tk67,,,,refine or switch to a unified mapping,Task
tk68,,,,interpretability memo,Task
tk69,,,,Sunita's briefing on dataset harmonization progress and immediate needs,Task
tk70,,,,Michael's demonstration of OCR/post-processing pipeline (using shared Chronicling America samples),Task
tk71,,,,Ananya's preliminary feedback on interpretability review and metadata system memo,Task
tk73,,,,"Scheduling and discussion of next milestone (e.g., baseline model implementation, evaluation setup)",Task
tk75,,,,circulate a brief summary of initial findings before the meeting,Task
tk76,,,,review recent files and memos,Task
tk77,,,,advancing baseline modeling,Task
tk78,,,,touch upon possible venues (conferences or journals) for ultimate submission,Task
tk79,0.8802,['tk80'],,metadata mapping for Chronicling America and British Library datasets (Dataset Harmonization),Task
tk83,,,,comparative review of LIME and SHAP on raw and OCR-corrected samples,Task
tk84,,,2019-04-30,formalize findings as a technical memo for circulation,Task
tk85,,,,Baseline Model Planning,Task
tk86,,,,data partitioning with decade-based splits for training and evaluation,Task
tk87,,,2019-05-01,draft the model configuration,Task
tk88,0.8389,"['tk82', 'tk98']",2019-04-28,prepare a clean corpus subset for subsequent modeling (share a jointly curated clean sample corpus),Task
tk90,,,2019-05-01,provide decade-partitioned data overview,Task
tk91,,,2019-05-01,share draft model configuration,Task
tk92,,,,suggest further evaluation metrics,Task
tk93,,,2019-05-03,next check-in meeting scheduling,Task
tk94,,,,manual verification to ensure high textual fidelity and alignment with dual metadata mapping policies,Task
tk95,,,,manual inspection or annotation standards for the initial subset,Task
tk96,,,,finalizing decade-based splits,Task
tk97,,,,proposing evaluation metrics for baseline modeling,Task
tk99,,,,summarising the applied pipeline and remaining challenges in the README,Task
tk100,,,,upcoming baseline modeling,Task
tk101,,,,classification subtasks,Task
tk102,,,,retrieval subtasks,Task
tk103,,,,historical analysis pipelines,Task
tk105,,,,post-hoc model explanations,Task
tk106,,,,case study selection,Task
tk107,0.7922,"['tk134', 'tk179']",,chronological prediction (year classification) (chronology prediction),Task
tk108,,,,entity linking across archives,Task
tk109,,,2019-05-01,early May check-in,Task
tk110,,,,nominate 1-2 stretch evaluation goals,Task
tk111,0.8356,['tk142'],2019-05-01,distribute draft on baseline model configuration and initial results (baseline model configuration and evaluation workflow draft),Task
tk112,,,,curating the clean corpus,Task
tk113,0.7933,"['tk1897', 'tk1914']",,hybrid evaluation framework rationale (defining evaluation metrics),Task
tk114,0.7946,"['tk36', 'tk45', 'tk49', 'tk58', 'tk72', 'tk736']",,Joint discussion: unified vs. dual metadata mapping schema; plan for next harmonization/annotation steps,Task
tk115,,,,modeling,Task
tk116,,,,results benchmarking,Task
tk117,,,,Cross-Dataset Generalizability,Task
tk118,,,,infer publication years or date ranges based on contextual signals,Task
tk119,,,,downstream historiographical analysis,Task
tk120,,,,Systematic transfer evaluation,Task
tk121,,,,quantitative comparison protocols for model explanations,Task
tk122,,,,qualitative comparison protocols for model explanations,Task
tk123,,,,ACL/EMNLP submission draft,Task
tk124,0.8361,['tk135'],,transfer evaluation between datasets (cross-dataset transfer),Task
tk125,0.8293,"['tk104', 'tk141', 'tk89']",2024-04-30,preparing interpretability memo (prepare interpretability memo),Task
tk126,,,,assessing explanation usability from a historian’s perspective,Task
tk127,0.821,"['tk59', 'tk64', 'tk74']",,contrast the interpretability outputs on raw versus post-OCR-corrected text (interpretability analyses),Task
tk128,,,,refine evaluation benchmarks,Task
tk129,,,2025-05-03,group meeting,Task
tk130,0.8295,"['tk139', 'tk148', 'tk159', 'tk165']",,incorporate a limited human annotation pilot in interpretability evaluations (pilot annotation),Task
tk131,,,,short annotation exercise,Task
tk132,,,,collect brief feedback from actual historians or expert users on sample explanations,Task
tk133,,,,,Task
tk136,,,,discuss the annotation pipeline and author responsibilities,Task
tk137,,,,streamline submission plan,Task
tk138,,,,develop protocol for interpretability evaluations,Task
tk140,,,,expert assessments by digital history collaborators,Task
tk143,,,,confirm baseline model configuration and initial results,Task
tk144,,,,agree on final set of evaluation metrics and protocols,Task
tk145,0.8083,['tk153'],,outline preliminary authorship and responsibilities map for planned ACL/EMNLP submission (authorship mapping and task allocation for ACL/EMNLP (tentative)),Task
tk146,,,,set timeline for subsequent drafts and code releases,Task
tk147,,,,finalize Google Meet or Zoom logistics and circulate the link,Task
tk149,0.8699,"['tk170', 'tk42']",,review interpretability findings (interpretability analysis),Task
tk150,,,,outline and confirm pilot annotation process & expected outputs,Task
tk152,,,,finalization of evaluation metrics & stretch goal feasibility,Task
tk155,,,,comparative quantitative evaluation of LIME vs. SHAP on our current corpus subset,Task
tk156,,,,proposed usability and faithfulness metrics,Task
tk157,,,,"vignettes with commentary on explanation clarity, including candidate samples for historian review",Task
tk158,,,,annotation protocol options (ad hoc survey vs. targeted feedback session),Task
tk160,,,,explanations associated with residual error,Task
tk161,,,,systematic annotation component in future work or as a post-submission extension,Task
tk162,,,,Monday’s session,Task
tk163,,,,accessing the interpretability memo materials or the Meet link,Task
tk164,,,,comparative evaluation of LIME and SHAP on clean corpus subset,Task
tk166,,,2019-05-10,prepare annotation instructions and feedback form,Task
tk167,0.872,['tk151'],2019-05-04,upload baseline model config and preliminary results (baseline model configuration (draft)),Task
tk168,,,2019-05-05,review interpretability memo and provide feedback,Task
tk169,0.8593,['tk5281'],,corpus construction and annotation pipeline (main corpus and annotation pipeline),Task
