:START_ID,:END_ID,:TYPE
e1,pa1,mentions
e1,d1,mentions
e1,d2,mentions
e1,d3,mentions
e1,me1,mentions
e1,me2,mentions
e1,me3,mentions
e1,tk1,mentions
e1,mt1,mentions
e1,mt2,mentions
e1,mt3,mentions
e2,tk1,mentions
e2,d1,mentions
e2,d2,mentions
e3,tk1,mentions
e3,me1,mentions
e4,tk1,mentions
e6,d1,mentions
e6,d2,mentions
e6,me1,mentions
e6,mt4,mentions
e6,tk1,mentions
e7,tk1,mentions
e7,me4,mentions
e8,tk1,mentions
e11,pa1,mentions
e11,tk1,mentions
e12,j1,mentions
e12,pa2,mentions
e14,pa1,mentions
e14,j1,mentions
e14,tk1,mentions
e14,d4,mentions
e14,me5,mentions
e14,me6,mentions
e14,me7,mentions
e17,j1,mentions
e17,pa1,mentions
e19,j1,mentions
e19,pa1,mentions
e19,me5,mentions
e22,tk2,mentions
e22,d5,mentions
e22,me8,mentions
e22,mt5,mentions
e23,tk2,mentions
e23,me9,mentions
e23,mt6,mentions
e24,tk2,mentions
e24,me10,mentions
e25,me9,mentions
e25,mt7,mentions
e26,d6,mentions
e26,d7,mentions
e26,me11,mentions
e26,me12,mentions
e26,tk3,mentions
e27,d8,mentions
e27,d9,mentions
e27,me11,mentions
e27,tk3,mentions
e27,mt8,mentions
e28,d10,mentions
e28,d11,mentions
e29,d12,mentions
e30,d13,mentions
e31,d2,mentions
e31,d14,mentions
e31,tk3,mentions
e32,me11,mentions
e33,me11,mentions
e35,d8,mentions
e35,d9,mentions
e35,me11,mentions
e35,me13,mentions
e36,c1,mentions
e36,c2,mentions
e36,j1,mentions
e36,j2,mentions
e36,tk4,mentions
e38,c3,mentions
e38,j3,mentions
e38,me14,mentions
e38,d15,mentions
e39,c3,mentions
e39,me11,mentions
e39,d16,mentions
e39,tk5,mentions
e40,c3,mentions
e40,j1,mentions
e40,me11,mentions
e40,d17,mentions
e40,tk6,mentions
e42,tk7,mentions
e42,me15,mentions
e42,d17,mentions
e43,me11,mentions
e43,j1,mentions
e44,c3,mentions
e45,c1,mentions
e45,j3,mentions
e46,c3,mentions
e46,j1,mentions
e46,me11,mentions
e47,c1,mentions
e47,j1,mentions
e47,me11,mentions
e47,tk8,mentions
e48,me11,mentions
e49,me11,mentions
e50,c3,mentions
e50,j1,mentions
e51,d18,mentions
e51,me16,mentions
e52,d18,mentions
e52,me16,mentions
e53,c3,mentions
e53,me11,mentions
e54,pa1,mentions
e54,j1,mentions
e54,c1,mentions
e54,tk9,mentions
e55,j1,mentions
e55,c4,mentions
e57,tk10,mentions
e58,pa5,mentions
e66,tk11,mentions
e66,tk12,mentions
e66,d19,mentions
e66,d20,mentions
e66,me17,mentions
e67,d21,mentions
e69,tk11,mentions
e69,tk13,mentions
e69,tk14,mentions
e69,tk15,mentions
e69,d22,mentions
e70,d23,mentions
e70,me18,mentions
e70,tk16,mentions
e71,d23,mentions
e71,me19,mentions
e71,tk16,mentions
e72,d24,mentions
e72,tk17,mentions
e72,me20,mentions
e73,me20,mentions
e73,d24,mentions
e74,d24,mentions
e74,me21,mentions
e75,tk18,mentions
e75,d21,mentions
