:START_ID,:END_ID,:TYPE
e2,mg1,notifies
e3,mg2,notifies
e4,mg3,notifies
e5,mg4,notifies
e9,s1,notifies
e10,s1,notifies
e11,mg5,notifies
e13,mg6,notifies
e14,mg7,notifies
e15,s1,notifies
e16,s1,notifies
e16,mg8,notifies
e17,mg9,notifies
e17,mg10,notifies
e18,mg11,notifies
e20,mg12,notifies
e21,s1,notifies
e24,mg13,notifies
e25,mg14,notifies
e26,mg15,notifies
e32,mg16,notifies
e33,mg17,notifies
e34,mg18,notifies
e35,mg19,notifies
e37,mg20,notifies
e38,mg21,notifies
e39,mg22,notifies
e41,s2,notifies
e42,s2,notifies
e43,s3,notifies
e43,mg23,notifies
e44,mg24,notifies
e45,mg25,notifies
e46,mg26,notifies
e48,s2,notifies
e49,s4,notifies
e49,mg27,notifies
e49,mg28,notifies
e50,mg29,notifies
e50,mg30,notifies
e50,mg31,notifies
e51,mg32,notifies
e52,mg33,notifies
e52,mg34,notifies
e53,mg35,notifies
e53,mg36,notifies
e55,mg37,notifies
e55,mg38,notifies
e56,s5,notifies
e58,s5,notifies
e58,mg39,notifies
e59,mg40,notifies
e60,s5,notifies
e60,mg41,notifies
e61,s5,notifies
e62,s5,notifies
e63,s5,notifies
e64,s1,notifies
e64,mg42,notifies
e65,s5,notifies
e67,mg43,notifies
e68,mg44,notifies
e69,mg45,notifies
e70,mg46,notifies
e71,mg47,notifies
e72,mg48,notifies
e77,s6,notifies
e77,mg49,notifies
e78,s6,notifies
e78,mg50,notifies
e79,mg51,notifies
e80,mg52,notifies
e81,mg53,notifies
e82,mg54,notifies
e83,mg55,notifies
e84,mg56,notifies
e85,mg57,notifies
e86,mg58,notifies
e87,mg59,notifies
e88,mg60,notifies
e90,mg61,notifies
e91,mg62,notifies
e92,mg63,notifies
e93,mg64,notifies
e94,mg65,notifies
e95,mg66,notifies
e96,mg67,notifies
e97,mg68,notifies
e99,s7,notifies
e100,s7,notifies
e101,s8,notifies
e102,mg69,notifies
e102,s9,notifies
e103,mg70,notifies
e103,mg71,notifies
e103,s9,notifies
e104,s10,notifies
e105,s8,notifies
e105,mg72,notifies
e106,s7,notifies
e107,s11,notifies
e107,mg73,notifies
e108,mg74,notifies
e108,mg75,notifies
e109,mg76,notifies
e109,mg77,notifies
e110,mg78,notifies
e111,s11,notifies
e112,c5,notifies
e113,mg79,notifies
e114,mg80,notifies
e115,mg81,notifies
e116,mg82,notifies
e117,mg83,notifies
e118,s12,notifies
e119,s12,notifies
e120,s12,notifies
e120,mg84,notifies
e121,s12,notifies
e122,s12,notifies
e123,ps30,notifies
e123,mg85,notifies
e124,mg86,notifies
e125,mg87,notifies
e126,s12,notifies
e126,mg88,notifies
e127,mg89,notifies
e128,mg90,notifies
e130,mg91,notifies
e131,mg92,notifies
e131,mg93,notifies
e132,s13,notifies
e134,mg94,notifies
e135,mg95,notifies
e136,mg96,notifies
e137,s14,notifies
e138,s14,notifies
e139,s14,notifies
e139,mg97,notifies
e140,mg98,notifies
e141,mg99,notifies
e142,mg100,notifies
e143,c6,notifies
e143,mg101,notifies
e144,s15,notifies
e145,mg102,notifies
e146,s14,notifies
e147,s14,notifies
e148,s14,notifies
e149,s14,notifies
e150,mg103,notifies
e151,mg104,notifies
e152,mg105,notifies
e152,mg106,notifies
e153,mg107,notifies
e154,mg108,notifies
e155,mg109,notifies
e156,mg110,notifies
e157,mg111,notifies
e158,mg112,notifies
e159,mg113,notifies
e159,c7,notifies
e160,c7,notifies
e160,mg114,notifies
e161,mg115,notifies
e162,mg116,notifies
e163,mg117,notifies
e164,s16,notifies
e165,s16,notifies
e167,s17,notifies
e167,mg118,notifies
e168,s16,notifies
e168,mg119,notifies
e169,mg120,notifies
e170,mg121,notifies
e171,c7,notifies
e171,mg122,notifies
e172,c7,notifies
e172,mg123,notifies
e173,mg124,notifies
e174,mg125,notifies
e175,s18,notifies
e176,s18,notifies
e177,mg126,notifies
e178,mg127,notifies
e179,mg128,notifies
e181,mg129,notifies
e182,s1,notifies
e183,s19,notifies
e184,s19,notifies
e185,s19,notifies
e186,mg130,notifies
e187,mg131,notifies
e188,mg132,notifies
e189,mg133,notifies
e190,mg134,notifies
e190,s20,notifies
e191,s21,notifies
e192,s21,notifies
e193,ps54,notifies
e195,mg135,notifies
e196,mg136,notifies
e199,s21,notifies
e200,s21,notifies
e201,s21,notifies
e202,s21,notifies
e202,mg137,notifies
e203,mg138,notifies
e204,s21,notifies
e205,s21,notifies
e205,mg139,notifies
e206,s21,notifies
e206,mg140,notifies
e207,s21,notifies
e208,s21,notifies
e209,s21,notifies
e209,mg141,notifies
e210,mg142,notifies
e211,s21,notifies
e211,mg143,notifies
e212,mg144,notifies
e213,s21,notifies
e214,s21,notifies
e215,s21,notifies
e217,s21,notifies
e218,mg145,notifies
e219,s21,notifies
e219,mg146,notifies
e220,s21,notifies
e220,mg147,notifies
e221,mg148,notifies
e221,mg149,notifies
e222,mg150,notifies
e223,mg151,notifies
e224,s21,notifies
e226,s1,notifies
e226,mg152,notifies
e227,mg153,notifies
e228,mg154,notifies
e230,ps65,notifies
e231,s21,notifies
e232,s21,notifies
e233,e233,notifies
e236,s22,notifies
e237,s23,notifies
e237,mg155,notifies
e238,mg156,notifies
e239,mg157,notifies
e240,mg158,notifies
e241,mg159,notifies
e242,mg160,notifies
e243,mg161,notifies
e244,mg159,notifies
