:START_ID,:END_ID,:TYPE,context,source
mt1,tk1,evaluates,"We can measure our progress using metrics such as accuracy, F1-score, and a new temporal consistency score that we could propose.",YT6A21
mt13,tk1,evaluates,"We can measure our progress using metrics such as accuracy, F1-score, and a new temporal consistency score that we could propose.",YT6A21
mt3,tk1,evaluates,"We can measure our progress using metrics such as accuracy, F1-score, and a new temporal consistency score that we could propose.",YT6A21
mt132,me15,evaluates,"delve deeper into the metrics we've discussed, and potentially refine the evaluation framework for our models.",YT6A23
mt5,me15,evaluates,"delve deeper into the metrics we've discussed, and potentially refine the evaluation framework for our models.",YT6A23
mt1,tk2,evaluates,"Metrics for evaluation include accuracy, F1-score, temporal consistency score, and methods for interpretability.",YT6A26
mt13,tk2,evaluates,"Metrics for evaluation include accuracy, F1-score, temporal consistency score, and methods for interpretability.",YT6A26
mt3,tk2,evaluates,"Metrics for evaluation include accuracy, F1-score, temporal consistency score, and methods for interpretability.",YT6A26
mt1,tk97,evaluates,"preferred performance indicators (e.g., task-appropriate accuracy, F1, historical lexicon recall)",L72FWD19
mt13,tk97,evaluates,"preferred performance indicators (e.g., task-appropriate accuracy, F1, historical lexicon recall)",L72FWD19
mt14,tk97,evaluates,"preferred performance indicators (e.g., task-appropriate accuracy, F1, historical lexicon recall)",L72FWD19
mt8,tk97,evaluates,Are there particular intrinsic/extrinsic evaluation protocols from previous projects we should consider for benchmarking?,L72FWD19
mt9,tk97,evaluates,Are there particular intrinsic/extrinsic evaluation protocols from previous projects we should consider for benchmarking?,L72FWD19
mt10,tk100,evaluates,"For intrinsic, character/error rates (CER and WER) would provide a transparent assessment of any remaining OCR noise.",F2R6YT89
mt11,tk100,evaluates,"For intrinsic, character/error rates (CER and WER) would provide a transparent assessment of any remaining OCR noise.",F2R6YT89
mt12,tk100,evaluates,"On the extrinsic side, standard token-level accuracy, F1 score, and, for our context, an adjusted historical vocabulary recall (as you noted) will map well to both classification and retrieval subtasks.",F2R6YT89
mt13,tk100,evaluates,"On the extrinsic side, standard token-level accuracy, F1 score, and, for our context, an adjusted historical vocabulary recall (as you noted) will map well to both classification and retrieval subtasks.",F2R6YT89
mt14,tk100,evaluates,"On the extrinsic side, standard token-level accuracy, F1 score, and, for our context, an adjusted historical vocabulary recall (as you noted) will map well to both classification and retrieval subtasks.",F2R6YT89
mt12,tk101,evaluates,will map well to both classification and retrieval subtasks.,F2R6YT89
mt13,tk101,evaluates,will map well to both classification and retrieval subtasks.,F2R6YT89
mt14,tk101,evaluates,will map well to both classification and retrieval subtasks.,F2R6YT89
mt12,tk102,evaluates,will map well to both classification and retrieval subtasks.,F2R6YT89
mt13,tk102,evaluates,will map well to both classification and retrieval subtasks.,F2R6YT89
mt14,tk102,evaluates,will map well to both classification and retrieval subtasks.,F2R6YT89
mt101,tk103,evaluates,"provenance-based metrics—measuring fidelity of date/location extraction from noisy versus cleaned text—could be useful, particularly since we intend for the models to support historical analysis pipelines.",F2R6YT89
mt16,tk105,evaluates,"additional diagnostic metrics, particularly for post-hoc model explanations and case study selection.",F2R6YT89
mt16,tk106,evaluates,"additional diagnostic metrics, particularly for post-hoc model explanations and case study selection.",F2R6YT89
mt10,tk107,evaluates,whose evaluation would require tailoring our metric selection further.,F2R6YT89
mt11,tk107,evaluates,whose evaluation would require tailoring our metric selection further.,F2R6YT89
mt12,tk107,evaluates,whose evaluation would require tailoring our metric selection further.,F2R6YT89
mt13,tk107,evaluates,whose evaluation would require tailoring our metric selection further.,F2R6YT89
mt14,tk107,evaluates,whose evaluation would require tailoring our metric selection further.,F2R6YT89
mt101,tk107,evaluates,whose evaluation would require tailoring our metric selection further.,F2R6YT89
mt10,tk108,evaluates,whose evaluation would require tailoring our metric selection further.,F2R6YT89
mt11,tk108,evaluates,whose evaluation would require tailoring our metric selection further.,F2R6YT89
mt12,tk108,evaluates,whose evaluation would require tailoring our metric selection further.,F2R6YT89
mt13,tk108,evaluates,whose evaluation would require tailoring our metric selection further.,F2R6YT89
mt14,tk108,evaluates,whose evaluation would require tailoring our metric selection further.,F2R6YT89
mt101,tk108,evaluates,whose evaluation would require tailoring our metric selection further.,F2R6YT89
