:START_ID,:END_ID,:TYPE,context,date,role,source
tm1,og1,affiliation,Journal on Computing and Cultural Heritage affiliation ACM,2019-06-10,,MAILWF5N3R8C
tm3,og1,affiliation,JOCCH Editorial Office affiliation ACM,2019-12-15,,MAILU4RHAQ01
tm4,og2,affiliation,Department of Computer Science affiliation Indian Association for the Cultivation of Science,2025-03-30,,MAIL01ZB5KXT;MAIL1FHVMW8S;MAIL1N8ZJ3KV;MAIL1X7BKDZ3;MAIL1X92FCL8;MAIL24NSQZL8;MAIL2AXY9VWR;MAIL2DRFJPQ8;MAIL2F7JNKQ1;MAIL2JQ3DHZK;MAIL2QGF57AM;MAIL2VQX3PSL;MAIL2X93KLQP;MAIL2XT94GQ1;MAIL3AQM2KVS;MAIL3JX7T2SA;MAIL3R8KYPD2;MAIL3TLVZRKY;MAIL3XK4YD7P;MAIL3YQKZNPH;MAIL4B69XPD1;MAIL4D2P9TQS;MAIL4EB6NHQP;MAIL4G8V5E2Y;MAIL4PGU1BMC;MAIL4PY6JQB3;MAIL4Q8V73YD;MAIL4V8XZUP2;MAIL4X81GTYS;MAIL4X9KGVL7;MAIL4XM2QNTB;MAIL51RZDKPV;MAIL5LQ1X08B;MAIL5PGJQ2CL;MAIL5QK72NJS;MAIL5XK8D7QP;MAIL62VJZD1M;MAIL6K3TJDZ8;MAIL6PLJ3XNV;MAIL71KWSZ0L;MAIL71QFVX32;MAIL73NFOVZD;MAIL76DW9PQE;MAIL7KZ9LCQS;MAIL7RZ6PWQD;MAIL7TJ8V6PY;MAIL7VJ2E8MC;MAIL7XYJ20PE;MAIL7Z6LCTYX;MAIL7ZB9PYTK;MAIL7ZK8QJ1A;MAIL7ZM2RKHL;MAIL89DJW2LB;MAIL8AP9CTYS;MAIL8F24RXLC;MAIL8HVW3T6P;MAIL8JN5DLQ2;MAIL8Q2KORLF;MAIL8SJ5VYR2;MAIL8SYV02GJ;MAIL8T3FJU60;MAIL91BZ7CKX;MAIL92TDH73A;MAIL937KWQDM;MAIL93WPFG2L;MAIL95LX4YTQ;MAIL95QLTX1E;MAIL97FQPJ2X;MAIL9DKQPZ1T;MAIL9F5B72RV;MAIL9FT2V1EK;MAIL9K47V2HQ;MAIL9P5JN3XA;MAIL9T83NZVC;MAIL9WY3K8SV;MAIL9YT7X4SB;MAIL9Z4KRQHT;MAILA2GJ7RK0;MAILA3G1XQ5W;MAILA3VQZ2HK;MAILA4YK9N6M;MAILA5B3KZJH;MAILA6V1DT3X;MAILA83CFPLM;MAILA94TJ7NU;MAILA9J3T7LU;MAILA9N73SXY;MAILA9X6VJ3M;MAILAH8FSWP2;MAILAL20CYF9;MAILAU81KTPX;MAILAXZ4U78N;MAILB1N5E3WT;MAILB23Q7NHF;MAILB60XNYAP;MAILB72PJD4M;MAILBGN4TZU5;MAILC5T8RGBA;MAILC9G8PYQ3;MAILCMJ9P1BX;MAILD2V87PQM;MAILD3NYV84K;MAILD5T4Q9ER;MAILD5ULQ76E;MAILD89K7XY2;MAILD8W1N37P;MAILDSM73KXQ;MAILDYQ4G2M7;MAILE0B2F6KD;MAILE0M162KQ;MAILE1Z7CFU8;MAILE2Q9RKJT;MAILE35NQ78J;MAILE3N24GVH;MAILE3V7W2ZA;MAILE41CX7KG;MAILE4J8SZMY;MAILE4KRY8PZ;MAILE4UP7JQK;MAILE54MSZ19;MAILE5W3N2F7;MAILE5W9Q4JT;MAILE61N9ZJK;MAILE7FGQK51;MAILE7K9TU3B;MAILE7U5K0TY;MAILE82NVM5K;MAILE89ZTQPAR;MAILE8F2W7CZ;MAILE8J45LMC;MAILE8QWS31R;MAILE8W5Z6QF;MAILE9QG712B;MAILE9ZL73P1;MAILEF43PLXO;MAILEI7H24VB;MAILEJ8TN234;MAILEM9JG842;MAILEP0QZ7L2;MAILEP7ZUKR1;MAILEQ79YPS2;MAILES87QK23;MAILET9X6LZA;MAILEX83T5QP;MAILEZ68KPWS;MAILEZL7P8QX;MAILF2DJ08UV;MAILF2J48YNB;MAILF2LZVA97;MAILF382BJ9Q;MAILF4G9Q3LW;MAILF7PJ6ZYW;MAILF8G1ZR25;MAILF8H4SK5B;MAILF8L2W5XQ;MAILF95BM8TZ;MAILFP2H8UZS;MAILFR1B2VQ8;MAILG3F9H2L7;MAILG5QJ8S1W;MAILGD42HVTQ;MAILGXKWPZ31;MAILH3G7V2YD;MAILH42K8XNP;MAILH9T7SZKD;MAILHK7F49Q2;MAILJ2PQ79WK;MAILJ4FBX6ZT;MAILJ4MDXK72;MAILJ5N8W2XF;MAILJ6Q3E1YZ;MAILJ8BKQ1XM;MAILJ8Q5MLR2;MAILJK29BX4L;MAILJK39DPZC;MAILJM84VK1Q;MAILJW4QK1ZL;MAILK29R5J8F;MAILK4N2V7EF;MAILK7Q3DJPA;MAILK8RZ3YX0;MAILK9JD32LM;MAILKL98XWER;MAILKP3J72ZA;MAILKRZ23VX4;MAILL2QG8M5V;MAILL4QTKH93;MAILLWZY5QPF;MAILM2GV65RT;MAILM3WJ7S8D;MAILMA9W7XEG;MAILME92AT1F;MAILMKT398YD;MAILML6S7A9K;MAILN19PG59M;MAILN3H6F2VW;MAILN8ZH72FS;MAILNC67B2TQ;MAILOK92LX8Z;MAILP2N8H5TR;MAILP39TRV1Q;MAILP4A8B9WJ;MAILP4J2S6XC;MAILP4S7K3YT;MAILP53VHB2T;MAILP57QXJKL;MAILP7DS4V3K;MAILP7K2JQXL;MAILP8FW6BZH;MAILP8J4TCYV;MAILP9FQS43B;MAILPD5J8VNE;MAILPG2483SL;MAILPK7ZC318;MAILPLK47GFY;MAILPQM8YRF2;MAILPTM68YZX;MAILPW8X45HT;MAILPYQ7J93X;MAILQ29JMV7Y;MAILQ52C8NML;MAILQ63YAZXR;MAILQ7U3V5NJ;MAILQ82JW0LN;MAILQ8BZ7LT5;MAILR3ZQ9WLU;MAILR5W8Q2LP;MAILR6GJ2PQL;MAILR6N2V5TJ;MAILR7B6SWFQ;MAILR8Q4Z1VM;MAILR8T4Q6WM;MAILRB21JUV7;MAILRF2KDS3Q;MAILRG4V9ZX1;MAILRM2TCL89;MAILRQ53LPZD;MAILRU72Y3XA;MAILRW2QJ0B7;MAILRZ58GKPW;MAILS3Y9M4QT;MAILS4PQW3MC;MAILT0X9PNLU;MAILT39S5WQH;MAILT4Y9MBP8;MAILT5R2LCQ7;MAILT8XP1R5V;MAILTG81JX2A;MAILTP7GD2RH;MAILTQ7PA5ZB;MAILU3JK9YQ2;MAILU7HD4CFE;MAILU7V4L2NP;MAILU8S6JV3L;MAILU9F7S6PM;MAILUB0HQCXZ;MAILUK2GF1S7;MAILUTQ92YXM;MAILUW68TRMS;MAILUX48MP20;MAILUY3M4DWS;MAILUY97M5RT;MAILV27FG81B;MAILV2M5CZL3;MAILV2N3Q8HU;MAILV3T5MZ82;MAILV47BPSZI;MAILV49LSB1P;MAILV6R52D4A;MAILV6YZJ359;MAILV8EZ1KLS;MAILV97TLKJX;MAILV9J8L2FM;MAILVJ2S7EWP;MAILVK9RFT38;MAILVQ230FGL;MAILW37HSL9P;MAILW4NFVZ7B;MAILW8B7K3TE;MAILW8F1VYQ3;MAILW9H8T5YU;MAILWL9T3R52;MAILWQ3E1F7V;MAILWQ84POLN;MAILWS8XY0NJ;MAILX2THR8NV;MAILX3C94QBJ;MAILX3S2V5NB;MAILX4C2JKL5;MAILX5CG9WT2;MAILX8FAQ57P;MAILXU59T0SH;MAILY4L9M8CV;MAILYH42CDLQ;MAILYZ6R3JKQ;MAILZ2CRF781;MAILZ2D8M1JP;MAILZ72Y1FHS;MAILZ7B1L4NT;MAILZ8S2QMLC;MAILZ8YJQ47N;MAILZP5D6XTK;MAILZX8M4TYQ;MAILZX92EPC3
tm6,og1,affiliation,JOCCH Editorial Office affiliation ACM,2020-06-27,,MAILW8J6BV3A
tm7,og1,affiliation,Journal on Computing and Cultural Heritage affiliation ACM,2020-08-24,,MAILF9QB2ST6
tm8,og1,affiliation,JOCCH Editorial Office affiliation ACM,2020-12-22,,MAILE9QX1W43
pn1,og2,affiliation,Sunita Sen affiliation Indian Association for the Cultivation of Science,2021-09-20,PhD Scholar,MAIL44VF1S8P;MAIL46DBNOQ2;MAIL7VGD2NHK;MAIL84GSYMT5;MAILAWJX27YM;MAILBG4W5KQT;MAILBG5C29QT;MAILD7CHP416;MAILE94JK21Z;MAILJ87KC3PQ;MAILJNQ82SLA;MAILJR8H24YQ;MAILK57YWXQJ;MAILK8L0W3XD;MAILLX9T7VJ3;MAILME2NFXQG;MAILNQ9BX47S;MAILR3S6BZ1P;MAILR7Q4W2JZ;MAILS9CK37PB;MAILU3CVH92B;MAILWL3UFZ84;MAILWY38KP1N;MAILX9HM7EN2;MAILXQ9821LM;MAILYG5U2PDM
pn2,og2,affiliation,Ramesh Bhatia affiliation Indian Association for the Cultivation of Science,2021-09-07,Professor,MAIL1KDZCV2Q;MAIL8ZHF23QX;MAILF2MN5GQ7;MAILJ9QL47AW;MAILY5U3QJ17
pn3,og10,affiliation,Michael Bradley affiliation Stanford University,2021-04-06,Assistant Professor,MAILY6E8VB2S;MAILZ4R2TN6F
tm9,og4,affiliation,Department of Computer Science affiliation University of Oxford,2025-03-31,,MAIL03VUWEN4;MAIL0DF8VX1E;MAIL1X8KF7Z0;MAIL29NVZQSM;MAIL2LQP8HYS;MAIL2QJ5NTL9;MAIL2QZR75GS;MAIL2XMN74VC;MAIL2Z9N6DYP;MAIL2ZRL45TY;MAIL32B5JCQY;MAIL3J7YGDQF;MAIL3NLVGRM2;MAIL44GJP7SA;MAIL4GJ9K7QS;MAIL4LD7VT9X;MAIL4MNF1G7P;MAIL4T8N1QXR;MAIL4UJ9KW3R;MAIL4V7C3BH2;MAIL4X7ZG5JQ;MAIL4YX29MKV;MAIL52NVGKR3;MAIL56RZ3N2L;MAIL58Y6QKZ1;MAIL5A8QNCXL;MAIL5B9ZK7QX;MAIL5G9PL1QW;MAIL5KT3R8LQ;MAIL5RZ74MNB;MAIL6JGT2PDR;MAIL6LG2V91X;MAIL6VZNM37Q;MAIL7BGDH5ZX;MAIL7FLQTD34;MAIL7HS39AFQ;MAIL7LXWQY93;MAIL82ZNVC4R;MAIL84TGV1JP;MAIL8KD1WZ36;MAIL8QX2R5LJ;MAIL8YXFUJQZ;MAIL94KGH2PL;MAIL9A4SJXTB;MAIL9D5LZ7HS;MAIL9JQZ2M8K;MAIL9VY4MHG2;MAIL9W7PZVQ3;MAILA7U5J2LF;MAILA8M5Y1ZT;MAILBJG7X254;MAILBPC46YNV;MAILCJ4L6TV2;MAILD2HFQ943;MAILD7ZK29PU;MAILD9A6ZN2R;MAILE1Z5X8BV;MAILE42V7BQN;MAILE7BP4F9A;MAILE839T6Q5;MAILE8J72XRC;MAILE9U2V5XR;MAILEJ2XP6QW;MAILEK8N2VC5;MAILEQ9P6T3V;MAILES4BKP83;MAILEV5P6HJL;MAILEX5V7NDQ;MAILF29YHQMP;MAILF3X2B8GV;MAILF4N1C2QB;MAILF4Y8S2MW;MAILFT49BKVC;MAILG7Y25QBR;MAILG82KDRU5;MAILGB94V1KT;MAILGH25J3X1;MAILGU23LVSQ;MAILH8L4Y7VB;MAILH8N2S0VW;MAILJD3X7P2L;MAILJX5T3QPW;MAILLS8J07PK;MAILN472KX08;MAILN7H3DJ5Q;MAILN8L2DKPS;MAILNL85K7YZ;MAILNM23ZBVP;MAILNQ93B7FL;MAILP7QL5DN2;MAILPJ6R32YQ;MAILPMJE8R2Y;MAILPR85GYJ1;MAILPTN834V5;MAILQ59LWVBC;MAILQ7H2PLVK;MAILQA9L2DCR;MAILQZX58J9L;MAILS6B5H8TJ;MAILSCYN52RQ;MAILSJ74QRXP;MAILT47G2YKS;MAILTLQWDS18;MAILTX5ZCY80;MAILU0SFZH39;MAILU4VPT9XE;MAILUJQ6N2YS;MAILV2HN9P1K;MAILV5P1DK3H;MAILV7X6T2QD;MAILV85PBYQG;MAILV8F3Q2ZM;MAILVR69CHU8;MAILW5R3X2GH;MAILW5YXB8TP;MAILW8952NCM;MAILWF8Z23GJ;MAILWGQ0BZ68;MAILWK92N3Q6;MAILXK27Z50S;MAILY1P6SMUJ;MAILY5JK29XM;MAILZ3K7Q1BW;MAILZB48MSDG;MAILZR8ML7J2
