:START_ID,:END_ID,:TYPE,context,source
me18,d100,uses,"Specifically, I will conduct a comparative analysis of LIME and SHAP, focusing on their adaptability to models trained on diachronic (historically shifting) text data.",e9
me19,d100,uses,"Specifically, I will conduct a comparative analysis of LIME and SHAP, focusing on their adaptability to models trained on diachronic (historically shifting) text data.",e9
me24,d11,uses,There might be preprocessing or post-hoc interpretability approaches we can apply to mitigate these issues without losing valuable historical nuance.,e9
me10,d11,uses,There might be preprocessing or post-hoc interpretability approaches we can apply to mitigate these issues without losing valuable historical nuance.,e9
me142,d1,uses,I have begun by standardizing metadata fields and applying basic preprocessing steps,e10
me142,d2,uses,I have begun by standardizing metadata fields and applying basic preprocessing steps,e10
me27,d1,uses,"such as deduplication, lowercasing, and removal of extraneous symbols.",e10
me27,d2,uses,"such as deduplication, lowercasing, and removal of extraneous symbols.",e10
me28,d1,uses,"such as deduplication, lowercasing, and removal of extraneous symbols.",e10
me28,d2,uses,"such as deduplication, lowercasing, and removal of extraneous symbols.",e10
me142,d1,uses,"such as deduplication, lowercasing, and removal of extraneous symbols.",e10
me142,d2,uses,"such as deduplication, lowercasing, and removal of extraneous symbols.",e10
me144,d1,uses,I am considering integrating an OCR correction tool,e10
me144,d2,uses,I am considering integrating an OCR correction tool,e10
me18,d11,uses,"for example, I can test whether post-OCR tokens introduce artifact-driven explanations in LIME/SHAP output.",e12
me19,d11,uses,"for example, I can test whether post-OCR tokens introduce artifact-driven explanations in LIME/SHAP output.",e12
me144,d11,uses,OCR-challenged text segments from the Chronicling America subset (1890–1900),e13
me144,d1,uses,Michael's demonstration of OCR/post-processing pipeline (using shared Chronicling America samples),e14
me45,d1,uses,metadata mapping for both Chronicling America and British Library datasets.,e16
me45,d13,uses,metadata mapping for both Chronicling America and British Library datasets.,e16
me46,d1,uses,"The group agreed to implement a dual mapping schema for now, with the option to standardize if downstream complications arise.",e16
me46,d13,uses,"The group agreed to implement a dual mapping schema for now, with the option to standardize if downstream complications arise.",e16
me144,me48,uses,The workflow incorporating post-processing and manual verification noticeably reduced segmentation errors in the provided sample.,e16
me144,me49,uses,The workflow incorporating post-processing and manual verification noticeably reduced segmentation errors in the provided sample.,e16
