:START_ID,:END_ID,:TYPE,context,source
s57,pa465,identifies,I fully endorse proceeding with submission on ScholarOne by the planned 30 August timeline.,email_903
s13,pa133,identifies,(Submission ID: SUB-JOCCH-2021-0612),email_251;email_253
s36,pa322,identifies,SUB-JOCCH-2022-0421,email_624
s1,pa18,identifies,Our Submission ID is SUB-ACL-2019-0374.,email_49
s44,pa402,identifies,Submission ID: SUB-JOCCH-2023-0782,email_779
s36,pa319,identifies,which has been registered under the submission identification number SUB-JOCCH-2022-0421,email_612
s34,pa285,identifies,I have just completed a detailed review of the final video version and associated supplementary materials in the “JCDL2022_WebAssets” folder.,email_547
s22,pa172,identifies,"your camera-ready submission titled, ""Provenance-Aware NLP for Historical Texts: Annotation, Compliance, and Synthetic Instance Protocols"" (Submission ID: SUB-ACL-2021-0471)",email_338
s24,pa184,identifies,Submission ID: SUB-ACL-2022-1098,email_365
s58,pa505,identifies,our assigned Submission ID is: SUB-JOCCH-2024-1143,email_951
s43,pa388,identifies,article SUB-JOCCH-2023-0193,email_755
s11,pa124,identifies,(Submission ID: SUB-JOCCH-2020-0047) to the ACM Journal on Computing and Cultural Heritage (JOCCH).,email_233
s35,pa286,identifies,Submission ID: SUB-JCDL-2022-1189,email_548;email_549
s2,pa35,identifies,(Submission ID: SUB-JOCCH-2019-0187),email_85
s36,pa48,identifies,"Thank you, Ananya, for keeping us updated on the JOCCH submission status (SUB-JOCCH-2022-0421)",email_625
s2,pa46,identifies,Submission ID: SUB-JOCCH-2019-0187,email_98
s2,pa53,identifies,(Submission ID: SUB-JOCCH-2019-0187),email_117;email_116
s56,pa495,identifies,Submission ID: SUB-JOCCH-2024-0421,email_932;email_933
s43,pa385,identifies,"For your records, the manuscript has been assigned Submission ID: SUB-JOCCH-2023-0193 by the JOCCH editorial system.",email_734
s2,pa48,identifies,SUB-JOCCH-2019-0187,email_114
s47,pa427,identifies,The attached confirmation from the ACL system indicates that our submission has been assigned Submission ID: SUB-ACL-2023-0321.,email_817
s30,pa252,identifies,Submission ID: SUB-JCDL-2022-0432,email_484
s40,pa362,identifies,**Submission ID:** SUB-JCDL-2023-0147,email_675
s39,pa354,identifies,Submission ID: SUB-JCDL-2023-1174,email_659;email_663
s43,pa391,identifies,(Submission ID: SUB-JOCCH-2023-0193),email_756
s12,pa103,identifies,I have thoroughly reviewed the revised notebook and accompanying PDF documentation in our shared “JOCCH_Revision” folder,email_202
s43,pa46,identifies,under Submission ID: SUB-JOCCH-2023-0193,email_744
s22,pa172,identifies,(Submission ID: SUB-ACL-2021-0471),email_343;email_350;email_351
s40,pa363,identifies,We are pleased to confirm that your submission (ID: SUB-JCDL-2023-0147) has successfully passed our administrative compliance check.,email_677
s60,pa515,identifies,Submission ID: SUB-JOCCH-2025-0472,email_972
s21,pa170,identifies,I have received the autogenerated submission receipt from the ACL system,email_336
s46,pa410,identifies,I have reviewed all files in the “JOCCH_Submission_27Oct2023” folder and confirm that everything appears complete and correctly formatted,email_795
s33,pa276,identifies,Please find the Submission ID for reference: SUB-JCDL-2022-0092.,email_532
s14,pa132,identifies,"now that our ""HistocrNLP"" paper is entering its publication phase.",email_255
s2,pa46,identifies,"Submission was completed through the ScholarOne system, under Submission ID: SUB-JOCCH-2019-0187",email_108
s2,pa47,identifies,(Submission ID: SUB-JOCCH-2019-0187),email_100
s43,pa388,identifies,I have now completed updates to the figure legends for Figures 2 and 4 as per the editorial feedback for SUB-JOCCH-2023-0193.,email_741
s30,pa253,identifies,"your camera-ready submission for JCDL 2022, entitled “Cross-Jurisdictional Protocols in NLP: FAQ Annexation for Multilingual Historical Media” (Submission ID: SUB-JCDL-2022-0432)",email_485
s11,pa97,identifies,Our submission has been assigned the following ID for reference in all future correspondence: SUB-JOCCH-2020-0047.,email_189
s2,pa24,identifies,"Your manuscript, titled “A Harmonized NLP Dataset and Documentation Protocol for OCR’d Historical Texts,” has been successfully entered into our manuscript management system under Submission ID: SUB-JOCCH-2019-0187.",email_69
s50,pa442,identifies,I’ve shared a new Overleaf branch (see “ACL2024_CameraReady_27Feb”),email_838
s47,pa427,identifies,Submission ID: SUB-ACL-2023-0321,email_818;email_819
s24,pa184,identifies,"your submission entitled ""A Provenance-Aware Annotation Protocol for NLP on Historical Document Corpora"" (Submission ID: SUB-ACL-2022-1098)",email_366
