:ID,datasetName,:LABEL
d1,Chronicling America,Dataset
d2,British Library Digital Collections,Dataset
d3,Corpus of Historical American English (COHA),Dataset
d4,datasets,Dataset
d9,heterogeneous archival sources,Dataset
d10,digitized Stanford Library pamphlets,Dataset
d11,1890s datasets,Dataset
d13,British Library,Dataset
d14,British Library collections,Dataset
d15,clean subset of the corpus,Dataset
d17,Annotated metadata files,Dataset
d18,README describing preprocessing steps and remaining known issues,Dataset
d24,pilot test sets,Dataset
d25,clean data type subgroup,Dataset
d26,Gaussian noise data type subgroup,Dataset
d28,stanford_annotations_may2019,Dataset
d30,Document F,Dataset
d31,anonymized participant IDs,Dataset
d32,annotator notes,Dataset
d33,annotated OCR error corpora,Dataset
d34,Phased Dataset Release,Dataset
d38,datasets in the shared folder,Dataset
d39,major dataset segment,Dataset
d43,dataset_release_June2019,Dataset
d45,Dataset and documentation ZIP archive,Dataset
d49,corpus diversity statistics,Dataset
d50,language identification error rates,Dataset
d51,raw annotator agreement data,Dataset
d52,shared statistics spreadsheet,Dataset
d54,digitized materials from both Indian and European sources,Dataset
d55,parental scans,Dataset
d58,raw scans,Dataset
d61,NER annotation set,Dataset
d62,topical annotation set,Dataset
d64,English Colonial Periodicals,Dataset
d66,Bengali data slice,Dataset
d67,English data slice,Dataset
d68,“Annotator_Agreement_ByGenre” tables,Dataset
d70,our main corpus,Dataset
d74,Bengali and English source archives,Dataset
d75,Heritage Data: A Multilingual Benchmark for Bengali-English Colonial Documents,Dataset
d76,Bengali-English Colonial Gazetteers,Dataset
d77,EntityAmbiguity_Examples_SSen_14Jan2020.docx,Dataset
d78,colonial-era newspapers and census records,Dataset
d79,reference list assembled during preliminary OCR correction,Dataset
d81,NormalizationPipeline_MBradley_2020.xlsx,Dataset
d82,Tables 3 and 5,Dataset
d83,historical place names,Dataset
d84,colonial gazetteer sources,Dataset
d86,"minimal, reusable dataset sample",Dataset
d87,"small, representative corpus sample",Dataset
d89,Wikidata,Dataset
d90,domain-specific gazetteers,Dataset
d92,colonial-era corpus,Dataset
d93,Bengali-English corpus,Dataset
d94,Bengali-English parallel corpus,Dataset
d95,Revision_Materials,Dataset
d96,demo materials and datasets,Dataset
d98,JCDL2020_Presentation_Materials,Dataset
d100,annotated historical corpora,Dataset
d101,"open repository of demo scripts, annotation templates, and sample data",Dataset
d102,embargoed datasets,Dataset
d103,repository,Dataset
d104,institutional archives,Dataset
d105,Zenodo,Dataset
d106,OSF,Dataset
d107,datasets deriving from national archives or government records,Dataset
d108,sensitive/embargoed components,Dataset
d109,final versions of all datasets and code,Dataset
d110,multi-institutional datasets,Dataset
d112,low-resource language benchmarks,Dataset
d113,sample data,Dataset
d114,Bengali–Gujarati historical corpora,Dataset
d116,dataset harmonization protocol,Dataset
d118,Bengali–Gujarati test datasets,Dataset
d119,French–English test datasets,Dataset
d120,low-resource dataset domains,Dataset
d121,low-resource lexicons,Dataset
d122,Bengali–Gujarati scenario,Dataset
d123,French–English scenario,Dataset
d124,Gujarati dataset,Dataset
d125,French dataset,Dataset
d126,Gujarati-trained model,Dataset
d127,French historical corpus,Dataset
d128,Indian datasets,Dataset
d129,European datasets,Dataset
d130,"Indian (IT Act, 2019 and the 2019 guidelines) datasets",Dataset
d132,ErrorPrivacy summary,Dataset
d133,supplementary Jupyter notebook,Dataset
d134,IACS_ApprovalLetter.pdf,Dataset
d135,collaborative GSheet (MinorRevision_ProgressTracker),Dataset
d136,preview PDF and latest .tex and .pdf source files,Dataset
d137,MinorRevision_ProgressTracker/Table2_Final_31Mar,Dataset
d138,sample OCR noise outputs,Dataset
d139,Global Historical Press Corpus,Dataset
d140,GHPC,Dataset
d141,HISTEXT-21,Dataset
d142,2019 dataset,Dataset
d145,Stanford’s ongoing digitization partnerships,Dataset
d146,Green Library digitization collections,Dataset
d147,HistocrNLP pipeline and datasets,Dataset
d149,European corpus,Dataset
d151,Oxford European corpus initiative,Dataset
d152,dataset interoperability,Dataset
d153,European source datasets,Dataset
d154,cross-border dataset usage,Dataset
d156,South Asian dataset,Dataset
d157,dataset summaries,Dataset
d158,public datasets included in the knowledge base,Dataset
d159,IACS dataset,Dataset
d160,South Asian corpus,Dataset
d161,historical NLP knowledge base,Dataset
d162,"extensive dataset, legal, and compliance documentation",Dataset
d164,institutional back-up at IACS,Dataset
d166,synthetic “preview samples”,Dataset
d167,ACL resource track reproducibility standards,Dataset
d169,previous ACL artifact review feedback,Dataset
d172,historical record sources,Dataset
d173,primary data,Dataset
d174,synthetic data,Dataset
d175,dataset DOIs,Dataset
d179,cross-institutional benchmarking results,Dataset
d181,benchmark dataset,Dataset
d183,pilot datasets (~50 docs),Dataset
d184,current corpus (>1000 docs),Dataset
d185,dataset rationales,Dataset
d186,underrepresented language corpora,Dataset
d188,dataset demo,Dataset
d189,bias-mitigated datasets,Dataset
d190,our dataset,Dataset
d192,dataset curation for historical language models,Dataset
d193,corpus creation protocols for heritage materials,Dataset
d194,corpus,Dataset
d196,multilingual and diachronic datasets,Dataset
d197,code/data hosting,Dataset
d198,Bengali/English case study vignettes,Dataset
d199,Hindi/Urdu case study vignettes,Dataset
d200,full supplementary corpus,Dataset
d201,supplementary figures/tables,Dataset
d202,vignettes,Dataset
d203,licensing documentation,Dataset
d206,GitHub,Dataset
d209,supplementary dataset and corpus resources,Dataset
d214,full dataset,Dataset
d216,joint dataset,Dataset
d217,co-authored datasets involving international partners,Dataset
d218,dataset metadata,Dataset
d219,US student records or personal data,Dataset
d222,US datasets,Dataset
d223,provisional dataset titles,Dataset
d224,sample metadata snapshots,Dataset
d226,less-resourced cultural datasets,Dataset
d227,IACS media tracking summary and press outreach statistics,Dataset
d228,audience FAQ synthesis and benchmarking graphics,Dataset
d229,Bengali periodical collections,Dataset
d230,Odia periodical collections,Dataset
d231,Oxford annotated corpus,Dataset
d232,newsletter traffic and regional uptake,Dataset
d233,NDAI user feedback,Dataset
d235,NDAI,Dataset
d236,IACS,Dataset
d237,Stanford,Dataset
d239,JCDL2022_WebAssets shared folder,Dataset
